VNB-Name,Teilnetzgebiet,Bundesland,Ort / Trasse,Netzebene,Art der Maßnahme,Leitungslänge in km,Übertragungskapazität in MVA,"Netzkomponenten (z.B. UW,Trafo ;Anzahl/Typ)",Projektstatus,Zeithorizont,Kosten in Mio.€,location,latitude,longitude,passt
Avacon Netz,Ost,Sachsen-Anhalt,Schierke,HS,Erüchtigungen Leitungen,0.0,60.0,Leitung,NOVA,2045,0.01,"Schierke, Wernigerode, Landkreis Harz, Sachsen-Anhalt, 38879, Deutschland",51.7644243,10.6593718,True
Avacon Netz,Ost,Hessen,Fulda,HS,Erüchtigungen Leitungen,0.0,75.0,Leitung,NOVA,2045,0.01,"Fulda, Landkreis Fulda, Hessen, Deutschland",50.5542328,9.6770448,True
Avacon Netz,Ost,Niedersachsen,Conneforde,HS,Erüchtigungen Leitungen,0.0,72.0,Leitung,NOVA,2045,0.02,"Conneforde, Wiefelstede, Landkreis Ammerland, Niedersachsen, 26215, Deutschland",53.3257698,8.0577591,True
Avacon Netz,Ost,Sachsen-Anhalt,Stendal,HS,Erüchtigungen Leitungen,107.6,108.0,Leitung,NOVA,2045,0.02,"Stendal, Sachsen-Anhalt, 39576, Deutschland",52.6050782,11.8594279,True
Avacon Netz,Ost,Niedersachsen,Hattorf,HS,Erüchtigungen Leitungen,0.0,141.0,Leitung,NOVA,2045,0.02,"Hattorf, Wolfsburg, Niedersachsen, 38444, Deutschland",52.3600784,10.7463328,True
Avacon Netz,Ost,Sachsen-Anhalt,Staßfurt,HS,Erüchtigungen Leitungen,147.4,147.0,Leitung,NOVA,2045,0.02,"Staßfurt, Salzlandkreis, Sachsen-Anhalt, Deutschland",51.8514515,11.5929455,True
Avacon Netz,Ost,Sachsen-Anhalt,Demsin,HS,Erüchtigungen Leitungen,0.0,50.0,Leitung,NOVA,2045,0.03,"Demsin, Jerichow, Jerichower Land, Sachsen-Anhalt, Deutschland",52.4407157,12.2688698,True
Avacon Netz,Ost,Niedersachsen,Halbemond,HS,Erüchtigungen Leitungen,0.0,62.0,Leitung,NOVA,2045,0.03,"Halbemond, Samtgemeinde Hage, Landkreis Aurich, Niedersachsen, Deutschland",53.5658058,7.297287,True
Avacon Netz,Ost,Sachsen-Anhalt,Schwanebeck,HS,Erüchtigungen Leitungen,107.6,108.0,Leitung,NOVA,2045,0.03,"Schwanebeck, Vorharz, Landkreis Harz, Sachsen-Anhalt, 39397, Deutschland",51.9601208,11.1169263,True
Avacon Netz,Ost,Sachsen-Anhalt,Bernburg,HS,Erüchtigungen Leitungen,107.6,108.0,Leitung,NOVA,2045,0.03,"Bernburg, Salzlandkreis, Sachsen-Anhalt, 06406, Deutschland",51.7930788,11.7391606,True
Avacon Netz,Ost,Sachsen-Anhalt,Magdeburg,HS,Erüchtigungen Leitungen,147.4,147.0,Leitung,NOVA,2045,0.03,"Magdeburg, Sachsen-Anhalt, Deutschland",52.1315889,11.6399609,True
Avacon Netz,Ost,Niedersachsen,Bassum,HS,Erüchtigungen Leitungen,0.0,148.0,Leitung,NOVA,2045,0.03,"Bassum, Landkreis Diepholz, Niedersachsen, 27211, Deutschland",52.8495881,8.728382,True
Avacon Netz,Ost,Hessen,Waldkappel,HS,Erüchtigungen Leitungen,0.0,49.0,Leitung,NOVA,2045,0.04,"Waldkappel, Werra-Meißner-Kreis, Hessen, 37284, Deutschland",51.1351872,9.8568782,True
Avacon Netz,Ost,Niedersachsen,Cloppenburg,HS,Erüchtigungen Leitungen,0.0,62.0,Leitung,NOVA,2045,0.04,"Cloppenburg, Landkreis Cloppenburg, Niedersachsen, 49661, Deutschland",52.8461339,8.0438783,True
Avacon Netz,Ost,Niedersachsen,Cloppenburg,HS,Erüchtigungen Leitungen,0.0,62.0,Leitung,NOVA,2045,0.04,"Cloppenburg, Landkreis Cloppenburg, Niedersachsen, 49661, Deutschland",52.8461339,8.0438783,True
Avacon Netz,Ost,Niedersachsen,Poehlde,HS,Erüchtigungen Leitungen,0.0,62.0,Leitung,NOVA,2045,0.04,"Pöhlde, Herzberg am Harz, Landkreis Göttingen, Niedersachsen, 37412, Deutschland",51.6099889,10.3209272,True
Avacon Netz,Ost,Hessen,Asslar,HS,Erüchtigungen Leitungen,0.0,75.0,Leitung,NOVA,2045,0.04,"Aßlar, Lahn-Dill-Kreis, Hessen, 35614, Deutschland",50.609245,8.447572,True
Avacon Netz,Ost,Hessen,Ziegel,HS,Erüchtigungen Leitungen,0.0,78.0,Leitung,NOVA,2045,0.04,"Ziegel, Bronnzell, Fulda, Landkreis Fulda, Hessen, 36043, Deutschland",50.5098407,9.6657883,True
Avacon Netz,Ost,Niedersachsen,Helmstedt,HS,Erüchtigungen Leitungen,107.6,108.0,Leitung,NOVA,2045,0.04,"Helmstedt, Landkreis Helmstedt, Niedersachsen, Deutschland",52.2089226,11.0028882,True
