VNB-Name,Teilnetzgebiet,Bundesland,Ort / Trasse,Netzebene,Art der Maßnahme,Leitungslänge in km,Übertragungskapazität in MVA,"Netzkomponenten (z.B. UW,Trafo ;Anzahl/Typ)",Projektstatus,Zeithorizont,Kosten in Mio.€,location,latitude,longitude,passt
Bayernwerk Netz GmbH,Bayern,Bayern,Altenerding,HS,Neubau,7.0,120.0,"HS-Kabelleitung, HS-Schaltanlage",abgeschlossen,k.A.,6.224,"Altenerding, Erding, Landkreis Erding, Bayern, Deutschland",48.2935294,11.9068614,True
Bayernwerk Netz GmbH,Bayern,Bayern,Bachl,HS,Neubau,14.0,210.0,"HS-Kabelleitung, HS-Schaltanlage",abgeschlossen,k.A.,8.999,"Bachl, Rohr i.NB, Landkreis Kelheim, Bayern, 93345, Deutschland",48.8093234,11.9456371,True
Bayernwerk Netz GmbH,Bayern,Bayern,Tann,HS,Neubau,12.0,160.0,"HS-Kabelleitung, HS-Schaltanlage",abgeschlossen,k.A.,7.869,"Tann, Tann (VGem), Landkreis Rottal-Inn, Bayern, 84367, Deutschland",48.3158044,12.889797,True
Bayernwerk Netz GmbH,Bayern,Bayern,Aichkirchen,HS,Neubau,18.0,160.0,"HS-Kabelleitung, HS-Schaltanlage","weggefallene 
Maßnahme",k.A.,0.0,"Aichkirchen, Hemau, Landkreis Regensburg, Bayern, 93155, Deutschland",49.009088,11.7557167,True
Bayernwerk Netz GmbH,Bayern,Bayern,Palling,HS,Neubau,6.0,160.0,"HS-Kabelleitung, HS-Schaltanlage","weggefallene 
Maßnahme",k.A.,0.0,"Palling, Landkreis Traunstein, Bayern, 83349, Deutschland",48.000387,12.6389258,True
Bayernwerk Netz GmbH,Bayern,Bayern,Kirchenthumbach,HS/MS,Neubau,0.1,100.0,"HS-Freileitung, HS-Schaltanlage","weggefallene 
Maßnahme",k.A.,0.0,"Kirchenthumbach, Kirchenthumbach (VGem), Landkreis Neustadt an der Waldnaab, Bayern, 91281, Deutschland",49.7497693,11.7239291,True
Bayernwerk Netz GmbH,Bayern,Bayern,Wülfershausen ,HS,Neubau,0.1,40.0,HS-Freileitung,abgeschlossen,k.A.,0.144433,"Wülfershausen, Wasserlosen, Landkreis Schweinfurt, Bayern, 97535, Deutschland",50.0540866,9.9995626,True
Bayernwerk Netz GmbH,Bayern,Bayern,Oberbachern,HS,Neubau,0.0,0.0,"HS-Schaltanlage, HS-Kompensationsspule",abgeschlossen,k.A.,2.376,"Oberbachern, Bergkirchen, Landkreis Dachau, Bayern, 85232, Deutschland",48.2820287,11.3686997,True
Bayernwerk Netz GmbH,Bayern,Bayern,Ponholz,HS/MS,"Ersatz(neubau) mit Erhöhung der 
Übertragungskapazität",0.0,110.0,"HS/MS Trafo, UW","weggefallene 
Maßnahme",k.A.,0.0,"Ponholz, Maxhütte-Haidhof, Landkreis Schwandorf, Bayern, 93142, Deutschland",49.1672764,12.0999347,True
Bayernwerk Netz GmbH,Bayern,Bayern,Straubing Bogen,HS,Netzoptimierung und -verstärkung,10.9,24.0,HS-Freileitung,abgeschlossen,k.A.,0.288,"Straubing-Bogen, Bayern, 94365, Deutschland",48.9270243,12.6265811,True
Bayernwerk Netz GmbH,Bayern,Bayern,Sünching -Straubing ,HS,Netzoptimierung und -verstärkung,23.1,41.0,HS-Freileitung,"weggefallene 
Maßnahme",k.A.,0.0,"Heimatmuseum Sünching, Bahndammweg, Sünching, Sünching (VGem), Landkreis Regensburg, Bayern, 93104, Deutschland",48.8582652,12.38624,True
Bayernwerk Netz GmbH,Bayern,Bayern,Neufinsing,HS,Neubau,0.0,0.0,"HS-Schaltanlage, HS-Kompensationsspule",abgeschlossen,k.A.,2.376,"Neufinsing, Finsing, Landkreis Erding, Bayern, 85464, Deutschland",48.2210641,11.8042527,True
Bayernwerk Netz GmbH,Bayern,Bayern,Redwitz,HS,Neubau,0.0,0.0,"HS-Schaltanlage, HS-Kompensationsspule",abgeschlossen,k.A.,2.376,"Redwitz (Rodach), B 173, Obristfeld, Redwitz a.d.Rodach, Redwitz an der Rodach (VGem), Landkreis Lichtenfels, Bayern, 96257, Deutschland",50.1692798,11.2086291,True
Bayernwerk Netz GmbH,Bayern,Bayern,Vaterstetten,HS/MS,"Ersatz(neubau) mit Erhöhung der 
Übertragungskapazität",0.0,40.0,Umspannwerk,im Bau,k.A.,7.899,"Vaterstetten, Landkreis Ebersberg, Bayern, Deutschland",48.1058205,11.7710207,True
Bayernwerk Netz GmbH,Bayern,Bayern,Mering,MS,Neubau,15.0,0.0,Schwerpunktstation,im Bau,k.A.,0.847,"Mering, Landkreis Aichach-Friedberg, Bayern, 86415, Deutschland",48.2678312,10.9868769,True
Bayernwerk Netz GmbH,Bayern,Bayern,Kulmbach Untersteinach,HS,Netzoptimierung und -verstärkung,11.6,48.0,HS-Freileitung,"weggefallene 
Maßnahme",k.A.,0.0,"Straßenmeisterei Kulmbach, Guttenberger Straße, Untersteinach, Untersteinach (VGem), Landkreis Kulmbach, Bayern, 95369, Deutschland",50.138108,11.5408064,True
Bayernwerk Netz GmbH,Bayern,Bayern,Weiden -Forst,HS,"Ersatz(neubau) mit Erhöhung der 
Übertragungskapazität",6.0,30.0,HS-Freileitung,"weggefallene 
Maßnahme",k.A.,0.0,"Weidenweg, Schafhübel, Zedtwitz, Feilitzsch, Verwaltungsgemeinschaft Feilitzsch, Landkreis Hof, Bayern, 95183, Deutschland",50.3587567,11.9006814,True
Bayernwerk Netz GmbH,Bayern,Bayern,Regensburg  Schwandorf  Ponholz,HS,"Ersatz(neubau) mit Erhöhung der 
Übertragungskapazität",21.9,46.0,HS-Freileitung,"weggefallene 
Maßnahme",k.A.,0.0,"Regensburg–Weiden, SAD 4, Roßbach, Ponholz, Maxhütte-Haidhof, Landkreis Schwandorf, Bayern, 93142, Deutschland",49.1808832,12.1072794,True
Bayernwerk Netz GmbH,Bayern,Bayern,Würzburg/Dürrbachau,HS,Rückbau / Altlastentsorgung,-25.0,-64.0,HS-Freileitung,"weggefallene 
Maßnahme",k.A.,0.0,"ehem. Schlachthof Würzburg, 3, Dürrbachau, Dürrbachtal, Würzburg, Bayern, 97080, Deutschland",49.8096247,9.8846791,True
Bayernwerk Netz GmbH,Bayern,Bayern,Haßfurt Eltmann,HS,Netzoptimierung und -verstärkung,15.8,75.0,"HS-Freileitung, HS-Schaltanlage","weggefallene 
Maßnahme",k.A.,0.0,"Mainaue zwischen Eltmann und Haßfurt, Knetzgau, Theres (VGem), Landkreis Haßberge, Bayern, Deutschland",50.0105437,10.5300542,True
Bayernwerk Netz GmbH,Bayern,Bayern,Schwandorf,HS,Neubau,0.0,0.0,"HS-Schaltanlage, HS-Kompensationsspule","weggefallene 
Maßnahme",k.A.,0.0,"Schwandorf, Landkreis Schwandorf, Bayern, 92421, Deutschland",49.3261854,12.1092708,True
Bayernwerk Netz GmbH,Bayern,Bayern,Waldkraiburg,HS/MS,"Ersatz(neubau) mit Erhöhung der 
Übertragungskapazität",0.0,40.0,"HS/MS Trafo, UW",abgeschlossen,k.A.,5.5,"Waldkraiburg, Landkreis Mühldorf am Inn, Bayern, 84478, Deutschland",48.2061851,12.4021839,True
Bayernwerk Netz GmbH,Bayern,Bayern,Bogen,HS/MS,"Ersatz(neubau) mit Erhöhung der 
Übertragungskapazität",0.0,120.0,"2x HS/MS Trafo (1x 80 MVA EE, 1x 40 
MVA MS), UW",abgeschlossen,k.A.,8.5,"Bogen, Landkreis Straubing-Bogen, Bayern, 94327, Deutschland",48.9082826,12.7185426,True
Bayernwerk Netz GmbH,Bayern,Bayern,Winhöring,MS,"Ersatz(neubau) ohne Erhöhung der 
Übertragungskapazität",0.0,0.0,MS,abgeschlossen,k.A.,3.0,"Winhöring, Landkreis Altötting, Bayern, 84543, Deutschland",48.2670046,12.6509702,True
Bayernwerk Netz GmbH,Bayern,Bayern,Etzenricht,HS/MS,Neubau,0.0,0.0,Spule,abgeschlossen,k.A.,0.53,"Etzenricht, Weiherhammer (VGem), Landkreis Neustadt an der Waldnaab, Bayern, 92694, Deutschland",49.63183,12.0921077,True
Bayernwerk Netz GmbH,Bayern,Bayern,Bodenkirchen,HS/MS,Netzoptimierung und -verstärkung,0.0,0.0,UW,"weggefallene 
Maßnahme",k.A.,0.0,"Bodenkirchen, Landkreis Landshut, Bayern, 84155, Deutschland",48.3833,12.3833,True
Bayernwerk Netz GmbH,Bayern,Bayern,Neufinsing,HS/MS,Neubau,0.0,0.0,Spule,abgeschlossen,k.A.,2.0,"Neufinsing, Finsing, Landkreis Erding, Bayern, 85464, Deutschland",48.2210641,11.8042527,True
Bayernwerk Netz GmbH,Bayern,Bayern,Redwitz,HS/MS,Neubau,0.0,0.0,Spule,abgeschlossen,k.A.,2.0,"Redwitz (Rodach), B 173, Obristfeld, Redwitz a.d.Rodach, Redwitz an der Rodach (VGem), Landkreis Lichtenfels, Bayern, 96257, Deutschland",50.1692798,11.2086291,True
Bayernwerk Netz GmbH,Bayern,Bayern,Neuses,HS,Netzoptimierung und -verstärkung,11.85,120.0,"HS-Freileitung, HS-Schaltanlage",konkrete Planung,k.A.,1.984,"Neuses, Kronach, Landkreis Kronach, Bayern, 96369, Deutschland",50.2131652,11.3094551,True
Bayernwerk Netz GmbH,Bayern,Bayern,Regensburg -Schwandorf,HS,Rückbau / Altlastentsorgung,-16.6,0.0,HS-Freileitung,"weggefallene 
Maßnahme",k.A.,0.0,"Regensburg–Weiden, St 2397, Hagenau, Maxhütte-Haidhof, Landkreis Schwandorf, Bayern, 93142, Deutschland",49.1673646,12.109608,True
Bayernwerk Netz GmbH,Bayern,Bayern,Aichach,HS/MS,"Ersatz(neubau) mit Erhöhung der 
Übertragungskapazität",0.0,40.0,"HS/MS Trafo, und MS",im Bau,k.A.,4.1,"Aichach, Landkreis Aichach-Friedberg, Bayern, 86551, Deutschland",48.4591478,11.1309953,True
Bayernwerk Netz GmbH,Bayern,Bayern,Odelzhausen/Pfaffenhofen a.d.Glonn,HS/MS,"Ersatz(neubau) mit Erhöhung der 
Übertragungskapazität",0.1,100.0,"HS-Anbindung, Umspannwerk",konkrete Planung,k.A.,35.98,"Odelzhausen, Landkreis Dachau, Bayern, Deutschland",48.3037025,11.1885652,True
Bayernwerk Netz GmbH,Bayern,Bayern,Pocking,HS/MS,Netzoptimierung und -verstärkung,0.0,40.0,HS/MS Trafo,im Bau,k.A.,1.8,"Pocking, Landkreis Passau, Bayern, 94060, Deutschland",48.4015189,13.3107683,True
Bayernwerk Netz GmbH,Bayern,Bayern,Oberviechtach,HS/MS,Netzoptimierung und -verstärkung,0.0,40.0,HS/MS Trafo,im Bau,k.A.,1.7,"Oberviechtach, Landkreis Schwandorf, Bayern, 92526, Deutschland",49.4602721,12.4189759,True
Bayernwerk Netz GmbH,Bayern,Bayern,Dingolfing,HS/MS,Netzoptimierung und -verstärkung,0.0,40.0,HS/MS,"weggefallene 
Maßnahme",k.A.,0.0,"Dingolfing, Landkreis Dingolfing-Landau, Bayern, 84130, Deutschland",48.6300801,12.4977434,True
Bayernwerk Netz GmbH,Bayern,Bayern,Ebersberg,HS/MS,Netzoptimierung und -verstärkung,0.0,40.0,Umspannwerk,konkrete Planung,k.A.,3.6,"Ebersberg, Landkreis Ebersberg, Bayern, 85560, Deutschland",48.0782763,11.9694372,True
Bayernwerk Netz GmbH,Bayern,Bayern,Weixerau,MS,Neubau,15.0,0.0,Schwerpunktstation,im Bau,k.A.,1.194,"Weixerau, Eching, Landkreis Landshut, Bayern, 84174, Deutschland",48.4966794,12.032251,True
Bayernwerk Netz GmbH,Bayern,Bayern,Eitting,HS/MS,Netzoptimierung und -verstärkung,0.0,80.0,HS/MS,im Bau,k.A.,5.2,"Eitting, Oberding (VGem), Landkreis Erding, Bayern, 85462, Deutschland",48.358828,11.8908175,True
Bayernwerk Netz GmbH,Bayern,Bayern,Landsham,HS/MS,Ersatz(neubau) mit Erhöhung der ,0.0,160.0,Umspannwerk,im Bau,k.A.,18.333,"Landsham, Pliening, Landkreis Ebersberg, Bayern, 85652, Deutschland",48.184982,11.7756332,True
Bayernwerk Netz GmbH,Bayern,Bayern,Dachau,HS/MS,Netzoptimierung und -verstärkung,0.0,0.0,EB,abgeschlossen,k.A.,4.0,"Dachau, Landkreis Dachau, Bayern, 85221, Deutschland",48.2592477,11.4354419,True
Bayernwerk Netz GmbH,Bayern,Bayern,Tanzmühle,k.A.,Netzoptimierung und -verstärkung,0.0,40.0,"Trafo, E-Spule, MS Schaltanlage",,k.A.,0.0,"Tanzmühle, Großenschwand, Tännesberg, Tännesberg (VGem), Landkreis Neustadt an der Waldnaab, Bayern, 92723, Deutschland",49.5538657,12.2839446,True
Bayernwerk Netz GmbH,Bayern,Bayern,Tirschenreuth,k.A.,Netzoptimierung und -verstärkung,0.0,0.0,MS-Schaltanlage,,k.A.,0.0,"Tirschenreuth, Landkreis Tirschenreuth, Bayern, 95643, Deutschland",49.8780234,12.3372095,True
Bayernwerk Netz GmbH,Bayern,Bayern,Dürn,MS,Neubau,15.0,0.0,Schwerpunktstation,im Bau,k.A.,1.1,"Dürn, Günching, Velburg, Landkreis Neumarkt in der Oberpfalz, Bayern, 92355, Deutschland",49.2613734,11.5953941,True
Bayernwerk Netz GmbH,Bayern,Bayern,Rottenburg a.d. Laaber,k.A.,Ersatz(neubau) mit Erhöhung der ,0.0,100.0,"2x HS/MS Trafo (50 MVA), E-Spule, HS-",,k.A.,0.0,"Rottenburg a. d. Laaber, Landkreis Landshut, Bayern, 84056, Deutschland",48.7001539,12.0282878,True
