VNB-Name,Teilnetzgebiet,Bundesland,Ort / Trasse,Netzebene,Art der Maßnahme,Leitungslänge in km,Übertragungskapazität in MVA,"Netzkomponenten (z.B. UW,Trafo ;Anzahl/Typ)",Projektstatus,Zeithorizont,Kosten in Mio.€,location,latitude,longitude,passt
Bielefelder Netz GmbH,Mitte,Nordrhein-Westfalen,k.A.,MS,Ertüchtigung Leitungen,5.0,0.0,k.A.,im Bau,2028,1.97,"Nordrhein-Westfalen, Deutschland",51.4789205,7.5543751,True
Bielefelder Netz GmbH,Mitte,Nordrhein-Westfalen,k.A.,HS,Neubau Trafo,0.0,0.0,1,abgeschlossen,2023,1.0,"Nordrhein-Westfalen, Deutschland",51.4789205,7.5543751,True
Bielefelder Netz GmbH,Mitte,Nordrhein-Westfalen,k.A.,HS,Neubau Trafo,0.0,0.0,1,abgeschlossen,2019,0.75,"Nordrhein-Westfalen, Deutschland",51.4789205,7.5543751,True
Bielefelder Netz GmbH,Mitte,Nordrhein-Westfalen,k.A.,HS,Neubau Trafo,0.0,0.0,1,abgeschlossen,2023,1.0,"Nordrhein-Westfalen, Deutschland",51.4789205,7.5543751,True
Bielefelder Netz GmbH,Mitte,Nordrhein-Westfalen,k.A.,HS,Neubau Leitungen,2.05,0.0,k.A.,vorgesehene Maßnahme,2026,6.8,"Nordrhein-Westfalen, Deutschland",51.4789205,7.5543751,True
Bielefelder Netz GmbH,Mitte,Nordrhein-Westfalen,k.A.,HS,Neubau Leitungen,2.15,0.0,k.A.,abgeschlossen,2022,3.5,"Nordrhein-Westfalen, Deutschland",51.4789205,7.5543751,True
Bielefelder Netz GmbH,Mitte,Nordrhein-Westfalen,k.A.,HS,Neubau Leitungen,2.34,0.0,k.A.,vorgesehene Maßnahme,2027,7.0,"Nordrhein-Westfalen, Deutschland",51.4789205,7.5543751,True
Bielefelder Netz GmbH,Mitte,Nordrhein-Westfalen,k.A.,HS,Neubau Leitungen,2.2,0.0,k.A.,konkrete Planung,2025,6.8,"Nordrhein-Westfalen, Deutschland",51.4789205,7.5543751,True
Bielefelder Netz GmbH,Mitte,Nordrhein-Westfalen,k.A.,HS,Ertüchtigung UW,0.0,0.0,1,abgeschlossen,2023,5.0,"Nordrhein-Westfalen, Deutschland",51.4789205,7.5543751,True
Bielefelder Netz GmbH,Mitte,Nordrhein-Westfalen,k.A.,MS,Ertüchtigung UW,0.0,0.0,1,abgeschlossen,2018,0.94,"Nordrhein-Westfalen, Deutschland",51.4789205,7.5543751,True
