VNB-Name,Teilnetzgebiet,Bundesland,Ort / Trasse,Netzebene,Art der Maßnahme,Leitungslänge in km,Übertragungskapazität in MVA,"Netzkomponenten (z.B. UW,Trafo ;Anzahl/Typ)",Projektstatus,Zeithorizont,Kosten in Mio.€,location,latitude,longitude,passt
E.DIS Netz GmbH,Ost,Mecklenburg-Vorpommern,Rubenow,HS,Erüchtigungen Leitungen,1.0,0.0,HS-Leitungen,weggefallene Maßnahme,k.A.,0.0,"Rubenow, Lubmin, Vorpommern-Greifswald, Mecklenburg-Vorpommern, Deutschland",54.0994542,13.6987412,True
E.DIS Netz GmbH,Ost,Brandenburg,Falkenhagen,HS,Neubau Kompensationsspule,0.0,0.0,Kompensationsspule,vorgesehene Maßnahme,2026,0.35,"Falkenhagen (Mark), Seelow-Land, Märkisch-Oderland, Brandenburg, Deutschland",52.4290876,14.316869,True
E.DIS Netz GmbH,Ost,Brandenburg,Zootzen,HS,Neubau Kompensationsspule,0.0,0.0,Kompensationsspule,vorgesehene Maßnahme,2028,0.35,"Zootzen, Friesack, Havelland, Brandenburg, Deutschland",52.7765005,12.6236361,True
E.DIS Netz GmbH,Ost,Brandenburg,Granzow,HS,Neubau Petersenspule,0.0,0.0,Petersenspule,vorgesehene Maßnahme,2025,0.35,"Granzow, Gumtow, Prignitz, Brandenburg, Deutschland",52.9594316,12.2487127,True
E.DIS Netz GmbH,Ost,Brandenburg,Falkenhagen,HS,Neubau Petersenspule,0.0,0.0,Petersenspule,vorgesehene Maßnahme,2025,0.35,"Falkenhagen (Mark), Seelow-Land, Märkisch-Oderland, Brandenburg, Deutschland",52.4290876,14.316869,True
E.DIS Netz GmbH,Ost,Brandenburg,Friesack,HS,Neubau Petersenspule,0.0,0.0,Petersenspule,vorgesehene Maßnahme,2025,0.35,"Friesack, Havelland, Brandenburg, 14662, Deutschland",52.7395263,12.5782641,True
E.DIS Netz GmbH,Ost,Brandenburg,Lübnitz,HS,Neubau Petersenspule,0.0,0.0,Petersenspule,vorgesehene Maßnahme,2025,0.35,"Lübnitz, Bad Belzig, Potsdam-Mittelmark, Brandenburg, Deutschland",52.1564075,12.5290478,True
E.DIS Netz GmbH,Ost,Mecklenburg-Vorpommern,Demmin,HS,Neubau Petersenspule,0.0,0.0,Petersenspule,vorgesehene Maßnahme,2026,0.35,"Demmin, Mecklenburgische Seenplatte, Mecklenburg-Vorpommern, 17109, Deutschland",53.9070019,13.0327836,True
E.DIS Netz GmbH,Ost,Brandenburg,Kirchmöser,HS,Neubau Petersenspule,0.0,0.0,Petersenspule,vorgesehene Maßnahme,2026,0.35,"Kirchmöser, Brandenburg an der Havel, Brandenburg, Deutschland",52.3758454,12.4228308,True
E.DIS Netz GmbH,Ost,Brandenburg,Teupitz,HS,Neubau Petersenspule,0.0,0.0,Petersenspule,vorgesehene Maßnahme,2026,0.35,"Teupitz, Schenkenländchen, Dahme-Spreewald, Brandenburg, 15755, Deutschland",52.135986,13.6098424,True
E.DIS Netz GmbH,Ost,Brandenburg,Selchow,HS,Neubau Petersenspule,0.0,0.0,Petersenspule,vorgesehene Maßnahme,2027,0.35,"Selchow, Schönefeld, Dahme-Spreewald, Brandenburg, Deutschland",52.3576478,13.4722095,True
E.DIS Netz GmbH,Ost,Brandenburg,Ludwigsfelde,HS,Neubau Petersenspule,0.0,0.0,Petersenspule,vorgesehene Maßnahme,2027,0.35,"Ludwigsfelde, Teltow-Fläming, Brandenburg, 14974, Deutschland",52.3016096,13.2610163,True
E.DIS Netz GmbH,Ost,Brandenburg,Erkner,HS,Neubau Petersenspule,0.0,0.0,Petersenspule,vorgesehene Maßnahme,2027,0.35,"Erkner, Oder-Spree, Brandenburg, Deutschland",52.4259804,13.7542811,True
E.DIS Netz GmbH,Ost,Brandenburg,Bad Freienwalde,HS,Neubau Petersenspule,0.0,0.0,Petersenspule,vorgesehene Maßnahme,2028,0.35,"Bad Freienwalde (Oder), Wölsickendorf-Wollenberg, Märkisch-Oderland, Brandenburg, 16259, Deutschland",52.787521,14.0300689,True
E.DIS Netz GmbH,Ost,Brandenburg,Tempelfelde,HS,Neubau Petersenspule,0.0,0.0,Petersenspule,vorgesehene Maßnahme,2028,0.35,"Tempelfelde, Barnim, Brandenburg, Deutschland",52.7099213,13.7181498,True
