VNB-Name,Teilnetzgebiet,Bundesland,Ort / Trasse,Netzebene,Art der Maßnahme,Leitungslänge in km,Übertragungskapazität in MVA,"Netzkomponenten (z.B. UW,Trafo ;Anzahl/Typ)",Projektstatus,Zeithorizont,Kosten in Mio.€,location,latitude,longitude,passt
ELE Verteilnetz GmbH,West,Nordrhein-Westfalen,Bottrop,HS/MS,Neubau UW; Neubau Schaltanlage,0.0,0.0,"UW, Schaltanlage",im Bau,2024,5.524,"Bottrop, Nordrhein-Westfalen, Deutschland",51.521581,6.929204,True
ELE Verteilnetz GmbH,West,Nordrhein-Westfalen,Vonderort,HS/MS,Neubau UW; Neubau Schaltanlage,0.0,0.0,"UW, Schaltanlage",vorgesehene Maßnahme,2025,1.6572,"Vonderort, Bottrop, Nordrhein-Westfalen, Deutschland",51.5059734,6.9123017,True
ELE Verteilnetz GmbH,West,Nordrhein-Westfalen,Moltke,HS/MS,Neubau UW; Neubau Schaltanlage,0.0,0.0,"UW, Schaltanlage",vorgesehene Maßnahme,2027,4.4192,"Gymnasium am Moltkeplatz, 12, Moltkeplatz, Cracau, Krefeld-Mitte, Krefeld, Tönisvorst, Nordrhein-Westfalen, 47799, Deutschland",51.3392614,6.5789911,True
ELE Verteilnetz GmbH,West,Nordrhein-Westfalen,Schalke,HS/MS,Neubau UW; Neubau Schaltanlage,0.0,0.0,"UW, Schaltanlage",im Bau,2025,5.4735,"Schalke, Gelsenkirchen-Mitte, Gelsenkirchen, Nordrhein-Westfalen, 45881, Deutschland",51.5228667,7.0874533,True
ELE Verteilnetz GmbH,West,Nordrhein-Westfalen,Resse,HS/MS,Neubau UW; Neubau Schaltanlage,0.0,0.0,"UW, Schaltanlage",vorgesehene Maßnahme,2026,5.166,"Resse, Gelsenkirchen-Ost, Gelsenkirchen, Nordrhein-Westfalen, 45892, Deutschland",51.5807223,7.1084413,True
ELE Verteilnetz GmbH,West,Nordrhein-Westfalen,Agathagasse,MS,Neubau Schaltanlage,0.0,0.0,Schaltanlage,vorgesehene Maßnahme,2028,3.198,"Agathagasse, Buer, Gelsenkirchen-Nord, Gelsenkirchen, Nordrhein-Westfalen, 45894, Deutschland",51.5801228,7.0515788,True
ELE Verteilnetz GmbH,West,Nordrhein-Westfalen,Gladbeck 2,HS/MS,Neubau UW; Neubau Schaltanlage,0.0,0.0,"UW, Schaltanlage",vorgesehene Maßnahme,2029,10.0,"2, Gladbeck, Darup, Nottuln, Kreis Coesfeld, Nordrhein-Westfalen, 48301, Deutschland",51.9143914,7.2864773,True
ELE Verteilnetz GmbH,West,Nordrhein-Westfalen,,MS,Neubau Leitungen,36.89,0.0,MS-Kabel,vorgesehene Maßnahme,2028,5.0,"Nordrhein-Westfalen, Deutschland",51.4789205,7.5543751,True
ELE Verteilnetz GmbH,West,Nordrhein-Westfalen,,MS,Ertüchtigungen Leitungen,64.91,0.0,MS-Kabel,vorgesehene Maßnahme,2028,20.0,"Nordrhein-Westfalen, Deutschland",51.4789205,7.5543751,True
ELE Verteilnetz GmbH,West,Nordrhein-Westfalen,,NS,Neubau Leitungen,58.8,0.0,NS-Kabel,vorgesehene Maßnahme,2028,13.0,"Nordrhein-Westfalen, Deutschland",51.4789205,7.5543751,True
ELE Verteilnetz GmbH,West,Nordrhein-Westfalen,,NS,Ertüchtigungen Leitungen,93.48,0.0,NS-Kabel,vorgesehene Maßnahme,2028,23.0,"Nordrhein-Westfalen, Deutschland",51.4789205,7.5543751,True
ELE Verteilnetz GmbH,West,Nordrhein-Westfalen,,MS/NS,Neubau UW,0.0,0.0,47 ONS,vorgesehene Maßnahme,2028,3.690114,"Nordrhein-Westfalen, Deutschland",51.4789205,7.5543751,True
ELE Verteilnetz GmbH,West,Nordrhein-Westfalen,,MS/NS,Ertüchtigungen UW,0.0,0.0,164 ONS,vorgesehene Maßnahme,2028,13.038962,"Nordrhein-Westfalen, Deutschland",51.4789205,7.5543751,True
ELE Verteilnetz GmbH,West,Nordrhein-Westfalen,k.A.,MS,Neubau Schaltanlage,0.0,0.0,Schaltanlage,vorgesehene Maßnahme,2027,1.0,"Nordrhein-Westfalen, Deutschland",51.4789205,7.5543751,True
ELE Verteilnetz GmbH,West,Nordrhein-Westfalen,Gelsenkirchen,HS/MS,Neubau UW; Neubau Schaltanlage,0.0,0.0,"UW, Schaltanlage",vorgesehene Maßnahme,2033,10.0,"Gelsenkirchen, Nordrhein-Westfalen, Deutschland",51.5110321,7.0960124,True
