VNB-Name,Teilnetzgebiet,Bundesland,Ort / Trasse,Netzebene,Art der Maßnahme,Leitungslänge in km,Übertragungskapazität in MVA,"Netzkomponenten (z.B. UW,Trafo ;Anzahl/Typ)",Projektstatus,Zeithorizont,Kosten in Mio.€,location,latitude,longitude,passt
ENERVIE Vernetzt GmbH,West,Nordrhein-Westfalen,,k.A.,Neubau UW,0.0,0.0,k.A.,noch nicht eingeleitet,2030,0.0,"Nordrhein-Westfalen, Deutschland",51.4789205,7.5543751,True
ENERVIE Vernetzt GmbH,West,Nordrhein-Westfalen,,k.A.,Neubau UW,0.0,0.0,k.A.,noch nicht eingeleitet,2030,0.0,"Nordrhein-Westfalen, Deutschland",51.4789205,7.5543751,True
ENERVIE Vernetzt GmbH,West,Nordrhein-Westfalen,,HS,Ertüchtigungen UW,0.0,0.0,k.A.,abgeschlossen,2024,0.0,"Nordrhein-Westfalen, Deutschland",51.4789205,7.5543751,True
ENERVIE Vernetzt GmbH,West,Nordrhein-Westfalen,,MS,Neubau Leitungen,0.0,0.0,k.A.,abgeschlossen,2023,0.0,"Nordrhein-Westfalen, Deutschland",51.4789205,7.5543751,True
ENERVIE Vernetzt GmbH,West,Nordrhein-Westfalen,,MS,Ertüchtigungen Leitungen,0.0,0.0,k.A.,abgeschlossen,2022,0.0,"Nordrhein-Westfalen, Deutschland",51.4789205,7.5543751,True
ENERVIE Vernetzt GmbH,West,Nordrhein-Westfalen,,NS,Ertüchtigungen Schaltanlage,0.0,0.0,k.A.,k.A.,k.A.,0.0,"Nordrhein-Westfalen, Deutschland",51.4789205,7.5543751,True
ENERVIE Vernetzt GmbH,West,Nordrhein-Westfalen,,MS,Ertüchtigungen Leitungen,0.0,0.0,k.A.,k.A.,k.A.,0.0,"Nordrhein-Westfalen, Deutschland",51.4789205,7.5543751,True
ENERVIE Vernetzt GmbH,West,Nordrhein-Westfalen,,NS,Ertüchtigungen Leitungen,0.0,0.0,k.A.,k.A.,k.A.,0.0,"Nordrhein-Westfalen, Deutschland",51.4789205,7.5543751,True
ENERVIE Vernetzt GmbH,West,Nordrhein-Westfalen,,NS,Ertüchtigungen Leitungen,0.0,0.0,k.A.,k.A.,k.A.,0.0,"Nordrhein-Westfalen, Deutschland",51.4789205,7.5543751,True
ENERVIE Vernetzt GmbH,West,Nordrhein-Westfalen,,MS,Ertüchtigungen Leitungen,0.0,0.0,k.A.,k.A.,k.A.,0.0,"Nordrhein-Westfalen, Deutschland",51.4789205,7.5543751,True
ENERVIE Vernetzt GmbH,West,Nordrhein-Westfalen,,MS,Ertüchtigungen Trafo,0.0,0.0,k.A.,k.A.,k.A.,0.0,"Nordrhein-Westfalen, Deutschland",51.4789205,7.5543751,True
ENERVIE Vernetzt GmbH,West,Nordrhein-Westfalen,,MS,Ertüchtigungen Schaltanlage,0.0,0.0,k.A.,k.A.,2027,0.0,"Nordrhein-Westfalen, Deutschland",51.4789205,7.5543751,True
ENERVIE Vernetzt GmbH,West,Nordrhein-Westfalen,,HS,Ertüchtigungen Schaltanlage,0.0,0.0,k.A.,abgeschlossen,2025,0.0,"Nordrhein-Westfalen, Deutschland",51.4789205,7.5543751,True
ENERVIE Vernetzt GmbH,West,Nordrhein-Westfalen,,HS,Ertüchtigungen Schaltanlage,0.0,0.0,k.A.,k.A.,2025,0.0,"Nordrhein-Westfalen, Deutschland",51.4789205,7.5543751,True
ENERVIE Vernetzt GmbH,West,Nordrhein-Westfalen,,HS,Ertüchtigungen Schaltanlage,0.0,0.0,k.A.,k.A.,2027,0.0,"Nordrhein-Westfalen, Deutschland",51.4789205,7.5543751,True
ENERVIE Vernetzt GmbH,West,Nordrhein-Westfalen,,HS,Ertüchtigungen Schaltanlage,0.0,0.0,k.A.,k.A.,2026,0.0,"Nordrhein-Westfalen, Deutschland",51.4789205,7.5543751,True
ENERVIE Vernetzt GmbH,West,Nordrhein-Westfalen,,HS,Ertüchtigungen UW,0.0,0.0,k.A.,abgeschlossen,2028,0.0,"Nordrhein-Westfalen, Deutschland",51.4789205,7.5543751,True
ENERVIE Vernetzt GmbH,West,Nordrhein-Westfalen,,HS,Ertüchtigungen UW,0.0,0.0,k.A.,abgeschlossen,2027,0.0,"Nordrhein-Westfalen, Deutschland",51.4789205,7.5543751,True
ENERVIE Vernetzt GmbH,West,Nordrhein-Westfalen,,HS,Ertüchtigungen Leitungen,0.0,0.0,k.A.,eingeleitet,2025,0.0,"Nordrhein-Westfalen, Deutschland",51.4789205,7.5543751,True
ENERVIE Vernetzt GmbH,West,Nordrhein-Westfalen,,HS,Neubau UW,0.0,0.0,k.A.,abgeschlossen,2027,0.0,"Nordrhein-Westfalen, Deutschland",51.4789205,7.5543751,True
ENERVIE Vernetzt GmbH,West,Nordrhein-Westfalen,,HS,Ertüchtigungen UW,0.0,0.0,k.A.,noch nicht eingeleitet,k.A.,0.0,"Nordrhein-Westfalen, Deutschland",51.4789205,7.5543751,True
ENERVIE Vernetzt GmbH,West,Nordrhein-Westfalen,,HS,Ertüchtigungen Leitungen,0.0,0.0,k.A.,noch nicht eingeleitet,k.A.,0.0,"Nordrhein-Westfalen, Deutschland",51.4789205,7.5543751,True
