VNB-Name,Teilnetzgebiet,Bundesland,Ort / Trasse,Netzebene,Art der Maßnahme,Leitungslänge in km,Übertragungskapazität in MVA,"Netzkomponenten (z.B. UW,Trafo ;Anzahl/Typ)",Projektstatus,Zeithorizont,Kosten in Mio.€,location,latitude,longitude,passt
Energienetze Mittelrhein GmbH & Co. KG,West,Rheinland-Pfalz,Koblenz Lützel Mayenerstraße,MS,Ertüchtigungen Leitungen,0.0,0.0,k.A.,k.A.,2025,0.0,"Koblenz-Lützel, Mayener Straße, Lützel, Koblenz, Rheinland-Pfalz, 56070, Deutschland",50.3675506,7.5915732,True
Energienetze Mittelrhein GmbH & Co. KG,West,Rheinland-Pfalz,Dieblich Berg,NS,Neubau Schaltanlage,0.0,0.0,Ortsnetzstation,k.A.,2025,0.0,"Dieblich-Berg, Dieblich, Rhein-Mosel, Landkreis Mayen-Koblenz, Rheinland-Pfalz, 56332, Deutschland",50.3080494,7.4739649,True
Energienetze Mittelrhein GmbH & Co. KG,West,Rheinland-Pfalz,k.A.,NS,Ertüchtigungen Schaltanlage,0.0,0.0,Kompaktstation,k.A.,2024,0.0,"Rheinland-Pfalz, Deutschland",49.9531599,7.310646,True
Energienetze Mittelrhein GmbH & Co. KG,West,Rheinland-Pfalz,"Koblenz, Kurfürstenstr.",NS,Ertüchtigungen Schaltanlage,0.0,0.0,Schaltanlage im Bestandsgebäude,k.A.,2025,0.0,"Hilda-Gymnasium Koblenz, 40, Kurfürstenstraße, Mitte, Koblenz, Rheinland-Pfalz, 56068, Deutschland",50.350961,7.5955707,True
Energienetze Mittelrhein GmbH & Co. KG,West,Rheinland-Pfalz,Arzbach,MS,Ertüchtigungen Leitungen,0.0,0.0,20-kV-Kabel,k.A.,2024,0.0,"Arzbach, Bad Ems-Nassau, Rhein-Lahn-Kreis, Rheinland-Pfalz, Deutschland",50.3790098,7.7477047,True
Energienetze Mittelrhein GmbH & Co. KG,West,Rheinland-Pfalz,Koblenz,MS,Ertüchtigungen Leitungen,0.0,0.0,Versorgungsleitungen,k.A.,2028,0.0,"Koblenz, Rheinland-Pfalz, Deutschland",50.3533278,7.5943951,True
Energienetze Mittelrhein GmbH & Co. KG,West,Rheinland-Pfalz,Koblenz,MS,Ertüchtigungen Schaltanlage,0.0,0.0,Schaltstation,k.A.,2025,0.0,"Koblenz, Rheinland-Pfalz, Deutschland",50.3533278,7.5943951,True
Energienetze Mittelrhein GmbH & Co. KG,West,Rheinland-Pfalz,Koblenz,MS,Ertüchtigungen Leitungen,0.0,0.0,k.A.,k.A.,2028,0.0,"Koblenz, Rheinland-Pfalz, Deutschland",50.3533278,7.5943951,True
Energienetze Mittelrhein GmbH & Co. KG,West,Rheinland-Pfalz,Rübenach,MS,Neubau Schaltanlage,0.0,0.0,Schaltanlage,k.A.,2025,0.0,"Rübenach, Koblenz, Rheinland-Pfalz, 56072, Deutschland",50.3700135,7.5192294,True
Energienetze Mittelrhein GmbH & Co. KG,West,Rheinland-Pfalz,Rübenach,MS,Neubau Leitungen,0.0,0.0,Verkabelung,k.A.,2024,0.0,"Rübenach, Koblenz, Rheinland-Pfalz, 56072, Deutschland",50.3700135,7.5192294,True
Energienetze Mittelrhein GmbH & Co. KG,West,Rheinland-Pfalz,Hünenfeld,MS,Neubau Schaltanlage,0.0,0.0,Schaltanlage,k.A.,2025,0.0,"Hünenfeld, Rhens, Rhein-Mosel, Landkreis Mayen-Koblenz, Rheinland-Pfalz, 56323, Deutschland",50.2670963,7.5465218,True
Energienetze Mittelrhein GmbH & Co. KG,West,Rheinland-Pfalz,Selters,MS,Neubau Schaltanlage,0.0,0.0,Schaltanlage,k.A.,2025,0.0,"Selters (Westerwald), Westerwaldkreis, Rheinland-Pfalz, Deutschland",50.5203849,7.7337742,True
Energienetze Mittelrhein GmbH & Co. KG,West,Rheinland-Pfalz,Westerburg,MS,Neubau Schaltanlage,0.0,0.0,Schaltanlage,k.A.,2029,0.0,"Westerburg, Westerwaldkreis, Rheinland-Pfalz, Deutschland",50.5622605,7.9693269,True
Energienetze Mittelrhein GmbH & Co. KG,West,Rheinland-Pfalz,Höchstenbach,MS,Neubau Schaltanlage,0.0,0.0,Schaltanlage,k.A.,2028,0.0,"Höchstenbach, Hachenburg, Westerwaldkreis, Rheinland-Pfalz, Deutschland",50.6319191,7.7428015,True
Energienetze Mittelrhein GmbH & Co. KG,West,Rheinland-Pfalz,k.A,NS,Neubau Schaltanlage,0.0,0.0,Ortsnetzstation,k.A.,2025,0.0,"Rheinland-Pfalz, Deutschland",49.9531599,7.310646,True
