VNB-Name,Teilnetzgebiet,Bundesland,Ort / Trasse,Netzebene,Art der Maßnahme,Leitungslänge in km,Übertragungskapazität in MVA,"Netzkomponenten (z.B. UW,Trafo ;Anzahl/Typ)",Projektstatus,Zeithorizont,Kosten in Mio.€,location,latitude,longitude,passt
FairNetz GmbH,Südwest,Baden-Württemberg,Oferdingen,HS,Ertüchtigungen UW,0.0,0.0,Transformator/Umspannwerk,noch nicht eingeleitet,k.A.,8.561,"Oferdingen, Reutlingen, Landkreis Reutlingen, Baden-Württemberg, Deutschland",48.5470328,9.2073232,True
FairNetz GmbH,Südwest,Baden-Württemberg,k.A.,HS,Neubau Leitungen,1.2,0.0,k.A.,abgeschlossen,k.A.,1.2,"Baden-Württemberg, Deutschland",48.53775,9.041169,True
FairNetz GmbH,Südwest,Baden-Württemberg,k.A.,HS,Ertüchtigungen UW,0.0,0.0,Transformator/Umspannwerk,noch nicht eingeleitet,k.A.,15.027,"Baden-Württemberg, Deutschland",48.53775,9.041169,True
FairNetz GmbH,Südwest,Baden-Württemberg,k.A.,HS,Ertüchtigungen UW,0.0,0.0,Transformator/Umspannwerk,Maßnahme verworfen,k.A.,0.0,"Baden-Württemberg, Deutschland",48.53775,9.041169,True
FairNetz GmbH,Südwest,Baden-Württemberg,k.A.,HS,Ertüchtigungen UW,0.0,0.0,Transformator/Umspannwerk,Maßnahme verworfen,k.A.,0.0,"Baden-Württemberg, Deutschland",48.53775,9.041169,True
FairNetz GmbH,Südwest,Baden-Württemberg,Bronnweiler,HS,Neubau UW,0.0,0.0,Transformator/Umspannwerk,noch nicht eingeleitet,k.A.,37.642,"Bronnweiler, Reutlingen, Landkreis Reutlingen, Baden-Württemberg, 72770, Deutschland",48.4484276,9.1411243,True
FairNetz GmbH,Südwest,Baden-Württemberg,Ohmenhausen,k.A.,Neubau UW,0.0,0.0,Transformator/Umspannwerk,noch nicht eingeleitet,k.A.,8.64,"Ohmenhausen, Reutlingen, Landkreis Reutlingen, Baden-Württemberg, 72770, Deutschland",48.4769086,9.1389034,True
FairNetz GmbH,Südwest,Baden-Württemberg,k.A.,MS,Neubau Schaltanlage,0.0,0.0,Schwerpunktstation,noch nicht eingeleitet,k.A.,3.259,"Baden-Württemberg, Deutschland",48.53775,9.041169,True
FairNetz GmbH,Südwest,Baden-Württemberg,Bad Urach,HS,Neubau UW,0.0,0.0,Transformator/Umspannwerk,noch nicht eingeleitet,k.A.,33.341,"Bad Urach, Gemeindeverwaltungsverband Bad Urach, Landkreis Reutlingen, Baden-Württemberg, 72574, Deutschland",48.4937953,9.3978845,True
FairNetz GmbH,Südwest,Baden-Württemberg,Hengen,MS,Neubau Leitungen,17.2,0.0,MS-Leitung,k.A.,k.A.,5.873,"Hengen, Bad Urach, Gemeindeverwaltungsverband Bad Urach, Landkreis Reutlingen, Baden-Württemberg, Deutschland",48.4851125,9.4668659,True
FairNetz GmbH,Südwest,Baden-Württemberg,Donnstetten,HS,Neubau UW,0.0,0.0,Transformator/Umspannwerk,noch nicht eingeleitet,k.A.,33.341,"Donnstetten, Römerstein, Gemeindeverwaltungsverband Bad Urach, Landkreis Reutlingen, Baden-Württemberg, Deutschland",48.5150271,9.5667314,True
FairNetz GmbH,Südwest,Baden-Württemberg,Wolfschlugen,HS,Neubau UW,0.0,0.0,Transformator/Umspannwerk,k.A.,k.A.,33.341,"Wolfschlugen, Vereinbarte Verwaltungsgemeinschaft der Stadt Nürtingen, Landkreis Esslingen, Baden-Württemberg, 72649, Deutschland",48.652539,9.2886441,True
FairNetz GmbH,Südwest,Baden-Württemberg,Wannweil,MS,Ertüchtigungen Leitungen,0.2,0.0,MS-Leitung,keine Genehmigung erforderlich,k.A.,0.035,"Wannweil, Landkreis Reutlingen, Baden-Württemberg, 72827, Deutschland",48.5144104,9.1540193,True
FairNetz GmbH,Südwest,Baden-Württemberg,Reutlingen,MS,Ertüchtigungen Leitungen,0.1,0.0,MS-Leitung,keine Genehmigung erforderlich,k.A.,0.035,"Reutlingen, Landkreis Reutlingen, Baden-Württemberg, Deutschland",48.4919508,9.2114144,True
FairNetz GmbH,Südwest,Baden-Württemberg,Reutlingen Emil-Adolff-Str.,MS,Ertüchtigungen Leitungen,0.1,0.0,MS-Leitung,keine Genehmigung erforderlich,k.A.,0.035,"Reutlingen Friedhof U. d. Linden, Emil-Adolff-Straße, Reutlingen (Kernstadt), Reutlingen, Landkreis Reutlingen, Baden-Württemberg, 72760, Deutschland",48.4972827,9.2040446,True
FairNetz GmbH,Südwest,Baden-Württemberg,Pfullingen Daimlerstr.,MS,Ertüchtigungen Leitungen,0.2,0.0,MS-Leitung,keine Genehmigung erforderlich,k.A.,0.1,"Pfullingen Daimlerstraße, Marktstraße, Pfullingen, Landkreis Reutlingen, Baden-Württemberg, 72793, Deutschland",48.4773222,9.2283896,True
FairNetz GmbH,Südwest,Baden-Württemberg,Reutlingen Steinenbergstr.,MS,Ertüchtigungen Leitungen,0.1,0.0,MS-Leitung,keine Genehmigung erforderlich,k.A.,0.015,"DRK Rettungswache Reutlingen, 23, Steinenbergstraße, Reutlingen (Kernstadt), Reutlingen, Landkreis Reutlingen, Baden-Württemberg, 72764, Deutschland",48.484504,9.2172317,True
FairNetz GmbH,Südwest,Baden-Württemberg,k.A.,MS,Neubau Leitungen,136.3,0.0,MS-Leitung,keine Genehmigung erforderlich,k.A.,46.539,"Baden-Württemberg, Deutschland",48.53775,9.041169,True
FairNetz GmbH,Südwest,Baden-Württemberg,k.A.,MS,Ertüchtigungen Leitungen,22.9,0.0,MS-Leitung,keine Genehmigung erforderlich,k.A.,8.047,"Baden-Württemberg, Deutschland",48.53775,9.041169,True
FairNetz GmbH,Südwest,Baden-Württemberg,k.A.,MS,Ertüchtigungen Leitungen,53.4,0.0,MS-Leitung,keine Genehmigung erforderlich,k.A.,18.291,"Baden-Württemberg, Deutschland",48.53775,9.041169,True
FairNetz GmbH,Südwest,Baden-Württemberg,k.A.,MS,Rückbau,0.0,0.0,Masten,keine Genehmigung erforderlich,k.A.,0.485,"Baden-Württemberg, Deutschland",48.53775,9.041169,True
FairNetz GmbH,Südwest,Baden-Württemberg,k.A.,MS,Neubau Leitungen,4.8,0.0,MS-Leitung,keine Genehmigung erforderlich,k.A.,1.337,"Baden-Württemberg, Deutschland",48.53775,9.041169,True
