VNB-Name,Teilnetzgebiet,Bundesland,Ort / Trasse,Netzebene,Art der Maßnahme,Leitungslänge in km,Übertragungskapazität in MVA,"Netzkomponenten (z.B. UW,Trafo ;Anzahl/Typ)",Projektstatus,Zeithorizont,Kosten in Mio.€,location,latitude,longitude,passt
Hamburger Energienetze GmbH,Nord,Hamburg,k.A.,HS,Neubau Schaltanlage,0.0,0.0,1,abgeschlossen,k.A.,0.0,"Hamburg, Deutschland",53.550341,10.000654,True
Hamburger Energienetze GmbH,Nord,Hamburg,k.A.,HS,Neubau Schaltanlage,0.0,0.0,1,im Bau,k.A.,0.0,"Hamburg, Deutschland",53.550341,10.000654,True
Hamburger Energienetze GmbH,Nord,Hamburg,k.A.,HS,Neubau Schaltanlage,0.0,0.0,1,im Bau,k.A.,0.0,"Hamburg, Deutschland",53.550341,10.000654,True
Hamburger Energienetze GmbH,Nord,Hamburg,k.A.,HS,Neubau Schaltanlage,0.0,0.0,1,im Bau,k.A.,0.0,"Hamburg, Deutschland",53.550341,10.000654,True
Hamburger Energienetze GmbH,Nord,Hamburg,k.A.,HS,Neubau UW,0.0,0.0,1,im Bau,k.A.,0.0,"Hamburg, Deutschland",53.550341,10.000654,True
Hamburger Energienetze GmbH,Nord,Hamburg,k.A.,HS,Neubau Schaltanlage,0.0,0.0,1,im Bau,k.A.,0.0,"Hamburg, Deutschland",53.550341,10.000654,True
Hamburger Energienetze GmbH,Nord,Hamburg,k.A.,HS,Neubau Schaltanlage,0.0,0.0,1,im Bau,k.A.,0.0,"Hamburg, Deutschland",53.550341,10.000654,True
Hamburger Energienetze GmbH,Nord,Hamburg,k.A.,HS,Ertüchtigung Leitungen,10.0,0.0,k.A.,im Bau,k.A.,0.0,"Hamburg, Deutschland",53.550341,10.000654,True
Hamburger Energienetze GmbH,Nord,Hamburg,k.A.,HS,Ertüchtigung Leitungen,5.0,0.0,k.A.,vorgesehene Maßnahme,k.A.,0.0,"Hamburg, Deutschland",53.550341,10.000654,True
Hamburger Energienetze GmbH,Nord,Hamburg,k.A.,HS,Neubau Leitungen,9.0,0.0,k.A.,im Bau,k.A.,0.0,"Hamburg, Deutschland",53.550341,10.000654,True
Hamburger Energienetze GmbH,Nord,Hamburg,k.A.,HS,Neubau Schaltanlage,0.0,0.0,1,abgeschlossen,k.A.,0.0,"Hamburg, Deutschland",53.550341,10.000654,True
Hamburger Energienetze GmbH,Nord,Hamburg,k.A.,HS,Neubau Schaltanlage,0.0,0.0,1,abgeschlossen,k.A.,0.0,"Hamburg, Deutschland",53.550341,10.000654,True
Hamburger Energienetze GmbH,Nord,Hamburg,k.A.,HS,Ertüchtigung Leitungen,0.0,0.0,k.A.,abgeschlossen,k.A.,0.0,"Hamburg, Deutschland",53.550341,10.000654,True
Hamburger Energienetze GmbH,Nord,Hamburg,k.A.,HS,Neubau Schaltanlage,0.0,0.0,1,abgeschlossen,k.A.,0.0,"Hamburg, Deutschland",53.550341,10.000654,True
Hamburger Energienetze GmbH,Nord,Hamburg,k.A.,HS,Ertüchtigung Leitungen,8.0,0.0,k.A.,vorgesehene Maßnahme,k.A.,0.0,"Hamburg, Deutschland",53.550341,10.000654,True
Hamburger Energienetze GmbH,Nord,Hamburg,k.A.,HS,Ertüchtigung Leitungen,13.0,0.0,k.A.,vorgesehene Maßnahme,k.A.,0.0,"Hamburg, Deutschland",53.550341,10.000654,True
Hamburger Energienetze GmbH,Nord,Hamburg,k.A.,HS,Ertüchtigung Leitungen,8.0,0.0,k.A.,im Bau,k.A.,0.0,"Hamburg, Deutschland",53.550341,10.000654,True
Hamburger Energienetze GmbH,Nord,Hamburg,k.A.,HS,Ertüchtigung Leitungen,3.0,0.0,k.A.,vorgesehene Maßnahme,k.A.,0.0,"Hamburg, Deutschland",53.550341,10.000654,True
Hamburger Energienetze GmbH,Nord,Hamburg,k.A.,HS,Ertüchtigung Leitungen,5.0,0.0,k.A.,im Bau,k.A.,0.0,"Hamburg, Deutschland",53.550341,10.000654,True
Hamburger Energienetze GmbH,Nord,Hamburg,k.A.,HS,Ertüchtigung Leitungen,18.0,0.0,k.A.,im Bau,k.A.,0.0,"Hamburg, Deutschland",53.550341,10.000654,True
Hamburger Energienetze GmbH,Nord,Hamburg,k.A.,HS,Ertüchtigung Leitungen,6.0,0.0,k.A.,vorgesehene Maßnahme,k.A.,0.0,"Hamburg, Deutschland",53.550341,10.000654,True
Hamburger Energienetze GmbH,Nord,Hamburg,k.A.,HS,Ertüchtigung Leitungen,6.0,0.0,k.A.,im Bau,k.A.,0.0,"Hamburg, Deutschland",53.550341,10.000654,True
Hamburger Energienetze GmbH,Nord,Hamburg,k.A.,HS,Neubau Leitungen,3.0,0.0,k.A.,im Bau,k.A.,0.0,"Hamburg, Deutschland",53.550341,10.000654,True
Hamburger Energienetze GmbH,Nord,Hamburg,k.A.,HS,Neubau Schaltanlage,0.0,0.0,1,vorgesehene Maßnahme,k.A.,0.0,"Hamburg, Deutschland",53.550341,10.000654,True
Hamburger Energienetze GmbH,Nord,Hamburg,k.A.,HS,Ertüchtigung Leitungen,8.0,0.0,k.A.,vorgesehene Maßnahme,k.A.,0.0,"Hamburg, Deutschland",53.550341,10.000654,True
Hamburger Energienetze GmbH,Nord,Hamburg,k.A.,HS,Neubau Leitungen,4.0,0.0,k.A.,im Bau,k.A.,0.0,"Hamburg, Deutschland",53.550341,10.000654,True
Hamburger Energienetze GmbH,Nord,Hamburg,k.A.,HS,Neubau Schaltanlage,0.0,0.0,1,im Bau,k.A.,0.0,"Hamburg, Deutschland",53.550341,10.000654,True
Hamburger Energienetze GmbH,Nord,Hamburg,k.A.,MS,Neubau Schaltanlage,0.0,0.0,1,vorgesehene Maßnahme,k.A.,0.0,"Hamburg, Deutschland",53.550341,10.000654,True
Hamburger Energienetze GmbH,Nord,Hamburg,k.A.,HS,Ertüchtigung Leitungen,6.0,0.0,k.A.,im Bau,k.A.,0.0,"Hamburg, Deutschland",53.550341,10.000654,True
Hamburger Energienetze GmbH,Nord,Hamburg,k.A.,HS,Ertüchtigung Leitungen,6.0,0.0,k.A.,vorgesehene Maßnahme,k.A.,0.0,"Hamburg, Deutschland",53.550341,10.000654,True
Hamburger Energienetze GmbH,Nord,Hamburg,k.A.,HS,Ertüchtigung Leitungen,2.0,0.0,k.A.,im Bau,k.A.,0.0,"Hamburg, Deutschland",53.550341,10.000654,True
Hamburger Energienetze GmbH,Nord,Hamburg,k.A.,HS,Ertüchtigung Leitungen,9.0,0.0,k.A.,vorgesehene Maßnahme,k.A.,0.0,"Hamburg, Deutschland",53.550341,10.000654,True
Hamburger Energienetze GmbH,Nord,Hamburg,k.A.,HS,Ertüchtigung Leitungen,2.0,0.0,k.A.,abgeschlossen,k.A.,0.0,"Hamburg, Deutschland",53.550341,10.000654,True
Hamburger Energienetze GmbH,Nord,Hamburg,k.A.,HS,Ertüchtigung Leitungen,5.0,0.0,k.A.,vorgesehene Maßnahme,k.A.,0.0,"Hamburg, Deutschland",53.550341,10.000654,True
Hamburger Energienetze GmbH,Nord,Hamburg,k.A.,HS,Ertüchtigung Leitungen,2.0,0.0,k.A.,vorgesehene Maßnahme,k.A.,0.0,"Hamburg, Deutschland",53.550341,10.000654,True
Hamburger Energienetze GmbH,Nord,Hamburg,k.A.,HS,Ertüchtigung Leitungen,8.0,0.0,k.A.,vorgesehene Maßnahme,k.A.,0.0,"Hamburg, Deutschland",53.550341,10.000654,True
Hamburger Energienetze GmbH,Nord,Hamburg,k.A.,HS,Neubau Schaltanlage,0.0,0.0,1,abgeschlossen,k.A.,0.0,"Hamburg, Deutschland",53.550341,10.000654,True
Hamburger Energienetze GmbH,Nord,Hamburg,k.A.,HS,Neubau Schaltanlage,0.0,0.0,1,im Bau,k.A.,0.0,"Hamburg, Deutschland",53.550341,10.000654,True
Hamburger Energienetze GmbH,Nord,Hamburg,k.A.,HS,Neubau Leitungen,3.0,0.0,k.A.,im Bau,k.A.,0.0,"Hamburg, Deutschland",53.550341,10.000654,True
Hamburger Energienetze GmbH,Nord,Hamburg,k.A.,HS,Neubau Schaltanlage,0.0,0.0,1,konkrete Planung,k.A.,0.0,"Hamburg, Deutschland",53.550341,10.000654,True
Hamburger Energienetze GmbH,Nord,Hamburg,k.A.,HS,Neubau Schaltanlage,0.0,0.0,1,im Bau,k.A.,0.0,"Hamburg, Deutschland",53.550341,10.000654,True
Hamburger Energienetze GmbH,Nord,Hamburg,k.A.,HS,Neubau Leitungen,15.0,0.0,k.A.,im Bau,k.A.,0.0,"Hamburg, Deutschland",53.550341,10.000654,True
Hamburger Energienetze GmbH,Nord,Hamburg,k.A.,HS,Neubau Leitungen,8.0,0.0,k.A.,im Bau,k.A.,0.0,"Hamburg, Deutschland",53.550341,10.000654,True
Hamburger Energienetze GmbH,Nord,Hamburg,k.A.,HS,Neubau Schaltanlage,0.0,0.0,1,vorgesehene Maßnahme,k.A.,0.0,"Hamburg, Deutschland",53.550341,10.000654,True
Hamburger Energienetze GmbH,Nord,Hamburg,k.A.,HS,Neubau Trafo,0.0,0.0,1,vorgesehene Maßnahme,k.A.,0.0,"Hamburg, Deutschland",53.550341,10.000654,True
Hamburger Energienetze GmbH,Nord,Hamburg,k.A.,HS,Neubau Schaltanlage,0.0,0.0,1,vorgesehene Maßnahme,k.A.,0.0,"Hamburg, Deutschland",53.550341,10.000654,True
Hamburger Energienetze GmbH,Nord,Hamburg,k.A.,MS,Ertüchtigung Leitungen,0.0,0.0,k.A.,abgeschlossen,k.A.,0.0,"Hamburg, Deutschland",53.550341,10.000654,True
Hamburger Energienetze GmbH,Nord,Hamburg,k.A.,MS,Ertüchtigung Leitungen,0.0,0.0,k.A.,im Bau,k.A.,0.0,"Hamburg, Deutschland",53.550341,10.000654,True
Hamburger Energienetze GmbH,Nord,Hamburg,k.A.,MS,Ertüchtigung Leitungen,0.0,0.0,k.A.,im Bau,k.A.,0.0,"Hamburg, Deutschland",53.550341,10.000654,True
Hamburger Energienetze GmbH,Nord,Hamburg,k.A.,MS,Ertüchtigung Leitungen,0.0,0.0,k.A.,im Bau,k.A.,0.0,"Hamburg, Deutschland",53.550341,10.000654,True
Hamburger Energienetze GmbH,Nord,Hamburg,k.A.,MS,Ertüchtigung Leitungen,0.0,0.0,k.A.,abgeschlossen,k.A.,0.0,"Hamburg, Deutschland",53.550341,10.000654,True
Hamburger Energienetze GmbH,Nord,Hamburg,k.A.,MS,Ertüchtigung Leitungen,0.0,0.0,k.A.,vorgesehene Maßnahme,k.A.,0.0,"Hamburg, Deutschland",53.550341,10.000654,True
Hamburger Energienetze GmbH,Nord,Hamburg,k.A.,MS,Ertüchtigung Leitungen,0.0,0.0,k.A.,vorgesehene Maßnahme,k.A.,0.0,"Hamburg, Deutschland",53.550341,10.000654,True
Hamburger Energienetze GmbH,Nord,Hamburg,k.A.,MS,Ertüchtigung Leitungen,0.0,0.0,k.A.,im Bau,k.A.,0.0,"Hamburg, Deutschland",53.550341,10.000654,True
Hamburger Energienetze GmbH,Nord,Hamburg,k.A.,MS,Ertüchtigung Leitungen,0.0,0.0,k.A.,abgeschlossen,k.A.,0.0,"Hamburg, Deutschland",53.550341,10.000654,True
Hamburger Energienetze GmbH,Nord,Hamburg,k.A.,MS,Ertüchtigung Leitungen,0.0,0.0,k.A.,im Bau,k.A.,0.0,"Hamburg, Deutschland",53.550341,10.000654,True
Hamburger Energienetze GmbH,Nord,Hamburg,k.A.,MS,Ertüchtigung Leitungen,0.0,0.0,k.A.,abgeschlossen,k.A.,0.0,"Hamburg, Deutschland",53.550341,10.000654,True
