VNB-Name,Teilnetzgebiet,Bundesland,Ort / Trasse,Netzebene,Art der Maßnahme,Leitungslänge in km,Übertragungskapazität in MVA,"Netzkomponenten (z.B. UW,Trafo ;Anzahl/Typ)",Projektstatus,Zeithorizont,Kosten in Mio.€,location,latitude,longitude,passt
MITNETZ STROM GmbH,Ost,Sachsen,Freiberg,HS,Netzoptimierung und -verstärkung,0.0,0.0,Kabel,ermittelter Bedarf,2033,0.1,"Freiberg, Mittelsachsen, Sachsen, 09599, Deutschland",50.9169415,13.3428889,True
MITNETZ STROM GmbH,Ost,Sachsen-Anhalt,Reideburg,HS,Neubau Leitungen,6.0,0.0,HS-Leitungen,ermittelter Bedarf,2033,0.2,"Reideburg, Halle (Saale), Sachsen-Anhalt, Deutschland",51.4812,12.0512306,True
MITNETZ STROM GmbH,Ost,Sachsen,Crossen,HS,Erüchtigungen Leitungen,0.0,0.0,HS-Leitungen,ermittelter Bedarf,2028,0.3,"Erlau, Mittelsachsen, Sachsen, Deutschland",51.0348497,12.9227478,True
MITNETZ STROM GmbH,Ost,Sachsen-Anhalt,Braunsbedra,HS,Neubau UW,12.0,0.0,UW,ermittelter Bedarf,k.A.,0.5,"Braunsbedra, Saalekreis, Sachsen-Anhalt, Deutschland",51.2840933,11.8855493,True
MITNETZ STROM GmbH,Ost,Sachsen,Gersdorf,MS,Erüchtigungen Leitungen,0.0,0.0,MS-Leitungen,ermittelter Bedarf,2028,0.8,"Gersdorf, Zwickau, Sachsen, 09355, Deutschland",50.7500064,12.7166858,True
MITNETZ STROM GmbH,Ost,Sachsen-Anhalt,Quedlinburg,HS,Neubau UW,18.0,0.0,UW,ermittelter Bedarf,2033,0.88,"Quedlinburg, Landkreis Harz, Sachsen-Anhalt, Deutschland",51.7855428,11.1519933,True
MITNETZ STROM GmbH,Ost,Brandenburg,Drebkau,HS/MS,Neubau UW,0.0,0.0,UW,konkrete Planung,2028,1.0,"Drebkau, Spree-Neiße - Sprjewja-Nysa, Brandenburg, 03116, Deutschland",51.6577353,14.2204983,True
MITNETZ STROM GmbH,Ost,Sachsen-Anhalt,Bernburg,HS,Erüchtigungen Leitungen,1.0,0.0,HS-Leitungen,konkrete Planung,2026,1.04,"Bernburg, Salzlandkreis, Sachsen-Anhalt, 06406, Deutschland",51.7930788,11.7391606,True
MITNETZ STROM GmbH,Ost,Sachsen-Anhalt,Sachsen-Anhalt,HS,Netzoptimierung und -verstärkung,0.0,0.0,Kabel,im Bau,2033,1.18,"Sachsen-Anhalt, Deutschland",51.9280976,11.6812243,True
MITNETZ STROM GmbH,Ost,Sachsen-Anhalt,Halle,HS,Erüchtigungen Leitungen,4.0,0.0,HS-Leitungen,konkrete Planung,2026,1.3,"Halle (Saale), Sachsen-Anhalt, Deutschland",51.4824354,11.9712985,True
MITNETZ STROM GmbH,Ost,Sachsen,Crossen,HS,Erüchtigungen Leitungen,0.0,0.0,HS-Leitungen,ermittelter Bedarf,2028,1.3,"Erlau, Mittelsachsen, Sachsen, Deutschland",51.0348497,12.9227478,True
MITNETZ STROM GmbH,Ost,Sachsen,Eula,HS,Erüchtigungen UW,0.0,0.0,UW,konkrete Planung,2028,1.4,"Eula, Borna, Landkreis Leipzig, Sachsen, 04552, Deutschland",51.1496022,12.5130329,True
MITNETZ STROM GmbH,Ost,Sachsen,Crossen,HS,Erüchtigungen Leitungen,7.0,0.0,HS-Leitungen,ermittelter Bedarf,2033,1.4,"Erlau, Mittelsachsen, Sachsen, Deutschland",51.0348497,12.9227478,True
MITNETZ STROM GmbH,Ost,Sachsen,Crottendorf,MS,Erüchtigungen Leitungen,0.0,0.0,MS-Leitungen,konkrete Planung,2028,1.4,"Crottendorf, Erzgebirgskreis, Sachsen, 09474, Deutschland",50.5169333,12.947132,True
