VNB-Name,Teilnetzgebiet,Bundesland,Ort / Trasse,Netzebene,Art der Maßnahme,Leitungslänge in km,Übertragungskapazität in MVA,"Netzkomponenten (z.B. UW,Trafo ;Anzahl/Typ)",Projektstatus,Zeithorizont,Kosten in Mio.€,location,latitude,longitude,passt
MVV Netze GmbH,Südwest,Baden-Württemberg,k.A.,HS,Neubau Leitungen,11.5,0.0,HS-Kabel,im Bau,2028,0.0,"Baden-Württemberg, Deutschland",48.53775,9.041169,True
MVV Netze GmbH,Südwest,Baden-Württemberg,k.A.,HS,Ertüchtigungen UW,0.0,0.0,HS-Anlage,konkrete Planung,2027,0.0,"Baden-Württemberg, Deutschland",48.53775,9.041169,True
MVV Netze GmbH,Südwest,Baden-Württemberg,Luzenberg,HS,Ertüchtigungen Leitungen,3.0,240.0,HS-Kabel,noch nicht eingeleitet,2028,0.0,"Luzenberg, Waldhof, Mannheim, Baden-Württemberg, 68305, Deutschland",49.5169841,8.4796856,True
MVV Netze GmbH,Südwest,Baden-Württemberg,k.A.,HS,Ertüchtigungen UW,0.0,40.0,HS-Anlage,keine Genehmigung erforderlich,2028,0.0,"Baden-Württemberg, Deutschland",48.53775,9.041169,True
MVV Netze GmbH,Südwest,Baden-Württemberg,k.A.,HS,Ertüchtigungen UW,0.0,9.0,HS-Umspanner,abgeschlossen,2025,0.0,"Baden-Württemberg, Deutschland",48.53775,9.041169,True
MVV Netze GmbH,Südwest,Baden-Württemberg,Käfertal,HS,Ertüchtigungen Leitungen,6.8,240.0,HS-Kabel,bereits eingeleitet,2025,0.0,"Käfertal, Mannheim, Baden-Württemberg, 68309, Deutschland",49.5116736,8.5158767,True
MVV Netze GmbH,Südwest,Baden-Württemberg,k.A.,HS,Ertüchtigungen Trafo,0.0,0.0,HS-Umspanner,konkrete Planung,2025,0.0,"Baden-Württemberg, Deutschland",48.53775,9.041169,True
MVV Netze GmbH,Südwest,Baden-Württemberg,k.A.,HS,Ertüchtigungen Trafo,0.0,0.0,HS-Umspanner,konkrete Planung,2028,0.0,"Baden-Württemberg, Deutschland",48.53775,9.041169,True
MVV Netze GmbH,Südwest,Baden-Württemberg,k.A.,HS,Ertüchtigungen Schaltanlage,0.0,0.0,HS-Anlage,noch nicht eingeleitet,2028,0.0,"Baden-Württemberg, Deutschland",48.53775,9.041169,True
MVV Netze GmbH,Südwest,Baden-Württemberg,k.A.,HS,Neubau UW,0.0,0.0,HS-Anlage,noch nicht eingeleitet,2033,0.0,"Baden-Württemberg, Deutschland",48.53775,9.041169,True
