VNB-Name,Teilnetzgebiet,Bundesland,Ort / Trasse,Netzebene,Art der Maßnahme,Leitungslänge in km,Übertragungskapazität in MVA,"Netzkomponenten (z.B. UW,Trafo ;Anzahl/Typ)",Projektstatus,Zeithorizont,Kosten in Mio.€,location,latitude,longitude,passt
Mainfranken Netze GmbH,Bayern,Bayern,Würzburg,HS,"Erneuerung  
110-kV-Netzkupplung",0.0,0.0,1,im Bau,2025,21.8,"Würzburg, Bayern, Deutschland",49.7780356,9.9434769,True
Mainfranken Netze GmbH,Bayern,Bayern,Würzburg,HS,"110-kV-Blindstromkompensati-
onsspule",0.0,0.0,1,im Bau,2025,2.8,"Würzburg, Bayern, Deutschland",49.7780356,9.9434769,True
Mainfranken Netze GmbH,Bayern,Bayern,Würzburg,HS,"Bau  einer  provisorischen  110-
kV-Reserveeinspeisung",0.0,0.0,1,im Bau,2025,0.31,"Würzburg, Bayern, Deutschland",49.7780356,9.9434769,True
Mainfranken Netze GmbH,Bayern,Bayern,Würzburg,HS,Neubau UW,0.0,0.0,1 / Neubau,k.A.,2030,13.4,"Würzburg, Bayern, Deutschland",49.7780356,9.9434769,True
Mainfranken Netze GmbH,Bayern,Bayern,Würzburg,HS,Ertüchtigungen Leitungen,0.0,0.0,k.A.,k.A.,2027,13.2,"Würzburg, Bayern, Deutschland",49.7780356,9.9434769,True
Mainfranken Netze GmbH,Bayern,Bayern,Würzburg,HS,Ertüchtigungen UW,0.0,0.0,1 / Erweiterung,k.A.,2026,4.5,"Würzburg, Bayern, Deutschland",49.7780356,9.9434769,True
Mainfranken Netze GmbH,Bayern,Bayern,Würzburg,HS,Ertüchtigungen Leitungen,0.0,0.0,k.A.,entfällt,k.A.,0.0,"Würzburg, Bayern, Deutschland",49.7780356,9.9434769,True
Mainfranken Netze GmbH,Bayern,Bayern,Würzburg,HS,Neubau Leitungen,0.0,0.0,k.A.,k.A.,2028,15.2,"Würzburg, Bayern, Deutschland",49.7780356,9.9434769,True
Mainfranken Netze GmbH,Bayern,Bayern,Würzburg,HS,Neubau UW,0.0,0.0,1 / Neubau,k.A.,2028,12.8,"Würzburg, Bayern, Deutschland",49.7780356,9.9434769,True
Mainfranken Netze GmbH,Bayern,Bayern,Würzburg,HS,Neubau Leitungen,0.0,0.0,k.A.,k.A.,2033,3.0,"Würzburg, Bayern, Deutschland",49.7780356,9.9434769,True
Mainfranken Netze GmbH,Bayern,Bayern,Würzburg,HS,Neubau UW,0.0,0.0,1 / Neubau,k.A.,2033,17.1,"Würzburg, Bayern, Deutschland",49.7780356,9.9434769,True
Mainfranken Netze GmbH,Bayern,Bayern,Würzburg,HS,Neubau Leitungen,0.0,0.0,k.A.,k.A.,2033,18.0,"Würzburg, Bayern, Deutschland",49.7780356,9.9434769,True
Mainfranken Netze GmbH,Bayern,Bayern,Würzburg,HS,Neubau Leitungen,0.0,0.0,k.A.,k.A.,2030,0.8,"Würzburg, Bayern, Deutschland",49.7780356,9.9434769,True
Mainfranken Netze GmbH,Bayern,Bayern,Würzburg,HS,Neubau Leitungen,0.0,0.0,k.A.,k.A.,2030,5.4,"Würzburg, Bayern, Deutschland",49.7780356,9.9434769,True
Mainfranken Netze GmbH,Bayern,Bayern,Würzburg,HS,Ertüchtigungen Leitungen,0.0,0.0,k.A.,k.A.,2030,5.0,"Würzburg, Bayern, Deutschland",49.7780356,9.9434769,True
Mainfranken Netze GmbH,Bayern,Bayern,Würzburg,HS,Ertüchtigungen UW,0.0,0.0,1 / Ersatzneubau,k.A.,2030,5.1,"Würzburg, Bayern, Deutschland",49.7780356,9.9434769,True
