VNB-Name,Teilnetzgebiet,Bundesland,Ort / Trasse,Netzebene,Art der Maßnahme,Leitungslänge in km,Übertragungskapazität in MVA,"Netzkomponenten (z.B. UW,Trafo ;Anzahl/Typ)",Projektstatus,Zeithorizont,Kosten in Mio.€,location,latitude,longitude,passt
Mainzer Netze GmbH,West,Rheinland-Pfalz,k.A.,HS/MS,Ertüchtigungen UW,0.0,0.0,110-kV-Schaltanlage,vorgesehene Maßnahme,2028,0.0,"Rheinland-Pfalz, Deutschland",49.9531599,7.310646,True
Mainzer Netze GmbH,West,Rheinland-Pfalz,Bingen-Ingelheim,HS,Neubau Leitungen,0.0,0.0,Freileitungsseil,vorgesehene Maßnahme,2034,0.0,"Rheinwelle Regionalbad Bingen-Ingelheim, 99, Binger Straße, Gau-Algesheim, Landkreis Mainz-Bingen, Rheinland-Pfalz, 55435, Deutschland",49.9684123,8.0046107,True
Mainzer Netze GmbH,West,Rheinland-Pfalz,Zollhafen EA3,MS,Neubau Leitungen,0.0,0.0,20-kV-Kabel,im Bau,2026,0.0,"Zollhafen, 88, Neustadt, Mainz, Rheinland-Pfalz, 55120, Deutschland",50.018755,8.2518001,True
Mainzer Netze GmbH,West,Rheinland-Pfalz,k.A.,HS/MS,Ertüchtigungen UW,0.0,0.0,"110/20 kV Umspanner, 110-kV und 20-kV Schaltanlagen",vorgesehene Maßnahme,2033,0.0,"Rheinland-Pfalz, Deutschland",49.9531599,7.310646,True
Mainzer Netze GmbH,West,Hessen,k.A.,HS/MS,Ertüchtigungen UW,0.0,0.0,"110/20 kV Umspanner, 110-kV und 20-kV Schaltanlagen",vorgesehene Maßnahme,2033,0.0,"Hessen, Deutschland",50.6080651,9.0284647,True
Mainzer Netze GmbH,West,Rheinland-Pfalz,k.A.,HS/MS,Neubau UW,0.0,0.0,"110/20 kV Umspanner, 110-kV und 20-kV Schaltanlagen",vorgesehene Maßnahme,2033,0.0,"Rheinland-Pfalz, Deutschland",49.9531599,7.310646,True
Mainzer Netze GmbH,West,Hessen,k.A.,HS/MS,Neubau UW,0.0,0.0,"110/20 kV Umspanner, 110-kV und 20-kV Schaltanlagen",vorgesehene Maßnahme,2033,0.0,"Hessen, Deutschland",50.6080651,9.0284647,True
Mainzer Netze GmbH,West,Rheinland-Pfalz,k.A.,MS/NS,Ertüchtigungen Schaltanlage,0.0,0.0,Ortsnetzstationen,im Bau,2028,0.0,"Rheinland-Pfalz, Deutschland",49.9531599,7.310646,True
Mainzer Netze GmbH,West,Hessen,k.A.,MS/NS,Ertüchtigungen Schaltanlage,0.0,0.0,Ortsnetzstationen,im Bau,2028,0.0,"Hessen, Deutschland",50.6080651,9.0284647,True
Mainzer Netze GmbH,West,Rheinland-Pfalz,k.A.,MS/NS,Neubau Schaltanlage,0.0,0.0,Ortsnetzstationen,im Bau,2028,0.0,"Rheinland-Pfalz, Deutschland",49.9531599,7.310646,True
Mainzer Netze GmbH,West,Hessen,k.A.,MS/NS,Neubau Schaltanlage,0.0,0.0,Ortsnetzstationen,im Bau,2028,0.0,"Hessen, Deutschland",50.6080651,9.0284647,True
Mainzer Netze GmbH,West,Rheinland-Pfalz,k.A.,MS,Ertüchtigungen Leitungen,0.0,0.0,20-kV-Kabel,im Bau,2028,0.0,"Rheinland-Pfalz, Deutschland",49.9531599,7.310646,True
Mainzer Netze GmbH,West,Hessen,k.A.,MS,Ertüchtigungen Leitungen,0.0,0.0,20-kV-Kabel,im Bau,2028,0.0,"Hessen, Deutschland",50.6080651,9.0284647,True
Mainzer Netze GmbH,West,Rheinland-Pfalz,k.A.,MS,Neubau Leitungen,0.0,0.0,20-kV-Kabel,im Bau,2028,0.0,"Rheinland-Pfalz, Deutschland",49.9531599,7.310646,True
Mainzer Netze GmbH,West,Hessen,k.A.,MS,Neubau Leitungen,0.0,0.0,20-kV-Kabel,im Bau,2028,0.0,"Hessen, Deutschland",50.6080651,9.0284647,True
Mainzer Netze GmbH,West,Rheinland-Pfalz,k.A.,NS,Ertüchtigungen Leitungen,0.0,0.0,400V-Kabel,im Bau,2028,0.0,"Rheinland-Pfalz, Deutschland",49.9531599,7.310646,True
Mainzer Netze GmbH,West,Hessen,k.A.,NS,Ertüchtigungen Leitungen,0.0,0.0,400V-Kabel,im Bau,2028,0.0,"Hessen, Deutschland",50.6080651,9.0284647,True
Mainzer Netze GmbH,West,Rheinland-Pfalz,k.A.,NS,Neubau Leitungen,0.0,0.0,400V-Kabel,im Bau,2028,0.0,"Rheinland-Pfalz, Deutschland",49.9531599,7.310646,True
Mainzer Netze GmbH,West,Hessen,k.A.,NS,Neubau Leitungen,0.0,0.0,400V-Kabel,im Bau,2028,0.0,"Hessen, Deutschland",50.6080651,9.0284647,True
Mainzer Netze GmbH,West,Hessen,Goddelau,HS,Neubau Leitungen,0.0,0.0,"Freileitungsseil, Masten",konkrete Planung,2029,0.0,"Goddelau, Riedstadt, Kreis Groß-Gerau, Hessen, Deutschland",49.8354483,8.4956919,True
Mainzer Netze GmbH,West,Rheinland-Pfalz,Mainz,MS,Neubau Leitungen,0.0,0.0,"20-kV-Kabel, 400V-Kabel",vorgesehene Maßnahme,2027,0.0,"Mainz, Rheinland-Pfalz, Deutschland",49.9995205,8.2736253,True
Mainzer Netze GmbH,West,Rheinland-Pfalz,Mainz,HS,Neubau Leitungen,0.0,0.0,Masten,vorgesehene Maßnahme,k.A.,0.0,"Mainz, Rheinland-Pfalz, Deutschland",49.9995205,8.2736253,True
Mainzer Netze GmbH,West,Rheinland-Pfalz,Budenheim,HS,Ertüchtigungen Leitungen,0.0,0.0,Freileitungsseil,vorgesehene Maßnahme,2030,0.0,"Budenheim, Landkreis Mainz-Bingen, Rheinland-Pfalz, 55257, Deutschland",50.0238182,8.1726488,True
Mainzer Netze GmbH,West,Rheinland-Pfalz,Mainz Obere Austraße,HS/MS,Neubau UW,0.0,0.0,"Hochspannungsschaltanlage, Tarfo 110/20, MS-Schaltanlage",konkrete Planung,2027,0.0,"Hauptzollamt Mainz Abfst. Hafen, Obere Austraße, Neustadt, Mainz, Rheinland-Pfalz, 55120, Deutschland",50.0188743,8.2520075,True
Mainzer Netze GmbH,West,Rheinland-Pfalz,"Mainz, Südring",HS,Ertüchtigungen Leitungen,0.0,0.0,Freileitungsseil,konkrete Planung,2026,0.0,"Bezirkssportanlage Mainz-Bretzenheim, Südring, Bretzenheim, Mainz, Rheinland-Pfalz, 55128, Deutschland",49.9784231,8.2512225,True
Mainzer Netze GmbH,West,Rheinland-Pfalz,"Mainz, Obere Austr.",HS,Neubau Leitungen,0.0,0.0,110-kV-Kabel,vorgesehene Maßnahme,2029,0.0,"Hauptzollamt Mainz Abfst. Hafen, Obere Austraße, Neustadt, Mainz, Rheinland-Pfalz, 55120, Deutschland",50.0188743,8.2520075,True
