VNB-Name,Teilnetzgebiet,Bundesland,Ort / Trasse,Netzebene,Art der Maßnahme,Leitungslänge in km,Übertragungskapazität in MVA,"Netzkomponenten (z.B. UW,Trafo ;Anzahl/Typ)",Projektstatus,Zeithorizont,Kosten in Mio.€,location,latitude,longitude,passt
Mittelhessen Netz,Mitte,Hessen,k.A.,HS,Neubau UW,0.0,0.0,1,vorgesehene Maßnahme,2024,0.155,"Hessen, Deutschland",50.6080651,9.0284647,True
Mittelhessen Netz,Mitte,Hessen,k.A.,HS,Neubau UW,0.0,0.0,1,vorgesehene Maßnahme,2024,5.29,"Hessen, Deutschland",50.6080651,9.0284647,True
Mittelhessen Netz,Mitte,Hessen,k.A.,HS,Neubau UW,0.0,0.0,1,vorgesehene Maßnahme,2025,10.5,"Hessen, Deutschland",50.6080651,9.0284647,True
Mittelhessen Netz,Mitte,Hessen,k.A.,HS,Neubau UW,0.0,0.0,1,vorgesehene Maßnahme,2026,5.6,"Hessen, Deutschland",50.6080651,9.0284647,True
Mittelhessen Netz,Mitte,Hessen,k.A.,HS,Neubau UW,0.0,0.0,1,vorgesehene Maßnahme,2027,5.8,"Hessen, Deutschland",50.6080651,9.0284647,True
Mittelhessen Netz,Mitte,Hessen,k.A.,HS,Neubau UW,0.0,0.0,1,vorgesehene Maßnahme,2028,2.5,"Hessen, Deutschland",50.6080651,9.0284647,True
Mittelhessen Netz,Mitte,Hessen,k.A.,MS,Ertüchtigung Leitungen,0.0,0.0,k.A.,vorgesehene Maßnahme,2024,2.495,"Hessen, Deutschland",50.6080651,9.0284647,True
Mittelhessen Netz,Mitte,Hessen,k.A.,MS,Neubau Leitungen,0.0,0.0,k.A.,vorgesehene Maßnahme,2024,0.525,"Hessen, Deutschland",50.6080651,9.0284647,True
Mittelhessen Netz,Mitte,Hessen,k.A.,MS,Ertüchtigung Leitungen,0.0,0.0,k.A.,vorgesehene Maßnahme,2024,0.02,"Hessen, Deutschland",50.6080651,9.0284647,True
Mittelhessen Netz,Mitte,Hessen,k.A.,MS,Ertüchtigung Leitungen,0.0,0.0,k.A.,vorgesehene Maßnahme,2025,5.171,"Hessen, Deutschland",50.6080651,9.0284647,True
Mittelhessen Netz,Mitte,Hessen,k.A.,MS,Neubau Leitungen,0.0,0.0,k.A.,vorgesehene Maßnahme,2025,2.34,"Hessen, Deutschland",50.6080651,9.0284647,True
Mittelhessen Netz,Mitte,Hessen,k.A.,MS,Ertüchtigung Leitungen,0.0,0.0,k.A.,vorgesehene Maßnahme,2025,7.511,"Hessen, Deutschland",50.6080651,9.0284647,True
Mittelhessen Netz,Mitte,Hessen,k.A.,MS,Ertüchtigung Leitungen,0.0,0.0,k.A.,vorgesehene Maßnahme,2026,3.091,"Hessen, Deutschland",50.6080651,9.0284647,True
Mittelhessen Netz,Mitte,Hessen,k.A.,MS,Ertüchtigung Leitungen,0.0,0.0,k.A.,vorgesehene Maßnahme,2027,1.689,"Hessen, Deutschland",50.6080651,9.0284647,True
Mittelhessen Netz,Mitte,Hessen,k.A.,MS,Ertüchtigung Leitungen,0.0,0.0,k.A.,vorgesehene Maßnahme,2028,1.002,"Hessen, Deutschland",50.6080651,9.0284647,True
Mittelhessen Netz,Mitte,Hessen,k.A.,MS,Ertüchtigung UW,0.0,0.0,1,vorgesehene Maßnahme,2024,0.217,"Hessen, Deutschland",50.6080651,9.0284647,True
Mittelhessen Netz,Mitte,Hessen,k.A.,MS,Neubau UW,0.0,0.0,1,vorgesehene Maßnahme,2024,0.725,"Hessen, Deutschland",50.6080651,9.0284647,True
Mittelhessen Netz,Mitte,Hessen,k.A.,MS,Neubau Petersenspule,0.0,0.0,1,vorgesehene Maßnahme,2025,3.185,"Hessen, Deutschland",50.6080651,9.0284647,True
Mittelhessen Netz,Mitte,Hessen,k.A.,MS,Ertüchtigung UW,0.0,0.0,1,vorgesehene Maßnahme,2025,1.435,"Hessen, Deutschland",50.6080651,9.0284647,True
Mittelhessen Netz,Mitte,Hessen,k.A.,MS,Ertüchtigung Leitungen,0.0,0.0,k.A.,vorgesehene Maßnahme,2025,0.02,"Hessen, Deutschland",50.6080651,9.0284647,True
Mittelhessen Netz,Mitte,Hessen,k.A.,MS,Neubau Trafo,0.0,0.0,1,vorgesehene Maßnahme,2026,2.885,"Hessen, Deutschland",50.6080651,9.0284647,True
Mittelhessen Netz,Mitte,Hessen,k.A.,MS,Ertüchtigung UW,0.0,0.0,1,vorgesehene Maßnahme,2026,0.255,"Hessen, Deutschland",50.6080651,9.0284647,True
Mittelhessen Netz,Mitte,Hessen,k.A.,MS,Neubau UW,0.0,0.0,1,vorgesehene Maßnahme,2027,1.31,"Hessen, Deutschland",50.6080651,9.0284647,True
Mittelhessen Netz,Mitte,Hessen,k.A.,MS,Neubau UW,0.0,0.0,1,vorgesehene Maßnahme,2028,1.5,"Hessen, Deutschland",50.6080651,9.0284647,True
Mittelhessen Netz,Mitte,Hessen,k.A.,MS,Ertüchtigung Leitungen,0.0,0.0,k.A.,vorgesehene Maßnahme,2028,0.085,"Hessen, Deutschland",50.6080651,9.0284647,True
