VNB-Name,Teilnetzgebiet,Bundesland,Ort / Trasse,Netzebene,Art der Maßnahme,Leitungslänge in km,Übertragungskapazität in MVA,"Netzkomponenten (z.B. UW,Trafo ;Anzahl/Typ)",Projektstatus,Zeithorizont,Kosten in Mio.€,location,latitude,longitude,passt
NGN Netzgesellschaft Niederrhein mbH,West,Nordrhein-Westfalen,Krefeld,HS,Ertüchtigungen Leitungen,2.2,100.0,Kabel,abgeschlossen,2022,0.0,"Krefeld, Tönisvorst, Nordrhein-Westfalen, Deutschland",51.3331205,6.5623343,True
NGN Netzgesellschaft Niederrhein mbH,West,Nordrhein-Westfalen,Krefeld,HS,Ertüchtigungen Leitungen,2.26,0.0,Kabel,konkrete Planung noch nicht eingeleitet,2028,0.0,"Krefeld, Tönisvorst, Nordrhein-Westfalen, Deutschland",51.3331205,6.5623343,True
NGN Netzgesellschaft Niederrhein mbH,West,Nordrhein-Westfalen,Krefeld,HS,Ertüchtigungen Trafo,0.0,0.0,Trafo,konkrete Planung noch nicht eingeleitet,2026,0.0,"Krefeld, Tönisvorst, Nordrhein-Westfalen, Deutschland",51.3331205,6.5623343,True
NGN Netzgesellschaft Niederrhein mbH,West,Nordrhein-Westfalen,Krefeld,HS,Ertüchtigungen Leitungen,2.45,0.0,Kabel,konkrete Planung noch nicht eingeleitet,2028,0.0,"Krefeld, Tönisvorst, Nordrhein-Westfalen, Deutschland",51.3331205,6.5623343,True
NGN Netzgesellschaft Niederrhein mbH,West,Nordrhein-Westfalen,Krefeld,HS,Ertüchtigungen Schaltanlage,0.0,0.0,Schaltanlage,konkrete Planung noch nicht eingeleitet,2027,0.0,"Krefeld, Tönisvorst, Nordrhein-Westfalen, Deutschland",51.3331205,6.5623343,True
NGN Netzgesellschaft Niederrhein mbH,West,Nordrhein-Westfalen,Krefeld,HS,Neubau Schaltanlage,0.0,90.0,Schaltanlage,konkrete Planung noch nicht eingeleitet,2028,0.0,"Krefeld, Tönisvorst, Nordrhein-Westfalen, Deutschland",51.3331205,6.5623343,True
NGN Netzgesellschaft Niederrhein mbH,West,Nordrhein-Westfalen,Krefeld,MS,Ertüchtigungen Schaltanlage,0.0,0.0,Schaltanlage,konkrete Planung,2024,0.0,"Krefeld, Tönisvorst, Nordrhein-Westfalen, Deutschland",51.3331205,6.5623343,True
NGN Netzgesellschaft Niederrhein mbH,West,Nordrhein-Westfalen,Krefeld,MS,Ertüchtigungen Trafo,0.0,0.0,Trafo,konkrete Planung,2024,0.0,"Krefeld, Tönisvorst, Nordrhein-Westfalen, Deutschland",51.3331205,6.5623343,True
NGN Netzgesellschaft Niederrhein mbH,West,Nordrhein-Westfalen,Krefeld,HS,Neubau Freileitung,6.4,245.0,Freileitung,konkrete Planung noch nicht eingeleitet,2028,0.0,"Krefeld, Tönisvorst, Nordrhein-Westfalen, Deutschland",51.3331205,6.5623343,True
NGN Netzgesellschaft Niederrhein mbH,West,Nordrhein-Westfalen,Krefeld,HS,Neubau UW,0.0,15.0,Umspannanlage,konkrete Planung noch nicht eingeleitet,2027,0.0,"Krefeld, Tönisvorst, Nordrhein-Westfalen, Deutschland",51.3331205,6.5623343,True
NGN Netzgesellschaft Niederrhein mbH,West,Nordrhein-Westfalen,Krefeld,HS,Ertüchtigungen Leitungen,0.5,0.0,Freileitung,konkrete Planung noch nicht eingeleitet,2027,0.0,"Krefeld, Tönisvorst, Nordrhein-Westfalen, Deutschland",51.3331205,6.5623343,True
