VNB-Name,Teilnetzgebiet,Bundesland,Ort / Trasse,Netzebene,Art der Maßnahme,Leitungslänge in km,Übertragungskapazität in MVA,"Netzkomponenten (z.B. UW,Trafo ;Anzahl/Typ)",Projektstatus,Zeithorizont,Kosten in Mio.€,location,latitude,longitude,passt
Naturenergie Netze GmbH,Südwest,Baden-Württemberg,Haltingen Weil am Rhein,MS,Neubau Leitungen,0.0,0.0,k.A.,k.A.,k.A.,0.0,"Haltingen, Weil am Rhein, Landkreis Lörrach, Baden-Württemberg, Deutschland",47.6152532,7.6163573,True
Naturenergie Netze GmbH,Südwest,Baden-Württemberg,Hertingen,MS,Ertüchtigungen Leitungen,0.0,0.0,k.A.,k.A.,k.A.,0.0,"Hertingen, Bad Bellingen, Verwaltungsgemeinschaft Schliengen, Landkreis Lörrach, Baden-Württemberg, 79418, Deutschland",47.7236287,7.5868105,True
Naturenergie Netze GmbH,Südwest,Baden-Württemberg,Segeten,MS,Ertüchtigungen Leitungen,0.0,0.0,k.A.,k.A.,k.A.,0.0,"Segeten, Görwihl, Landkreis Waldshut, Baden-Württemberg, 79737, Deutschland",47.660436,8.0259978,True
Naturenergie Netze GmbH,Südwest,Baden-Württemberg,Murg → Oberhof,MS,Neubau Leitungen,0.0,0.0,k.A.,k.A.,k.A.,0.0,"Murg-Oberhof, Thimosstraße, Oberhof, Murg, Verwaltungsgemeinschaft Bad Säckingen, Landkreis Waldshut, Baden-Württemberg, 79730, Deutschland",47.5807441,8.018827,True
Naturenergie Netze GmbH,Südwest,Baden-Württemberg,Weizen,MS,Ertüchtigungen Leitungen,0.0,0.0,k.A.,k.A.,k.A.,0.0,"Weizen, Stühlingen, Landkreis Waldshut, Baden-Württemberg, Deutschland",47.779172,8.4631319,True
Naturenergie Netze GmbH,Südwest,Baden-Württemberg,Bonndorf,MS,Ertüchtigungen Leitungen,0.0,0.0,k.A.,k.A.,k.A.,0.0,"Bonndorf, Überlingen, Verwaltungsgemeinschaft Überlingen, Bodenseekreis, Baden-Württemberg, 88662, Deutschland",47.8294472,9.0967421,True
Naturenergie Netze GmbH,Südwest,Baden-Württemberg,Häusern,MS,Ertüchtigungen Leitungen,0.0,0.0,k.A.,k.A.,k.A.,0.0,"Häusern, Verwaltungsverband St. Blasien, Landkreis Waldshut, Baden-Württemberg, Deutschland",47.7540444,8.1672955,True
Naturenergie Netze GmbH,Südwest,Baden-Württemberg,Löffingen → Göschweiler,MS,Neubau Leitungen,0.0,0.0,k.A.,k.A.,k.A.,0.0,"Göschweiler, Löffingen, Verwaltungsgemeinschaft Löffingen, Landkreis Breisgau-Hochschwarzwald, Baden-Württemberg, Deutschland",47.8582957,8.311165,True
Naturenergie Netze GmbH,Südwest,Baden-Württemberg,Geisingen,MS,Ertüchtigungen Leitungen,0.0,0.0,k.A.,k.A.,k.A.,0.0,"Geisingen, Verwaltungsverband Immendingen-Geisingen, Landkreis Tuttlingen, Baden-Württemberg, 78187, Deutschland",47.922968,8.6491814,True
Naturenergie Netze GmbH,Südwest,Baden-Württemberg,Bad Dürrheim,MS,Ertüchtigungen Leitungen,0.0,0.0,k.A.,k.A.,k.A.,0.0,"Bad Dürrheim, Schwarzwald-Baar-Kreis, Baden-Württemberg, 78073, Deutschland",48.0222311,8.5299837,True
Naturenergie Netze GmbH,Südwest,Baden-Württemberg,Häusern → Schluchsee,MS,Neubau Leitungen,0.0,0.0,k.A.,k.A.,k.A.,0.0,"Häusern, Schönenbach, Häusern, Verwaltungsverband St. Blasien, Landkreis Waldshut, Baden-Württemberg, Deutschland",47.7642008,8.1725801,True
Naturenergie Netze GmbH,Südwest,Baden-Württemberg,k.A.,MS,Neubau Leitungen,0.0,0.0,k.A.,k.A.,k.A.,0.0,"Baden-Württemberg, Deutschland",48.53775,9.041169,True
Naturenergie Netze GmbH,Südwest,Baden-Württemberg,k.A.,MS,Ertüchtigungen Leitungen,0.0,0.0,k.A.,k.A.,k.A.,0.0,"Baden-Württemberg, Deutschland",48.53775,9.041169,True
Naturenergie Netze GmbH,Südwest,Baden-Württemberg,Gurtweil,MS,Neubau Leitungen,0.0,0.0,k.A.,k.A.,k.A.,0.0,"Gurtweil, Waldshut-Tiengen, Verwaltungsgemeinschaft Waldshut-Tiengen, Landkreis Waldshut, Baden-Württemberg, 79761, Deutschland",47.64124,8.246514,True
Naturenergie Netze GmbH,Südwest,Baden-Württemberg,Ewattingen,MS,Neubau Leitungen,0.0,0.0,k.A.,k.A.,k.A.,0.0,"Ewattingen, Wutach, Verwaltungsgemeinschaft Bonndorf im Schwarzwald, Landkreis Waldshut, Baden-Württemberg, 79879, Deutschland",47.83847,8.444032,True
Naturenergie Netze GmbH,Südwest,Baden-Württemberg,k.A.,MS,Neubau Leitungen,0.0,0.0,k.A.,k.A.,k.A.,0.0,"Baden-Württemberg, Deutschland",48.53775,9.041169,True
Naturenergie Netze GmbH,Südwest,Baden-Württemberg,k.A.,MS,Neubau Leitungen,0.0,0.0,k.A.,k.A.,k.A.,0.0,"Baden-Württemberg, Deutschland",48.53775,9.041169,True
