VNB-Name,Teilnetzgebiet,Bundesland,Ort / Trasse,Netzebene,Art der Maßnahme,Leitungslänge in km,Übertragungskapazität in MVA,"Netzkomponenten (z.B. UW,Trafo ;Anzahl/Typ)",Projektstatus,Zeithorizont,Kosten in Mio.€,location,latitude,longitude,passt
Netz Leipzig GmbH,Ost,Sachsen,Leipzig,MS/NS,Ersatzneubau von 9 ONS mit Erhöhung der Übertragungskapazität,0.0,0.0,Trafo MS/NS,k.A.,2033,0.6,"Leipzig, Sachsen, Deutschland",51.3406321,12.3747329,True
Netz Leipzig GmbH,Ost,Sachsen,Leipzig,MS/NS,Ersatzneubau von 14 ONS mit Erhöhung der Übertragungskapazität,0.0,3.0,Trafo MS/NS,k.A.,2045,1.0,"Leipzig, Sachsen, Deutschland",51.3406321,12.3747329,True
Netz Leipzig GmbH,Ost,Sachsen,Leipzig,HS,Ölkabelablösung LzA-LzD (Demontage alter Hochspannungsölkabel),0.0,0.0,Ölkabel,k.A.,2028,1.2,"Leipzig, Sachsen, Deutschland",51.3406321,12.3747329,True
Netz Leipzig GmbH,Ost,Sachsen,Leipzig,HS,"Ölkabelablösung LzD-LzT, BA 1 (Demontage alter Hochspannungsölkabel)",0.0,0.0,Ölkabel,k.A.,2028,1.6,"Leipzig, Sachsen, Deutschland",51.3406321,12.3747329,True
Netz Leipzig GmbH,Ost,Sachsen,Leipzig,HS,Ölkabelablösung LzD-LzT; BA 2 (Demontage alter Hochspannungsölkabel),0.0,0.0,Ölkabel,k.A.,2028,1.8,"Leipzig, Sachsen, Deutschland",51.3406321,12.3747329,True
Netz Leipzig GmbH,Ost,Sachsen,Leipzig,HS,Ölkabelablösung LzA-LzW (Demontage alter Hochspannungsölkabel),0.0,0.0,Ölkabel,k.A.,2033,1.8,"Leipzig, Sachsen, Deutschland",51.3406321,12.3747329,True
Netz Leipzig GmbH,Ost,Sachsen,Leipzig,MS/NS,Neuerrichtung von Niederspannungskabeln u.A. zum Anschluss großer Lasten (Endkunden),31.0,0.0,NS-Kabel,k.A.,2028,6.0,"Leipzig, Sachsen, Deutschland",51.3406321,12.3747329,True
Netz Leipzig GmbH,Ost,Sachsen,Leipzig,MS/NS,Neuerrichtung von 32 ONS zur Entlastung von überlastetet ONS,0.0,20.0,Trafo MS/NS,k.A.,2028,6.0,"Leipzig, Sachsen, Deutschland",51.3406321,12.3747329,True
Netz Leipzig GmbH,Ost,Sachsen,Leipzig,MS/NS,Ersatzneubau von 116 ONS ohne Erhöhung der Übertragungskapazität,0.0,0.0,Trafo MS/NS,k.A.,2033,8.5,"Leipzig, Sachsen, Deutschland",51.3406321,12.3747329,True
Netz Leipzig GmbH,Ost,Sachsen,Leipzig,MS/NS,Neuerrichtung von Niederspannungskabeln u.A. zum Anschluss großer Lasten (Endkunden),0.0,0.0,NS-Kabel,k.A.,2045,0.0,"Leipzig, Sachsen, Deutschland",51.3406321,12.3747329,True
Netz Leipzig GmbH,Ost,Sachsen,Leipzig,MS/NS,Ersatzneubau von Mittelspannungskabeln mit Erhöhung der Übertragungskapazität,56.0,0.0,MS-Kabel,k.A.,2033,12.0,"Leipzig, Sachsen, Deutschland",51.3406321,12.3747329,True
Netz Leipzig GmbH,Ost,Sachsen,Leipzig,MS/NS,Ersatzneubau von Niederspannungskabeln mit Erhöhung der Übertragungskapazität,62.0,0.0,NS-Kabel,k.A.,2033,12.0,"Leipzig, Sachsen, Deutschland",51.3406321,12.3747329,True
Netz Leipzig GmbH,Ost,Sachsen,Leipzig,MS/NS,Ersatzneubau von 180 ONS ohne Erhöhung der Übertragungskapazität,0.0,0.0,Trafo MS/NS,k.A.,2045,13.0,"Leipzig, Sachsen, Deutschland",51.3406321,12.3747329,True
Netz Leipzig GmbH,Ost,Sachsen,Leipzig,HS,Ausbau bestehendes UW mit zusätzlichem Transformator,0.0,0.0,"UW, Trafo",k.A.,2045,15.0,"Leipzig, Sachsen, Deutschland",51.3406321,12.3747329,True
Netz Leipzig GmbH,Ost,Sachsen,Leipzig,HS,Ausbau bestehendes UW mit zusätzlichem Transformator,0.0,0.0,"UW, Trafo",k.A.,2045,15.0,"Leipzig, Sachsen, Deutschland",51.3406321,12.3747329,True
Netz Leipzig GmbH,Ost,Sachsen,Leipzig,HS,Ausbau bestehendes UW mit zusätzlichem Transformator,0.0,0.0,"UW, Trafo",k.A.,2033,15.0,"Leipzig, Sachsen, Deutschland",51.3406321,12.3747329,True
Netz Leipzig GmbH,Ost,Sachsen,Leipzig,MS/NS,Neuerrichtung von 121 ONS zur Entlastung von überlastetet ONS,0.0,0.0,Trafo MS/NS,k.A.,2033,15.0,"Leipzig, Sachsen, Deutschland",51.3406321,12.3747329,True
Netz Leipzig GmbH,Ost,Sachsen,Leipzig,MS/NS,Neuerrichtung von Mittelspannungskabeln zur Entlastung von dann voraussichtlich überlasteten Mittelspannungskabeln,95.0,0.0,MS-Kabel,k.A.,2028,19.0,"Leipzig, Sachsen, Deutschland",51.3406321,12.3747329,True
Netz Leipzig GmbH,Ost,Sachsen,Leipzig,MS/NS,Neuerrichtung von Mittelspannungskabeln zur Entlastung von dann voraussichtlich überlasteten Mittelspannungskabeln,100.0,0.0,MS-Kabel,k.A.,2045,20.0,"Leipzig, Sachsen, Deutschland",51.3406321,12.3747329,True
Netz Leipzig GmbH,Ost,Sachsen,Leipzig,MS/NS,Neuerrichtung von Niederspannungskabeln u.A. zum Anschluss großer Lasten (Endkunden),119.0,0.0,NS-Kabel,k.A.,2033,21.0,"Leipzig, Sachsen, Deutschland",51.3406321,12.3747329,True
Netz Leipzig GmbH,Ost,Sachsen,Leipzig,MS/NS,Ersatzneubau von Mittelspannungskabeln mit Erhöhung der Übertragungskapazität,137.0,0.0,MS-Kabel,k.A.,2045,26.0,"Leipzig, Sachsen, Deutschland",51.3406321,12.3747329,True
Netz Leipzig GmbH,Ost,Sachsen,Leipzig,HS,UW im Engpassgebiet 7 (Herstellung des Anschlusses an die Hochspannung),0.0,0.0,UW,k.A.,2045,32.0,"Leipzig, Sachsen, Deutschland",51.3406321,12.3747329,True
Netz Leipzig GmbH,Ost,Sachsen,Leipzig,HS,UW im Engpassgebiet 1 (Herstellung des Anschluss an die Hochspannung),0.0,0.0,UW,k.A.,2028,32.0,"Leipzig, Sachsen, Deutschland",51.3406321,12.3747329,True
Netz Leipzig GmbH,Ost,Sachsen,Leipzig,HS,UW im Engpassgebiet 2 (Herstellung des Anschluss an die Hochspannung),0.0,0.0,UW,k.A.,2028,32.0,"Leipzig, Sachsen, Deutschland",51.3406321,12.3747329,True
Netz Leipzig GmbH,Ost,Sachsen,Leipzig,HS,UW im Engpassgebiet 3 (Herstellung des Anschluss an die Hochspannung),0.0,0.0,UW,k.A.,2028,32.0,"Leipzig, Sachsen, Deutschland",51.3406321,12.3747329,True
Netz Leipzig GmbH,Ost,Sachsen,Leipzig,HS,UW im Engpassgebiet 4 (Herstellung des Anschlusses an die Hochspannung),0.0,0.0,UW,k.A.,2033,32.0,"Leipzig, Sachsen, Deutschland",51.3406321,12.3747329,True
Netz Leipzig GmbH,Ost,Sachsen,Leipzig,HS,UW im Engpassgebiet 5 (Herstellung des Anschlusses an die Hochspannung),0.0,0.0,UW,k.A.,2033,32.0,"Leipzig, Sachsen, Deutschland",51.3406321,12.3747329,True
Netz Leipzig GmbH,Ost,Sachsen,Leipzig,HS,UW im Engpassgebiet 6 (Herstellung des Anschlusses an die Hochspannung),0.0,0.0,UW,k.A.,2033,32.0,"Leipzig, Sachsen, Deutschland",51.3406321,12.3747329,True
Netz Leipzig GmbH,Ost,Sachsen,Leipzig,MS/NS,Neuerrichtung von Mittelspannungskabeln zur Entlastung von dann voraussichtlich überlasteten Mittelspannungskabeln,160.0,0.0,MS-Kabel,k.A.,2033,32.0,"Leipzig, Sachsen, Deutschland",51.3406321,12.3747329,True
Netz Leipzig GmbH,Ost,Sachsen,Leipzig,MS/NS,Ersatzneubau von Niederspannungskabeln mit Erhöhung der Übertragungskapazität,162.0,0.0,NS-Kabel,k.A.,2045,36.0,"Leipzig, Sachsen, Deutschland",51.3406321,12.3747329,True
Netz Leipzig GmbH,Ost,Sachsen,Leipzig,MS/NS,Neuerrichtung von 363 ONS zur Entlastung von überlastetet ONS,0.0,229.0,Trafo MS/NS,k.A.,2045,39.0,"Leipzig, Sachsen, Deutschland",51.3406321,12.3747329,True
