VNB-Name,Teilnetzgebiet,Bundesland,Ort / Trasse,Netzebene,Art der Maßnahme,Leitungslänge in km,Übertragungskapazität in MVA,"Netzkomponenten (z.B. UW,Trafo ;Anzahl/Typ)",Projektstatus,Zeithorizont,Kosten in Mio.€,location,latitude,longitude,passt
Netze Duisburg GmbH,West,Nordrhein-Westfalen,,HS,Ertüchtigungen Leitungen,5.0,0.0,HS-Kabel,im Bau,2024,4.4,"Nordrhein-Westfalen, Deutschland",51.4789205,7.5543751,True
Netze Duisburg GmbH,West,Nordrhein-Westfalen,,HS,Neubau Leitungen,1.0,0.0,HS-Kabel,konkrete Planung bereits eingeleitet,2028,3.0,"Nordrhein-Westfalen, Deutschland",51.4789205,7.5543751,True
Netze Duisburg GmbH,West,Nordrhein-Westfalen,,HS,Ertüchtigungen Leitungen,14.0,0.0,HS-Kabel,vorgesehene Maßnahme noch nicht eingeleitet,2029,47.0,"Nordrhein-Westfalen, Deutschland",51.4789205,7.5543751,True
Netze Duisburg GmbH,West,Nordrhein-Westfalen,,HS,Ertüchtigungen Leitungen,3.5,0.0,HS-Kabel,vorgesehene Maßnahme noch nicht eingeleitet,2030,10.5,"Nordrhein-Westfalen, Deutschland",51.4789205,7.5543751,True
Netze Duisburg GmbH,West,Nordrhein-Westfalen,,HS,Ertüchtigungen Leitungen,3.1,0.0,HS-Kabel,vorgesehene Maßnahme noch nicht eingeleitet,2031,9.3,"Nordrhein-Westfalen, Deutschland",51.4789205,7.5543751,True
Netze Duisburg GmbH,West,Nordrhein-Westfalen,,HS,Ertüchtigungen Leitungen,2.9,0.0,HS-Kabel,vorgesehene Maßnahme noch nicht eingeleitet,2032,8.7,"Nordrhein-Westfalen, Deutschland",51.4789205,7.5543751,True
Netze Duisburg GmbH,West,Nordrhein-Westfalen,UW 51,HS,Ertüchtigungen UW,0.0,0.0,Schaltanlage,konkrete Planung keine Genehmigung erforderlich,2025,4.2,"51, Hohe Egge Unterweg, Hohe Egge, Niedersprockhövel, Sprockhövel, Ennepe-Ruhr-Kreis, Nordrhein-Westfalen, 45549, Deutschland",51.3684494,7.2681402,True
Netze Duisburg GmbH,West,Nordrhein-Westfalen,UW 53,HS,Ertüchtigungen UW,0.0,0.0,UW,vorgesehene Maßnahme bereits eingeleitet,2026,25.0,"53, Hohe Egge Unterweg, Hohe Egge, Niedersprockhövel, Sprockhövel, Ennepe-Ruhr-Kreis, Nordrhein-Westfalen, 45549, Deutschland",51.3684193,7.2680824,True
Netze Duisburg GmbH,West,Nordrhein-Westfalen,UW 33,HS,Ertüchtigungen UW,0.0,0.0,Schaltanlage,vorgesehene Maßnahme noch nicht eingeleitet,2029,15.0,"33, Hohe Egge Unterweg, Hohe Egge, Niedersprockhövel, Sprockhövel, Ennepe-Ruhr-Kreis, Nordrhein-Westfalen, 45549, Deutschland",51.3699086,7.2677608,True
Netze Duisburg GmbH,West,Nordrhein-Westfalen,"Duisburg, Vulkanstr.",HS,Neubau Leitungen,2.5,0.0,HS-Kabel,im Bau,2024,5.1,"Eroscenter Duisburg, 23, Vulkanstraße, Altstadt, Duisburg-Mitte, Duisburg, Nordrhein-Westfalen, 47053, Deutschland",51.4310324,6.7528632,True
Netze Duisburg GmbH,West,Nordrhein-Westfalen,k.A.,HS,Neubau Leitungen,8.0,0.0,HS-Kabel,vorgesehene Maßnahme noch nicht eingeleitet,2026,24.0,"Nordrhein-Westfalen, Deutschland",51.4789205,7.5543751,True
Netze Duisburg GmbH,West,Nordrhein-Westfalen,k.A.,HS,Ertüchtigungen UW,0.0,0.0,UW,im Bau,2025,25.0,"Nordrhein-Westfalen, Deutschland",51.4789205,7.5543751,True
Netze Duisburg GmbH,West,Nordrhein-Westfalen,k.A.,HS,Ertüchtigungen Schaltanlage,0.0,0.0,Schaltanlage,vorgesehene Maßnahme keine Genehmigung erforderlich,2027,8.0,"Nordrhein-Westfalen, Deutschland",51.4789205,7.5543751,True
Netze Duisburg GmbH,West,Nordrhein-Westfalen,k.A.,HS,Ertüchtigungen UW,0.0,0.0,UW,konkrete Planung bereits eingeleitet,2028,30.0,"Nordrhein-Westfalen, Deutschland",51.4789205,7.5543751,True
Netze Duisburg GmbH,West,Nordrhein-Westfalen,k.A.,HS/MS,Ertüchtigungen Trafo,0.0,0.0,Trafo,konkrete Planung keine Genehmigung erforderlich,2028,2.2,"Nordrhein-Westfalen, Deutschland",51.4789205,7.5543751,True
Netze Duisburg GmbH,West,Nordrhein-Westfalen,k.A.,HS,Ertüchtigungen UW,0.0,0.0,Schaltanlage,vorgesehene Maßnahme noch nicht eingeleitet,2030,8.0,"Nordrhein-Westfalen, Deutschland",51.4789205,7.5543751,True
Netze Duisburg GmbH,West,Nordrhein-Westfalen,k.A.,HS/MS,Neubau Trafo,0.0,0.0,Trafo,vorgesehene Maßnahme noch nicht eingeleitet,2030,2.5,"Nordrhein-Westfalen, Deutschland",51.4789205,7.5543751,True
Netze Duisburg GmbH,West,Nordrhein-Westfalen,k.A.,HS/MS,Neubau Trafo,0.0,0.0,Trafo,vorgesehene Maßnahme noch nicht eingeleitet,2030,2.5,"Nordrhein-Westfalen, Deutschland",51.4789205,7.5543751,True
Netze Duisburg GmbH,West,Nordrhein-Westfalen,k.A.,HS,Ertüchtigungen UW,0.0,0.0,UW,vorgesehene Maßnahme noch nicht eingeleitet,2031,25.0,"Nordrhein-Westfalen, Deutschland",51.4789205,7.5543751,True
Netze Duisburg GmbH,West,Nordrhein-Westfalen,k.A.,HS/MS,Neubau Trafo,0.0,0.0,Trafo,vorgesehene Maßnahme noch nicht eingeleitet,2031,2.5,"Nordrhein-Westfalen, Deutschland",51.4789205,7.5543751,True
Netze Duisburg GmbH,West,Nordrhein-Westfalen,k.A.,HS,Ertüchtigungen UW,0.0,0.0,Schaltanlage,vorgesehene Maßnahme noch nicht eingeleitet,2032,8.0,"Nordrhein-Westfalen, Deutschland",51.4789205,7.5543751,True
Netze Duisburg GmbH,West,Nordrhein-Westfalen,k.A.,HS,Ertüchtigungen UW,0.0,0.0,Schaltanlage,vorgesehene Maßnahme noch nicht eingeleitet,2033,8.0,"Nordrhein-Westfalen, Deutschland",51.4789205,7.5543751,True
