VNB-Name,Teilnetzgebiet,Bundesland,Ort / Trasse,Netzebene,Art der Maßnahme,Leitungslänge in km,Übertragungskapazität in MVA,"Netzkomponenten (z.B. UW,Trafo ;Anzahl/Typ)",Projektstatus,Zeithorizont,Kosten in Mio.€,location,latitude,longitude,passt
Netze ODR GmbH,Südwest,Baden-Württemberg,Oberkochen,HS/MS,Ertüchtigungen Trafo,0.0,0.0,"Umspanner HS/MS, 20 kV Schaltanlage",noch nicht eingeleitet,2029,15.0,"Oberkochen, Ostalbkreis, Baden-Württemberg, 73447, Deutschland",48.7840324,10.1060512,True
Netze ODR GmbH,Südwest,Baden-Württemberg,Herbrechtingen,HS/MS,Ertüchtigungen Trafo,0.0,0.0,Umspanner HS/MS,noch nicht eingeleitet,2025,0.96,"Herbrechtingen, Landkreis Heidenheim, Baden-Württemberg, 89542, Deutschland",48.6226932,10.1761696,True
Netze ODR GmbH,Südwest,Bayern,Donauried,HS/MS,Ertüchtigungen Trafo,0.0,0.0,k.A.,abgeschlossen,2024,5.0,"Donauried, Bayern, 89415, Deutschland",48.5468652,10.448638,True
Netze ODR GmbH,Südwest,Bayern,Reimlingen,HS/MS,Neubau UW,0.0,0.0,"Umspanner HS/MS, 20 kV Schaltanlage",noch nicht eingeleitet,2028,15.0,"Reimlingen, Ries, Landkreis Donau-Ries, Bayern, 86756, Deutschland",48.8196556,10.5167978,True
Netze ODR GmbH,Südwest,Baden-Württemberg,Neunstadt,HS/MS,Neubau UW,0.0,0.0,Umspannwerk,bereits eingeleitet,2028,15.0,"Neunstadt, Ellwangen (Jagst), Verwaltungsgemeinschaft Ellwangen (Jagst), Ostalbkreis, Baden-Württemberg, 73479, Deutschland",48.9482359,10.1832328,True
Netze ODR GmbH,Südwest,Baden-Württemberg,Beimbach,HS/MS,Neubau UW,0.0,0.0,Umspannwerk,bereits eingeleitet,2029,15.0,"Beimbach, Rot am See, Verwaltungsverband Brettach/Jagst, Landkreis Schwäbisch Hall, Baden-Württemberg, Deutschland",49.2444984,9.9814661,True
Netze ODR GmbH,Südwest,Baden-Württemberg,Giengen,HS/MS,Ertüchtigungen Trafo,0.0,0.0,Umspanner HS/MS,noch nicht eingeleitet,2026,0.9,"Giengen, Giengen an der Brenz, Verwaltungsgemeinschaft Giengen an der Brenz, Landkreis Heidenheim, Baden-Württemberg, 89537, Deutschland",48.6208515,10.2442196,True
Netze ODR GmbH,Südwest,Baden-Württemberg,Niederstetten,HS/MS,Neubau Trafo,0.0,0.0,Umspanner HS/MS,keine Genehmigung erforderlich,2027,0.9,"Niederstetten, Main-Tauber-Kreis, Baden-Württemberg, 97996, Deutschland",49.4003232,9.9189607,True
Netze ODR GmbH,Südwest,Baden-Württemberg,Honhardt,HS/MS,Neubau UW,0.0,0.0,Umspannwerk,noch nicht eingeleitet,2033,15.0,"Honhardt, Frankenhardt, Verwaltungsverband Crailsheim, Landkreis Schwäbisch Hall, Baden-Württemberg, 74586, Deutschland",49.0694167,10.0376115,True
Netze ODR GmbH,Südwest,Baden-Württemberg,Neunstadt ,HS/MS,Neubau Trafo,0.0,0.0,Umspanner HS/MS,bereits eingeleitet,2033,0.9,"Neunstadt, Ellwangen (Jagst), Verwaltungsgemeinschaft Ellwangen (Jagst), Ostalbkreis, Baden-Württemberg, 73479, Deutschland",48.9482359,10.1832328,True
Netze ODR GmbH,Südwest,Baden-Württemberg,Bopfingen,HS/MS,Ertüchtigungen Trafo,0.0,0.0,"Umspanner HS/MS, 20 kV Schaltanlage",noch nicht eingeleitet,2027,2.5,"Bopfingen, Verwaltungsgemeinschaft Bopfingen, Ostalbkreis, Baden-Württemberg, 73441, Deutschland",48.8577633,10.3523096,True
Netze ODR GmbH,Südwest,Baden-Württemberg,Neresheim,HS/MS,Ertüchtigungen Trafo,0.0,0.0,"Umspanner HS/MS, 20 kV Schaltanlage",noch nicht eingeleitet,2027,12.0,"Neresheim, Ostalbkreis, Baden-Württemberg, 73450, Deutschland",48.7539485,10.3343747,True
Netze ODR GmbH,Südwest,Baden-Württemberg,Unterschneidheim,HS/MS,Neubau UW,0.0,0.0,"110-kV-Leitung, Umspanner HS/MS, 20 kV Schaltanlage",noch nicht eingeleitet,2036,12.0,"Unterschneidheim, Verwaltungsverband Tannhausen, Ostalbkreis, Baden-Württemberg, 73485, Deutschland",48.9408509,10.3639341,True
Netze ODR GmbH,Südwest,Bayern,Reimlingen,HS/MS,Neubau Trafo,0.0,0.0,Umspanner HS/MS,bereits eingeleitet,2033,0.9,"Reimlingen, Ries, Landkreis Donau-Ries, Bayern, 86756, Deutschland",48.8196556,10.5167978,True
Netze ODR GmbH,Südwest,Bayern,Bachhagel,HS/MS,Neubau Trafo,0.0,0.0,Umspanner HS/MS,noch nicht eingeleitet,2036,15.0,"Bachhagel, Syrgenstein (VGem), Landkreis Dillingen an der Donau, Bayern, 89429, Deutschland",48.63467,10.3196907,True
Netze ODR GmbH,Südwest,Baden-Württemberg,Langenau,HS/MS,Neubau Trafo,0.0,0.0,Umspanner HS/MS,noch nicht eingeleitet,2033,12.0,"Langenau, GVV Langenau, Alb-Donau-Kreis, Baden-Württemberg, 89129, Deutschland",48.4995693,10.1210951,True
Netze ODR GmbH,Südwest,Baden-Württemberg,Heuchlingen,HS/MS,Neubau Trafo,0.0,0.0,Umspanner HS/MS,noch nicht eingeleitet,2030,15.0,"Heuchlingen, Verwaltungsverband Rosenstein, Ostalbkreis, Baden-Württemberg, 73572, Deutschland",48.8518756,9.9446222,True
Netze ODR GmbH,Südwest,Baden-Württemberg,Niederstotzingen,HS/MS,Ertüchtigungen Trafo,0.0,0.0,Umspanner HS/MS,noch nicht eingeleitet,2026,0.9,"Niederstotzingen, GVV Sontheim-Niederstotzingen, Landkreis Heidenheim, Baden-Württemberg, 89168, Deutschland",48.5408791,10.2332512,True
Netze ODR GmbH,Südwest,Baden-Württemberg,Aalen,HS/MS,Ertüchtigungen Trafo,0.0,0.0,"Umspanner HS/MS, 20 kV Schaltanlage",noch nicht eingeleitet,2033,15.0,"Aalen, Verwaltungsgemeinschaft Aalen, Ostalbkreis, Baden-Württemberg, Deutschland",48.8375607,10.0929593,True
Netze ODR GmbH,Südwest,Baden-Württemberg,Spraitbach,HS/MS,Neubau UW,0.0,0.0,Umspannwerk,noch nicht eingeleitet,2030,15.0,"Spraitbach, Verwaltungsverband Schwäbischer Wald, Ostalbkreis, Baden-Württemberg, 73565, Deutschland",48.8802914,9.7615925,True
Netze ODR GmbH,Südwest,Baden-Württemberg,Oberkochen,HS/MS,Neubau Trafo,0.0,0.0,Umspanner HS/MS,noch nicht eingeleitet,2033,0.0,"Oberkochen, Ostalbkreis, Baden-Württemberg, 73447, Deutschland",48.7840324,10.1060512,True
Netze ODR GmbH,Südwest,Baden-Württemberg,Beimbach,MS,Neubau Leitungen,0.0,0.0,20 kV Kabel,bereits eingeleitet,2029,10.8,"Beimbach, Rot am See, Verwaltungsverband Brettach/Jagst, Landkreis Schwäbisch Hall, Baden-Württemberg, Deutschland",49.2444984,9.9814661,True
Netze ODR GmbH,Südwest,Baden-Württemberg,Niederstetten,MS,Ertüchtigungen Leitungen,0.0,0.0,20 kV Kabel,noch nicht eingeleitet,2028,5.25,"Niederstetten, Main-Tauber-Kreis, Baden-Württemberg, 97996, Deutschland",49.4003232,9.9189607,True
Netze ODR GmbH,Südwest,Baden-Württemberg,Blaufelden,MS,Ertüchtigungen Leitungen,0.0,0.0,20 kV Kabel,noch nicht eingeleitet,2028,3.75,"Blaufelden, Landkreis Schwäbisch Hall, Baden-Württemberg, 74572, Deutschland",49.2970043,9.9737329,True
Netze ODR GmbH,Südwest,Baden-Württemberg,Neunstadt,MS,Neubau Leitungen,0.0,0.0,20 kV Kabel,bereits eingeleitet,2028,5.0,"Neunstadt, Ellwangen (Jagst), Verwaltungsgemeinschaft Ellwangen (Jagst), Ostalbkreis, Baden-Württemberg, 73479, Deutschland",48.9482359,10.1832328,True
Netze ODR GmbH,Südwest,Baden-Württemberg,Jagstzell,MS,Ertüchtigungen Leitungen,0.0,0.0,20 kV Kabel,noch nicht eingeleitet,2028,1.4,"Jagstzell, Verwaltungsgemeinschaft Ellwangen (Jagst), Ostalbkreis, Baden-Württemberg, 73489, Deutschland",49.0305034,10.0979439,True
