VNB-Name,Teilnetzgebiet,Bundesland,Ort / Trasse,Netzebene,Art der Maßnahme,Leitungslänge in km,Übertragungskapazität in MVA,"Netzkomponenten (z.B. UW,Trafo ;Anzahl/Typ)",Projektstatus,Zeithorizont,Kosten in Mio.€,location,latitude,longitude,passt
Netzgesellschaft Düsseldorf mbH,West,Nordrhein-Westfalen,k.A.,Neubau UW,k.A.,0.0,0.0,01/2023 – 06/2025,C,,0.0,"Nordrhein-Westfalen, Deutschland",51.4789205,7.5543751,True
Netzgesellschaft Düsseldorf mbH,West,Nordrhein-Westfalen,k.A.,Neubau UW,k.A.,0.0,0.0,10/2025 – 06/2028,D,,0.0,"Nordrhein-Westfalen, Deutschland",51.4789205,7.5543751,True
Netzgesellschaft Düsseldorf mbH,West,Nordrhein-Westfalen,k.A.,Neubau Schaltanlage,k.A.,0.0,0.0,01/2027 – 12/2032,D,,0.0,"Nordrhein-Westfalen, Deutschland",51.4789205,7.5543751,True
Netzgesellschaft Düsseldorf mbH,West,Nordrhein-Westfalen,k.A.,Neubau Trafo,k.A.,0.0,0.0,01/2029 – 12/2030,A,,0.0,"Nordrhein-Westfalen, Deutschland",51.4789205,7.5543751,True
Netzgesellschaft Düsseldorf mbH,West,Nordrhein-Westfalen,k.A.,Neubau Leitungen,k.A.,0.0,0.0,01/2028 – 12/20230,B,,0.0,"Nordrhein-Westfalen, Deutschland",51.4789205,7.5543751,True
Netzgesellschaft Düsseldorf mbH,West,Nordrhein-Westfalen,k.A.,Erüchtigungen UW,k.A.,0.0,0.0,06/2026 – 12/2027,A,,0.0,"Nordrhein-Westfalen, Deutschland",51.4789205,7.5543751,True
Netzgesellschaft Düsseldorf mbH,West,Nordrhein-Westfalen,k.A.,Erüchtigungen Leitungen,k.A.,0.0,0.0,01/2026 – 12/2020,B,,0.0,"Nordrhein-Westfalen, Deutschland",51.4789205,7.5543751,True
Netzgesellschaft Düsseldorf mbH,West,Nordrhein-Westfalen,k.A.,Neubau UW,k.A.,0.0,0.0,03/2026 – 06/2032,C,,0.0,"Nordrhein-Westfalen, Deutschland",51.4789205,7.5543751,True
Netzgesellschaft Düsseldorf mbH,West,Nordrhein-Westfalen,k.A.,Erüchtigungen Leitungen,k.A.,0.0,0.0,01/2024 – 12/2028,D,,0.0,"Nordrhein-Westfalen, Deutschland",51.4789205,7.5543751,True
Netzgesellschaft Düsseldorf mbH,West,Nordrhein-Westfalen,k.A.,Erüchtigungen UW,k.A.,0.0,0.0,03/2027 – 12/2029,A,,0.0,"Nordrhein-Westfalen, Deutschland",51.4789205,7.5543751,True
