VNB-Name,Teilnetzgebiet,Bundesland,Ort / Trasse,Netzebene,Art der Maßnahme,Leitungslänge in km,Übertragungskapazität in MVA,"Netzkomponenten (z.B. UW,Trafo ;Anzahl/Typ)",Projektstatus,Zeithorizont,Kosten in Mio.€,location,latitude,longitude,passt
Netzgesellschaft Potsdam,Ost,Brandenburg,Nuthe,MS,Neubau Kompensationsspule,0.0,0.0,1 Kompensationsspule,vorgesehen,2028,0.8,"Nuthe, Teltow-Fläming, Brandenburg, Deutschland",52.1591629,13.1872451,True
Netzgesellschaft Potsdam,Ost,Brandenburg,Potsdam,MS,Erüchtigungen Leitungen,4.3,0.0,k.A.,vorgesehen,2045,1.11,"Potsdam, Brandenburg, Deutschland",52.4009309,13.0591397,True
Netzgesellschaft Potsdam,Ost,Brandenburg,Potsdam Krampnitz,MS,Neubau Schaltanlage,0.0,0.0,1 UW,konkrete Planung,2025,2.0,"Römerschanze, Straße nach Sacrow, Krampnitz, Fahrland, Potsdam, Brandenburg, 14476, Deutschland",52.4417545,13.0625168,True
Netzgesellschaft Potsdam,Ost,Brandenburg,Potsdam,MS,Erüchtigungen Leitungen,9.1,0.0,k.A.,vorgesehen,2035,2.36,"Potsdam, Brandenburg, Deutschland",52.4009309,13.0591397,True
Netzgesellschaft Potsdam,Ost,Brandenburg,Potsdam,MS,Erüchtigungen Leitungen,7.8,0.0,k.A.,vorgesehen,2045,2.6,"Potsdam, Brandenburg, Deutschland",52.4009309,13.0591397,True
Netzgesellschaft Potsdam,Ost,Brandenburg,Nuthe,MS,Erüchtigungen Leitungen,8.6,0.0,Abgangszellen,vorgesehen,2028,3.0,"Nuthe, Teltow-Fläming, Brandenburg, Deutschland",52.1591629,13.1872451,True
Netzgesellschaft Potsdam,Ost,Brandenburg,Krampnitz,MS,Neubau Leitungen,0.0,0.0,Trafos,im Bau,2025,4.0,"Krampnitz, Fahrland, Potsdam, Brandenburg, 14476, Deutschland",52.4572623,13.059348,True
Netzgesellschaft Potsdam,Ost,Brandenburg,Krampnitz,NS,Neubau Leitungen,0.0,0.0,k.A.,im Bau,2025,4.0,"Krampnitz, Fahrland, Potsdam, Brandenburg, 14476, Deutschland",52.4572623,13.059348,True
Netzgesellschaft Potsdam,Ost,Brandenburg,Potsdam,MS,Neubau UW,0.0,0.0,2 UW,vorgesehen,2035,4.0,"Potsdam, Brandenburg, Deutschland",52.4009309,13.0591397,True
Netzgesellschaft Potsdam,Ost,Brandenburg,Potsdam,MS,Neubau UW,0.0,0.0,2 UW,vorgesehen,2045,4.0,"Potsdam, Brandenburg, Deutschland",52.4009309,13.0591397,True
Netzgesellschaft Potsdam,Ost,Brandenburg,k.A.,MS,Neubau Kompensationsspule,0.0,0.0,5 Kompensationsspulen,vorgesehen,2045,4.0,"Brandenburg, Deutschland",52.8455492,13.2461296,True
Netzgesellschaft Potsdam,Ost,Brandenburg,k.A.,MS,Neubau Kompensationsspule,0.0,0.0,6 Kompensationsspulen,vorgesehen,2035,4.8,"Brandenburg, Deutschland",52.8455492,13.2461296,True
