VNB-Name,Teilnetzgebiet,Bundesland,Ort / Trasse,Netzebene,Art der Maßnahme,Leitungslänge in km,Übertragungskapazität in MVA,"Netzkomponenten (z.B. UW,Trafo ;Anzahl/Typ)",Projektstatus,Zeithorizont,Kosten in Mio.€,location,latitude,longitude,passt
Pfalzwerke Netz AG,West,Saarland,Bexbach,HS/MS,Neubau UW,0.0,40.0,"UW, Trafo",im Bau,2024,6.7,"Bexbach, Saarpfalz-Kreis, Saarland, 66450, Deutschland",49.347299,7.2548948,True
Pfalzwerke Netz AG,West,Rheinland-Pfalz,Rülzheim,HS/MS,Neubau UW,0.0,40.0,"UW, Trafo",konkrete Planung,2026,4.8,"Rülzheim, Landkreis Germersheim, Rheinland-Pfalz, 76761, Deutschland",49.1539607,8.2911891,True
Pfalzwerke Netz AG,West,Rheinland-Pfalz,Zeiskam,HS/MS,Neubau UW,0.0,63.0,"UW, Trafo",vorgesehene Maßnahme,2028,6.5,"Zeiskam, Bellheim, Landkreis Germersheim, Rheinland-Pfalz, 67378, Deutschland",49.2344923,8.250027,True
Pfalzwerke Netz AG,West,Rheinland-Pfalz,Kerzenheim,HS/MS,Ertüchtigungen UW; Ertüchtigungen Trafo,0.0,63.0,"UW, Trafo",konkrete Planung,2025,4.0,"Kerzenheim, Eisenberg (Pfalz), Donnersbergkreis, Rheinland-Pfalz, Deutschland",49.5764,8.05972,True
Pfalzwerke Netz AG,West,Rheinland-Pfalz,Kusel,HS/MS,Ertüchtigungen UW; Ertüchtigungen Trafo,0.0,63.0,"UW, Trafo",vorgesehene Maßnahme,2032,4.0,"Kusel, Kusel-Altenglan, Landkreis Kusel, Rheinland-Pfalz, Deutschland",49.5399844,7.4008479,True
Pfalzwerke Netz AG,West,Rheinland-Pfalz,Weselberg,HS/MS,Ertüchtigungen UW; Ertüchtigungen Trafo,0.0,63.0,"UW, Trafo",vorgesehene Maßnahme,2032,4.0,"Weselberg, Thaleischweiler-Wallhalben, Südwestpfalz, Rheinland-Pfalz, 66919, Deutschland",49.3352342,7.6072249,True
Pfalzwerke Netz AG,West,Rheinland-Pfalz,Wahnwegen,HS/MS,Ertüchtigungen UW; Ertüchtigungen Trafo,0.0,63.0,"UW, Trafo",vorgesehene Maßnahme,2032,4.0,"Wahnwegen, Oberes Glantal, Landkreis Kusel, Rheinland-Pfalz, Deutschland",49.4847951,7.375756,True
Pfalzwerke Netz AG,West,Rheinland-Pfalz,Rockenhausen,HS/MS,Ertüchtigungen UW,0.0,40.0,UW,konkrete Planung,2025,0.45,"Rockenhausen, Nordpfälzer Land, Donnersbergkreis, Rheinland-Pfalz, 67806, Deutschland",49.6290332,7.8206451,True
Pfalzwerke Netz AG,West,Saarland,Homburg,HS/MS,Ertüchtigungen Schaltanlage,0.0,100.0,UW,im Bau,2027,8.107,"Homburg, Saarpfalz-Kreis, Saarland, 66424, Deutschland",49.3181673,7.3340336,True
Pfalzwerke Netz AG,West,Rheinland-Pfalz,Landau,HS/MS,Ertüchtigungen Schaltanlage,0.0,40.0,UW,im Bau,2025,3.25,"Landau in der Pfalz, Rheinland-Pfalz, Deutschland",49.1982825,8.1123441,True
Pfalzwerke Netz AG,West,Rheinland-Pfalz,Germersheim,HS/MS,Ertüchtigungen UW; Ertüchtigungen Trafo,0.0,40.0,"UW, Trafo",im Bau,2024,2.3,"Germersheim, Landkreis Germersheim, Rheinland-Pfalz, 76726, Deutschland",49.2222749,8.36659,True
Pfalzwerke Netz AG,West,Rheinland-Pfalz,Einsiedlerhof,HS/MS,Ertüchtigungen Schaltanlage,0.0,15.0,UW,konkrete Planung,2026,2.35,"Einsiedlerhof, Kaiserslautern, Rheinland-Pfalz, 67688, Deutschland",49.4295431,7.659836,True
Pfalzwerke Netz AG,West,Rheinland-Pfalz,Kusel,HS/MS,Ertüchtigungen Schaltanlage,0.0,100.0,UW,vorgesehene Maßnahme,2027,2.9,"Kusel, Kusel-Altenglan, Landkreis Kusel, Rheinland-Pfalz, Deutschland",49.5399844,7.4008479,True
