VNB-Name,Teilnetzgebiet,Bundesland,Ort / Trasse,Netzebene,Art der Maßnahme,Leitungslänge in km,Übertragungskapazität in MVA,"Netzkomponenten (z.B. UW,Trafo ;Anzahl/Typ)",Projektstatus,Zeithorizont,Kosten in Mio.€,location,latitude,longitude,passt
Regensburg Netz GmbH,Bayern,Bayern,k.A.,MS,Neubau Leitungen,0.0,2.0,k.A.,konkrete Planung,2026,0.56,"Bayern, Deutschland",48.9467562,11.4038717,True
Regensburg Netz GmbH,Bayern,Bayern,Candis,NS,Neubau Leitungen,0.0,0.5,k.A.,im Bau,2024,0.24,"CANDIS, 11, Ottostraße, Haingebiet, Gärtnerstadt, Bamberg, Bayern, 96047, Deutschland",49.8882512,10.8962689,True
Regensburg Netz GmbH,Bayern,Bayern,Gallingkofen-Ost,NS,Neubau Leitungen,0.0,0.35,k.A.,abgeschlossen,2024,0.27,"Baugebiet „Gallingkofen Ost“, Gallingkofen, Regensburg, Bayern, 93057, Deutschland",49.0481506,12.1096735,True
Regensburg Netz GmbH,Bayern,Bayern,k.A.,MS/NS,Neubau UW,0.0,22.0,k.A.,konkrete Planung,2028,4.2,"Bayern, Deutschland",48.9467562,11.4038717,True
Regensburg Netz GmbH,Bayern,Bayern,k.A.,MS/NS,Ertüchtigungen UW,0.0,8.0,k.A.,konkrete Planung,2028,2.1,"Bayern, Deutschland",48.9467562,11.4038717,True
Regensburg Netz GmbH,Bayern,Bayern,k.A.,NS,Ertüchtigungen Leitungen,0.0,1.8,k.A.,vorgesehen,2028,17.7,"Bayern, Deutschland",48.9467562,11.4038717,True
Regensburg Netz GmbH,Bayern,Bayern,k.A.,NS,Ertüchtigungen Leitungen,0.0,0.0,k.A.,vorgesehen,2028,11.1,"Bayern, Deutschland",48.9467562,11.4038717,True
Regensburg Netz GmbH,Bayern,Bayern,k.A.,MS,Ertüchtigungen Leitungen,0.0,120.0,k.A.,vorgesehen,2028,9.8,"Bayern, Deutschland",48.9467562,11.4038717,True
Regensburg Netz GmbH,Bayern,Bayern,k.A.,MS,Ertüchtigungen Leitungen,0.0,2.3,k.A.,vorgesehen,2024,0.037,"Bayern, Deutschland",48.9467562,11.4038717,True
Regensburg Netz GmbH,Bayern,Bayern,k.A.,MS,Ertüchtigungen Leitungen,0.0,2.3,k.A.,vorgesehen,2024,0.098,"Bayern, Deutschland",48.9467562,11.4038717,True
