VNB-Name,Teilnetzgebiet,Bundesland,Ort / Trasse,Netzebene,Art der Maßnahme,Leitungslänge in km,Übertragungskapazität in MVA,"Netzkomponenten (z.B. UW,Trafo ;Anzahl/Typ)",Projektstatus,Zeithorizont,Kosten in Mio.€,location,latitude,longitude,passt
Regionen GmbH,West,Nordrhein-Westfalen,Aachen,HS,Ertüchtigungen Leitungen,4.0,0.0,Kabel,konkrete Planung nicht eingeleitet,2027,0.0,"Aachen, Städteregion Aachen, Nordrhein-Westfalen, Deutschland",50.776351,6.083862,True
Regionen GmbH,West,Nordrhein-Westfalen,Aachen,MS,Neubau Leitungen,6.0,0.0,Kabel,konkrete Planung bereits eingeleitet,2027,0.0,"Aachen, Städteregion Aachen, Nordrhein-Westfalen, Deutschland",50.776351,6.083862,True
Regionen GmbH,West,Nordrhein-Westfalen,Aachen,MS,Neubau Schaltanlage,1.0,0.0,Schaltanlage,Maßnahme weggefallen,k.A.,0.0,"Aachen, Städteregion Aachen, Nordrhein-Westfalen, Deutschland",50.776351,6.083862,True
Regionen GmbH,West,Nordrhein-Westfalen,Aachen,HS,Ertüchtigungen Leitungen,0.5,0.0,Kabel,Maßnahme noch nicht eingeleitet,2031,0.0,"Aachen, Städteregion Aachen, Nordrhein-Westfalen, Deutschland",50.776351,6.083862,True
Regionen GmbH,West,Nordrhein-Westfalen,Aachen,MS,Neubau Leitungen,10.0,0.0,"Kabel, Station",Maßnahme noch nicht eingeleitet,2030,0.0,"Aachen, Städteregion Aachen, Nordrhein-Westfalen, Deutschland",50.776351,6.083862,True
Regionen GmbH,West,Nordrhein-Westfalen,Aachen,MS,Neubau UW,1.0,0.0,Schaltanlage,konkrete Planung bereits eingeleitet,2027,0.0,"Aachen, Städteregion Aachen, Nordrhein-Westfalen, Deutschland",50.776351,6.083862,True
Regionen GmbH,West,Nordrhein-Westfalen,Aachen,MS,Ertüchtigungen UW,1.0,0.0,Schaltanlage,Maßnahme weggefallen,k.A.,0.0,"Aachen, Städteregion Aachen, Nordrhein-Westfalen, Deutschland",50.776351,6.083862,True
Regionen GmbH,West,Nordrhein-Westfalen,Aachen,MS,Ertüchtigungen Leitungen,8.0,0.0,Kabel,konkrete Planung abgeschlossen,2025,0.0,"Aachen, Städteregion Aachen, Nordrhein-Westfalen, Deutschland",50.776351,6.083862,True
Regionen GmbH,West,Nordrhein-Westfalen,Aachen,MS,Ertüchtigungen Trafo,1.0,0.0,Trafo,konkrete Planung,2028,0.0,"Aachen, Städteregion Aachen, Nordrhein-Westfalen, Deutschland",50.776351,6.083862,True
Regionen GmbH,West,Nordrhein-Westfalen,Aachen,MS,Ertüchtigungen Trafo,1.0,0.0,Trafo,Maßnahme noch nicht eingeleitet,2029,0.0,"Aachen, Städteregion Aachen, Nordrhein-Westfalen, Deutschland",50.776351,6.083862,True
Regionen GmbH,West,Nordrhein-Westfalen,Aachen,MS,Ertüchtigungen Trafo,2.0,0.0,Trafo,Maßnahme noch nicht eingeleitet,2033,0.0,"Aachen, Städteregion Aachen, Nordrhein-Westfalen, Deutschland",50.776351,6.083862,True
Regionen GmbH,West,Nordrhein-Westfalen,Aachen,MS,Ertüchtigungen Leitungen,12.0,0.0,Kabel,Maßnahme noch nicht eingeleitet,2028,0.0,"Aachen, Städteregion Aachen, Nordrhein-Westfalen, Deutschland",50.776351,6.083862,True
Regionen GmbH,West,Nordrhein-Westfalen,Aachen,MS/NS,Ertüchtigungen Schaltanlage,27.0,0.0,Stationen,Maßnahme noch nicht eingeleitet,2028,0.0,"Aachen, Städteregion Aachen, Nordrhein-Westfalen, Deutschland",50.776351,6.083862,True
Regionen GmbH,West,Nordrhein-Westfalen,Aachen,NS,Ertüchtigungen Leitungen,5.0,0.0,Kabel,Maßnahme noch nicht eingeleitet,2028,0.0,"Aachen, Städteregion Aachen, Nordrhein-Westfalen, Deutschland",50.776351,6.083862,True
Regionen GmbH,West,Nordrhein-Westfalen,Aachen,MS,Ertüchtigungen Leitungen,4.5,0.0,Kabel,im Bau,2028,0.0,"Aachen, Städteregion Aachen, Nordrhein-Westfalen, Deutschland",50.776351,6.083862,True
Regionen GmbH,West,Nordrhein-Westfalen,Aachen,MS,Neubau UW,1.0,0.0,Schaltanlage,Maßnahme noch nicht eingeleitet,2030,0.0,"Aachen, Städteregion Aachen, Nordrhein-Westfalen, Deutschland",50.776351,6.083862,True
Regionen GmbH,West,Nordrhein-Westfalen,Aachen,MS,Ertüchtigungen UW,1.0,0.0,"Kabel, Station",Maßnahme weggefallen,k.A.,0.0,"Aachen, Städteregion Aachen, Nordrhein-Westfalen, Deutschland",50.776351,6.083862,True
Regionen GmbH,West,Nordrhein-Westfalen,Aachen,MS,Ertüchtigungen Leitungen,4.0,0.0,Kabel,abgeschlossen,2022,0.0,"Aachen, Städteregion Aachen, Nordrhein-Westfalen, Deutschland",50.776351,6.083862,True
Regionen GmbH,West,Nordrhein-Westfalen,Aachen,MS,Ertüchtigungen Leitungen,45.0,0.0,Kabel,Maßnahme noch nicht eingeleitet,2028,0.0,"Aachen, Städteregion Aachen, Nordrhein-Westfalen, Deutschland",50.776351,6.083862,True
Regionen GmbH,West,Nordrhein-Westfalen,Aachen,MS/NS,Ertüchtigungen Schaltanlage,101.0,0.0,Stationen,Maßnahme noch nicht eingeleitet,2028,0.0,"Aachen, Städteregion Aachen, Nordrhein-Westfalen, Deutschland",50.776351,6.083862,True
Regionen GmbH,West,Nordrhein-Westfalen,Aachen,NS,Ertüchtigungen Leitungen,6.0,0.0,Kabel,Maßnahme noch nicht eingeleitet,2028,0.0,"Aachen, Städteregion Aachen, Nordrhein-Westfalen, Deutschland",50.776351,6.083862,True
Regionen GmbH,West,Nordrhein-Westfalen,Aachen,HS/MS,Neubau UW,1.0,0.0,Umspannanlage,Maßnahme noch nicht eingeleitet,2028,0.0,"Aachen, Städteregion Aachen, Nordrhein-Westfalen, Deutschland",50.776351,6.083862,True
Regionen GmbH,West,Nordrhein-Westfalen,Aachen,HS/MS,Neubau Schaltanlage,1.0,0.0,Schaltanlage,Maßnahme noch nicht eingeleitet,2030,0.0,"Aachen, Städteregion Aachen, Nordrhein-Westfalen, Deutschland",50.776351,6.083862,True
Regionen GmbH,West,Nordrhein-Westfalen,Aachen,HS/MS,Neubau Schaltanlage,1.0,0.0,Schaltanlage,Maßnahme noch nicht eingeleitet,2030,0.0,"Aachen, Städteregion Aachen, Nordrhein-Westfalen, Deutschland",50.776351,6.083862,True
Regionen GmbH,West,Nordrhein-Westfalen,Aachen,HS/MS,Neubau UW,1.0,0.0,Umspannanlage,Maßnahme noch nicht eingeleitet,2028,0.0,"Aachen, Städteregion Aachen, Nordrhein-Westfalen, Deutschland",50.776351,6.083862,True
Regionen GmbH,West,Nordrhein-Westfalen,Aachen,HS/MS,Neubau Schaltanlage,1.0,0.0,Schaltanlage,Maßnahme noch nicht eingeleitet,2030,0.0,"Aachen, Städteregion Aachen, Nordrhein-Westfalen, Deutschland",50.776351,6.083862,True
