VNB-Name,Teilnetzgebiet,Bundesland,Ort / Trasse,Netzebene,Art der Maßnahme,Leitungslänge in km,Übertragungskapazität in MVA,"Netzkomponenten (z.B. UW,Trafo ;Anzahl/Typ)",Projektstatus,Zeithorizont,Kosten in Mio.€,location,latitude,longitude,passt
SWO Netz GmbH,,Niedersachsen,k.A.,MS,Ertüchtigungen Leitungen,86.0,0.0,Mittelspannungsleitung (10kV),vorgesehene Maßnahme noch nicht eingeleitet,2028,11.594,"Niedersachsen, Deutschland",52.8398531,9.075962,True
SWO Netz GmbH,,Niedersachsen,k.A.,MS,Neubau Leitungen,39.0,0.0,Mittelspannungsleitung (10kV),vorgesehene Maßnahme noch nicht eingeleitet,2028,5.3,"Niedersachsen, Deutschland",52.8398531,9.075962,True
SWO Netz GmbH,,Niedersachsen,k.A.,MS,Ertüchtigungen Leitungen,77.0,0.0,Mittelspannungsleitung (10kV),vorgesehene Maßnahme noch nicht eingeleitet,2028,10.387,"Niedersachsen, Deutschland",52.8398531,9.075962,True
SWO Netz GmbH,,Niedersachsen,k.A.,MS,Rückbau/Altlastentsorgung,7.0,0.0,Mittelspannungsleitung (10kV),vorgesehene Maßnahme noch nicht eingeleitet,2028,0.966,"Niedersachsen, Deutschland",52.8398531,9.075962,True
SWO Netz GmbH,,Niedersachsen,k.A.,HS/MS,Neubau UW,0.0,60.0,UW,vorgesehene Maßnahme noch nicht eingeleitet,2027,23.0,"Niedersachsen, Deutschland",52.8398531,9.075962,True
SWO Netz GmbH,,Niedersachsen,Lok-Viertel,MS,Neubau Leitungen,8.0,20.0,Mittelspannungsleitung (10kV),vorgesehene Maßnahme noch nicht eingeleitet,2028,2.7,"Entwicklungsfläche Lok-Viertel, Fledder, Osnabrück, Niedersachsen, 49084, Deutschland",52.2693351,8.0658712,True
SWO Netz GmbH,,Niedersachsen,k.A.,NS,Neubau Leitungen,46.5,0.0,"Niederspannungsleitung (0,4kV)",vorgesehene Maßnahme noch nicht eingeleitet,2028,6.743,"Niedersachsen, Deutschland",52.8398531,9.075962,True
SWO Netz GmbH,,Niedersachsen,k.A.,NS,Ertüchtigungen Leitungen,51.0,0.0,"Niederspannungsleitung (0,4kV)",vorgesehene Maßnahme noch nicht eingeleitet,2028,6.496,"Niedersachsen, Deutschland",52.8398531,9.075962,True
SWO Netz GmbH,,Niedersachsen,k.A.,NS,Ertüchtigungen Leitungen,22.0,0.0,"Niederspannungsleitung (0,4kV)",vorgesehene Maßnahme noch nicht eingeleitet,2028,2.784,"Niedersachsen, Deutschland",52.8398531,9.075962,True
SWO Netz GmbH,,Niedersachsen,k.A.,NS,Rückbau/Altlastentsorgung,14.0,0.0,"Niederspannungsleitung (0,4kV)",vorgesehene Maßnahme noch nicht eingeleitet,2028,2.1,"Niedersachsen, Deutschland",52.8398531,9.075962,True
SWO Netz GmbH,,Niedersachsen,k.A.,MS/NS,Ertüchtigungen Trafo,0.0,2.845,Ortsnetztransformator,vorgesehene Maßnahme,2028,1.2,"Niedersachsen, Deutschland",52.8398531,9.075962,True
SWO Netz GmbH,,Niedersachsen,k.A.,MS/NS,Ertüchtigungen Trafo,0.0,0.0,Ortsnetztransformator,vorgesehene Maßnahme,2028,9.0,"Niedersachsen, Deutschland",52.8398531,9.075962,True
SWO Netz GmbH,,Niedersachsen,k.A.,MS,Neubau Leitungen,3.0,3.0,Mittelspannungsleitung (10kV),vorgesehene Maßnahme noch nicht eingeleitet,2026,1.0,"Niedersachsen, Deutschland",52.8398531,9.075962,True
SWO Netz GmbH,,Niedersachsen,k.A.,MS,Ertüchtigungen Leitungen,6.6,6.0,Mittelspannungsleitung (10kV),vorgesehene Maßnahme noch nicht eingeleitet,2027,0.85,"Niedersachsen, Deutschland",52.8398531,9.075962,True
