VNB-Name,Teilnetzgebiet,Bundesland,Ort / Trasse,Netzebene,Art der Maßnahme,Leitungslänge in km,Übertragungskapazität in MVA,"Netzkomponenten (z.B. UW,Trafo ;Anzahl/Typ)",Projektstatus,Zeithorizont,Kosten in Mio.€,location,latitude,longitude,passt
SW Kiel Netz,Nord,Schleswig-Holstein,Holtenau,HS,Neubau Leitungen,7.0,0.0,k.A.,konkrete Planung,2026,4.5,"Holtenau, Kiel, Schleswig-Holstein, Deutschland",54.3724973,10.1361679,True
SW Kiel Netz,Nord,Schleswig-Holstein,Holtsee,MS,Neubau Leitungen,11.0,0.0,k.A.,konkrete Planung,2027,3.2,"Holtsee, Hüttener Berge, Kreis Rendsburg-Eckernförde, Schleswig-Holstein, 24363, Deutschland",54.3988114,9.8547044,True
SW Kiel Netz,Nord,Schleswig-Holstein,k.A.,HS,Ertüchtigung Leitungen,18.0,0.0,k.A.,konkrete Planung,2026,15.0,"Schleswig-Holstein, Deutschland",54.1853998,9.8220089,True
SW Kiel Netz,Nord,Schleswig-Holstein,k.A.,HS,Neubau Trafo,0.0,0.0,1,vorgesehene Maßnahme,2026,3.0,"Schleswig-Holstein, Deutschland",54.1853998,9.8220089,True
SW Kiel Netz,Nord,Schleswig-Holstein,k.A.,HS,Neubau Leitungen,13.0,0.0,k.A.,vorgesehene Maßnahme,2027,18.0,"Schleswig-Holstein, Deutschland",54.1853998,9.8220089,True
SW Kiel Netz,Nord,Schleswig-Holstein,k.A.,HS,Neubau Trafo,0.0,0.0,1,vorgesehene Maßnahme,2032,3.0,"Schleswig-Holstein, Deutschland",54.1853998,9.8220089,True
SW Kiel Netz,Nord,Schleswig-Holstein,k.A.,MS,Neubau Leitungen,4.0,0.0,k.A.,vorgesehene Maßnahme,2032,2.4,"Schleswig-Holstein, Deutschland",54.1853998,9.8220089,True
SW Kiel Netz,Nord,Schleswig-Holstein,k.A.,MS,Neubau Schaltanlage,0.0,0.0,1,vorgesehene Maßnahme,2032,0.0,"Schleswig-Holstein, Deutschland",54.1853998,9.8220089,True
SW Kiel Netz,Nord,Schleswig-Holstein,k.A.,NS,Neubau Leitungen,2.8,0.0,k.A.,vorgesehene Maßnahme,2025,1.1,"Schleswig-Holstein, Deutschland",54.1853998,9.8220089,True
SW Kiel Netz,Nord,Schleswig-Holstein,k.A.,NS,Neubau Leitungen,4.7,0.0,k.A.,vorgesehene Maßnahme,2025,1.8,"Schleswig-Holstein, Deutschland",54.1853998,9.8220089,True
SW Kiel Netz,Nord,Schleswig-Holstein,k.A.,NS,Ertüchtigung Leitungen,6.4,0.0,k.A.,vorgesehene Maßnahme,2025,2.5,"Schleswig-Holstein, Deutschland",54.1853998,9.8220089,True
SW Kiel Netz,Nord,Schleswig-Holstein,k.A.,NS,Neubau Leitungen,2.7,0.0,k.A.,vorgesehene Maßnahme,2026,1.0,"Schleswig-Holstein, Deutschland",54.1853998,9.8220089,True
SW Kiel Netz,Nord,Schleswig-Holstein,k.A.,NS,Neubau Leitungen,1.3,0.0,k.A.,vorgesehene Maßnahme,2026,0.5,"Schleswig-Holstein, Deutschland",54.1853998,9.8220089,True
SW Kiel Netz,Nord,Schleswig-Holstein,k.A.,NS,Ertüchtigung Leitungen,10.3,0.0,k.A.,vorgesehene Maßnahme,2026,4.0,"Schleswig-Holstein, Deutschland",54.1853998,9.8220089,True
SW Kiel Netz,Nord,Schleswig-Holstein,k.A.,NS,Neubau Leitungen,2.7,0.0,k.A.,vorgesehene Maßnahme,2027,1.0,"Schleswig-Holstein, Deutschland",54.1853998,9.8220089,True
SW Kiel Netz,Nord,Schleswig-Holstein,k.A.,NS,Neubau Leitungen,0.6,0.0,k.A.,vorgesehene Maßnahme,2027,0.2,"Schleswig-Holstein, Deutschland",54.1853998,9.8220089,True
SW Kiel Netz,Nord,Schleswig-Holstein,k.A.,NS,Ertüchtigung Leitungen,12.3,0.0,k.A.,vorgesehene Maßnahme,2027,4.7,"Schleswig-Holstein, Deutschland",54.1853998,9.8220089,True
SW Kiel Netz,Nord,Schleswig-Holstein,k.A.,NS,Neubau Leitungen,2.7,0.0,k.A.,vorgesehene Maßnahme,2028,1.0,"Schleswig-Holstein, Deutschland",54.1853998,9.8220089,True
SW Kiel Netz,Nord,Schleswig-Holstein,k.A.,NS,Neubau Leitungen,0.6,0.0,k.A.,vorgesehene Maßnahme,2028,0.2,"Schleswig-Holstein, Deutschland",54.1853998,9.8220089,True
SW Kiel Netz,Nord,Schleswig-Holstein,k.A.,NS,Ertüchtigung Leitungen,20.0,0.0,k.A.,vorgesehene Maßnahme,2028,7.8,"Schleswig-Holstein, Deutschland",54.1853998,9.8220089,True
SW Kiel Netz,Nord,Schleswig-Holstein,k.A.,NS,Neubau Petersenspule,0.63,0.0,1,vorgesehene Maßnahme,2025,0.2,"Schleswig-Holstein, Deutschland",54.1853998,9.8220089,True
SW Kiel Netz,Nord,Schleswig-Holstein,k.A.,NS,Neubau Petersenspule,0.0,0.0,1,vorgesehene Maßnahme,2025,1.0,"Schleswig-Holstein, Deutschland",54.1853998,9.8220089,True
SW Kiel Netz,Nord,Schleswig-Holstein,k.A.,NS,Ertüchtigung Petersenspule,0.4,0.0,1,vorgesehene Maßnahme,2025,0.3,"Schleswig-Holstein, Deutschland",54.1853998,9.8220089,True
SW Kiel Netz,Nord,Schleswig-Holstein,k.A.,NS,Neubau Petersenspule,0.63,0.0,1,vorgesehene Maßnahme,2026,0.2,"Schleswig-Holstein, Deutschland",54.1853998,9.8220089,True
SW Kiel Netz,Nord,Schleswig-Holstein,k.A.,NS,Neubau Petersenspule,0.0,0.0,1,vorgesehene Maßnahme,2026,0.9,"Schleswig-Holstein, Deutschland",54.1853998,9.8220089,True
SW Kiel Netz,Nord,Schleswig-Holstein,k.A.,NS,Ertüchtigung Petersenspule,0.6,0.0,1,vorgesehene Maßnahme,2026,0.4,"Schleswig-Holstein, Deutschland",54.1853998,9.8220089,True
SW Kiel Netz,Nord,Schleswig-Holstein,k.A.,NS,Neubau Petersenspule,0.63,0.0,1,vorgesehene Maßnahme,2027,0.2,"Schleswig-Holstein, Deutschland",54.1853998,9.8220089,True
SW Kiel Netz,Nord,Schleswig-Holstein,k.A.,NS,Neubau Petersenspule,0.0,0.0,1,vorgesehene Maßnahme,2027,0.9,"Schleswig-Holstein, Deutschland",54.1853998,9.8220089,True
SW Kiel Netz,Nord,Schleswig-Holstein,k.A.,NS,Ertüchtigung Petersenspule,0.6,0.0,1,vorgesehene Maßnahme,2027,0.4,"Schleswig-Holstein, Deutschland",54.1853998,9.8220089,True
SW Kiel Netz,Nord,Schleswig-Holstein,k.A.,NS,Neubau Petersenspule,0.63,0.0,1,vorgesehene Maßnahme,2028,0.2,"Schleswig-Holstein, Deutschland",54.1853998,9.8220089,True
SW Kiel Netz,Nord,Schleswig-Holstein,k.A.,NS,Neubau Petersenspule,0.0,0.0,1,vorgesehene Maßnahme,2028,0.9,"Schleswig-Holstein, Deutschland",54.1853998,9.8220089,True
SW Kiel Netz,Nord,Schleswig-Holstein,k.A.,NS,Ertüchtigung Petersenspule,0.6,0.0,k.A.,vorgesehene Maßnahme,2028,0.4,"Schleswig-Holstein, Deutschland",54.1853998,9.8220089,True
SW Kiel Netz,Nord,Schleswig-Holstein,k.A.,MS,Neubau Leitungen,0.2,0.0,k.A.,vorgesehene Maßnahme,2026,0.1,"Schleswig-Holstein, Deutschland",54.1853998,9.8220089,True
SW Kiel Netz,Nord,Schleswig-Holstein,k.A.,MS,Neubau Leitungen,0.4,0.0,k.A.,vorgesehene Maßnahme,2026,0.15,"Schleswig-Holstein, Deutschland",54.1853998,9.8220089,True
SW Kiel Netz,Nord,Schleswig-Holstein,k.A.,MS,Neubau Leitungen,0.3,0.0,k.A.,vorgesehene Maßnahme,2027,0.14,"Schleswig-Holstein, Deutschland",54.1853998,9.8220089,True
SW Kiel Netz,Nord,Schleswig-Holstein,k.A.,MS,Neubau Leitungen,0.2,0.0,k.A.,vorgesehene Maßnahme,2028,0.095,"Schleswig-Holstein, Deutschland",54.1853998,9.8220089,True
SW Kiel Netz,Nord,Schleswig-Holstein,k.A.,MS,Ertüchtigung Leitungen,2.0,0.0,k.A.,vorgesehene Maßnahme,2025,0.85,"Schleswig-Holstein, Deutschland",54.1853998,9.8220089,True
SW Kiel Netz,Nord,Schleswig-Holstein,k.A.,MS,Ertüchtigung Leitungen,1.0,0.0,k.A.,vorgesehene Maßnahme,2026,0.52,"Schleswig-Holstein, Deutschland",54.1853998,9.8220089,True
SW Kiel Netz,Nord,Schleswig-Holstein,k.A.,MS,Ertüchtigung Leitungen,5.0,0.0,k.A.,vorgesehene Maßnahme,2027,1.8,"Schleswig-Holstein, Deutschland",54.1853998,9.8220089,True
SW Kiel Netz,Nord,Schleswig-Holstein,k.A.,MS,Ertüchtigung Leitungen,5.0,0.0,k.A.,vorgesehene Maßnahme,2028,1.8,"Schleswig-Holstein, Deutschland",54.1853998,9.8220089,True
SW Kiel Netz,Nord,Schleswig-Holstein,Holtenau,HS,Neubau UW,0.0,0.0,k.A.,konkrete Planung,2026,12.0,"Holtenau, Kiel, Schleswig-Holstein, Deutschland",54.3724973,10.1361679,True
SW Kiel Netz,Nord,Schleswig-Holstein,"Projensdorf, Wik",MS,Neubau Leitungen,6.0,0.0,k.A.,vorgesehene Maßnahme,2027,2.72,"Steenbek-Projensdorf, Wik, Kiel, Schleswig-Holstein, 24106, Deutschland",54.3580321,10.1117017,True
SW Kiel Netz,Nord,Schleswig-Holstein,k.A.,MS,Neubau Schaltanlage,0.0,0.0,1,vorgesehene Maßnahme,2032,0.0,"Schleswig-Holstein, Deutschland",54.1853998,9.8220089,True
