VNB-Name,Teilnetzgebiet,Bundesland,Ort / Trasse,Netzebene,Art der Maßnahme,Leitungslänge in km,Übertragungskapazität in MVA,"Netzkomponenten (z.B. UW,Trafo ;Anzahl/Typ)",Projektstatus,Zeithorizont,Kosten in Mio.€,location,latitude,longitude,passt
SachsenNetze,Ost,Sachsen,k.A.,MS/NS,Ersatz(neubau) mit Erhöhung der Übertragungskapazität,0.0,1.0,k.A.,vorgesehene Maßnahme,2031,0.18,"Sachsen, Deutschland",50.9295798,13.4585052,True
SachsenNetze,Ost,Sachsen,k.A.,k.A.,Ersatz(neubau) mit Erhöhung der Übertragungskapazität,0.0,0.0,k.A.,im Bau,2030,1.1,"Sachsen, Deutschland",50.9295798,13.4585052,True
SachsenNetze,Ost,Sachsen,k.A.,k.A.,Ersatz(neubau) mit Erhöhung der Übertragungskapazität,0.0,0.0,k.A.,vorgesehene Maßnahme,2031,1.2,"Sachsen, Deutschland",50.9295798,13.4585052,True
SachsenNetze,Ost,Sachsen,Räcknitz,HS/MS,Netzoptimierung und -verstärkung,0.1,0.0,k.A.,konkrete Planung,2025,2.2,"Räcknitz, Plauen, Dresden, Sachsen, 01069, Deutschland",51.0251896,13.7333866,True
SachsenNetze,Ost,Sachsen,Dresden Reick,HS/MS,Neubau,0.0,40.0,k.A.,vorgesehene Maßnahme,2031,4.0,"Dresden-Reick, Lohrmannstraße, Seidnitz/Dobritz, Seidnitz, Blasewitz, Dresden, Sachsen, 01237, Deutschland",51.0212053,13.7907408,True
SachsenNetze,Ost,Sachsen,Dresden Johannstadt,HS/MS,Ersatz(neubau) mit Erhöhung der Übertragungskapazität,0.0,63.0,k.A.,im Bau,2030,4.0,"PHV-Dialysezentrum Dresden-Johannstadt, 5, Gutenbergstraße, Wohnkomplex Johannstadt-Nord, Johannstadt-Nord, Johannstadt, Altstadt, Dresden, Sachsen, 01307, Deutschland",51.057811,13.7694274,True
SachsenNetze,Ost,Sachsen,Dresden Tolkewitz,HS/MS,Netzoptimierung und -verstärkung,0.0,40.0,k.A.,vorgesehene Maßnahme,2031,4.5,"Dresden Tolkewitz, 8, Rittershausstraße, Neutolkewitz, Tolkewitz/Seidnitz-Nord, Tolkewitz, Blasewitz, Dresden, Sachsen, 01279, Deutschland",51.0336297,13.8201705,True
SachsenNetze,Ost,Sachsen,Dresden Kaditz,HS/MS,Netzoptimierung und -verstärkung,0.0,23.0,k.A.,vorgesehene Maßnahme,2027,6.0,"Kiloutou Deutschland GmbH, 140, Kötzschenbroder Straße, Kaditz, Pieschen, Dresden, Sachsen, 01139, Deutschland",51.0856503,13.6849745,True
SachsenNetze,Ost,Sachsen,k.A.,MS,Neubau,0.0,25.0,k.A.,vorgesehene Maßnahme,2030,6.61,"Sachsen, Deutschland",50.9295798,13.4585052,True
SachsenNetze,Ost,Sachsen,k.A.,MS/NS,Ersatz(neubau) mit Erhöhung der Übertragungskapazität,25.0,0.0,k.A.,vorgesehene Maßnahme,2031,7.04,"Sachsen, Deutschland",50.9295798,13.4585052,True
