VNB-Name,Teilnetzgebiet,Bundesland,Ort / Trasse,Netzebene,Art der Maßnahme,Leitungslänge in km,Übertragungskapazität in MVA,"Netzkomponenten (z.B. UW,Trafo ;Anzahl/Typ)",Projektstatus,Zeithorizont,Kosten in Mio.€,location,latitude,longitude,passt
Schleswig-Holstein Netz GmbH,Nord,Schleswig-Holstein,k.A.,MS,Neubau Leitungen,76.0,0.0,k.A.,abgeschlossen,2022,23.3,"Schleswig-Holstein, Deutschland",54.1853998,9.8220089,True
Schleswig-Holstein Netz GmbH,Nord,Schleswig-Holstein,Bad Bramstedt,HS,Neubau UW,10.0,0.0,1,konkrete Planung,2027,32.6,"Bad Bramstedt, Kreis Segeberg, Schleswig-Holstein, 24576, Deutschland",53.9167,9.88333,True
Schleswig-Holstein Netz GmbH,Nord,Schleswig-Holstein,k.A.,MS,Neubau Leitungen,4.0,0.0,k.A.,im Bau,2026,3.6,"Schleswig-Holstein, Deutschland",54.1853998,9.8220089,True
Schleswig-Holstein Netz GmbH,Nord,Schleswig-Holstein,k.A.,MS,Ertüchtigung Leitungen,2.0,0.0,k.A.,vorgesehene Maßnahme,2026,1.6,"Schleswig-Holstein, Deutschland",54.1853998,9.8220089,True
Schleswig-Holstein Netz GmbH,Nord,Schleswig-Holstein,k.A.,MS,Neubau Leitungen,12.04,0.0,k.A.,konkrete Planung,2027,3.5,"Schleswig-Holstein, Deutschland",54.1853998,9.8220089,True
Schleswig-Holstein Netz GmbH,Nord,Schleswig-Holstein,k.A.,HS,Neubau Leitungen,2.0,0.0,k.A.,abgeschlossen,2022,5.5,"Schleswig-Holstein, Deutschland",54.1853998,9.8220089,True
Schleswig-Holstein Netz GmbH,Nord,Schleswig-Holstein,k.A.,HS,Neubau Leitungen,2.0,0.0,k.A.,abgeschlossen,2022,4.5,"Schleswig-Holstein, Deutschland",54.1853998,9.8220089,True
Schleswig-Holstein Netz GmbH,Nord,Schleswig-Holstein,k.A.,HS,Neubau Leitungen,1.0,0.0,k.A.,vorgesehene Maßnahme,2026,3.4,"Schleswig-Holstein, Deutschland",54.1853998,9.8220089,True
Schleswig-Holstein Netz GmbH,Nord,Schleswig-Holstein,k.A.,HS,Neubau Leitungen,4.0,0.0,k.A.,vorgesehene Maßnahme,2026,10.0,"Schleswig-Holstein, Deutschland",54.1853998,9.8220089,True
Schleswig-Holstein Netz GmbH,Nord,Schleswig-Holstein,k.A.,MS,Neubau Leitungen,2.0,0.0,k.A.,vorgesehene Maßnahme,2026,5.0,"Schleswig-Holstein, Deutschland",54.1853998,9.8220089,True
Schleswig-Holstein Netz GmbH,Nord,Schleswig-Holstein,k.A.,MS,Neubau Leitungen,14.0,0.0,k.A.,vorgesehene Maßnahme,2026,24.4,"Schleswig-Holstein, Deutschland",54.1853998,9.8220089,True
Schleswig-Holstein Netz GmbH,Nord,Schleswig-Holstein,Ostermoor,MS,Ertüchtigung UW,0.0,0.0,1,abgeschlossen,2022,2.8,"Ostermoor, Brunsbüttel-Süd/Ostermoor, Brunsbüttel, Kreis Dithmarschen, Schleswig-Holstein, Deutschland",53.9102269,9.1906807,True
Schleswig-Holstein Netz GmbH,Nord,Schleswig-Holstein,Segeberg,MS,Neubau Leitungen,1.0,0.0,k.A.,konkrete Planung,2026,14.0,"Segeberg, Schleswig-Holstein, 23826, Deutschland",53.9232287,10.1612312,True
Schleswig-Holstein Netz GmbH,Nord,Schleswig-Holstein,Husum,MS,Ertüchtigung UW,0.0,0.0,1,abgeschlossen,2026,5.8,"Husum, Kreis Nordfriesland, Schleswig-Holstein, 25813, Deutschland",54.4854137,9.0537941,True
Schleswig-Holstein Netz GmbH,Nord,Schleswig-Holstein,k.A.,MS,Ertüchtigung UW,0.0,0.0,1,abgeschlossen,2022,0.2,"Schleswig-Holstein, Deutschland",54.1853998,9.8220089,True
Schleswig-Holstein Netz GmbH,Nord,Schleswig-Holstein,k.A.,MS,Ertüchtigung UW,0.0,0.0,1,vorgesehene Maßnahme,2028,13.0,"Schleswig-Holstein, Deutschland",54.1853998,9.8220089,True
Schleswig-Holstein Netz GmbH,Nord,Schleswig-Holstein,Bad Bramstedt,MS,Neubau UW,0.0,0.0,1,abgeschlossen,2023,8.0,"Bad Bramstedt, Kreis Segeberg, Schleswig-Holstein, 24576, Deutschland",53.9167,9.88333,True
Schleswig-Holstein Netz GmbH,Nord,Schleswig-Holstein,k.A.,MS,Neubau UW,0.0,0.0,1,vorgesehene Maßnahme,2027,17.0,"Schleswig-Holstein, Deutschland",54.1853998,9.8220089,True
Schleswig-Holstein Netz GmbH,Nord,Schleswig-Holstein,Schuby,MS,Ertüchtigung UW,0.0,0.0,1,abgeschlossen,2023,2.5,"Schuby, Arensharde, Kreis Schleswig-Flensburg, Schleswig-Holstein, 24850, Deutschland",54.5158197,9.4800114,True
Schleswig-Holstein Netz GmbH,Nord,Schleswig-Holstein,k.A.,MS,Neubau UW,0.0,0.0,1,vorgesehene Maßnahme,2027,0.6,"Schleswig-Holstein, Deutschland",54.1853998,9.8220089,True
Schleswig-Holstein Netz GmbH,Nord,Schleswig-Holstein,Breklum,MS,Neubau Leitungen,0.0,0.0,k.A.,abgeschlossen,2022,5.0,"Breklum, Mittleres Nordfriesland, Kreis Nordfriesland, Schleswig-Holstein, 25821, Deutschland",54.605797,8.9821282,True
Schleswig-Holstein Netz GmbH,Nord,Schleswig-Holstein,k.A.,MS,Neubau UW,0.0,0.0,1,abgeschlossen,2023,5.5,"Schleswig-Holstein, Deutschland",54.1853998,9.8220089,True
Schleswig-Holstein Netz GmbH,Nord,Schleswig-Holstein,k.A.,MS,Neubau UW,0.0,0.0,1,vorgesehene Maßnahme,2027,10.0,"Schleswig-Holstein, Deutschland",54.1853998,9.8220089,True
Schleswig-Holstein Netz GmbH,Nord,Schleswig-Holstein,Schwarzenbek,MS,Ertüchtigung UW,0.0,0.0,1,abgeschlossen,2022,1.0,"Schwarzenbek, Kreis Herzogtum Lauenburg, Schleswig-Holstein, 21493, Deutschland",53.503122,10.4785643,True
