VNB-Name,Teilnetzgebiet,Bundesland,Ort / Trasse,Netzebene,Art der Maßnahme,Leitungslänge in km,Übertragungskapazität in MVA,"Netzkomponenten (z.B. UW,Trafo ;Anzahl/Typ)",Projektstatus,Zeithorizont,Kosten in Mio.€,location,latitude,longitude,passt
Städtische Werke Netz,Mitte,Hessen,Kaufungen,HS,Neubau UW,0.0,0.0,1,vorgesehene Maßnahme,2034,9.6,"Kaufungen, Landkreis Kassel, Hessen, 34260, Deutschland",51.2847434,9.6199687,True
Städtische Werke Netz,Mitte,Hessen,Sandershausen,HS,Neubau UW,0.0,0.0,1,vorgesehene Maßnahme,2034,8.5,"Sandershausen, Niestetal, Landkreis Kassel, Hessen, Deutschland",51.3210551,9.5520461,True
Städtische Werke Netz,Mitte,Hessen,k.A.,MS,Neubau Leitungen,120.0,0.0,k.A.,vorgesehene Maßnahme,2029,5.5,"Hessen, Deutschland",50.6080651,9.0284647,True
Städtische Werke Netz,Mitte,Hessen,k.A.,MS,Neubau UW,0.0,0.0,1,vorgesehene Maßnahme,2029,5.0,"Hessen, Deutschland",50.6080651,9.0284647,True
Städtische Werke Netz,Mitte,Hessen,k.A.,MS,Neubau Leitungen,83.0,0.0,k.A.,vorgesehene Maßnahme,2034,38.0,"Hessen, Deutschland",50.6080651,9.0284647,True
Städtische Werke Netz,Mitte,Hessen,k.A.,MS,Neubau UW,0.0,0.0,1,vorgesehene Maßnahme,2034,3.0,"Hessen, Deutschland",50.6080651,9.0284647,True
Städtische Werke Netz,Mitte,Hessen,k.A.,MS,Neubau Leitungen,198.0,0.0,k.A.,vorgesehene Maßnahme,2045,89.0,"Hessen, Deutschland",50.6080651,9.0284647,True
Städtische Werke Netz,Mitte,Hessen,k.A.,MS,Neubau UW,0.0,0.0,1,vorgesehene Maßnahme,2045,2.2,"Hessen, Deutschland",50.6080651,9.0284647,True
Städtische Werke Netz,Mitte,Hessen,"Waldau, Kassel",HS,Neubau UW,0.0,0.0,1,vorgesehene Maßnahme,2029,9.8,"Waldau, Kassel, Hessen, Deutschland",51.29066,9.518687,True
Städtische Werke Netz,Mitte,Hessen,k.A.,HS,Neubau UW,0.0,0.0,1,vorgesehene Maßnahme,2029,4.4,"Hessen, Deutschland",50.60807,9.028465,True
