VNB-Name,Teilnetzgebiet,Bundesland,Ort / Trasse,Netzebene,Art der Maßnahme,Leitungslänge in km,Übertragungskapazität in MVA,"Netzkomponenten (z.B. UW,Trafo ;Anzahl/Typ)",Projektstatus,Zeithorizont,Kosten in Mio.€,location,latitude,longitude,passt
Stadtnetze Münster GmbH,West,Nordrhein-Westfalen,,MS,Neubau Leitungen,6.2,20.0,"MSP-Kabel, Leerrohre",konkrete Planung eingeleitet,k.A.,0.0,"Nordrhein-Westfalen, Deutschland",51.4789205,7.5543751,True
Stadtnetze Münster GmbH,West,Nordrhein-Westfalen,SH Angelmodde,MS,Neubau Schaltanlage,0.0,0.0,neues Schalthaus,vorgesehene Maßnahme,k.A.,0.0,"Angelmodde, Münster-Südost, Münster, Nordrhein-Westfalen, 48167, Deutschland",51.9174086,7.7048406,True
Stadtnetze Münster GmbH,West,Nordrhein-Westfalen,SH Albersloh,MS,Neubau Schaltanlage,0.0,0.0,neues Schalthaus,vorgesehene Maßnahme,k.A.,0.0,"Albersloh, Sendenhorst, Kreis Warendorf, Nordrhein-Westfalen, Deutschland",51.8679353,7.7332412,True
Stadtnetze Münster GmbH,West,Nordrhein-Westfalen,SH Gelmer,MS,Neubau Schaltanlage,0.0,0.0,neues Schalthaus,vorgesehene Maßnahme,k.A.,0.0,"Gelmer-Dyckburg, Münster-Ost, Münster, Nordrhein-Westfalen, 48157, Deutschland",52.0276162,7.6763942,True
Stadtnetze Münster GmbH,West,Nordrhein-Westfalen,Dortmund-Ems-Kanal,MS,Neubau Leitungen,6.2,20.0,"MSP-Kabel, Leerrohre",vorgesehen,k.A.,0.0,"Dortmund-Ems-Kanal, Nordrhein-Westfalen, Deutschland",52.2850169,7.533115,True
Stadtnetze Münster GmbH,West,Nordrhein-Westfalen,k.A.,HS/MS,Ertüchtigungen Schaltanlage,0.0,0.0,Umspannwerk 110kV,abgeschlossen,2022,0.0,"Nordrhein-Westfalen, Deutschland",51.4789205,7.5543751,True
Stadtnetze Münster GmbH,West,Nordrhein-Westfalen,k.A.,HS/MS,Ertüchtigungen Schaltanlage,0.0,0.0,Umspannwerk 110kV,im Bau,2026,0.0,"Nordrhein-Westfalen, Deutschland",51.4789205,7.5543751,True
Stadtnetze Münster GmbH,West,Nordrhein-Westfalen,k.A.,MS,Ertüchtigungen Schaltanlage,0.0,6.0,10kV Schaltfelder,im Bau,2025,0.0,"Nordrhein-Westfalen, Deutschland",51.4789205,7.5543751,True
Stadtnetze Münster GmbH,West,Nordrhein-Westfalen,Hansa-Business Park,HS/MS,"Neubau UW, Neubau Schaltanlage, Neubau Trafo",0.0,80.0,"UW, 2x Trafo 40 MVA",konkrete Planung,2026,0.0,"Hansa-Business-Park, Münster-Hiltrup, Münster, Nordrhein-Westfalen, 48163, Deutschland",51.8874792,7.580202,True
Stadtnetze Münster GmbH,West,Nordrhein-Westfalen,Aegidii,HS/MS,Ertüchtigungen Schaltanlage,0.0,0.0,Umspannwerk 110kV,konkrete Planung,2030,0.0,"Aegidii, Altstadt, Münster-Mitte, Münster, Nordrhein-Westfalen, 48143, Deutschland",51.9587308,7.6227747,True
Stadtnetze Münster GmbH,West,Nordrhein-Westfalen,Aegidii,HS/MS,Ertüchtigungen Schaltanlage,0.0,0.0,Umspannwerk 110kV,konkrete Planung,2030,0.0,"Aegidii, Altstadt, Münster-Mitte, Münster, Nordrhein-Westfalen, 48143, Deutschland",51.9587308,7.6227747,True
Stadtnetze Münster GmbH,West,Nordrhein-Westfalen,Hansa-Business Park,HS/MS,"Neubau UW, Neubau Schaltanlage, Neubau Trafo",0.0,80.0,"UW, 2x Trafo 40 MVA",konkrete Planung,2026,0.0,"Hansa-Business-Park, Münster-Hiltrup, Münster, Nordrhein-Westfalen, 48163, Deutschland",51.8874792,7.580202,True
Stadtnetze Münster GmbH,West,Nordrhein-Westfalen,k.A.,MS,Ertüchtigungen Schaltanlage,0.0,6.0,10kV Schaltfelder,im Bau,2025,0.0,"Nordrhein-Westfalen, Deutschland",51.4789205,7.5543751,True
Stadtnetze Münster GmbH,West,Nordrhein-Westfalen,k.A.,HS/MS,Ertüchtigungen Schaltanlage,0.0,0.0,Umspannwerk 110kV,im Bau,2026,0.0,"Nordrhein-Westfalen, Deutschland",51.4789205,7.5543751,True
Stadtnetze Münster GmbH,West,Nordrhein-Westfalen,k.A.,HS/MS,Ertüchtigungen Schaltanlage,0.0,0.0,Umspannwerk 110kV,abgeschlossen,2022,0.0,"Nordrhein-Westfalen, Deutschland",51.4789205,7.5543751,True
Stadtnetze Münster GmbH,West,Nordrhein-Westfalen,Dortmund-Ems-Kanal,MS,Neubau Leitungen,6.2,20.0,"MSP-Kabel, Leerrohre",vorgesehen,k.A.,0.0,"Dortmund-Ems-Kanal, Nordrhein-Westfalen, Deutschland",52.2850169,7.533115,True
Stadtnetze Münster GmbH,West,Nordrhein-Westfalen,Münster,HS,Ertüchtigungen Schaltanlage,0.0,0.0,110kV Schaltanlage,im Bau abgeschlossen,k.A.,0.0,"Münster, Nordrhein-Westfalen, Deutschland",51.9625101,7.6251879,True
Stadtnetze Münster GmbH,West,Nordrhein-Westfalen,Münster,HS,Ertüchtigungen Schaltanlage,0.0,0.0,110kV Schaltanlage,konkrete Planung noch nicht eingeleitet,k.A.,0.0,"Münster, Nordrhein-Westfalen, Deutschland",51.9625101,7.6251879,True
Stadtnetze Münster GmbH,West,Nordrhein-Westfalen,Münster,MS,Ertüchtigungen Schaltanlage,0.0,6.0,6 zusätzliche 10kV Schaltfelder,vorgesehene Maßnahme,k.A.,0.0,"Münster, Nordrhein-Westfalen, Deutschland",51.9625101,7.6251879,True
Stadtnetze Münster GmbH,West,Nordrhein-Westfalen,Münster,MS,Ertüchtigungen Leitungen,1.9,0.0,MSP-Kabel,vorgesehene Maßnahme,k.A.,0.0,"Münster, Nordrhein-Westfalen, Deutschland",51.9625101,7.6251879,True
Stadtnetze Münster GmbH,West,Nordrhein-Westfalen,Münster,MS,Ertüchtigungen Leitungen,1.4,20.0,MSP-Kabel,vorgesehene Maßnahme,k.A.,0.0,"Münster, Nordrhein-Westfalen, Deutschland",51.9625101,7.6251879,True
Stadtnetze Münster GmbH,West,Nordrhein-Westfalen,Münster,MS,Ertüchtigungen Leitungen,0.95,20.0,MSP-Kabel,vorgesehene Maßnahme,k.A.,0.0,"Münster, Nordrhein-Westfalen, Deutschland",51.9625101,7.6251879,True
Stadtnetze Münster GmbH,West,Nordrhein-Westfalen,Münster,MS,Neubau Leitungen,4.0,20.0,MSP-Kabel,vorgesehene Maßnahme,k.A.,0.0,"Münster, Nordrhein-Westfalen, Deutschland",51.9625101,7.6251879,True
Stadtnetze Münster GmbH,West,Nordrhein-Westfalen,Münster,MS,Ertüchtigungen Schaltanlage,0.0,0.0,Schalthaus MSP,vorgesehene Maßnahme,k.A.,0.0,"Münster, Nordrhein-Westfalen, Deutschland",51.9625101,7.6251879,True
Stadtnetze Münster GmbH,West,Nordrhein-Westfalen,Münster,HS/MS,Neubau UW; Neubau Trafo; Neubau Schaltanlage,0.0,80.0,"UW 110/10kV, 2x 40 MVA",vorgesehene Maßnahme,k.A.,0.0,"Münster, Nordrhein-Westfalen, Deutschland",51.9625101,7.6251879,True
Stadtnetze Münster GmbH,West,Nordrhein-Westfalen,Münster,HS,Ertüchtigungen Schaltanlage,0.0,0.0,110kV,vorgesehene Maßnahme,k.A.,0.0,"Münster, Nordrhein-Westfalen, Deutschland",51.9625101,7.6251879,True
Stadtnetze Münster GmbH,West,Nordrhein-Westfalen,Münster,HS,Ertüchtigungen Schaltanlage,0.0,0.0,110kV Schaltanlage,vorgesehene Maßnahme,k.A.,0.0,"Münster, Nordrhein-Westfalen, Deutschland",51.9625101,7.6251879,True
Stadtnetze Münster GmbH,West,Nordrhein-Westfalen,Münster,MS,Ertüchtigungen Schaltanlage,0.0,0.0,10kV Schaltanlage,vorgesehene Maßnahme,k.A.,0.0,"Münster, Nordrhein-Westfalen, Deutschland",51.9625101,7.6251879,True
