VNB-Name,Teilnetzgebiet,Bundesland,Ort / Trasse,Netzebene,Art der Maßnahme,Leitungslänge in km,Übertragungskapazität in MVA,"Netzkomponenten (z.B. UW,Trafo ;Anzahl/Typ)",Projektstatus,Zeithorizont,Kosten in Mio.€,location,latitude,longitude,passt
Stadtwerke Bochum Netz GmbH,West,Nordrhein-Westfalen,Laer/Mark 51°7,MS,Ertüchtigungen Leitungen; Ertüchtigungen Schaltanlage,0.0,0.0,"UW, Schaltanlage",abgeschlossen,2025,2.8,"Stadtteilmanagement Laer/Mark 51°7, 2, Am Kreuzacker, Laer, Bochum-Ost, Bochum, Nordrhein-Westfalen, 44803, Deutschland",51.4696744,7.2695856,True
Stadtwerke Bochum Netz GmbH,West,Nordrhein-Westfalen,Mark 51°7,MS,Neubau Leitungen,0.0,0.0,k.A.,abgeschlossen,2024,2.2,"MARK 51°7, Laer, Bochum-Ost, Bochum, Nordrhein-Westfalen, 44803, Deutschland",51.4670651,7.2636947,True
Stadtwerke Bochum Netz GmbH,West,Nordrhein-Westfalen,Q47,NS,Neubau Leitungen,0.0,0.0,k.A.,abgeschlossen,2023,0.36,"Nestlé Purina PetCare Deutschland GmbH, Euskirchen, Kreis Euskirchen, Nordrhein-Westfalen, 53879, Deutschland",50.6500082,6.7998285,True
Stadtwerke Bochum Netz GmbH,West,Nordrhein-Westfalen,Ostpark / Feldmark,MS,Neubau Leitungen,0.0,0.0,k.A.,abgeschlossen,2023,0.15,"Ostpark, Quartier Feldmark, Altenbochum, Bochum-Mitte, Bochum, Nordrhein-Westfalen, 44803, Deutschland",51.4755886,7.253105,True
Stadtwerke Bochum Netz GmbH,West,Nordrhein-Westfalen,Ostpark,NS,Neubau Leitungen,0.0,0.0,k.A.,abgeschlossen,2023,0.45,"Ostfriedhof, Berswordtplatz, Körne, Innenstadt Ost, Dortmund, Nordrhein-Westfalen, 44143, Deutschland",51.509755,7.4924389,True
Stadtwerke Bochum Netz GmbH,West,Nordrhein-Westfalen,Zum Schebbruch,MS/NS,Neubau Leitungen,0.0,0.0,k.A.,abgeschlossen,2024,0.28,"Zum Schebbruch, Querenburg, Bochum-Süd, Bochum, Nordrhein-Westfalen, 44801, Deutschland",51.4490859,7.2658599,True
Stadtwerke Bochum Netz GmbH,West,Nordrhein-Westfalen,Hustadtring,MS,Ertüchtigungen Schaltanlage,0.0,0.0,Schaltanlage,abgeschlossen,2023,0.5,"Hustadtring, Querenburg, Bochum-Süd, Bochum, Nordrhein-Westfalen, 44801, Deutschland",51.4487769,7.2575787,True
Stadtwerke Bochum Netz GmbH,West,Nordrhein-Westfalen,Castroper Hellweg,MS,Ertüchtigungen Schaltanlage,0.0,0.0,Schaltanlage,keine Genehmigung erforderlich,2024,0.56,"Castroper Hellweg, Grumme, Bochum-Nord, Bochum, Nordrhein-Westfalen, 44805, Deutschland",51.4967771,7.2562904,True
Stadtwerke Bochum Netz GmbH,West,Nordrhein-Westfalen,Axstraße,MS,Ertüchtigungen Schaltanlage,0.0,0.0,Schaltanlage,noch nicht eingeleitet,2024,0.5,"Axstraße, Linden, Bochum-Südwest, Bochum, Nordrhein-Westfalen, 44879, Deutschland",51.4258973,7.1580135,True
Stadtwerke Bochum Netz GmbH,West,Nordrhein-Westfalen,Rüsselsheimer Weg,NS,Neubau Leitungen,0.0,0.0,k.A.,abgeschlossen,2022,0.02,"Rüsselsheimer Weg, Eller, Stadtbezirk 8, Düsseldorf, Nordrhein-Westfalen, 40229, Deutschland",51.1994979,6.8241134,True
Stadtwerke Bochum Netz GmbH,West,Nordrhein-Westfalen,Lewacker Straße,NS,Neubau Leitungen,0.0,0.0,k.A.,abgeschlossen,2023,0.2,"Lewackerstraße, Dahlhausen, Bochum-Südwest, Bochum, Nordrhein-Westfalen, 44879, Deutschland",51.4231743,7.1461511,True
Stadtwerke Bochum Netz GmbH,West,Nordrhein-Westfalen,k.A.,MS,Ertüchtigungen Leitungen,0.0,0.0,k.A.,noch nicht eingeleitet,2028,20.49,"Nordrhein-Westfalen, Deutschland",51.4789205,7.5543751,True
Stadtwerke Bochum Netz GmbH,West,Nordrhein-Westfalen,k.A.,MS,Neubau Leitungen,0.0,0.0,k.A.,noch nicht eingeleitet,2028,8.77,"Nordrhein-Westfalen, Deutschland",51.4789205,7.5543751,True
Stadtwerke Bochum Netz GmbH,West,Nordrhein-Westfalen,k.A.,MS,Neubau Leitungen,0.0,0.0,k.A.,noch nicht eingeleitet,2028,8.16,"Nordrhein-Westfalen, Deutschland",51.4789205,7.5543751,True
Stadtwerke Bochum Netz GmbH,West,Nordrhein-Westfalen,UW Elbestr.,MS,Neubau UW,0.0,0.0,UW,noch nicht eingeleitet,2027,6.82,"UW Elbestraße, 36, Elbestraße, Harpen, Bochum-Nord, Bochum, Nordrhein-Westfalen, 44791, Deutschland",51.4896801,7.2554097,True
Stadtwerke Bochum Netz GmbH,West,Nordrhein-Westfalen,UW Elbestr.,MS,Neubau UW,0.0,0.0,UW,noch nicht eingeleitet,2034,2.71,"UW Elbestraße, 36, Elbestraße, Harpen, Bochum-Nord, Bochum, Nordrhein-Westfalen, 44791, Deutschland",51.4896801,7.2554097,True
