VNB-Name,Teilnetzgebiet,Bundesland,Ort / Trasse,Netzebene,Art der Maßnahme,Leitungslänge in km,Übertragungskapazität in MVA,"Netzkomponenten (z.B. UW,Trafo ;Anzahl/Typ)",Projektstatus,Zeithorizont,Kosten in Mio.€,location,latitude,longitude,passt
Stadtwerke Karlsruhe Netzservice GmbH,Südwest,Baden-Württemberg,k.A.,NS,Ertüchtigungen Leitungen,249.0,0.0,Freileitung durch Kabel ersetzt,im Bau,2032,62.25,"Baden-Württemberg, Deutschland",48.53775,9.041169,True
Stadtwerke Karlsruhe Netzservice GmbH,Südwest,Baden-Württemberg,k.A.,HS,Ertüchtigungen Leitungen,3.3,0.0,110-kV-Leitung,konkrete Planung,2026,4.125,"Baden-Württemberg, Deutschland",48.53775,9.041169,True
Stadtwerke Karlsruhe Netzservice GmbH,Südwest,Baden-Württemberg,k.A.,HS,Ertüchtigungen Leitungen,2.4,0.0,110-kV-Leitung,konkrete Planung,2027,3.0,"Baden-Württemberg, Deutschland",48.53775,9.041169,True
Stadtwerke Karlsruhe Netzservice GmbH,Südwest,Baden-Württemberg,k.A.,HS,Ertüchtigungen Leitungen,2.1,0.0,110-kV-Leitung,konkrete Planung,2028,2.625,"Baden-Württemberg, Deutschland",48.53775,9.041169,True
Stadtwerke Karlsruhe Netzservice GmbH,Südwest,Baden-Württemberg,k.A.,HS,Ertüchtigungen Leitungen,3.9,0.0,110-kV-Leitung,konkrete Planung,2027,4.875,"Baden-Württemberg, Deutschland",48.53775,9.041169,True
Stadtwerke Karlsruhe Netzservice GmbH,Südwest,Baden-Württemberg,Grünwinkel,HS,Ertüchtigungen Leitungen,2.9,0.0,110-kV-Leitung,konkrete Planung,2028,3.625,"Grünwinkel, Karlsruhe, Baden-Württemberg, 76189, Deutschland",49.0017745,8.3551901,True
Stadtwerke Karlsruhe Netzservice GmbH,Südwest,Baden-Württemberg,Grünwinkel,HS,Ertüchtigungen Leitungen,0.9,0.0,110-kV-Leitung,konkrete Planung,2025,1.125,"Grünwinkel, Karlsruhe, Baden-Württemberg, 76189, Deutschland",49.0017745,8.3551901,True
Stadtwerke Karlsruhe Netzservice GmbH,Südwest,Baden-Württemberg,k.A.,HS/MS,Ertüchtigungen Trafo,0.0,0.0,"dritter Trafo, Austausch bestehender",vorgesehene Maßnahme,2028,3.0,"Baden-Württemberg, Deutschland",48.53775,9.041169,True
Stadtwerke Karlsruhe Netzservice GmbH,Südwest,Baden-Württemberg,k.A.,HS/MS,Ertüchtigungen Trafo,0.0,0.0,"dritter Trafo, 110- und 20-kV-Schaltanlage",vorgesehene Maßnahme,2027,6.6,"Baden-Württemberg, Deutschland",48.53775,9.041169,True
Stadtwerke Karlsruhe Netzservice GmbH,Südwest,Baden-Württemberg,Durlach (Oberwald),HS/MS,Ertüchtigungen Trafo,0.0,0.0,"dritter Trafo, Austausch bestehender",vorgesehene Maßnahme,2034,5.4,"Umspannwerk Durlach, Killisfeld, Durlach, Karlsruhe, Baden-Württemberg, 76227, Deutschland",48.9865467,8.4459439,True
Stadtwerke Karlsruhe Netzservice GmbH,Südwest,Baden-Württemberg,Hohenwettersbach,MS,Neubau Leitungen,9.0,0.0,MS-Kabeltrasse mit zwei Systemen,konkrete Planung,2027,2.25,"Hohenwettersbach, Karlsruhe, Baden-Württemberg, 76228, Deutschland",48.966316,8.4807718,True
