VNB-Name,Teilnetzgebiet,Bundesland,Ort / Trasse,Netzebene,Art der Maßnahme,Leitungslänge in km,Übertragungskapazität in MVA,"Netzkomponenten (z.B. UW,Trafo ;Anzahl/Typ)",Projektstatus,Zeithorizont,Kosten in Mio.€,location,latitude,longitude,passt
Stadtwerke Saarbrücken Netz AG,West,Saarland,Bahnhof Neuhaus,MS,Ertüchtigungen Leitungen,1.46,1.8,k.A.,abgeschlossen,2023,0.0,"Bahnhof Neuhaus, Jägersfreude, Herrensohr, Bezirk Dudweiler, Saarbrücken, Regionalverband Saarbrücken, Saarland, 66115, Deutschland",49.275635,6.9966324,True
Stadtwerke Saarbrücken Netz AG,West,Saarland,Eschbergerweg 2 - 32,MS/NS,Ertüchtigungen Leitungen,0.43,0.0,k.A.,vorgesehene Maßnahme,2026,0.0,"Eschbergerweg, Kaninchenberg, St. Johann, Bezirk Mitte, Saarbrücken, Regionalverband Saarbrücken, Saarland, 66121, Deutschland",49.2289334,7.029965,True
Stadtwerke Saarbrücken Netz AG,West,Saarland,Gersweiler Brücke,NS,Ertüchtigungen Leitungen,0.08,0.1,k.A.,vorgesehene Maßnahme,2026,0.0,"Gersweiler Brücke, Am Güterbahnhof, Alt-Saarbrücken, Bezirk Mitte, Saarbrücken, Regionalverband Saarbrücken, Saarland, 66128, Deutschland",49.2376816,6.9429093,True
Stadtwerke Saarbrücken Netz AG,West,Saarland,Lieserer Weg 6-28,NS,Ertüchtigungen Leitungen,0.18,0.1,k.A.,vorgesehene Maßnahme,2026,0.0,"Lieserer Weg, Rastpfuhl, Malstatt, Bezirk Mitte, Saarbrücken, Regionalverband Saarbrücken, Saarland, 66113, Deutschland",49.2580857,6.9629633,True
Stadtwerke Saarbrücken Netz AG,West,Saarland,St.Albert-Straße 42-96,NS,Ertüchtigungen Leitungen,0.21,0.1,k.A.,konkrete Planung,2024,0.0,"St.-Albert-Straße, Rodenhof, Malstatt, Bezirk Mitte, Saarbrücken, Regionalverband Saarbrücken, Saarland, 66113, Deutschland",49.2479438,6.9933199,True
Stadtwerke Saarbrücken Netz AG,West,Saarland,St.Albert-Straße 73-101,NS,Ertüchtigungen Leitungen,0.21,0.1,k.A.,konkrete Planung,2024,0.0,"St.-Albert-Straße, Rodenhof, Malstatt, Bezirk Mitte, Saarbrücken, Regionalverband Saarbrücken, Saarland, 66113, Deutschland",49.2479438,6.9933199,True
Stadtwerke Saarbrücken Netz AG,West,Saarland,Dudweiler-Landstr. 155 - KVS 3707,NS,Ertüchtigungen Leitungen,0.05,0.1,k.A.,vorgesehene Maßnahme,2026,0.0,"155, Dudweiler Landstraße, Am Homburg, St. Johann, Bezirk Mitte, Saarbrücken, Regionalverband Saarbrücken, Saarland, 66123, Deutschland",49.2508674,7.0059022,True
Stadtwerke Saarbrücken Netz AG,West,Saarland,Kobenhüttenweg 29 - KVS 5010,NS,Ertüchtigungen Leitungen,0.33,0.1,k.A.,abgeschlossen,2023,0.0,"29, Kobenhüttenweg, Rotenbühl, St. Johann, Bezirk Mitte, Saarbrücken, Regionalverband Saarbrücken, Saarland, 66123, Deutschland",49.2376827,7.0253233,True
Stadtwerke Saarbrücken Netz AG,West,Saarland,Neugässchen 2-4,NS,Ertüchtigungen Leitungen,0.06,0.1,k.A.,vorgesehene Maßnahme,2026,0.0,"Neugäßchen, Mainzer Straße, St. Johann, Bezirk Mitte, Saarbrücken, Regionalverband Saarbrücken, Saarland, 66111, Deutschland",49.2316828,7.000776,True
Stadtwerke Saarbrücken Netz AG,West,Saarland,Scheidter Strasse 64 - 4,MS/NS,Ertüchtigungen Leitungen,0.43,1.8,k.A.,im Bau,2025,0.0,"Scheidter Straße, Scheidterberg, Scheidt, Bezirk Dudweiler, Saarbrücken, Regionalverband Saarbrücken, Saarland, 66133, Deutschland",49.2415435,7.065619,True
Stadtwerke Saarbrücken Netz AG,West,Saarland,Grossherzog-Friedrich-Strasse 33-53,NS,Ertüchtigungen Leitungen,0.15,0.1,k.A.,vorgesehene Maßnahme,2026,0.0,"Großherzog-Friedrich-Straße, Am Staden, St. Johann, Bezirk Mitte, Saarbrücken, Regionalverband Saarbrücken, Saarland, 66121, Deutschland",49.2303091,7.011779,True
Stadtwerke Saarbrücken Netz AG,West,Saarland,Scheidter Strasse 35-71,NS,Ertüchtigungen Leitungen,0.15,0.1,k.A.,vorgesehene Maßnahme,2026,0.0,"Scheidter Straße, Scheidterberg, Scheidt, Bezirk Dudweiler, Saarbrücken, Regionalverband Saarbrücken, Saarland, 66133, Deutschland",49.2415435,7.065619,True
