VNB-Name,Teilnetzgebiet,Bundesland,Ort / Trasse,Netzebene,Art der Maßnahme,Leitungslänge in km,Übertragungskapazität in MVA,"Netzkomponenten (z.B. UW,Trafo ;Anzahl/Typ)",Projektstatus,Zeithorizont,Kosten in Mio.€,location,latitude,longitude,passt
Stadtwerke Ulm/Neu-Ulm Netze GmbH,Südwest,Baden-Württemberg,k.A.,HS,Neubau Kompensationsspule,0.0,0.0,E-Spule 110 kV,vorgesehene Maßnahme,2027,0.0,"Baden-Württemberg, Deutschland",48.53775,9.041169,True
Stadtwerke Ulm/Neu-Ulm Netze GmbH,Südwest,Baden-Württemberg,k.A.,HS/MS,Ertüchtigungen Trafo,0.0,40.0,Ersatztrafo,vorgesehene Maßnahme,2026,0.0,"Baden-Württemberg, Deutschland",48.53775,9.041169,True
Stadtwerke Ulm/Neu-Ulm Netze GmbH,Südwest,Baden-Württemberg,k.A.,HS/MS,Ertüchtigungen Trafo,0.0,40.0,Ersatztrafo,vorgesehene Maßnahme,2026,0.0,"Baden-Württemberg, Deutschland",48.53775,9.041169,True
Stadtwerke Ulm/Neu-Ulm Netze GmbH,Südwest,Baden-Württemberg,k.A.,HS/MS,Ertüchtigungen UW,0.0,0.0,Umspannwerk,noch nicht eingeleitet,2031,0.0,"Baden-Württemberg, Deutschland",48.53775,9.041169,True
Stadtwerke Ulm/Neu-Ulm Netze GmbH,Südwest,Baden-Württemberg,k.A.,MS,Neubau Leitungen,8.0,20.0,10-kV-Kabel,vorgesehene Maßnahme,2031,0.0,"Baden-Württemberg, Deutschland",48.53775,9.041169,True
Stadtwerke Ulm/Neu-Ulm Netze GmbH,Südwest,Baden-Württemberg,Dellmensingen,HS/MS,Neubau Trafo,0.0,40.0,Neubau Trafo,vorgesehene Maßnahme,2026,0.0,"Dellmensingen, Erbach, Alb-Donau-Kreis, Baden-Württemberg, Deutschland",48.3006653,9.9098326,True
Stadtwerke Ulm/Neu-Ulm Netze GmbH,Südwest,Baden-Württemberg,Böfinger Halde,MS,Ertüchtigungen UW,0.0,0.0,Schutz- und Leittechnik,im Bau,2024,0.0,"Böfinger Halde, Wohnquartier am Lettenwald, Böfingen, Ulm, Baden-Württemberg, 89075, Deutschland",48.4290332,10.0305225,True
Stadtwerke Ulm/Neu-Ulm Netze GmbH,Südwest,Baden-Württemberg,Dellmensingen,HS,Neubau Kompensationsspule,0.0,0.0,E-Spule 110 kV,vorgesehene Maßnahme,2025,0.0,"Dellmensingen, Erbach, Alb-Donau-Kreis, Baden-Württemberg, Deutschland",48.3006653,9.9098326,True
Stadtwerke Ulm/Neu-Ulm Netze GmbH,Südwest,Baden-Württemberg,Dellmensingen,HS/MS,Neubau UW,0.0,40.0,neues Umspannwerk,noch nicht eingeleitet,2028,0.0,"Dellmensingen, Erbach, Alb-Donau-Kreis, Baden-Württemberg, Deutschland",48.3006653,9.9098326,True
Stadtwerke Ulm/Neu-Ulm Netze GmbH,Südwest,Baden-Württemberg,Eggingen/Ermingen,HS/MS,Neubau UW,0.0,40.0,neues Umspannwerk,noch nicht eingeleitet,2028,0.0,"SV Eggingen, Erminger Straße, Neubaugebiet Steinfeldstraße - Ulmer Weg, Eggingen, Ulm, Baden-Württemberg, 89079, Deutschland",48.3689564,9.87938,True
Stadtwerke Ulm/Neu-Ulm Netze GmbH,Südwest,Baden-Württemberg,Donaustetten,HS/MS,Neubau UW,0.0,40.0,neues Umspannwerk,noch nicht eingeleitet,2031,0.0,"Donaustetten, Gögglingen-Donaustetten, Ulm, Baden-Württemberg, Deutschland",48.3306392,9.9350202,True
Stadtwerke Ulm/Neu-Ulm Netze GmbH,Südwest,Baden-Württemberg,k.A.,HS,Neubau Leitungen,10.0,100.0,110-kV Kabel,noch nicht eingeleitet,2027,0.0,"Baden-Württemberg, Deutschland",48.53775,9.041169,True
Stadtwerke Ulm/Neu-Ulm Netze GmbH,Südwest,Baden-Württemberg,k.A.,HS,Neubau Leitungen,6.0,100.0,110-kV Kabel,noch nicht eingeleitet,2027,0.0,"Baden-Württemberg, Deutschland",48.53775,9.041169,True
Stadtwerke Ulm/Neu-Ulm Netze GmbH,Südwest,Baden-Württemberg,Dornstadt,HS,Neubau Leitungen,0.0,100.0,110-kV Kabel,weggefallene Maßnahme,2027,0.0,"Dornstadt, VVG der Gemeinde Dornstadt, Alb-Donau-Kreis, Baden-Württemberg, 89160, Deutschland",48.4656356,9.9431286,True
Stadtwerke Ulm/Neu-Ulm Netze GmbH,Südwest,Baden-Württemberg,k.A.,HS,Neubau Leitungen,12.0,100.0,110-kV Kabel,noch nicht eingeleitet,2027,0.0,"Baden-Württemberg, Deutschland",48.53775,9.041169,True
Stadtwerke Ulm/Neu-Ulm Netze GmbH,Südwest,Baden-Württemberg,k.A.,HS,Neubau Leitungen,14.0,100.0,110-kV Kabel,noch nicht eingeleitet,2027,0.0,"Baden-Württemberg, Deutschland",48.53775,9.041169,True
Stadtwerke Ulm/Neu-Ulm Netze GmbH,Südwest,Baden-Württemberg,k.A.,HS,Neubau Leitungen,8.0,100.0,110-kV Kabel,noch nicht eingeleitet,2027,0.0,"Baden-Württemberg, Deutschland",48.53775,9.041169,True
Stadtwerke Ulm/Neu-Ulm Netze GmbH,Südwest,Baden-Württemberg,Dellmensingen,HS,Neubau Leitungen,0.0,100.0,110-kV Kabel,weggefallene Maßnahme,2027,0.0,"Dellmensingen, Erbach, Alb-Donau-Kreis, Baden-Württemberg, Deutschland",48.3006653,9.9098326,True
Stadtwerke Ulm/Neu-Ulm Netze GmbH,Südwest,Baden-Württemberg,k.A.,MS,Ertüchtigungen Schaltanlage,0.0,10.0,20-kV-Anlage,konkrete Planung,2025,0.0,"Baden-Württemberg, Deutschland",48.53775,9.041169,True
Stadtwerke Ulm/Neu-Ulm Netze GmbH,Südwest,Baden-Württemberg,k.A.,MS,Ertüchtigungen Schaltanlage,0.0,20.0,10-kV-Anlage,vorgesehene Maßnahme,2028,0.0,"Baden-Württemberg, Deutschland",48.53775,9.041169,True
Stadtwerke Ulm/Neu-Ulm Netze GmbH,Südwest,Baden-Württemberg,k.A.,MS,Ertüchtigungen Schaltanlage,0.0,20.0,10-kV-Anlage,vorgesehene Maßnahme,2028,0.0,"Baden-Württemberg, Deutschland",48.53775,9.041169,True
Stadtwerke Ulm/Neu-Ulm Netze GmbH,Südwest,Baden-Württemberg,Eisenlauer Weg 9,MS,Ertüchtigungen Schaltanlage,0.0,5.0,10-kV-Anlage,konkrete Planung,2025,0.0,"Eisenlauer Weg, Halzhausen, Lonsee, Gemeindeverwaltungsverband Lonsee-Amstetten, Alb-Donau-Kreis, Baden-Württemberg, 89173, Deutschland",48.5205253,9.9285391,True
Stadtwerke Ulm/Neu-Ulm Netze GmbH,Südwest,Baden-Württemberg,Ulm + Blaustein,MS,Neubau Leitungen,29.0,0.0,10-kV-Kabel,vorgesehene Maßnahme,2028,0.0,"Comfort-Hotel Ulm/Blaustein, 4/1, Ulmer Straße, Klingenstein, Ehrenstein, Herrlingen, Blaustein, Alb-Donau-Kreis, Baden-Württemberg, 89134, Deutschland",48.4209165,9.9074421,True
Stadtwerke Ulm/Neu-Ulm Netze GmbH,Südwest,Baden-Württemberg,Ulm + Blaustein,MS,Ertüchtigungen Leitungen,46.0,0.0,10-kV-Kabel,vorgesehene Maßnahme,2028,0.0,"Comfort-Hotel Ulm/Blaustein, 4/1, Ulmer Straße, Klingenstein, Ehrenstein, Herrlingen, Blaustein, Alb-Donau-Kreis, Baden-Württemberg, 89134, Deutschland",48.4209165,9.9074421,True
Stadtwerke Ulm/Neu-Ulm Netze GmbH,Südwest,Baden-Württemberg,Ulm + Blaustein,MS/NS,Neubau Trafo,0.0,22.4,Transformator,vorgesehene Maßnahme,2028,0.0,"Comfort-Hotel Ulm/Blaustein, 4/1, Ulmer Straße, Klingenstein, Ehrenstein, Herrlingen, Blaustein, Alb-Donau-Kreis, Baden-Württemberg, 89134, Deutschland",48.4209165,9.9074421,True
Stadtwerke Ulm/Neu-Ulm Netze GmbH,Südwest,Baden-Württemberg,Ulm + Blaustein,MS/NS,Ertüchtigungen Trafo,0.0,0.0,Transformator,vorgesehene Maßnahme,2028,0.0,"Comfort-Hotel Ulm/Blaustein, 4/1, Ulmer Straße, Klingenstein, Ehrenstein, Herrlingen, Blaustein, Alb-Donau-Kreis, Baden-Württemberg, 89134, Deutschland",48.4209165,9.9074421,True
