VNB-Name,Teilnetzgebiet,Bundesland,Ort / Trasse,Netzebene,Art der Maßnahme,Leitungslänge in km,Übertragungskapazität in MVA,"Netzkomponenten (z.B. UW,Trafo ;Anzahl/Typ)",Projektstatus,Zeithorizont,Kosten in Mio.€,location,latitude,longitude,passt
Stadtwerke Wiesbaden Netz GmbH,West,Hessen,k.A.,MS,Neubau Leitungen,0.0,0.0,Kabel,vorgesehene Maßnahme noch nicht eingeleitet,2028,0.0,"Hessen, Deutschland",50.6080651,9.0284647,True
Stadtwerke Wiesbaden Netz GmbH,West,Hessen,k.A.,NS,Neubau Leitungen,0.0,0.0,Kabel,"vorgesehene Maßnahme, keine Genehmigung erforderlich",2028,0.0,"Hessen, Deutschland",50.6080651,9.0284647,True
Stadtwerke Wiesbaden Netz GmbH,West,Hessen,k.A.,MS,Ertüchtigungen Leitungen,0.0,0.0,Kabel,vorgesehene Maßnahme noch nicht eingeleitet,2028,0.0,"Hessen, Deutschland",50.6080651,9.0284647,True
Stadtwerke Wiesbaden Netz GmbH,West,Hessen,k.A.,NS,Ertüchtigungen Leitungen,0.0,0.0,Kabel,vorgesehene Maßnahme noch nicht eingeleitet,2028,0.0,"Hessen, Deutschland",50.6080651,9.0284647,True
Stadtwerke Wiesbaden Netz GmbH,West,Hessen,k.A.,HS,Ertüchtigungen Leitungen,0.0,0.0,Kabel,vorgesehene Maßnahme noch nicht eingeleitet,2033,0.0,"Hessen, Deutschland",50.6080651,9.0284647,True
Stadtwerke Wiesbaden Netz GmbH,West,Hessen,k.A.,NS,Ertüchtigungen Schaltanlage,0.0,0.0,Umspannstationen,vorgesehene Maßnahme noch nicht eingeleitet,2028,0.0,"Hessen, Deutschland",50.6080651,9.0284647,True
Stadtwerke Wiesbaden Netz GmbH,West,Hessen,Bierstadt,HS,Neubau Leitungen,0.0,0.0,Kabel,im Bau abgeschlossen,2024,0.0,"Bierstadt, Wiesbaden, Hessen, 65191, Deutschland",50.0855871,8.2775925,True
Stadtwerke Wiesbaden Netz GmbH,West,Hessen,k.A.,HS,Neubau Leitungen,0.0,0.0,Freileitung,konkrete Planung bereits eingeleitet,2027,0.0,"Hessen, Deutschland",50.6080651,9.0284647,True
Stadtwerke Wiesbaden Netz GmbH,West,Hessen,Rüsselsheim,HS,Neubau Leitungen,0.0,0.0,Kabel,konkrete Planung bereits eingeleitet,2027,0.0,"Rüsselsheim, Rüsselsheim am Main, Kreis Groß-Gerau, Hessen, 65428, Deutschland",49.991701,8.4138251,True
Stadtwerke Wiesbaden Netz GmbH,West,Hessen,"Wiesbaden, Schierstein",HS/MS,Ertüchtigungen Trafo,0.0,0.0,2 Trafos,"konkrete Planung, keine Genehmigung erforderlich",2027,0.0,"Wiesbaden-Schierstein, Dachsbergstraße, Krembergstraße, Schierstein, Wiesbaden, Hessen, 65201, Deutschland",50.0476181,8.1950514,True
Stadtwerke Wiesbaden Netz GmbH,West,Hessen,"Wiesbaden, Berliner Straße",HS/MS,Neubau UW,0.0,0.0,"UW, HS/MS-Schaltanlage, Trafo",konkrete Planung bereits eingeleitet,2030,0.0,"Berliner Str. 231, 65205 Wiesbaden-Erbenheim, Berliner Straße, Erbenheim, Wiesbaden, Hessen, 65205, Deutschland",50.0572033,8.2930944,True
Stadtwerke Wiesbaden Netz GmbH,West,Hessen,"Wiesbaden, Nordenstadt",HS/MS,Neubau UW,0.0,0.0,"UW, HS/MS-Schaltanlage, Trafo",vorgesehene Maßnahme noch nicht eingeleitet,2033,0.0,"Hunsrückstr. 54, 65205 Wiesbaden, Hunsrückstraße, Nordenstadt, Wiesbaden, Hessen, 65205, Deutschland",50.063553,8.3478816,True
Stadtwerke Wiesbaden Netz GmbH,West,Hessen,"Wiesbaden, Nordenstadt",HS,Neubau Leitungen,0.0,0.0,Kabel,vorgesehene Maßnahme noch nicht eingeleitet,2028,0.0,"Hunsrückstr. 54, 65205 Wiesbaden, Hunsrückstraße, Nordenstadt, Wiesbaden, Hessen, 65205, Deutschland",50.063553,8.3478816,True
Stadtwerke Wiesbaden Netz GmbH,West,Rheinland-Pfalz,"Mainz, Kurfürstenstraße",HS/MS,Ertüchtigungen Trafo,0.0,0.0,1 Trafo,"konkrete Planung, keine Genehmigung erforderlich",2026,0.0,"DMB-Mieterschutzverein Mainz und Umgebung e.V., 8, Kurfürstenstraße, Neustadt, Mainz, Rheinland-Pfalz, 55118, Deutschland",50.005417,8.2591141,True
Stadtwerke Wiesbaden Netz GmbH,West,Hessen,Wiesbaden,HS/MS,Neubau UW,0.0,0.0,"UW, HS/MS-Schaltanlage, Trafo",konkrete Planung bereits eingeleitet,2026,0.0,"Wiesbaden, Hessen, Deutschland",50.0820384,8.2416556,True
Stadtwerke Wiesbaden Netz GmbH,West,Hessen,Wiesbaden,HS/MS,Neubau UW,0.0,0.0,"UW, HS/MS-Schaltanlage, Trafo",vorgesehene Maßnahme noch nicht eingeleitet,2033,0.0,"Wiesbaden, Hessen, Deutschland",50.0820384,8.2416556,True
