VNB-Name,Teilnetzgebiet,Bundesland,Ort / Trasse,Netzebene,Art der Maßnahme,Leitungslänge in km,Übertragungskapazität in MVA,"Netzkomponenten (z.B. UW,Trafo ;Anzahl/Typ)",Projektstatus,Zeithorizont,Kosten in Mio.€,location,latitude,longitude,passt
Stuttgart Netze GmbH,Südwest,Baden-Württemberg,Weilimdorf,HS,Neubau Leitungen,0.0,0.0,zweite Leitung,konkrete Planung,2026,0.0,"Weilimdorf, Stuttgart, Baden-Württemberg, 70499, Deutschland",48.815276,9.112444,True
Stuttgart Netze GmbH,Südwest,Baden-Württemberg,Fasanenhof-Möhringen,HS,Neubau Leitungen,0.0,0.0,"Ersatzkabel, 2 Phasen",konkrete Planung,2029,0.0,"NTT DATA Deutschland, 2, Zettachring, Fasanenhof, Möhringen, Stuttgart, Baden-Württemberg, 70567, Deutschland",48.7094992,9.1696513,True
Stuttgart Netze GmbH,Südwest,Baden-Württemberg,Birkach-Degerloch,HS,Neubau Leitungen,0.0,0.0,neue Leitung,konkrete Planung,2024,0.0,"TSV Birkach, Taldorfer Straße, Hoffeld, Schönberg, Birkach, Stuttgart, Baden-Württemberg, 70599, Deutschland",48.7297291,9.1982274,True
Stuttgart Netze GmbH,Südwest,Baden-Württemberg,k.A.,HS,Ertüchtigungen Leitungen,0.0,0.0,Ersatz durch vVPE-Kabel,abgeschlossen,2023,0.0,"Baden-Württemberg, Deutschland",48.53775,9.041169,True
Stuttgart Netze GmbH,Südwest,Baden-Württemberg,Degerloch,HS,Ertüchtigungen Leitungen,0.0,0.0,Ersatz durch vVPE-Kabel,konkrete Planung,2025,0.0,"Degerloch, Stuttgart, Baden-Württemberg, 70597, Deutschland",48.749597,9.1703452,True
Stuttgart Netze GmbH,Südwest,Baden-Württemberg,Birkach,HS/MS,Ertüchtigungen UW,0.0,0.0,Kompletterneuerung inkl. Trafos,konkrete Planung,2024,0.0,"Birkach, Stuttgart, Baden-Württemberg, Deutschland",48.728303,9.2031875,True
Stuttgart Netze GmbH,Südwest,Baden-Württemberg,Stöckach,HS/MS,Ertüchtigungen UW,0.0,0.0,Kompletterneuerung ohne Trafos,konkrete Planung,2025,0.0,"Stockach, Verwaltungsgemeinschaft Stockach, Landkreis Konstanz, Baden-Württemberg, 78333, Deutschland",47.8530941,9.0134524,True
Stuttgart Netze GmbH,Südwest,Baden-Württemberg,Salzwiesen,HS/MS,Ertüchtigungen UW,0.0,0.0,MS-Erneuerung,abgeschlossen,2022,0.0,"Salzwiesen, Weil der Stadt (Kernstadt), Weil der Stadt, Landkreis Böblingen, Baden-Württemberg, 71263, Deutschland",48.7476694,8.8638015,True
Stuttgart Netze GmbH,Südwest,Baden-Württemberg,Solitude,MS,Ertüchtigungen Leitungen,0.0,0.0,Erneuerung MS-Anlage,im Bau,2022,0.0,"Solitude, Stuttgart-West, Stuttgart, Baden-Württemberg, Deutschland",48.7906547,9.0918472,True
Stuttgart Netze GmbH,Südwest,Baden-Württemberg,Wolfbusch,MS,Ertüchtigungen Leitungen,0.0,0.0,Erneuerung MS-Anlage,konkrete Planung,2025,0.0,"Wolfbusch, Weilimdorf, Stuttgart, Baden-Württemberg, Deutschland",48.8052172,9.1085943,True
Stuttgart Netze GmbH,Südwest,Baden-Württemberg,k.A.,MS,Ertüchtigungen Leitungen,0.0,0.0,MS-Kabelerneuerung,im Bau,2022,0.0,"Baden-Württemberg, Deutschland",48.53775,9.041169,True
Stuttgart Netze GmbH,Südwest,Baden-Württemberg,k.A.,MS,Neubau Leitungen,0.0,0.0,MS-Kabelneuanschluss,im Bau,2022,0.0,"Baden-Württemberg, Deutschland",48.53775,9.041169,True
Stuttgart Netze GmbH,Südwest,Baden-Württemberg,k.A.,HS/MS,Ertüchtigungen UW,0.0,0.0,Kompletterneuerung inkl. Trafos,im Bau,2016,0.0,"Baden-Württemberg, Deutschland",48.53775,9.041169,True
