VNB-Name,Teilnetzgebiet,Bundesland,Ort / Trasse,Netzebene,Art der Maßnahme,Leitungslänge in km,Übertragungskapazität in MVA,"Netzkomponenten (z.B. UW,Trafo ;Anzahl/Typ)",Projektstatus,Zeithorizont,Kosten in Mio.€,location,latitude,longitude,passt
Syna GmbH,Südwest,Hessen,Höchst Schwanheim,HS,Neubau UW,0.0,0.0,UW,im Bau,2024,8.3,"Industriepark Höchst, Schwanheim, West, Frankfurt am Main, Hessen, 65929, Deutschland",50.0858144,8.5408475,True
Syna GmbH,Südwest,Hessen,Niedernhausen,HS,Neubau Leitungen,12.0,240.0,k.A.,konkrete Planung,2027,25.0,"Niedernhausen, Rheingau-Taunus-Kreis, Hessen, 65527, Deutschland",50.1614795,8.3175102,True
Syna GmbH,Südwest,Hessen,Kastengrund,HS,Neubau Leitungen,8.3,200.0,k.A.,im Bau,2026,31.1,"Kastengrund, Mainzer Landstraße, Hattersheim, Hattersheim am Main, Main-Taunus-Kreis, Hessen, 65795, Deutschland",50.0561097,8.4570878,True
Syna GmbH,Südwest,Hessen,k.A.,HS,Ertüchtigungen Leitungen,7.0,160.0,k.A.,konkrete Planung,k.A.,3.35,"Hessen, Deutschland",50.6080651,9.0284647,True
Syna GmbH,Südwest,Hessen,k.A.,HS,Ertüchtigungen Leitungen,1.9,55.0,k.A.,im Bau,2024,2.0,"Hessen, Deutschland",50.6080651,9.0284647,True
Syna GmbH,Südwest,Hessen,Niederhöchstadt,HS,Ertüchtigungen UW,0.0,80.0,UW,abgeschlossen,2024,6.3,"Niederhöchstadt, Altkönigweg, Niederhöchstadt, Eschborn, Main-Taunus-Kreis, Hessen, 65760, Deutschland",50.1546433,8.5467913,True
Syna GmbH,Südwest,Hessen,k.A.,HS,Ertüchtigungen Leitungen,17.0,200.0,k.A.,konkrete Planung,2025,4.4,"Hessen, Deutschland",50.6080651,9.0284647,True
Syna GmbH,Südwest,Hessen,Industriepark Griesheim,HS,Neubau Leitungen,2.4,200.0,k.A.,konkrete Planung,2027,35.0,"Frankfurt Westside, 27, Griesheim, West, Frankfurt am Main, Hessen, 65933, Deutschland",50.0933295,8.5878734,True
Syna GmbH,Südwest,Hessen,Griesheim,HS,Neubau UW,0.0,180.0,UW,im Bau,2025,5.0,"Griesheim, Landkreis Darmstadt-Dieburg, Hessen, 64347, Deutschland",49.8615899,8.5762043,True
Syna GmbH,Südwest,Hessen,k.A.,HS,Ertüchtigungen Leitungen,0.7,75.0,k.A.,konkrete Planung,2026,1.0,"Hessen, Deutschland",50.6080651,9.0284647,True
