VNB-Name,Teilnetzgebiet,Bundesland,Ort / Trasse,Netzebene,Art der Maßnahme,Leitungslänge in km,Übertragungskapazität in MVA,"Netzkomponenten (z.B. UW,Trafo ;Anzahl/Typ)",Projektstatus,Zeithorizont,Kosten in Mio.€,location,latitude,longitude,passt
TraveNetz GmbH,Nord,Schleswig-Holstein,Rothebek,HS,Ertüchtigung UW,0.0,0.0,1,vorgesehene Maßnahme,2028,5.0,"Rothebek, Sankt Jürgen, Hüxtertor / Mühlentor / Gärtnergasse, Sankt Jürgen, Lübeck, Schleswig-Holstein, 23560, Deutschland",53.8430653,10.6724665,True
TraveNetz GmbH,Nord,Schleswig-Holstein,Reinfeld,HS,Ertüchtigung UW,0.0,0.0,1,vorgesehene Maßnahme,2030,10.0,"Reinfeld, Kreis Stormarn, Schleswig-Holstein, 23858, Deutschland",53.8300555,10.4869517,True
TraveNetz GmbH,Nord,Schleswig-Holstein,k.A.,HS,Ertüchtigung UW,0.0,0.0,1,vorgesehene Maßnahme,2029,9.0,"Schleswig-Holstein, Deutschland",54.1853998,9.8220089,True
TraveNetz GmbH,Nord,Schleswig-Holstein,k.A.,HS,Neubau Leitungen,0.0,0.0,k.A.,vorgesehene Maßnahme,2030,6.0,"Schleswig-Holstein, Deutschland",54.1853998,9.8220089,True
TraveNetz GmbH,Nord,Schleswig-Holstein,Oldesloe,HS,Ertüchtigung UW,0.0,0.0,1,vorgesehene Maßnahme,2031,5.0,"Bad Oldesloe, Kreis Stormarn, Schleswig-Holstein, 23843, Deutschland",53.8096562,10.3733692,True
TraveNetz GmbH,Nord,Schleswig-Holstein,Waisenallee,HS,Neubau Leitungen,0.0,0.0,k.A.,vorgesehene Maßnahme,2033,4.5,"Waisenallee, Sankt Lorenz Nord, Holstentor-Nord, Sankt Lorenz Nord, Lübeck, Schleswig-Holstein, 23556, Deutschland",53.8735464,10.6639454,True
TraveNetz GmbH,Nord,Schleswig-Holstein,k.A.,MS,Ertüchtigung Leitungen,0.0,0.0,k.A.,vorgesehene Maßnahme,2029,16.0,"Schleswig-Holstein, Deutschland",54.1853998,9.8220089,True
TraveNetz GmbH,Nord,Schleswig-Holstein,k.A.,MS,Neubau Leitungen,0.0,0.0,k.A.,vorgesehene Maßnahme,2028,16.0,"Schleswig-Holstein, Deutschland",54.1853998,9.8220089,True
TraveNetz GmbH,Nord,Schleswig-Holstein,k.A.,HS,Neubau Schaltanlage,0.0,0.0,1,vorgesehene Maßnahme,2028,23.0,"Schleswig-Holstein, Deutschland",54.1853998,9.8220089,True
TraveNetz GmbH,Nord,Schleswig-Holstein,k.A.,HS,Ertüchtigung Leitungen,0.0,0.0,k.A.,vorgesehene Maßnahme,2028,3.0,"Schleswig-Holstein, Deutschland",54.1853998,9.8220089,True
TraveNetz GmbH,Nord,Schleswig-Holstein,k.A.,MS,Ertüchtigung Leitungen,0.0,0.0,k.A.,vorgesehene Maßnahme,2028,31.0,"Schleswig-Holstein, Deutschland",54.1853998,9.8220089,True
TraveNetz GmbH,Nord,Schleswig-Holstein,Stockelsdorf,MS,Ertüchtigung UW,0.0,0.0,1,vorgesehene Maßnahme,2025,4.0,"Stockelsdorf, Kreis Ostholstein, Schleswig-Holstein, 23617, Deutschland",53.8981783,10.6437687,True
TraveNetz GmbH,Nord,Schleswig-Holstein,Stockelsdorf,MS,Ertüchtigung Leitungen,0.0,0.0,k.A.,vorgesehene Maßnahme,2025,5.0,"Stockelsdorf, Kreis Ostholstein, Schleswig-Holstein, 23617, Deutschland",53.8981783,10.6437687,True
TraveNetz GmbH,Nord,Schleswig-Holstein,St. Lorenz Nord,MS,Ertüchtigung UW,0.0,0.0,1,vorgesehene Maßnahme,2033,2.8,"Sankt Lorenz Nord, Lübeck, Schleswig-Holstein, Deutschland",53.882565,10.5993784,True
TraveNetz GmbH,Nord,Schleswig-Holstein,Teutendorf,MS,Ertüchtigung UW,0.0,0.0,1,vorgesehene Maßnahme,2035,0.8,"Teutendorf, Lübeck, Schleswig-Holstein, 23570, Deutschland",53.9644774,10.8385199,True
TraveNetz GmbH,Nord,Schleswig-Holstein,Herrenwyk,MS,Ertüchtigung UW,0.0,0.0,1,vorgesehene Maßnahme,2027,2.5,"Herrenwyk, Kücknitz, Lübeck, Schleswig-Holstein, Deutschland",53.9009554,10.8036467,True
TraveNetz GmbH,Nord,Schleswig-Holstein,Reinfeld,MS,Ertüchtigung UW,0.0,0.0,1,vorgesehene Maßnahme,2024,2.0,"Reinfeld, Kreis Stormarn, Schleswig-Holstein, 23858, Deutschland",53.8300555,10.4869517,True
TraveNetz GmbH,Nord,Schleswig-Holstein,Ratzeburg,MS,Ertüchtigung UW,0.0,0.0,1,vorgesehene Maßnahme,2025,0.9,"Ratzeburg, Kreis Herzogtum Lauenburg, Schleswig-Holstein, Deutschland",53.7011061,10.774288,True
TraveNetz GmbH,Nord,Schleswig-Holstein,Buntekuh,MS,Neubau Schaltanlage,0.0,0.0,1,vorgesehene Maßnahme,2030,1.6,"Buntekuh, Lübeck, Schleswig-Holstein, Deutschland",53.8556227,10.6303766,True
TraveNetz GmbH,Nord,Schleswig-Holstein,k.A.,MS,Ertüchtigung UW,0.0,0.0,1,vorgesehene Maßnahme,2032,4.5,"Schleswig-Holstein, Deutschland",54.1853998,9.8220089,True
TraveNetz GmbH,Nord,Schleswig-Holstein,k.A.,MS,Ertüchtigung Leitungen,0.0,0.0,k.A.,vorgesehene Maßnahme,2028,1.1,"Schleswig-Holstein, Deutschland",54.1853998,9.8220089,True
TraveNetz GmbH,Nord,Schleswig-Holstein,k.A.,MS,Neubau Schaltanlage,0.0,0.0,1,vorgesehene Maßnahme,2028,0.55,"Schleswig-Holstein, Deutschland",54.1853998,9.8220089,True
TraveNetz GmbH,Nord,Schleswig-Holstein,k.A.,MS,Ertüchtigung Leitungen,0.0,0.0,k.A.,vorgesehene Maßnahme,2028,1.3,"Schleswig-Holstein, Deutschland",54.1853998,9.8220089,True
TraveNetz GmbH,Nord,Schleswig-Holstein,Hammoor,MS,Neubau Leitungen,0.0,0.0,k.A.,vorgesehene Maßnahme,2028,6.0,"Hammoor, Bargteheide-Land, Kreis Stormarn, Schleswig-Holstein, Deutschland",53.7142966,10.3187673,True
TraveNetz GmbH,Nord,Schleswig-Holstein,k.A.,HS,Ertüchtigung UW,0.0,0.0,1,vorgesehene Maßnahme,2028,3.0,"Schleswig-Holstein, Deutschland",54.1853998,9.8220089,True
TraveNetz GmbH,Nord,Schleswig-Holstein,Lübeck,MS,Ertüchtigung UW,0.0,0.0,1,vorgesehene Maßnahme,2024,3.0,"Lübeck, Schleswig-Holstein, Deutschland",53.866444,10.684738,True
TraveNetz GmbH,Nord,Schleswig-Holstein,Lübeck,MS,Ertüchtigung UW,0.0,0.0,1,vorgesehene Maßnahme,2030,2.5,"Lübeck, Schleswig-Holstein, Deutschland",53.866444,10.684738,True
TraveNetz GmbH,Nord,Schleswig-Holstein,k.A.,MS,Ertüchtigung UW,0.0,0.0,1,vorgesehene Maßnahme,2030,2.5,"Schleswig-Holstein, Deutschland",54.1853998,9.8220089,True
TraveNetz GmbH,Nord,Schleswig-Holstein,k.A.,MS,Ertüchtigung UW,0.0,0.0,1,vorgesehene Maßnahme,2027,1.6,"Schleswig-Holstein, Deutschland",54.1853998,9.8220089,True
TraveNetz GmbH,Nord,Schleswig-Holstein,k.A.,MS,Ertüchtigung UW,0.0,0.0,1,vorgesehene Maßnahme,2024,3.5,"Schleswig-Holstein, Deutschland",54.1853998,9.8220089,True
TraveNetz GmbH,Nord,Schleswig-Holstein,k.A.,MS,Ertüchtigung UW,0.0,0.0,1,vorgesehene Maßnahme,2029,1.0,"Schleswig-Holstein, Deutschland",54.1853998,9.8220089,True
TraveNetz GmbH,Nord,Schleswig-Holstein,k.A.,MS,Ertüchtigung UW,0.0,0.0,1,vorgesehene Maßnahme,2029,0.6,"Schleswig-Holstein, Deutschland",54.1853998,9.8220089,True
