VNB-Name,Teilnetzgebiet,Bundesland,Ort / Trasse,Netzebene,Art der Maßnahme,Leitungslänge in km,Übertragungskapazität in MVA,"Netzkomponenten (z.B. UW,Trafo ;Anzahl/Typ)",Projektstatus,Zeithorizont,Kosten in Mio.€,location,latitude,longitude,passt
VSE Verteilnetz GmbH,West,Saarland,Schmelz,MS,Ertüchtigungen Schaltanlage,0.0,0.0,Schaltanlage,im Bau,2024,1.78,"Schmelz, Landkreis Saarlouis, Saarland, 66839, Deutschland",49.4424184,6.8524925,True
VSE Verteilnetz GmbH,West,Saarland,Schaffhausen,MS,Ertüchtigungen Schaltanlage,0.0,0.0,Schaltanlage,konkrete Planung,2025,0.13,"Schaffhausen, Wadgassen, Landkreis Saarlouis, Saarland, 66787, Deutschland",49.2525474,6.8043152,True
VSE Verteilnetz GmbH,West,Saarland,Schmelz,MS,Ertüchtigungen Schaltanlage,0.0,0.0,Sekundärtechnik,konkrete Planung,2024,0.37,"Schmelz, Landkreis Saarlouis, Saarland, 66839, Deutschland",49.4424184,6.8524925,True
VSE Verteilnetz GmbH,West,Saarland,Merzig-Wadern,HS,Ertüchtigungen Leitungen,0.0,0.0,Freileitungsmonitoring,im Bau,2024,0.218,"Landkreis Merzig-Wadern, Saarland, Deutschland",49.4926094,6.6336942,True
VSE Verteilnetz GmbH,West,Saarland,Uchtelfangen,MS,Neubau UW,0.0,0.0,UW,konkrete Planung,2025,3.2,"Uchtelfangen, Illingen, Landkreis Neunkirchen, Saarland, Deutschland",49.3788373,7.0194399,True
VSE Verteilnetz GmbH,West,Saarland,nahe Freisen,MS,Neubau UW,0.0,0.0,EEG-UA,vorgesehene Maßnahme,2027,4.49,"Naheweg, Freisen, Landkreis St. Wendel, Saarland, 66629, Deutschland",49.5481215,7.2460089,True
VSE Verteilnetz GmbH,West,Saarland,Sotzweiler,MS,Neubau UW,0.0,0.0,EEG-UW,konkrete Planung,2025,5.555,"Sotzweiler, Tholey, Landkreis St. Wendel, Saarland, Deutschland",49.4644785,6.9987139,True
VSE Verteilnetz GmbH,West,Saarland,k.A.,MS,Neubau UW,0.0,0.0,EEG UW 2028,vorgesehene Maßnahme,2028,4.49,"Saarland, Deutschland",49.3841872,6.9537369,True
VSE Verteilnetz GmbH,West,Saarland,k.A.,MS,Neubau UW,0.0,0.0,EEG UW 2029,vorgesehene Maßnahme,2029,4.49,"Saarland, Deutschland",49.3841872,6.9537369,True
VSE Verteilnetz GmbH,West,Saarland,k.A.,MS,Neubau UW,0.0,0.0,EEG UW 2030,vorgesehene Maßnahme,2030,4.49,"Saarland, Deutschland",49.3841872,6.9537369,True
VSE Verteilnetz GmbH,West,Saarland,k.A.,MS,Neubau UW,0.0,0.0,EEG UW 2031,vorgesehene Maßnahme,2031,4.49,"Saarland, Deutschland",49.3841872,6.9537369,True
VSE Verteilnetz GmbH,West,Saarland,Theley,MS,Neubau UW,0.0,0.0,Netz UW,vorgesehene Maßnahme,2028,13.61,"Theley, Tholey, Landkreis St. Wendel, Saarland, Deutschland",49.498611,7.026389,True
VSE Verteilnetz GmbH,West,Saarland,Dillinger Hütte,MS,Ertüchtigungen UW,0.0,0.0,UW,vorgesehene Maßnahme,2026,5.3,"Dillinger Hütte - mech. Werkstatt, Saarwellingen, Landkreis Saarlouis, Saarland, 66793, Deutschland",49.3647056,6.7791721,True
VSE Verteilnetz GmbH,West,Saarland,Besch,HS,Ertüchtigungen Schaltanlage,0.0,0.0,Schaltanlage,konkrete Planung,2026,5.6,"Besch, Perl, Landkreis Merzig-Wadern, Saarland, Deutschland",49.5042645,6.3740372,True
VSE Verteilnetz GmbH,West,Saarland,Neufechingen,HS,Ertüchtigungen Schaltanlage,0.0,0.0,Schaltanlage,vorgesehene Maßnahme,2029,1.6,"Neufechingen, Brebach-Fechingen, Bezirk Halberg, Saarbrücken, Regionalverband Saarbrücken, Saarland, 66130, Deutschland",49.2100357,7.0458745,True
VSE Verteilnetz GmbH,West,Saarland,Kleinblittersdorf,HS,Ertüchtigungen UW,0.0,0.0,UW,vorgesehene Maßnahme,2029,9.06,"Kleinblittersdorf, Regionalverband Saarbrücken, Saarland, 66271, Deutschland",49.1585603,7.0352964,True
VSE Verteilnetz GmbH,West,Saarland,Bous,HS,Ertüchtigungen Trafo,0.0,0.0,Trafo,vorgesehene Maßnahme,2028,0.45,"Bous, Landkreis Saarlouis, Saarland, 66359, Deutschland",49.2751251,6.7956291,True
VSE Verteilnetz GmbH,West,Saarland,Saarwellingen,HS,Ertüchtigungen UW,0.0,0.0,UW,vorgesehene Maßnahme,2028,7.4,"Saarwellingen, Landkreis Saarlouis, Saarland, 66793, Deutschland",49.3527139,6.8063014,True
VSE Verteilnetz GmbH,West,Saarland,Uchtelfangen,HS,Ertüchtigungen UW,0.0,0.0,UW,vorgesehene Maßnahme,2030,5.0,"Uchtelfangen, Illingen, Landkreis Neunkirchen, Saarland, Deutschland",49.3788373,7.0194399,True
VSE Verteilnetz GmbH,West,Saarland,Wadern,MS,Ertüchtigungen Trafo,0.0,0.0,Trafokabel,konkrete Planung,2025,0.708,"Wadern, Landkreis Merzig-Wadern, Saarland, 66687, Deutschland",49.5410205,6.8889313,True
VSE Verteilnetz GmbH,West,Saarland,Alsweiler,MS,Ertüchtigungen UW,0.0,0.0,UW,vorgesehene Maßnahme,2026,0.4,"Alsweiler, Marpingen, Landkreis St. Wendel, Saarland, 66646, Deutschland",49.471501,7.0696055,True
VSE Verteilnetz GmbH,West,Saarland,Kastel,MS,Ertüchtigungen UW,0.0,0.0,UW,im Bau,2024,0.312,"Kastel, Nonnweiler, Landkreis St. Wendel, Saarland, 66620, Deutschland",49.576366,6.9771487,True
VSE Verteilnetz GmbH,West,Saarland,Lebach,MS,Ertüchtigungen UW,0.0,0.0,UW,vorgesehene Maßnahme,2029,1.06,"Lebach, Landkreis Saarlouis, Saarland, 66822, Deutschland",49.4132377,6.9091348,True
VSE Verteilnetz GmbH,West,Saarland,k.A.,MS,Neubau Kompensationsspule,0.0,0.0,E-Spule,konkrete Planung,2029,2.14,"Saarland, Deutschland",49.3841872,6.9537369,True
VSE Verteilnetz GmbH,West,Saarland,k.A.,HS/MS,Neubau Trafo,0.0,0.0,HS/MS-Trafos,konkrete Planung,2029,6.15,"Saarland, Deutschland",49.3841872,6.9537369,True
VSE Verteilnetz GmbH,West,Saarland,k.A.,HS,Neubau Leitungen,0.0,0.0,Freileitung,konkrete Planung,2029,44.0,"Saarland, Deutschland",49.3841872,6.9537369,True
VSE Verteilnetz GmbH,West,Saarland,Lisdorfer Berg,MS,Neubau Leitungen,0.0,0.0,Kabel,im Bau,2024,0.17,"Industriegebiet Lisdorfer Berg, Lisdorf, Saarlouis, Landkreis Saarlouis, Saarland, 66740, Deutschland",49.2735636,6.7552339,True
VSE Verteilnetz GmbH,West,Saarland,Diefflen,MS,Neubau UW,0.0,0.0,UW,vorgesehene Maßnahme,2029,0.75,"Diefflen, Dillingen/Saar, Landkreis Saarlouis, Saarland, Deutschland",49.3785726,6.7527234,True
VSE Verteilnetz GmbH,West,Saarland,Wadern,HS,Neubau UW,0.0,0.0,380kV UW,vorgesehene Maßnahme,2033,1.5,"Wadern, Landkreis Merzig-Wadern, Saarland, 66687, Deutschland",49.5410205,6.8889313,True
VSE Verteilnetz GmbH,West,Saarland,Diefflen,HS,Neubau Leitungen,0.0,0.0,Freileitung,vorgesehene Maßnahme,2039,80.0,"Diefflen, Dillingen/Saar, Landkreis Saarlouis, Saarland, Deutschland",49.3785726,6.7527234,True
VSE Verteilnetz GmbH,West,Saarland,Borg,MS,Neubau UW,0.0,0.0,EEG-UA,vorgesehene Maßnahme,2026,4.49,"Borg, Perl, Landkreis Merzig-Wadern, Saarland, Deutschland",49.4957516,6.4385443,True
VSE Verteilnetz GmbH,West,Saarland,Wadern,MS,Neubau UW,0.0,0.0,EEG-UA,vorgesehene Maßnahme,2025,4.1,"Wadern, Landkreis Merzig-Wadern, Saarland, 66687, Deutschland",49.5410205,6.8889313,True
VSE Verteilnetz GmbH,West,Saarland,Wadern,HS,Neubau Leitungen,0.0,0.0,Freileitung,vorgesehene Maßnahme,2031,80.0,"Wadern, Landkreis Merzig-Wadern, Saarland, 66687, Deutschland",49.5410205,6.8889313,True
VSE Verteilnetz GmbH,West,Saarland,Borg,HS,Neubau Leitungen,0.0,0.0,Zubeseilung,konkrete Planung,2024,1.6,"Borg, Perl, Landkreis Merzig-Wadern, Saarland, Deutschland",49.4957516,6.4385443,True
VSE Verteilnetz GmbH,West,Saarland,Freisen,HS,Neubau Leitungen,0.0,0.0,Freileitung,vorgesehene Maßnahme,2033,130.0,"Freisen, Landkreis St. Wendel, Saarland, 66629, Deutschland",49.5526488,7.2480445,True
VSE Verteilnetz GmbH,West,Saarland,Sulzbach/Saar,MS,Ertüchtigungen Schaltanlage,0.0,0.0,Schaltanlage,konkrete Planung,2026,0.0,"Sulzbach/Saar, Regionalverband Saarbrücken, Saarland, 66280, Deutschland",49.2995623,7.0614007,True
VSE Verteilnetz GmbH,West,Saarland,"Ensdorf, Saarlouis",MS,Ertüchtigungen Schaltanlage,0.0,0.0,Sammelschiene,im Bau,2025,0.73,"Ensdorf, A 620, Lisdorf, Saarlouis, Landkreis Saarlouis, Saarland, 66740, Deutschland",49.2830958,6.766581,True
VSE Verteilnetz GmbH,West,Saarland,"Ensdorf, Saarlouis",MS,Ertüchtigungen Schaltanlage,0.0,0.0,Schaltanlage,konkrete Planung,2028,2.05,"Ensdorf, A 620, Lisdorf, Saarlouis, Landkreis Saarlouis, Saarland, 66740, Deutschland",49.2830958,6.766581,True
VSE Verteilnetz GmbH,West,Saarland,k.A.,HS,Ertüchtigungen Schaltanlage,0.0,0.0,Schaltanlage,konkrete Planung,2027,0.6,"Saarland, Deutschland",49.3841872,6.9537369,True
VSE Verteilnetz GmbH,West,Saarland,Saarlouis,MS,Neubau UW,0.0,0.0,Netz UW,vorgesehene Maßnahme,2027,9.24,"Saarlouis, Landkreis Saarlouis, Saarland, 66740, Deutschland",49.3164661,6.749846,True
VSE Verteilnetz GmbH,West,Saarland,Losheim am See,MS,Ertüchtigungen UW,0.0,0.0,UW,im Bau,2024,0.605,"Losheim am See, Landkreis Merzig-Wadern, Saarland, 66679, Deutschland",49.5082531,6.7447054,True
VSE Verteilnetz GmbH,West,Saarland,Rehlingen-Siersburg,MS,Ertüchtigungen UW,0.0,0.0,UW,im Bau,2024,0.385,"Rehlingen-Siersburg, Landkreis Saarlouis, Saarland, 66780, Deutschland",49.3671651,6.6792048,True
VSE Verteilnetz GmbH,West,Saarland,Rehlingen-Siersburg,MS,Ertüchtigungen UW,0.0,0.0,UW,konkrete Planung,2026,2.73,"Rehlingen-Siersburg, Landkreis Saarlouis, Saarland, 66780, Deutschland",49.3671651,6.6792048,True
VSE Verteilnetz GmbH,West,Saarland,"Ensdorf, Saarlouis",MS,Ertüchtigungen UW,0.0,0.0,UW,vorgesehene Maßnahme,2027,2.73,"Ensdorf, A 620, Lisdorf, Saarlouis, Landkreis Saarlouis, Saarland, 66740, Deutschland",49.2830958,6.766581,True
VSE Verteilnetz GmbH,West,Saarland,Dillingen/Saar,MS,Neubau Leitungen,0.0,0.0,Kabel,im Bau,2025,0.805,"Dillingen/Saar, Landkreis Saarlouis, Saarland, 66763, Deutschland",49.3552721,6.7243197,True
VSE Verteilnetz GmbH,West,Rheinland-Pfalz,Grimburg,HS,Neubau Leitungen,0.0,0.0,Freileitung,vorgesehene Maßnahme,2028,1e-06,"Grimburg, Hermeskeil, Landkreis Trier-Saarburg, Rheinland-Pfalz, Deutschland",49.6207938,6.8842422,True
