VNB-Name,Teilnetzgebiet,Bundesland,Ort / Trasse,Netzebene,Art der Maßnahme,Leitungslänge in km,Übertragungskapazität in MVA,"Netzkomponenten (z.B. UW,Trafo ;Anzahl/Typ)",Projektstatus,Zeithorizont,Kosten in Mio.€,location,latitude,longitude,passt
WEMAG Netz GmbH,Ost ,Mecklenburg-Vorpommern,Crivitz,HS,Ersatz(neubau) ohne Erhöhung der Übertragungskapazität,0.0,0.0,UW Crivitz,konkrete Planung,k.A.,0.0,"Crivitz, Ludwigslust-Parchim, Mecklenburg-Vorpommern, 19089, Deutschland",53.5781613,11.6470654,True
WEMAG Netz GmbH,Ost ,Mecklenburg-Vorpommern,Göhren,HS,Neubau Leitungen,0.0,0.0,Schaltanlage,vorgesehene Maßnahme,k.A.,0.0,"Göhren, Mönchgut-Granitz, Vorpommern-Rügen, Mecklenburg-Vorpommern, 18586, Deutschland",54.3406599,13.7449147,True
WEMAG Netz GmbH,Ost ,Mecklenburg-Vorpommern,Wanzlitz,HS,Ertüchtigungen UW,0.0,80.0,UW,konkrete Planung,k.A.,0.0,"Wanzlitz, Grabow, Ludwigslust-Parchim, Mecklenburg-Vorpommern, 19300, Deutschland",53.249167,11.5276966,True
WEMAG Netz GmbH,Ost ,Mecklenburg-Vorpommern,Görries,HS,Ertüchtigungen Leitungen,0.0,145.0,Freileitung,konkrete Planung,k.A.,0.0,"Görries, Schwerin, Mecklenburg-Vorpommern, 19061, Deutschland",53.6054505,11.3753278,True
WEMAG Netz GmbH,Ost ,Mecklenburg-Vorpommern,Güstrow,HS,Ertüchtigungen Leitungen,0.0,145.0,Freileitung,konkrete Planung,k.A.,0.0,"Güstrow, Landkreis Rostock, Mecklenburg-Vorpommern, Deutschland",53.793587,12.1764906,True
WEMAG Netz GmbH,Ost ,Mecklenburg-Vorpommern,Bentwisch,HS,Ertüchtigungen Leitungen,0.0,145.0,Freileitung,konkrete Planung,k.A.,0.0,"Bentwisch, Rostocker Heide, Landkreis Rostock, Mecklenburg-Vorpommern, Deutschland",54.1162169,12.2022371,True
WEMAG Netz GmbH,Ost ,Mecklenburg-Vorpommern,Görries,HS,Ertüchtigungen Leitungen,0.0,35.0,Freileitung,vorgesehene Maßnahme,k.A.,0.0,"Görries, Schwerin, Mecklenburg-Vorpommern, 19061, Deutschland",53.6054505,11.3753278,True
WEMAG Netz GmbH,Ost ,Mecklenburg-Vorpommern,Görries,HS,Neubau Leitungen,0.0,240.0,Leitung,abgeschlossen,k.A.,0.0,"Görries, Schwerin, Mecklenburg-Vorpommern, 19061, Deutschland",53.6054505,11.3753278,True
WEMAG Netz GmbH,Ost ,Mecklenburg-Vorpommern,Görries,HS,Neubau Leitungen,0.0,400.0,Leitung,konkrete Planung,k.A.,0.0,"Görries, Schwerin, Mecklenburg-Vorpommern, 19061, Deutschland",53.6054505,11.3753278,True
WEMAG Netz GmbH,Ost ,Mecklenburg-Vorpommern,Boizenburg,HS,Neubau Leitungen,0.0,240.0,Leitung,im Bau,k.A.,0.0,"Boizenburg/Elbe, Ludwigslust-Parchim, Mecklenburg-Vorpommern, 19258, Deutschland",53.375079,10.7232364,True
WEMAG Netz GmbH,Ost ,Mecklenburg-Vorpommern,Lankow,HS,Neubau Leitungen,0.0,260.0,Leitung,konkrete Planung,k.A.,0.0,"Lankow, Schwerin, Mecklenburg-Vorpommern, 19057, Deutschland",53.6499646,11.365259,True
WEMAG Netz GmbH,Ost ,Mecklenburg-Vorpommern,Wessin,HS,Neubau UW,0.0,400.0,UW,konkrete Planung,k.A.,0.0,"Wessin, Crivitz, Ludwigslust-Parchim, Mecklenburg-Vorpommern, Deutschland",53.5725896,11.7316711,True
WEMAG Netz GmbH,Ost ,Mecklenburg-Vorpommern,Wittenburg,HS,Neubau Leitungen,0.0,260.0,Leitung,abgeschlossen,k.A.,0.0,"Wittenburg, Ludwigslust-Parchim, Mecklenburg-Vorpommern, 19243, Deutschland",53.505962,11.084783,True
WEMAG Netz GmbH,Ost ,Mecklenburg-Vorpommern,Plau,HS,Neubau UW,0.0,40.0,UW,konkrete Planung,k.A.,0.0,"Plau am See, Ludwigslust-Parchim, Mecklenburg-Vorpommern, 19395, Deutschland",53.4600943,12.2631689,True
WEMAG Netz GmbH,Ost ,Mecklenburg-Vorpommern,Bernitt,HS,Ertüchtigungen Schaltanlage,0.0,125.0,Schaltanlage,im Bau,k.A.,0.0,"Bernitt, Bützow-Land, Landkreis Rostock, Mecklenburg-Vorpommern, Deutschland",53.902911,11.8867125,True
WEMAG Netz GmbH,Ost ,Mecklenburg-Vorpommern,Wustmark,HS,Ertüchtigungen UW,0.0,25.0,UW,im Bau,k.A.,0.0,"Wüstmark, Schwerin, Mecklenburg-Vorpommern, 19061, Deutschland",53.5786049,11.3927815,True
WEMAG Netz GmbH,Ost ,Mecklenburg-Vorpommern,Ziegelsee,HS,Ertüchtigungen UW,0.0,8.5,UW,im Bau,k.A.,0.0,"Ziegelsee, Schwerin, Mecklenburg-Vorpommern, Deutschland",53.6606287,11.4212341,True
WEMAG Netz GmbH,Ost ,Mecklenburg-Vorpommern,Bernitt,HS,Ertüchtigungen UW,0.0,40.0,UW,im Bau,k.A.,0.0,"Bernitt, Bützow-Land, Landkreis Rostock, Mecklenburg-Vorpommern, Deutschland",53.902911,11.8867125,True
