VNB-Name,Teilnetzgebiet,Bundesland,Ort / Trasse,Netzebene,Art der Maßnahme,Leitungslänge in km,Übertragungskapazität in MVA,"Netzkomponenten (z.B. UW,Trafo ;Anzahl/Typ)",Projektstatus,Zeithorizont,Kosten in Mio.€,location,latitude,longitude,passt
WSW Netz GmbH,West,Nordrhein-Westfalen,Wuppertal Wupperfeld,HS/MS,Neubau UW,0.0,40.0,UW,vorgesehene Maßnahme,2029,3.7,"Stadtsparkasse Wuppertal - Filiale Wupperfeld, 100, Berliner Straße, Wichlinghausen, Gemarkung Barmen, Oberbarmen, Wuppertal, Nordrhein-Westfalen, 42275, Deutschland",51.2744779,7.2152553,True
WSW Netz GmbH,West,Nordrhein-Westfalen,Wilbergstraße,HS/MS,Neubau UW,0.0,40.0,UW,vorgesehene Maßnahme,2027,3.7,"Wilbergstraße, Berghofen, Aplerbeck, Dortmund, Nordrhein-Westfalen, 44269, Deutschland",51.4831104,7.5400458,True
WSW Netz GmbH,West,Nordrhein-Westfalen,Langerfeld T111,HS/MS,Neubau UW,0.0,5.0,UW,vorgesehene Maßnahme,2029,1.5,"Langerfeld, Gemarkung Langerfeld, Langerfeld-Beyenburg, Wuppertal, Nordrhein-Westfalen, 42389, Deutschland",51.2743154,7.2436668,True
WSW Netz GmbH,West,Nordrhein-Westfalen,Unterbarmen T111,HS/MS,Neubau Trafo,0.0,5.0,Trafo,vorgesehene Maßnahme,2031,1.5,"Unterbarmen, Gemarkung Barmen, Wuppertal, Nordrhein-Westfalen, 42285, Deutschland",51.2591002,7.1746518,True
WSW Netz GmbH,West,Nordrhein-Westfalen,Wuppertal Wupperfeld T111,HS/MS,Neubau Trafo,0.0,5.0,Trafo,vorgesehene Maßnahme,2031,1.5,"Stadtsparkasse Wuppertal - Filiale Wupperfeld, 100, Berliner Straße, Wichlinghausen, Gemarkung Barmen, Oberbarmen, Wuppertal, Nordrhein-Westfalen, 42275, Deutschland",51.2744779,7.2152553,True
WSW Netz GmbH,West,Nordrhein-Westfalen,Langerfeld T112,HS/MS,Neubau Trafo,0.0,5.0,Trafo,vorgesehene Maßnahme,2032,1.5,"Langerfeld, Gemarkung Langerfeld, Langerfeld-Beyenburg, Wuppertal, Nordrhein-Westfalen, 42389, Deutschland",51.2743154,7.2436668,True
WSW Netz GmbH,West,Nordrhein-Westfalen,Ronsdorf T111,HS/MS,Neubau Trafo,0.0,5.0,Trafo,vorgesehene Maßnahme,2032,1.5,"Ronsdorf, Gemarkung Ronsdorf, Wuppertal, Nordrhein-Westfalen, 42369, Deutschland",51.2264266,7.1988387,True
WSW Netz GmbH,West,Nordrhein-Westfalen,k.A.,NS,Ertüchtigungen Leitungen,0.0,0.0,k.A.,vorgesehene Maßnahme,2029,1.0,"Nordrhein-Westfalen, Deutschland",51.4789205,7.5543751,True
WSW Netz GmbH,West,Nordrhein-Westfalen,k.A.,NS,Neubau Leitungen,0.0,0.0,k.A.,vorgesehene Maßnahme,2029,2.5,"Nordrhein-Westfalen, Deutschland",51.4789205,7.5543751,True
WSW Netz GmbH,West,Nordrhein-Westfalen,k.A.,NS,Neubau Schaltanlage,0.0,0.0,k.A.,vorgesehene Maßnahme,2029,0.75,"Nordrhein-Westfalen, Deutschland",51.4789205,7.5543751,True
WSW Netz GmbH,West,Nordrhein-Westfalen,k.A.,NS,Neubau Trafo,0.0,0.0,Trafo,vorgesehene Maßnahme,2029,1.25,"Nordrhein-Westfalen, Deutschland",51.4789205,7.5543751,True
WSW Netz GmbH,West,Nordrhein-Westfalen,k.A.,NS,Ertüchtigungen Schaltanlage,0.0,0.0,k.A.,vorgesehene Maßnahme,2029,0.8,"Nordrhein-Westfalen, Deutschland",51.4789205,7.5543751,True
WSW Netz GmbH,West,Nordrhein-Westfalen,k.A.,NS,Ertüchtigungen Trafo,0.0,0.0,Trafo,vorgesehene Maßnahme,2029,1.0,"Nordrhein-Westfalen, Deutschland",51.4789205,7.5543751,True
WSW Netz GmbH,West,Nordrhein-Westfalen,k.A.,HS,Ertüchtigungen Leitungen,5.873,0.0,k.A.,im Bau,2024,2.0,"Nordrhein-Westfalen, Deutschland",51.4789205,7.5543751,True
WSW Netz GmbH,West,Nordrhein-Westfalen,k.A.,HS,Ertüchtigungen Leitungen,4.976,0.0,k.A.,vorgesehene Maßnahme,2039,3.3,"Nordrhein-Westfalen, Deutschland",51.4789205,7.5543751,True
WSW Netz GmbH,West,Nordrhein-Westfalen,k.A.,HS,Ertüchtigungen Leitungen,0.0,0.0,k.A.,vorgesehene Maßnahme,2029,0.9,"Nordrhein-Westfalen, Deutschland",51.4789205,7.5543751,True
WSW Netz GmbH,West,Nordrhein-Westfalen,k.A.,HS,Ertüchtigungen Leitungen,4.075,0.0,k.A.,konkrete Planung,2026,2.35,"Nordrhein-Westfalen, Deutschland",51.4789205,7.5543751,True
WSW Netz GmbH,West,Nordrhein-Westfalen,k.A.,HS,Ertüchtigungen Leitungen,3.288,0.0,k.A.,vorgesehene Maßnahme,2030,2.1,"Nordrhein-Westfalen, Deutschland",51.4789205,7.5543751,True
WSW Netz GmbH,West,Nordrhein-Westfalen,k.A.,HS,Ertüchtigungen Leitungen,4.875,0.0,k.A.,vorgesehene Maßnahme,2028,3.7,"Nordrhein-Westfalen, Deutschland",51.4789205,7.5543751,True
WSW Netz GmbH,West,Nordrhein-Westfalen,k.A.,HS,Ertüchtigungen Leitungen,3.775,0.0,k.A.,vorgesehene Maßnahme,2031,3.0,"Nordrhein-Westfalen, Deutschland",51.4789205,7.5543751,True
WSW Netz GmbH,West,Nordrhein-Westfalen,k.A.,HS,Ertüchtigungen Leitungen,4.075,0.0,k.A.,konkrete Planung,2026,2.35,"Nordrhein-Westfalen, Deutschland",51.4789205,7.5543751,True
WSW Netz GmbH,West,Nordrhein-Westfalen,k.A.,HS,Ertüchtigungen Leitungen,1.75,0.0,k.A.,vorgesehene Maßnahme,2027,1.0,"Nordrhein-Westfalen, Deutschland",51.4789205,7.5543751,True
WSW Netz GmbH,West,Nordrhein-Westfalen,k.A.,HS,Ertüchtigungen Leitungen,4.788,0.0,k.A.,vorgesehene Maßnahme,2032,2.25,"Nordrhein-Westfalen, Deutschland",51.4789205,7.5543751,True
WSW Netz GmbH,West,Nordrhein-Westfalen,k.A.,HS,Ertüchtigungen Leitungen,3.288,0.0,k.A.,vorgesehene Maßnahme,2033,1.5,"Nordrhein-Westfalen, Deutschland",51.4789205,7.5543751,True
WSW Netz GmbH,West,Nordrhein-Westfalen,k.A.,HS,Ertüchtigungen Leitungen,0.61,0.0,k.A.,vorgesehene Maßnahme,2034,1.0,"Nordrhein-Westfalen, Deutschland",51.4789205,7.5543751,True
WSW Netz GmbH,West,Nordrhein-Westfalen,k.A.,HS,Ertüchtigungen Leitungen,2.019,0.0,k.A.,vorgesehene Maßnahme,2035,1.0,"Nordrhein-Westfalen, Deutschland",51.4789205,7.5543751,True
WSW Netz GmbH,West,Nordrhein-Westfalen,k.A.,HS,Ertüchtigungen Leitungen,3.4,0.0,k.A.,vorgesehene Maßnahme,2036,1.5,"Nordrhein-Westfalen, Deutschland",51.4789205,7.5543751,True
WSW Netz GmbH,West,Nordrhein-Westfalen,k.A.,HS,Ertüchtigungen Leitungen,3.032,0.0,k.A.,vorgesehene Maßnahme,2037,1.5,"Nordrhein-Westfalen, Deutschland",51.4789205,7.5543751,True
WSW Netz GmbH,West,Nordrhein-Westfalen,k.A.,HS,Ertüchtigungen Leitungen,2.17,0.0,k.A.,vorgesehene Maßnahme,2038,1.0,"Nordrhein-Westfalen, Deutschland",51.4789205,7.5543751,True
WSW Netz GmbH,West,Nordrhein-Westfalen,Hattingen,HS/MS,Neubau UW,0.0,0.0,UW,vorgesehene Maßnahme,2027,4.5,"Hattingen, Ennepe-Ruhr-Kreis, Nordrhein-Westfalen, Deutschland",51.4007175,7.1862486,True
WSW Netz GmbH,West,Nordrhein-Westfalen,Viktorstraße,HS/MS,Neubau UW,0.0,40.0,UW,vorgesehene Maßnahme,2033,4.0,"Viktorstraße, Siedlung Bergmannsplatz, Neumühl, Hamborn, Duisburg, Nordrhein-Westfalen, 47167, Deutschland",51.5008673,6.7992967,True
WSW Netz GmbH,West,Nordrhein-Westfalen,Langerfeld,HS/MS,Neubau UW,0.0,40.0,UW,vorgesehene Maßnahme,2034,4.0,"Langerfeld, Gemarkung Langerfeld, Langerfeld-Beyenburg, Wuppertal, Nordrhein-Westfalen, 42389, Deutschland",51.2743154,7.2436668,True
WSW Netz GmbH,West,Nordrhein-Westfalen,Vohwinkel,HS/MS,Neubau UW,0.0,0.0,UW,konkrete Planung,2026,2.0,"Vohwinkel, Wuppertal, Nordrhein-Westfalen, Deutschland",51.2399049,7.0602521,True
WSW Netz GmbH,West,Nordrhein-Westfalen,k.A.,HS/MS,Neubau UW,0.0,5.0,UW,vorgesehene Maßnahme,2029,1.5,"Nordrhein-Westfalen, Deutschland",51.4789205,7.5543751,True
WSW Netz GmbH,West,Nordrhein-Westfalen,k.A.,HS/MS,Neubau Trafo,0.0,5.0,Trafo,vorgesehene Maßnahme,2030,1.5,"Nordrhein-Westfalen, Deutschland",51.4789205,7.5543751,True
WSW Netz GmbH,West,Nordrhein-Westfalen,k.A.,HS/MS,Neubau Trafo,0.0,5.0,Trafo,vorgesehene Maßnahme,2030,1.5,"Nordrhein-Westfalen, Deutschland",51.4789205,7.5543751,True
