VNB-Name,Teilnetzgebiet,Bundesland,Ort / Trasse,Netzebene,Art der Maßnahme,Leitungslänge in km,Übertragungskapazität in MVA,"Netzkomponenten (z.B. UW,Trafo ;Anzahl/Typ)",Projektstatus,Zeithorizont,Kosten in Mio.€,location,latitude,longitude,passt
Westfalen Weser Netz GmbH,Mitte,Nordrhein-Westfalen,Vahlhausen,HS,Neubau Leitungen,17.7,0.0,k.A.,konkrete Planung,2027,9.375,"Vahlhausen, Detmold, Kreis Lippe, Nordrhein-Westfalen, Deutschland",51.9436745,8.9376989,True
Westfalen Weser Netz GmbH,Mitte,Nordrhein-Westfalen,Enger,HS,Neubau Leitungen,10.0,0.0,k.A.,konkrete Planung,2027,4.688,"Enger, Kreis Herford, Nordrhein-Westfalen, 32130, Deutschland",52.1394015,8.5588818,True
Westfalen Weser Netz GmbH,Mitte,Nordrhein-Westfalen,Ennigloh,HS,Neubau Leitungen,25.0,0.0,k.A.,konkrete Planung,2031,11.25,"Ennigloh, Bünde, Kreis Herford, Nordrhein-Westfalen, 32257, Deutschland",52.2054344,8.5620635,True
Westfalen Weser Netz GmbH,Mitte,Nordrhein-Westfalen,Enger,HS,Neubau Leitungen,6.6,0.0,k.A.,konkrete Planung,2031,4.688,"Enger, Kreis Herford, Nordrhein-Westfalen, 32130, Deutschland",52.1394015,8.5588818,True
Westfalen Weser Netz GmbH,Mitte,Nordrhein-Westfalen,Minden-West,HS,Neubau Leitungen,8.6,0.0,k.A.,konkrete Planung,2026,8.438,"Schützenhaus Minden-West, Forellenstraße, Rodenbeck, Minden, Kreis Minden-Lübbecke, Nordrhein-Westfalen, 32429, Deutschland",52.2827384,8.882629,True
Westfalen Weser Netz GmbH,Mitte,Nordrhein-Westfalen,Rehme,HS,Neubau Leitungen,9.6,0.0,k.A.,vorgesehene Maßnahme,2031,5.0,"Rehme, Bad Oeynhausen, Kreis Minden-Lübbecke, Nordrhein-Westfalen, Deutschland",52.2128537,8.8236479,True
Westfalen Weser Netz GmbH,Mitte,Nordrhein-Westfalen,Kutenhausen,HS,Neubau Leitungen,10.3,0.0,k.A.,vorgesehene Maßnahme,2036,5.313,"Kutenhausen, Minden, Kreis Minden-Lübbecke, Nordrhein-Westfalen, Deutschland",52.3348077,8.896298,True
Westfalen Weser Netz GmbH,Mitte,Nordrhein-Westfalen,Bierde ,HS,Neubau Leitungen,21.0,0.0,k.A.,vorgesehene Maßnahme,2036,10.0,"Bierde, Petershagen, Kreis Minden-Lübbecke, Nordrhein-Westfalen, Deutschland",52.3691032,9.0410537,True
Westfalen Weser Netz GmbH,Mitte,Nordrhein-Westfalen,Bierde ,HS,Neubau Leitungen,2.8,0.0,k.A.,abgeschlossen,2023,3.105,"Bierde, Petershagen, Kreis Minden-Lübbecke, Nordrhein-Westfalen, Deutschland",52.3691032,9.0410537,True
Westfalen Weser Netz GmbH,Mitte,Nordrhein-Westfalen,Lahde,HS,Neubau Leitungen,8.2,0.0,k.A.,vorgesehene Maßnahme,2036,3.594,"Lahde, Petershagen, Kreis Minden-Lübbecke, Nordrhein-Westfalen, 32469, Deutschland",52.3712396,8.9916158,True
Westfalen Weser Netz GmbH,Mitte,Nordrhein-Westfalen,Paderborn,HS,Neubau Trafo,0.0,0.0,1,im Bau,2025,4.8,"Paderborn, Kreis Paderborn, Nordrhein-Westfalen, Deutschland",51.7177044,8.752653,True
Westfalen Weser Netz GmbH,Mitte,Nordrhein-Westfalen,Steinheim,MS,Neubau Trafo,0.0,0.0,1,im Bau,2024,2.15,"Steinheim, Kreis Höxter, Nordrhein-Westfalen, 32839, Deutschland",51.8660478,9.0942767,True
Westfalen Weser Netz GmbH,Mitte,Nordrhein-Westfalen,Paderborn,HS,Neubau Kompensationsspule,0.0,0.0,1,im Bau,2024,3.9,"Paderborn, Kreis Paderborn, Nordrhein-Westfalen, Deutschland",51.7177044,8.752653,True
Westfalen Weser Netz GmbH,Mitte,Nordrhein-Westfalen,Borchen,HS,Neubau UW,0.0,0.0,1,abgeschlossen,2023,5.457,"Borchen, Kreis Paderborn, Nordrhein-Westfalen, 33178, Deutschland",51.6610534,8.7231483,True
Westfalen Weser Netz GmbH,Mitte,Nordrhein-Westfalen,hagen,HS,Neubau Trafo,0.0,0.0,1,abgeschlossen,2023,1.5,"Hagen, Nordrhein-Westfalen, Deutschland",51.3582945,7.473296,True
Westfalen Weser Netz GmbH,Mitte,Nordrhein-Westfalen,Rehme,HS,Neubau Trafo,0.0,0.0,1,im Bau,2024,1.163,"Rehme, Bad Oeynhausen, Kreis Minden-Lübbecke, Nordrhein-Westfalen, Deutschland",52.2128537,8.8236479,True
Westfalen Weser Netz GmbH,Mitte,Nordrhein-Westfalen,Enger,HS,Neubau Trafo,0.0,0.0,1,konkrete Planung,2026,2.0,"Enger, Kreis Herford, Nordrhein-Westfalen, 32130, Deutschland",52.1394015,8.5588818,True
Westfalen Weser Netz GmbH,Mitte,Nordrhein-Westfalen,k.A.,HS,Neubau Trafo,0.0,0.0,1,im Bau,2024,1.625,"Nordrhein-Westfalen, Deutschland",51.4789205,7.5543751,True
Westfalen Weser Netz GmbH,Mitte,Nordrhein-Westfalen,Brakel,HS,Neubau Trafo,0.0,0.0,1,konkrete Planung,2025,1.7,"Brakel, Kreis Höxter, Nordrhein-Westfalen, 33034, Deutschland",51.7168889,9.1841762,True
Westfalen Weser Netz GmbH,Mitte,Nordrhein-Westfalen,Borchen,HS,Neubau Trafo,0.0,0.0,1,im Bau,2024,2.949,"Borchen, Kreis Paderborn, Nordrhein-Westfalen, 33178, Deutschland",51.6610534,8.7231483,True
Westfalen Weser Netz GmbH,Mitte,Nordrhein-Westfalen,k.A.,HS,Neubau Trafo,0.0,0.0,1,konkrete Planung,2025,2.0,"Nordrhein-Westfalen, Deutschland",51.4789205,7.5543751,True
Westfalen Weser Netz GmbH,Mitte,Nordrhein-Westfalen,Steinheim,HS,Neubau Trafo,0.0,0.0,1,konkrete Planung,2025,0.075,"Steinheim, Kreis Höxter, Nordrhein-Westfalen, 32839, Deutschland",51.8660478,9.0942767,True
Westfalen Weser Netz GmbH,Mitte,Nordrhein-Westfalen,Ostscheid,HS,Neubau Trafo,0.0,0.0,1,konkrete Planung,2026,2.0,"Ostscheid, Mennighüffen, Löhne, Kreis Herford, Nordrhein-Westfalen, 32584, Deutschland",52.2130774,8.7371109,True
Westfalen Weser Netz GmbH,Mitte,Nordrhein-Westfalen,hagen,HS,Neubau Trafo,0.0,0.0,1,konkrete Planung,2026,3.0,"Hagen, Nordrhein-Westfalen, Deutschland",51.3582945,7.473296,True
Westfalen Weser Netz GmbH,Mitte,Nordrhein-Westfalen,Lemgo West,HS,Neubau Trafo,0.0,0.0,1,konkrete Planung,2026,1.75,"Service Center Lemgo-West, 24, Engelbert-Kämpfer-Straße, Innenstadt, Lemgo, Kreis Lippe, Nordrhein-Westfalen, 32657, Deutschland",52.0264109,8.8937867,True
Westfalen Weser Netz GmbH,Mitte,Nordrhein-Westfalen,Piepenfeld,HS,Neubau UW,0.0,0.0,1,konkrete Planung,2027,9.822,"Schaltanlage Piepenfeld S2001, Piepenturmweg, Gewerbegebiet Benhauser Feld, Paderborn, Kreis Paderborn, Nordrhein-Westfalen, 33100, Deutschland",51.7279913,8.7969483,True
Westfalen Weser Netz GmbH,Mitte,Nordrhein-Westfalen,Bustedt,HS,Neubau Trafo,0.0,0.0,1,konkrete Planung,2026,9.375,"Bustedt, Bünde, Kreis Herford, Nordrhein-Westfalen, Deutschland",52.1737115,8.5983205,True
Westfalen Weser Netz GmbH,Mitte,Nordrhein-Westfalen,Ennigloh,HS,Neubau Trafo,0.0,0.0,1,konkrete Planung,2027,3.411,"Ennigloh, Bünde, Kreis Herford, Nordrhein-Westfalen, 32257, Deutschland",52.2054344,8.5620635,True
Westfalen Weser Netz GmbH,Mitte,Nordrhein-Westfalen,Bustedt,HS,Neubau Trafo,0.0,0.0,1,konkrete Planung,2027,18.75,"Bustedt, Bünde, Kreis Herford, Nordrhein-Westfalen, Deutschland",52.1737115,8.5983205,True
Westfalen Weser Netz GmbH,Mitte,Nordrhein-Westfalen,Elsen,HS,Neubau Trafo,0.0,0.0,1,konkrete Planung,2027,18.75,"Elsen, Paderborn, Kreis Paderborn, Nordrhein-Westfalen, 33106, Deutschland",51.7353263,8.6869145,True
Westfalen Weser Netz GmbH,Mitte,Nordrhein-Westfalen,Harzberg,HS,Neubau Trafo,0.0,0.0,1,konkrete Planung,2028,18.75,"Harzberg, Lügde, Kreis Lippe, Nordrhein-Westfalen, Deutschland",51.9285995,9.2018504,True
Westfalen Weser Netz GmbH,Mitte,Nordrhein-Westfalen,Altenbeken,HS,Neubau Trafo,0.0,0.0,1,konkrete Planung,2028,18.48,"Altenbeken, Kreis Paderborn, Nordrhein-Westfalen, 33184, Deutschland",51.7617145,8.9454004,True
Westfalen Weser Netz GmbH,Mitte,Nordrhein-Westfalen,Bad Lippspringe,HS,Neubau Trafo,0.0,0.0,1,konkrete Planung,2028,18.48,"Bad Lippspringe, Kreis Paderborn, Nordrhein-Westfalen, 33175, Deutschland",51.7833,8.81667,True
Westfalen Weser Netz GmbH,Mitte,Nordrhein-Westfalen,Vahlhausen,HS,Neubau Trafo,0.0,0.0,1,im Bau,2024,0.875,"Vahlhausen, Detmold, Kreis Lippe, Nordrhein-Westfalen, Deutschland",51.9436745,8.9376989,True
Westfalen Weser Netz GmbH,Mitte,Nordrhein-Westfalen,Rehme,MS,Neubau Trafo,0.0,0.0,1,im Bau,2025,0.25,"Rehme, Bad Oeynhausen, Kreis Minden-Lübbecke, Nordrhein-Westfalen, Deutschland",52.2128537,8.8236479,True
Westfalen Weser Netz GmbH,Mitte,Nordrhein-Westfalen,Paderborn,MS,Neubau Trafo,0.0,0.0,1,vorgesehene Maßnahme,2026,5.375,"Paderborn, Kreis Paderborn, Nordrhein-Westfalen, Deutschland",51.7177044,8.752653,True
Westfalen Weser Netz GmbH,Mitte,Nordrhein-Westfalen,Paderborn,MS,Neubau Trafo,0.0,0.0,1,vorgesehene Maßnahme,2027,4.719,"Paderborn, Kreis Paderborn, Nordrhein-Westfalen, Deutschland",51.7177044,8.752653,True
Westfalen Weser Netz GmbH,Mitte,Nordrhein-Westfalen,Kutenhausen,HS,Neubau Trafo,0.0,0.0,1,vorgesehene Maßnahme,2028,2.622,"Kutenhausen, Minden, Kreis Minden-Lübbecke, Nordrhein-Westfalen, Deutschland",52.3348077,8.896298,True
Westfalen Weser Netz GmbH,Mitte,Nordrhein-Westfalen,Kirchlengern,MS,Neubau Trafo,0.0,0.0,1,vorgesehene Maßnahme,2028,3.671,"Kirchlengern, Kreis Herford, Nordrhein-Westfalen, 32278, Deutschland",52.1983452,8.6440034,True
Westfalen Weser Netz GmbH,Mitte,Nordrhein-Westfalen,k.A.,MS,Neubau Trafo,0.0,0.0,1,vorgesehene Maßnahme,2029,2.125,"Nordrhein-Westfalen, Deutschland",51.4789205,7.5543751,True
Westfalen Weser Netz GmbH,Mitte,Nordrhein-Westfalen,Enger,HS,Neubau Trafo,0.0,0.0,1,vorgesehene Maßnahme,2029,1.875,"Enger, Kreis Herford, Nordrhein-Westfalen, 32130, Deutschland",52.1394015,8.5588818,True
Westfalen Weser Netz GmbH,Mitte,Nordrhein-Westfalen,k.A.,HS,Neubau Trafo,0.0,0.0,1,vorgesehene Maßnahme,2029,1.875,"Nordrhein-Westfalen, Deutschland",51.4789205,7.5543751,True
Westfalen Weser Netz GmbH,Mitte,Nordrhein-Westfalen,Paderborn,HS,Neubau Trafo,0.0,0.0,1,vorgesehene Maßnahme,2029,1.875,"Paderborn, Kreis Paderborn, Nordrhein-Westfalen, Deutschland",51.7177044,8.752653,True
Westfalen Weser Netz GmbH,Mitte,Nordrhein-Westfalen,Kutenhausen,HS,Neubau Trafo,0.0,0.0,1,vorgesehene Maßnahme,2030,3.125,"Kutenhausen, Minden, Kreis Minden-Lübbecke, Nordrhein-Westfalen, Deutschland",52.3348077,8.896298,True
Westfalen Weser Netz GmbH,Mitte,Nordrhein-Westfalen,Ostscheid,HS,Neubau Trafo,0.0,0.0,1,vorgesehene Maßnahme,2030,1.875,"Ostscheid, Mennighüffen, Löhne, Kreis Herford, Nordrhein-Westfalen, 32584, Deutschland",52.2130774,8.7371109,True
Westfalen Weser Netz GmbH,Mitte,Nordrhein-Westfalen,Kutenhausen,HS,Neubau Trafo,0.0,0.0,1,vorgesehene Maßnahme,2030,1.875,"Kutenhausen, Minden, Kreis Minden-Lübbecke, Nordrhein-Westfalen, Deutschland",52.3348077,8.896298,True
Westfalen Weser Netz GmbH,Mitte,Nordrhein-Westfalen,k.A.,HS,Neubau Trafo,0.0,0.0,1,vorgesehene Maßnahme,2032,2.896,"Nordrhein-Westfalen, Deutschland",51.4789205,7.5543751,True
