VNB-Name,Teilnetzgebiet,Bundesland,Ort / Trasse,Netzebene,Art der Maßnahme,Leitungslänge in km,Übertragungskapazität in MVA,"Netzkomponenten (z.B. UW,Trafo ;Anzahl/Typ)",Projektstatus,Zeithorizont,Kosten in Mio.€,location,latitude,longitude,passt
Westnetz GmbH,West,Niedersachsen,Hemsen,HS/MS,Neubau Trafo,0.0,40.0,"UW, Trafo",vorgesehene Maßnahme noch nicht eingeleitet,2028,2.5,"Hemsen, Meppen, Landkreis Emsland, Niedersachsen, Deutschland",52.7364855,7.2790476,True
Westnetz GmbH,West,Rheinland-Pfalz,Niederstedem,HS,Neubau Schaltanlage,0.0,350.0,Schaltanlage,konkrete Planung noch nicht eingeleitet,2025,4.5,"Niederstedem, Bitburger Land, Eifelkreis Bitburg-Prüm, Rheinland-Pfalz, Deutschland",49.9302779,6.4986224,True
Westnetz GmbH,West,Niedersachsen,Merzen,HS,Neubau Leitungen; Neubau Schaltanlage,1.0,350.0,"Leitung, Schaltanlage",im Bau,2024,9.3,"Merzen, Samtgemeinde Neuenkirchen, Landkreis Osnabrück, Niedersachsen, Deutschland",52.4776488,7.8307739,True
Westnetz GmbH,West,Rheinland-Pfalz,Grimburg,HS,Neubau Schaltanlage,0.0,500.0,Schaltanlage,konkrete Planung noch nicht eingeleitet,2026,7.4,"Grimburg, Hermeskeil, Landkreis Trier-Saarburg, Rheinland-Pfalz, Deutschland",49.6207938,6.8842422,True
Westnetz GmbH,West,Niedersachsen,Barnstorf,HS/MS,Neubau Trafo; Ertüchtigungen Schaltanlage,0.0,40.0,"UW, Trafo",konkrete Planung noch nicht eingeleitet,2027,5.0,"Barnstorf, Samtgemeinde Barnstorf, Landkreis Diepholz, Niedersachsen, Deutschland",52.708931,8.505279,True
Westnetz GmbH,West,Niedersachsen,Rühle,HS,Neubau Schaltanlage,0.0,130.0,Schaltanlage,konkrete Planung noch nicht eingeleitet,2026,11.0,"Rühle, Bodenwerder, Samtgemeinde Bodenwerder-Polle, Landkreis Holzminden, Niedersachsen, 37640, Deutschland",51.9281108,9.5110261,True
Westnetz GmbH,West,Nordrhein-Westfalen,Laer,HS/MS,Neubau Trafo; Neubau Schaltanlage,0.0,40.0,"UW, Trafo",abgeschlossen,2023,3.6,"Laer, Kreis Steinfurt, Nordrhein-Westfalen, 48366, Deutschland",52.0539793,7.3602241,True
Westnetz GmbH,West,Niedersachsen,Kalle,HS/MS,Neubau Trafo,0.0,40.0,"UW, Trafo",vorgesehene Maßnahme noch nicht eingeleitet,2028,2.5,"Kalle, Hoogstede, Samtgemeinde Emlichheim, Landkreis Grafschaft Bentheim, Niedersachsen, 49846, Deutschland",52.5799063,6.917769,True
Westnetz GmbH,West,Niedersachsen,Esche,HS/MS,Neubau Trafo,0.0,40.0,"UW, Trafo",konkrete Planung noch nicht eingeleitet,2028,8.1,"Esche, Samtgemeinde Neuenhaus, Landkreis Grafschaft Bentheim, Niedersachsen, Deutschland",52.5412476,6.9588047,True
Westnetz GmbH,West,Nordrhein-Westfalen,Ostoennen,HS/MS,Neubau Trafo,0.0,40.0,"UW, Trafo",vorgesehene Maßnahme noch nicht eingeleitet,2028,4.3,"Ostönnen, Soest, Kreis Soest, Nordrhein-Westfalen, Deutschland",51.5494413,8.0006888,True
