VNB-Name,Teilnetzgebiet,Bundesland,Ort / Trasse,Netzebene,Art der Maßnahme,Leitungslänge in km,Übertragungskapazität in MVA,"Netzkomponenten (z.B. UW,Trafo ;Anzahl/Typ)",Projektstatus,Zeithorizont,Kosten in Mio.€,location,latitude,longitude,passt
Überlandwerk Mittelbaden GmbH&CoKG,Südwest,Baden-Württemberg,Flugplatz Lahr,HS,Neubau UW,0.0,0.0,UW,k.A.,2033,0.0,"Flugplatz, Rheinstraße Nord, Hugsweier, Lahr/Schwarzwald, Verwaltungsgemeinschaft Lahr/Schwarzwald, Ortenaukreis, Baden-Württemberg, 77933, Deutschland",48.3608937,7.8270291,True
Überlandwerk Mittelbaden GmbH&CoKG,Südwest,Baden-Württemberg,Offenburg-Nord,HS,Ertüchtigungen UW,0.0,0.0,UW,k.A.,2033,0.0,"Offenburg-Nord, B 33a, Offenburg, Verwaltungsgemeinschaft Offenburg, Ortenaukreis, Baden-Württemberg, 77656, Deutschland",48.4692749,7.9237104,True
Überlandwerk Mittelbaden GmbH&CoKG,Südwest,Baden-Württemberg,Freistett,HS,Ertüchtigungen UW,0.0,0.0,UW,k.A.,2033,0.0,"Freistett, Rheinau, Ortenaukreis, Baden-Württemberg, 77866, Deutschland",48.6678905,7.9356649,True
Überlandwerk Mittelbaden GmbH&CoKG,Südwest,Baden-Württemberg,Friesenheim,HS,Ertüchtigungen UW,0.0,0.0,UW,k.A.,2033,0.0,"Friesenheim, Ortenaukreis, Baden-Württemberg, 77948, Deutschland",48.3734866,7.882329,True
Überlandwerk Mittelbaden GmbH&CoKG,Südwest,Baden-Württemberg,Schutterzell,HS,Neubau UW,0.0,0.0,UW,k.A.,2033,0.0,"Schutterzell, Neuried, Ortenaukreis, Baden-Württemberg, Deutschland",48.4015098,7.8375115,True
Überlandwerk Mittelbaden GmbH&CoKG,Südwest,Baden-Württemberg,Gengenbach,HS,Ertüchtigungen UW,0.0,0.0,UW,k.A.,2033,0.0,"Gengenbach, Verwaltungsgemeinschaft Gengenbach, Ortenaukreis, Baden-Württemberg, 77723, Deutschland",48.4035425,8.0153059,True
Überlandwerk Mittelbaden GmbH&CoKG,Südwest,Baden-Württemberg,Gengenbach,HS,Ertüchtigungen UW,0.0,0.0,UW,k.A.,2033,0.0,"Gengenbach, Verwaltungsgemeinschaft Gengenbach, Ortenaukreis, Baden-Württemberg, 77723, Deutschland",48.4035425,8.0153059,True
Überlandwerk Mittelbaden GmbH&CoKG,Südwest,Baden-Württemberg,Elgersweier,HS,Neubau UW,0.0,0.0,UW,k.A.,2033,0.0,"Elgersweier, Offenburg, Verwaltungsgemeinschaft Offenburg, Ortenaukreis, Baden-Württemberg, 77656, Deutschland",48.4403034,7.9469887,True
Überlandwerk Mittelbaden GmbH&CoKG,Südwest,Baden-Württemberg,Oberkirch,HS,Ertüchtigungen UW,0.0,0.0,UW,k.A.,2033,0.0,"Oberkirch, Verwaltungsgemeinschaft Oberkirch, Ortenaukreis, Baden-Württemberg, 77704, Deutschland",48.5308586,8.078657,True
Überlandwerk Mittelbaden GmbH&CoKG,Südwest,Baden-Württemberg,Lahr-Stadt,HS,Neubau UW,0.0,0.0,UW,k.A.,2033,0.0,"Weingut Wöhrle, Dinglingen, Lahr/Schwarzwald, Verwaltungsgemeinschaft Lahr/Schwarzwald, Ortenaukreis, Baden-Württemberg, 77933, Deutschland",48.3432128,7.8508372,True
