VNB-Name,Teilnetzgebiet,Bundesland,Ort / Trasse,Netzebene,Art der Maßnahme,Leitungslänge in km,Übertragungskapazität in MVA,"Netzkomponenten (z.B. UW,Trafo ;Anzahl/Typ)",Projektstatus,Zeithorizont,Kosten in Mio.€,location,latitude,longitude,passt
badenovaNETZE GmbH,Südwest,Baden-Württemberg,k.A.,MS,Neubau Leitungen,2.29,0.0,Kabel,keine Genehmigung erforderlich,k.A.,0.8,"Baden-Württemberg, Deutschland",48.53775,9.041169,True
badenovaNETZE GmbH,Südwest,Baden-Württemberg,k.A.,MS,Neubau Leitungen,3.29,0.0,Kabel,keine Genehmigung erforderlich,k.A.,1.15,"Baden-Württemberg, Deutschland",48.53775,9.041169,True
badenovaNETZE GmbH,Südwest,Baden-Württemberg,Brunnenmatten,HS auf MS,Neubau UW,0.0,0.0,"110kV-Felder, 110kV-Trafo, TRA, Spulen",keine Genehmigung erforderlich,k.A.,4.6,"Brunnenmatten, Hasengrund, Zell-Weierbach, Fessenbach, Offenburg, Verwaltungsgemeinschaft Offenburg, Ortenaukreis, Baden-Württemberg, 77654, Deutschland",48.4782114,7.987472,True
badenovaNETZE GmbH,Südwest,Baden-Württemberg,Mooswaldallee,HS auf MS,Neubau UW,0.0,0.0,"110kV-Felder, 110kV-Trafo, TRA, Spulen, 20kV-Felder",noch nicht eingeleitet,k.A.,14.0,"Mooswaldallee, Brühl-Industriegebiet, Brühl, Freiburg im Breisgau, Baden-Württemberg, 79108, Deutschland",48.0346223,7.8490427,True
badenovaNETZE GmbH,Südwest,Baden-Württemberg,Rankackerweg,HS auf MS,Neubau UW,0.0,0.0,"110kV-Felder, 110kV-Trafo, 20kV-Felder",noch nicht eingeleitet,k.A.,22.0,"Rankackerweg, Haslach-Haid, Haslach, Freiburg im Breisgau, Baden-Württemberg, 79114, Deutschland",47.992879,7.8090085,True
badenovaNETZE GmbH,Südwest,Baden-Württemberg,Hochdorf,HS auf MS,Neubau UW,0.0,0.0,"110kV-Felder, 110kV-Trafo, Spulen, 20kV-Felder",noch nicht eingeleitet,k.A.,14.6,"Hochdorf, Verwaltungsgemeinschaft Biberach an der Riß, Landkreis Biberach, Baden-Württemberg, 88454, Deutschland",48.0257292,9.7879058,True
badenovaNETZE GmbH,Südwest,Baden-Württemberg,Gottenheim,HS auf MS,Neubau UW,0.0,0.0,"110kV-Felder, 110kV-Trafo, Spulen, 20kV-Felder",noch nicht eingeleitet,k.A.,16.0,"Gottenheim, GVV Kaiserstuhl-Tuniberg, Landkreis Breisgau-Hochschwarzwald, Baden-Württemberg, 79288, Deutschland",48.0502889,7.7261673,True
badenovaNETZE GmbH,Südwest,Baden-Württemberg,Bad Krozingen,HS auf MS,Neubau UW,0.0,0.0,"110kV-Felder, 110kV-Trafo, Spulen, 20kV-Felder",noch nicht eingeleitet,k.A.,17.5,"Bad Krozingen, VVG der Stadt Bad Krozingen, Landkreis Breisgau-Hochschwarzwald, Baden-Württemberg, Deutschland",47.9118288,7.7033313,True
badenovaNETZE GmbH,Südwest,Baden-Württemberg,Müllheim,HS auf MS,Neubau UW,0.0,0.0,"110kV-Felder, 110kV-Trafo, Spulen, 20kV-Felder",noch nicht eingeleitet,k.A.,14.6,"Müllheim im Markgräflerland, Bahnhofstraße, Müllheim, Müllheim im Markgräflerland, GVV Müllheim-Badenweiler, Landkreis Breisgau-Hochschwarzwald, Baden-Württemberg, 79379, Deutschland",47.810102,7.5995606,True
badenovaNETZE GmbH,Südwest,Baden-Württemberg,Schlossbergring,MS,Ertüchtigungen UW,0.0,0.0,"110kV-Felder, 110kV-Trafo",noch nicht eingeleitet,k.A.,2.8,"Schlossbergring, Altstadt-Mitte, Altstadt, Freiburg im Breisgau, Baden-Württemberg, 79098, Deutschland",47.995767,7.857458,True
badenovaNETZE GmbH,Südwest,Baden-Württemberg,k.A.,HS,Ertüchtigungen UW,0.0,0.0,110kV-Felder,noch nicht eingeleitet,k.A.,1.0,"Baden-Württemberg, Deutschland",48.53775,9.041169,True
badenovaNETZE GmbH,Südwest,Baden-Württemberg,k.A.,HS auf MS,Ertüchtigungen UW,0.0,0.0,110kV-Trafo,noch nicht eingeleitet,k.A.,4.5,"Baden-Württemberg, Deutschland",48.53775,9.041169,True
badenovaNETZE GmbH,Südwest,Baden-Württemberg,Zarten,HS auf MS,Neubau UW,0.0,0.0,"110kV-Felder, 110kV-Trafo, Spulen, 20kV-Felder",noch nicht eingeleitet,k.A.,14.6,"Kirchzarten, GVV Dreisamtal, Landkreis Breisgau-Hochschwarzwald, Baden-Württemberg, 79199, Deutschland",47.9770172,7.9492262,True
badenovaNETZE GmbH,Südwest,Baden-Württemberg,k.A.,HS auf MS,Ertüchtigungen UW,0.0,0.0,Schutz- und Leittechnik,keine Genehmigung erforderlich,k.A.,0.45,"Baden-Württemberg, Deutschland",48.53775,9.041169,True
badenovaNETZE GmbH,Südwest,Baden-Württemberg,Schlossbergring,HS auf MS,Ertüchtigungen UW,0.0,0.0,Schutz- und Leittechnik,keine Genehmigung erforderlich,k.A.,0.43,"Schlossbergring, Altstadt-Mitte, Altstadt, Freiburg im Breisgau, Baden-Württemberg, 79098, Deutschland",47.995767,7.857458,True
badenovaNETZE GmbH,Südwest,Baden-Württemberg,k.A.,HS auf MS,Ertüchtigungen UW,0.0,0.0,"110kV-Felder, 110kV-Trafo, Spulen, 20kV-Felder",keine Genehmigung erforderlich,k.A.,0.8,"Baden-Württemberg, Deutschland",48.53775,9.041169,True
badenovaNETZE GmbH,Südwest,Baden-Württemberg,Dietenbach,MS,Neubau Schaltanlage,0.0,0.0,"20kV-Felder, DSS",noch nicht eingeleitet,k.A.,2.0,"Dietenbach, Kirchzarten (Kernort), Kirchzarten, GVV Dreisamtal, Landkreis Breisgau-Hochschwarzwald, Baden-Württemberg, 79199, Deutschland",47.9545474,7.9425577,True
badenovaNETZE GmbH,Südwest,Baden-Württemberg,Bötzingerstr.,MS,Ertüchtigungen UW,0.0,0.0,20kV-Felder,keine Genehmigung erforderlich,k.A.,0.51,"Bötzinger Straße, Sankt Georgen, Sankt Georgen Nord, Sankt Georgen, Freiburg im Breisgau, Baden-Württemberg, 79111, Deutschland",47.9883432,7.7883542,True
badenovaNETZE GmbH,Südwest,Baden-Württemberg,k.A.,MS,Ertüchtigungen UW,0.0,0.0,20kV-Felder,noch nicht eingeleitet,k.A.,2.7,"Baden-Württemberg, Deutschland",48.53775,9.041169,True
badenovaNETZE GmbH,Südwest,Baden-Württemberg,St. Peter Glottertalstr.,MS,Ertüchtigungen UW,0.0,0.0,20kV-Felder,keine Genehmigung erforderlich,k.A.,0.12,"Sportschützenverein Sankt Peter, 18, Glottertalstraße, Unterwasser, St. Peter, GVV St. Peter, Landkreis Breisgau-Hochschwarzwald, Baden-Württemberg, 79271, Deutschland",48.0252172,8.0333262,True
badenovaNETZE GmbH,Südwest,Baden-Württemberg,Mundenhoferstr.,MS,Ertüchtigungen UW,0.0,0.0,Schutz und Leittechnik,keine Genehmigung erforderlich,k.A.,0.16,"Mundenhofer Straße, Mundenhof, Freiburg im Breisgau, Baden-Württemberg, 79111, Deutschland",48.0118274,7.7775928,True
badenovaNETZE GmbH,Südwest,Baden-Württemberg,k.A.,HS/MS,Ertüchtigungen UW,0.0,0.0,"20kV-Felder, EB, TRA",keine Genehmigung erforderlich,k.A.,0.46,"Baden-Württemberg, Deutschland",48.53775,9.041169,True
badenovaNETZE GmbH,Südwest,Baden-Württemberg,Freiburg,MS/NS,Neubau Trafo,0.0,0.0,"20kV-Trafo, MS-Anlage, NSHV",keine Genehmigung erforderlich,k.A.,3.02,"Freiburg im Breisgau, Baden-Württemberg, Deutschland",47.9960901,7.8494005,True
badenovaNETZE GmbH,Südwest,Baden-Württemberg,Freiburg,MS/NS,Neubau Trafo,0.0,0.0,"20kV-Trafo, MS-Anlage, NSHV",keine Genehmigung erforderlich,k.A.,9.07,"Freiburg im Breisgau, Baden-Württemberg, Deutschland",47.9960901,7.8494005,True
badenovaNETZE GmbH,Südwest,Baden-Württemberg,Freiburg,MS/NS,Ertüchtigungen Trafo,0.0,0.0,"20kV-Trafo, MS-Anlage, NSHV",keine Genehmigung erforderlich,k.A.,3.02,"Freiburg im Breisgau, Baden-Württemberg, Deutschland",47.9960901,7.8494005,True
badenovaNETZE GmbH,Südwest,Baden-Württemberg,Freiburg,MS/NS,Ertüchtigungen Trafo,0.0,0.0,"20kV-Trafo, MS-Anlage, NSHV",keine Genehmigung erforderlich,k.A.,0.6,"Freiburg im Breisgau, Baden-Württemberg, Deutschland",47.9960901,7.8494005,True
badenovaNETZE GmbH,Südwest,Baden-Württemberg,Breisach,MS/NS,Neubau Trafo,0.0,0.0,"20kV-Trafo, MS-Anlage, NSHV",keine Genehmigung erforderlich,k.A.,0.37,"Breisach, Ihringer Landstraße, Breisach (Kernstadt), Breisach am Rhein, VVG der Stadt Breisach am Rhein, Landkreis Breisgau-Hochschwarzwald, Baden-Württemberg, 79206, Deutschland",48.026872,7.5894944,True
badenovaNETZE GmbH,Südwest,Baden-Württemberg,Breisach,MS/NS,Neubau Trafo,0.0,0.0,"20kV-Trafo, MS-Anlage, NSHV",keine Genehmigung erforderlich,k.A.,1.11,"Breisach, Ihringer Landstraße, Breisach (Kernstadt), Breisach am Rhein, VVG der Stadt Breisach am Rhein, Landkreis Breisgau-Hochschwarzwald, Baden-Württemberg, 79206, Deutschland",48.026872,7.5894944,True
badenovaNETZE GmbH,Südwest,Baden-Württemberg,Breisach,MS/NS,Ertüchtigungen Trafo,0.0,0.0,"20kV-Trafo, MS-Anlage, NSHV",keine Genehmigung erforderlich,k.A.,0.37,"Breisach, Ihringer Landstraße, Breisach (Kernstadt), Breisach am Rhein, VVG der Stadt Breisach am Rhein, Landkreis Breisgau-Hochschwarzwald, Baden-Württemberg, 79206, Deutschland",48.026872,7.5894944,True
badenovaNETZE GmbH,Südwest,Baden-Württemberg,Breisach,MS/NS,Ertüchtigungen Trafo,0.0,0.0,"20kV-Trafo, MS-Anlage, NSHV",keine Genehmigung erforderlich,k.A.,0.07,"Breisach, Ihringer Landstraße, Breisach (Kernstadt), Breisach am Rhein, VVG der Stadt Breisach am Rhein, Landkreis Breisgau-Hochschwarzwald, Baden-Württemberg, 79206, Deutschland",48.026872,7.5894944,True
badenovaNETZE GmbH,Südwest,Baden-Württemberg,k.A.,MS/NS,Neubau Trafo,0.0,0.0,"20kV-Trafo, MS-Anlage, NSHV",keine Genehmigung erforderlich,k.A.,0.98,"Baden-Württemberg, Deutschland",48.53775,9.041169,True
badenovaNETZE GmbH,Südwest,Baden-Württemberg,k.A.,MS/NS,Neubau Trafo,0.0,0.0,"20kV-Trafo, MS-Anlage, NSHV",keine Genehmigung erforderlich,k.A.,2.93,"Baden-Württemberg, Deutschland",48.53775,9.041169,True
badenovaNETZE GmbH,Südwest,Baden-Württemberg,k.A.,MS/NS,Ertüchtigungen Trafo,0.0,0.0,"20kV-Trafo, MS-Anlage, NSHV",keine Genehmigung erforderlich,k.A.,0.98,"Baden-Württemberg, Deutschland",48.53775,9.041169,True
badenovaNETZE GmbH,Südwest,Baden-Württemberg,k.A.,MS/NS,Ertüchtigungen Trafo,0.0,0.0,"20kV-Trafo, MS-Anlage, NSHV",keine Genehmigung erforderlich,k.A.,0.2,"Baden-Württemberg, Deutschland",48.53775,9.041169,True
badenovaNETZE GmbH,Südwest,Baden-Württemberg,k.A.,MS/NS,Neubau Trafo,0.0,0.0,"20kV-Trafo, MS-Anlage, NSHV",keine Genehmigung erforderlich,k.A.,0.21,"Baden-Württemberg, Deutschland",48.53775,9.041169,True
badenovaNETZE GmbH,Südwest,Baden-Württemberg,k.A.,MS/NS,Neubau Trafo,0.0,0.0,"20kV-Trafo, MS-Anlage, NSHV",keine Genehmigung erforderlich,k.A.,0.63,"Baden-Württemberg, Deutschland",48.53775,9.041169,True
badenovaNETZE GmbH,Südwest,Baden-Württemberg,k.A.,MS/NS,Ertüchtigungen Trafo,0.0,0.0,"20kV-Trafo, MS-Anlage, NSHV",keine Genehmigung erforderlich,k.A.,0.21,"Baden-Württemberg, Deutschland",48.53775,9.041169,True
badenovaNETZE GmbH,Südwest,Baden-Württemberg,k.A.,MS/NS,Ertüchtigungen Trafo,0.0,0.0,"20kV-Trafo, MS-Anlage, NSHV",keine Genehmigung erforderlich,k.A.,0.04,"Baden-Württemberg, Deutschland",48.53775,9.041169,True
badenovaNETZE GmbH,Südwest,Baden-Württemberg,Kaiserstuhl,MS/NS,Neubau Trafo,0.0,0.0,"20kV-Trafo, MS-Anlage, NSHV",keine Genehmigung erforderlich,k.A.,0.22,"Kaiserstuhl, Landkreis Breisgau-Hochschwarzwald, Baden-Württemberg, Deutschland",48.0967686,7.6762163,True
badenovaNETZE GmbH,Südwest,Baden-Württemberg,Kaiserstuhl,MS/NS,Neubau Trafo,0.0,0.0,"20kV-Trafo, MS-Anlage, NSHV",keine Genehmigung erforderlich,k.A.,0.65,"Kaiserstuhl, Landkreis Breisgau-Hochschwarzwald, Baden-Württemberg, Deutschland",48.0967686,7.6762163,True
badenovaNETZE GmbH,Südwest,Baden-Württemberg,Kaiserstuhl,MS/NS,Ertüchtigungen Trafo,0.0,0.0,"20kV-Trafo, MS-Anlage, NSHV",keine Genehmigung erforderlich,k.A.,0.22,"Kaiserstuhl, Landkreis Breisgau-Hochschwarzwald, Baden-Württemberg, Deutschland",48.0967686,7.6762163,True
badenovaNETZE GmbH,Südwest,Baden-Württemberg,Kaiserstuhl,MS/NS,Ertüchtigungen Trafo,0.0,0.0,"20kV-Trafo, MS-Anlage, NSHV",keine Genehmigung erforderlich,k.A.,0.04,"Kaiserstuhl, Landkreis Breisgau-Hochschwarzwald, Baden-Württemberg, Deutschland",48.0967686,7.6762163,True
badenovaNETZE GmbH,Südwest,Baden-Württemberg,"Freiburg, Am Silberhof",MS,Neubau Leitungen,0.93,0.0,Kabel,keine Genehmigung erforderlich,k.A.,0.33,"Umspannwerk Freiburg - Brunnenmatte, 15, Am Silberhof, Rieselfeld, Freiburg im Breisgau, Baden-Württemberg, 79111, Deutschland",48.010166,7.8015561,True
badenovaNETZE GmbH,Südwest,Baden-Württemberg,"Freiburg, Einsteinstraße",MS,Neubau Leitungen,1.41,0.0,Kabel,keine Genehmigung erforderlich,k.A.,0.49,"Deutsche Post NL B Freiburg DHL Zustellbasis (MechZB), 7, Einsteinstraße, Industriegebiet Nord, Brühl, Freiburg im Breisgau, Baden-Württemberg, 79108, Deutschland",48.0301465,7.8380785,True
badenovaNETZE GmbH,Südwest,Baden-Württemberg,"Bad Krozingen, Biengener Straße",MS,Neubau Leitungen,0.78,0.0,Kabel,keine Genehmigung erforderlich,k.A.,0.27,"Freiwillige Feuerwehr Bad Krozingen - Abteilung 03 Schlatt, 33, Biengener Straße, Schlatt, Bad Krozingen, VVG der Stadt Bad Krozingen, Landkreis Breisgau-Hochschwarzwald, Baden-Württemberg, 79189, Deutschland",47.9269269,7.6786171,True
badenovaNETZE GmbH,Südwest,Baden-Württemberg,"Freiburg, Breisacher Straße",MS,Neubau Leitungen,0.51,0.0,Kabel,keine Genehmigung erforderlich,k.A.,0.18,"Universitätsklinikum Freiburg, Breisacher Straße, Uni-Carré, Stühlinger-Eschholz, Stühlinger, Freiburg im Breisgau, Baden-Württemberg, 79106, Deutschland",48.0070218,7.837321,True
badenovaNETZE GmbH,Südwest,Baden-Württemberg,"Ihringen, Kirchstraße",MS,Neubau Leitungen,0.5,0.0,Kabel,keine Genehmigung erforderlich,k.A.,0.17,"Ihringen Kirchplatz, Kirchstraße, Ihringen (Kernort), Ihringen, VVG der Stadt Breisach am Rhein, Landkreis Breisgau-Hochschwarzwald, Baden-Württemberg, 79241, Deutschland",48.0458455,7.6480452,True
badenovaNETZE GmbH,Südwest,Baden-Württemberg,"Freiburg, Ensisheimer Straße",MS,Neubau Leitungen,0.49,0.0,Kabel,keine Genehmigung erforderlich,k.A.,0.17,"Sportpark Freiburg, 5, Ensisheimer Straße, Mooswald-Ost, Mooswald, Freiburg im Breisgau, Baden-Württemberg, 79110, Deutschland",48.0096901,7.8250916,True
badenovaNETZE GmbH,Südwest,Baden-Württemberg,"Freiburg, Grünwälderstraße",MS,Neubau Leitungen,0.18,0.0,Kabel,keine Genehmigung erforderlich,k.A.,0.06,"Granit Bleu de Vire, Grünwälderstraße, Altstadt-Mitte, Altstadt, Freiburg im Breisgau, Baden-Württemberg, 79098, Deutschland",47.9938946,7.8522059,True
badenovaNETZE GmbH,Südwest,Baden-Württemberg,Kappler Straße,MS,Neubau Leitungen,1.0,0.0,Kabel,keine Genehmigung erforderlich,k.A.,0.35,"Kappler Straße, Littenweiler, Freiburg im Breisgau, Baden-Württemberg, 79117, Deutschland",47.9813887,7.9017968,True
badenovaNETZE GmbH,Südwest,Baden-Württemberg,Kappler Straße,MS,Neubau Leitungen,0.53,0.0,Kabel,keine Genehmigung erforderlich,k.A.,0.18,"Kappler Straße, Littenweiler, Freiburg im Breisgau, Baden-Württemberg, 79117, Deutschland",47.9813887,7.9017968,True
badenovaNETZE GmbH,Südwest,Baden-Württemberg,Breisach,MS,Ertüchtigungen Leitungen,1.84,0.0,Kabel,keine Genehmigung erforderlich,2025,0.65,"Breisach, Ihringer Landstraße, Breisach (Kernstadt), Breisach am Rhein, VVG der Stadt Breisach am Rhein, Landkreis Breisgau-Hochschwarzwald, Baden-Württemberg, 79206, Deutschland",48.026872,7.5894944,True
badenovaNETZE GmbH,Südwest,Baden-Württemberg,Freiburg,MS,Ertüchtigungen Leitungen,6.96,0.0,Kabel,keine Genehmigung erforderlich,2025,2.44,"Freiburg im Breisgau, Baden-Württemberg, Deutschland",47.9960901,7.8494005,True
badenovaNETZE GmbH,Südwest,Baden-Württemberg,Kaiserstuhl,MS,Ertüchtigungen Leitungen,0.64,0.0,Kabel,keine Genehmigung erforderlich,2025,0.22,"Kaiserstuhl, Landkreis Breisgau-Hochschwarzwald, Baden-Württemberg, Deutschland",48.0967686,7.6762163,True
badenovaNETZE GmbH,Südwest,Baden-Württemberg,k.A.,MS,Ertüchtigungen Leitungen,0.92,0.0,Kabel,keine Genehmigung erforderlich,2025,0.32,"Baden-Württemberg, Deutschland",48.53775,9.041169,True
