VNB-Name,Teilnetzgebiet,Bundesland,Ort / Trasse,Netzebene,Art der Maßnahme,Leitungslänge in km,Übertragungskapazität in MVA,"Netzkomponenten (z.B. UW,Trafo ;Anzahl/Typ)",Projektstatus,Zeithorizont,Kosten in Mio.€,location,latitude,longitude,passt
e-netz Südhessen AG,West,Hessen,,MS,Neubau Leitungen,3.1,0.0,k.A.,k.A.,k.A.,0.0,"Hessen, Deutschland",50.6080651,9.0284647,True
e-netz Südhessen AG,West,Hessen,,MS,Neubau Leitungen,15.8,0.0,k.A.,k.A.,k.A.,0.0,"Hessen, Deutschland",50.6080651,9.0284647,True
e-netz Südhessen AG,West,Hessen,,MS,Neubau Leitungen,5.9,0.0,k.A.,k.A.,k.A.,0.0,"Hessen, Deutschland",50.6080651,9.0284647,True
e-netz Südhessen AG,West,Hessen,,MS,Neubau Leitungen,18.4,0.0,k.A.,k.A.,k.A.,0.0,"Hessen, Deutschland",50.6080651,9.0284647,True
e-netz Südhessen AG,West,Hessen,,MS,Neubau Leitungen,1.5,0.0,k.A.,k.A.,k.A.,0.0,"Hessen, Deutschland",50.6080651,9.0284647,True
e-netz Südhessen AG,West,Hessen,,MS,Neubau Leitungen,16.7,0.0,k.A.,k.A.,k.A.,0.0,"Hessen, Deutschland",50.6080651,9.0284647,True
e-netz Südhessen AG,West,Hessen,,MS,Neubau Leitungen,28.0,0.0,k.A.,k.A.,k.A.,0.0,"Hessen, Deutschland",50.6080651,9.0284647,True
e-netz Südhessen AG,West,Hessen,,MS,Neubau Leitungen,12.9,0.0,1x Umspannanlage,k.A.,k.A.,0.0,"Hessen, Deutschland",50.6080651,9.0284647,True
e-netz Südhessen AG,West,Hessen,,MS,Neubau Leitungen,8.0,0.0,1x Umspannanlage,k.A.,k.A.,0.0,"Hessen, Deutschland",50.6080651,9.0284647,True
e-netz Südhessen AG,West,Hessen,,MS,Neubau Leitungen,7.3,0.0,1x Umspannanlage,k.A.,k.A.,0.0,"Hessen, Deutschland",50.6080651,9.0284647,True
e-netz Südhessen AG,West,Hessen,,MS,Neubau Leitungen,8.1,0.0,1x Umspannanlage,k.A.,k.A.,0.0,"Hessen, Deutschland",50.6080651,9.0284647,True
e-netz Südhessen AG,West,Hessen,,MS,Neubau Leitungen,23.7,0.0,1x Umspannanlage,k.A.,k.A.,0.0,"Hessen, Deutschland",50.6080651,9.0284647,True
e-netz Südhessen AG,West,Hessen,,MS,Neubau Leitungen,17.7,0.0,1x Umspannanlage,k.A.,k.A.,0.0,"Hessen, Deutschland",50.6080651,9.0284647,True
e-netz Südhessen AG,West,Hessen,,MS,Neubau Leitungen,5.0,0.0,,k.A.,k.A.,0.0,"Hessen, Deutschland",50.6080651,9.0284647,True
e-netz Südhessen AG,West,Hessen,,MS,Neubau Leitungen,29.6,0.0,1x Umspannanlage,k.A.,k.A.,0.0,"Hessen, Deutschland",50.6080651,9.0284647,True
e-netz Südhessen AG,West,Hessen,,MS,Neubau Leitungen,2.0,0.0,,k.A.,k.A.,0.0,"Hessen, Deutschland",50.6080651,9.0284647,True
e-netz Südhessen AG,West,Hessen,,MS,Neubau Leitungen,2.3,0.0,,k.A.,k.A.,0.0,"Hessen, Deutschland",50.6080651,9.0284647,True
e-netz Südhessen AG,West,Hessen,,MS,Neubau Leitungen,18.4,0.0,,k.A.,k.A.,0.0,"Hessen, Deutschland",50.6080651,9.0284647,True
e-netz Südhessen AG,West,Hessen,,MS,Neubau Leitungen,9.7,0.0,,k.A.,k.A.,0.0,"Hessen, Deutschland",50.6080651,9.0284647,True
e-netz Südhessen AG,West,Hessen,,MS,Neubau Leitungen,21.6,0.0,1x Umspannanlage,k.A.,k.A.,0.0,"Hessen, Deutschland",50.6080651,9.0284647,True
e-netz Südhessen AG,West,Hessen,,MS,Neubau Leitungen,0.0,0.0,1x Umspannanlage,k.A.,k.A.,0.0,"Hessen, Deutschland",50.6080651,9.0284647,True
e-netz Südhessen AG,West,Hessen,,MS,Neubau Leitungen,8.1,0.0,1x Umspannanlage,k.A.,k.A.,0.0,"Hessen, Deutschland",50.6080651,9.0284647,True
e-netz Südhessen AG,West,Hessen,,MS,Neubau Leitungen,27.0,0.0,1x Umspannanlage,k.A.,k.A.,0.0,"Hessen, Deutschland",50.6080651,9.0284647,True
e-netz Südhessen AG,West,Hessen,,MS,Neubau Leitungen,0.0,0.0,1x Umspannanlage,k.A.,k.A.,0.0,"Hessen, Deutschland",50.6080651,9.0284647,True
e-netz Südhessen AG,West,Hessen,,MS,Neubau Leitungen,8.0,0.0,1x Umspannanlage,k.A.,k.A.,0.0,"Hessen, Deutschland",50.6080651,9.0284647,True
e-netz Südhessen AG,West,Hessen,,MS,Neubau Leitungen,0.8,0.0,,k.A.,k.A.,0.0,"Hessen, Deutschland",50.6080651,9.0284647,True
e-netz Südhessen AG,West,Hessen,,MS,Neubau Leitungen,1.8,0.0,,k.A.,k.A.,0.0,"Hessen, Deutschland",50.6080651,9.0284647,True
e-netz Südhessen AG,West,Hessen,,MS,Neubau Leitungen,6.4,0.0,,k.A.,k.A.,0.0,"Hessen, Deutschland",50.6080651,9.0284647,True
e-netz Südhessen AG,West,Hessen,,MS,Neubau Leitungen,0.0,0.0,1x Umspannanlage,k.A.,k.A.,0.0,"Hessen, Deutschland",50.6080651,9.0284647,True
