VNB-Name,Teilnetzgebiet,Bundesland,Ort / Trasse,Netzebene,Art der Maßnahme,Leitungslänge in km,Übertragungskapazität in MVA,"Netzkomponenten (z.B. UW,Trafo ;Anzahl/Typ)",Projektstatus,Zeithorizont,Kosten in Mio.€,location,latitude,longitude,passt
enercity Netz GmbH,Mitte,Niedersachsen,k.A.,MS,Neubau Leitungen,2.5,0.0,k.A.,konkrete Planung,2028,0.84,"Niedersachsen, Deutschland",52.8398531,9.075962,True
enercity Netz GmbH,Mitte,Niedersachsen,k.A.,MS,Neubau Leitungen,5.5,0.0,k.A.,konkrete Planung,2028,0.84,"Niedersachsen, Deutschland",52.8398531,9.075962,True
enercity Netz GmbH,Mitte,Niedersachsen,k.A.,MS,Neubau Leitungen,1.5,0.0,k.A.,konkrete Planung,2028,0.84,"Niedersachsen, Deutschland",52.8398531,9.075962,True
enercity Netz GmbH,Mitte,Niedersachsen,k.A.,MS,Neubau Leitungen,2.1,0.0,k.A.,konkrete Planung,2028,0.84,"Niedersachsen, Deutschland",52.8398531,9.075962,True
enercity Netz GmbH,Mitte,Niedersachsen,k.A.,MS,Neubau Leitungen,3.0,0.0,k.A.,konkrete Planung,2028,3.75,"Niedersachsen, Deutschland",52.8398531,9.075962,True
enercity Netz GmbH,Mitte,Niedersachsen,k.A.,MS,Neubau Leitungen,3.4,0.0,k.A.,konkrete Planung,2028,2.3,"Niedersachsen, Deutschland",52.8398531,9.075962,True
enercity Netz GmbH,Mitte,Niedersachsen,k.A.,MS,Neubau Leitungen,2.7,0.0,k.A.,konkrete Planung,2028,3.0,"Niedersachsen, Deutschland",52.8398531,9.075962,True
enercity Netz GmbH,Mitte,Niedersachsen,k.A.,MS,Neubau Leitungen,1.0,0.0,k.A.,konkrete Planung,2028,2.3,"Niedersachsen, Deutschland",52.8398531,9.075962,True
enercity Netz GmbH,Mitte,Niedersachsen,k.A.,MS,Neubau Leitungen,0.8,0.0,k.A.,konkrete Planung,2028,0.84,"Niedersachsen, Deutschland",52.8398531,9.075962,True
enercity Netz GmbH,Mitte,Niedersachsen,k.A.,MS,Neubau Leitungen,1.3,0.0,k.A.,konkrete Planung,2028,0.84,"Niedersachsen, Deutschland",52.8398531,9.075962,True
