VNB-Name,Teilnetzgebiet,Bundesland,Ort / Trasse,Netzebene,Art der Maßnahme,Leitungslänge in km,Übertragungskapazität in MVA,"Netzkomponenten (z.B. UW,Trafo ;Anzahl/Typ)",Projektstatus,Zeithorizont,Kosten in Mio.€,location,latitude,longitude,passt
energis-Netzgesellschaft mbH,West,Saarland,Beckingen,MS,Ertüchtigungen Leitungen,5.924,7.125,k.A.,vorgesehene Maßnahme,2025,1.481,"Beckingen, Landkreis Merzig-Wadern, Saarland, 66701, Deutschland",49.3877286,6.704062,True
energis-Netzgesellschaft mbH,West,Saarland,Bous,MS,Ertüchtigungen Leitungen,2.851,10.689,k.A.,vorgesehene Maßnahme,2025,0.713,"Bous, Landkreis Saarlouis, Saarland, 66359, Deutschland",49.2751251,6.7956291,True
energis-Netzgesellschaft mbH,West,Saarland,Eppelborn,MS,Ertüchtigungen Leitungen,0.668,8.511,k.A.,vorgesehene Maßnahme,2025,0.167,"Eppelborn, Landkreis Neunkirchen, Saarland, 66571, Deutschland",49.4073926,6.9644654,True
energis-Netzgesellschaft mbH,West,Saarland,Freisen,MS,Ertüchtigungen Leitungen,1.709,6.937,k.A.,vorgesehene Maßnahme,2025,0.427,"Freisen, Landkreis St. Wendel, Saarland, 66629, Deutschland",49.5526488,7.2480445,True
energis-Netzgesellschaft mbH,West,Saarland,Großrosseln,MS,Ertüchtigungen Leitungen,0.652,10.622,k.A.,vorgesehene Maßnahme,2025,0.163,"Großrosseln, Regionalverband Saarbrücken, Saarland, Deutschland",49.2038888,6.83536,True
energis-Netzgesellschaft mbH,West,Saarland,Kleinblittersdorf,MS,Ertüchtigungen Leitungen,2.853,10.451,k.A.,vorgesehene Maßnahme,2025,0.713,"Kleinblittersdorf, Regionalverband Saarbrücken, Saarland, 66271, Deutschland",49.1585603,7.0352964,True
energis-Netzgesellschaft mbH,West,Saarland,Lebach,MS,Ertüchtigungen Leitungen,9.057,10.117,k.A.,vorgesehene Maßnahme,2025,2.264,"Lebach, Landkreis Saarlouis, Saarland, 66822, Deutschland",49.4132377,6.9091348,True
energis-Netzgesellschaft mbH,West,Saarland,Losheim am See,MS,Ertüchtigungen Leitungen,0.94,5.947,k.A.,vorgesehene Maßnahme,2025,0.235,"Losheim am See, Landkreis Merzig-Wadern, Saarland, 66679, Deutschland",49.5082531,6.7447054,True
energis-Netzgesellschaft mbH,West,Saarland,Mandelbachtal,MS,Ertüchtigungen Leitungen,6.455,10.597,k.A.,vorgesehene Maßnahme,2025,1.614,"Mandelbachtal, Saarpfalz-Kreis, Saarland, 66399, Deutschland",49.1864983,7.1519119,True
energis-Netzgesellschaft mbH,West,Saarland,Marpingen,MS,Ertüchtigungen Leitungen,5.217,10.563,k.A.,vorgesehene Maßnahme,2025,1.304,"Marpingen, Landkreis St. Wendel, Saarland, 66646, Deutschland",49.45163,7.0573231,True
energis-Netzgesellschaft mbH,West,Saarland,Merchweiler,MS,Ertüchtigungen Leitungen,2.639,6.484,k.A.,vorgesehene Maßnahme,2025,0.66,"Merchweiler, Landkreis Neunkirchen, Saarland, 66589, Deutschland",49.3574002,7.0573454,True
energis-Netzgesellschaft mbH,West,Saarland,Merzig,MS,Ertüchtigungen Leitungen,6.527,6.774,k.A.,vorgesehene Maßnahme,2025,1.632,"Merzig, Landkreis Merzig-Wadern, Saarland, 66663, Deutschland",49.4427023,6.6374902,True
