VNB-Name,Teilnetzgebiet,Bundesland,Ort / Trasse,Netzebene,Art der Maßnahme,Leitungslänge in km,Übertragungskapazität in MVA,"Netzkomponenten (z.B. UW,Trafo ;Anzahl/Typ)",Projektstatus,Zeithorizont,Kosten in Mio.€,location,latitude,longitude,passt
inetz GmbH ,Ost,Sachsen,Rabenstein,HS/MS,Neubau UW; Neubau Leitungen,2.0,0.0,UW + HS-Kabel,konkrete Planung,2031,0.0,"Rabenstein, Chemnitz, Sachsen, 09117, Deutschland",50.8347619,12.8305008,True
inetz GmbH ,Ost,Sachsen,Rabenstein,MS,Neubau Leitungen,12.0,0.0,MS-Kabel,konkrete Planung,2031,0.0,"Rabenstein, Chemnitz, Sachsen, 09117, Deutschland",50.8347619,12.8305008,True
inetz GmbH ,Ost,Sachsen,Borna,MS,Neubau Leitungen,21.0,0.0,MS-Kabel,konkrete Planung,2028,0.0,"Borna, Landkreis Leipzig, Sachsen, 04552, Deutschland",51.1241649,12.4999055,True
inetz GmbH ,Ost,Sachsen,Glösa,MS,Neubau Leitungen,23.0,0.0,MS-Kabel,konkrete Planung,2028,0.0,"Glösa, Chemnitztalstraße, Glösa-Draisdorf, Chemnitz, Lichtenau, Sachsen, 09114, Deutschland",50.8673618,12.9129774,True
inetz GmbH ,Ost,Sachsen,k.A. ,NS,Neubau UW,0.0,0.0,15 ONS,konkrete Planung,2028,0.0,"Sachsen, Deutschland",50.9295798,13.4585052,True
inetz GmbH ,Ost,Sachsen,k.A. ,MS,Neubau Leitungen,6.0,0.0,MS-Kabel,konkrete Planung,2028,0.0,"Sachsen, Deutschland",50.9295798,13.4585052,True
inetz GmbH ,Ost,Sachsen,k.A. ,NS,Ertüchtigungen Leitungen,11.0,0.0,MS-Kabel,konkrete Planung,2028,0.0,"Sachsen, Deutschland",50.9295798,13.4585052,True
inetz GmbH ,Ost,Sachsen,k.A. ,NS,Neubau Leitungen,15.0,0.0,NS-Kabel,konkrete Planung,2028,0.0,"Sachsen, Deutschland",50.9295798,13.4585052,True
inetz GmbH ,Ost,Sachsen,k.A. ,NS,Ertüchtigungen ONS,0.0,0.0,4 ONS,konkrete Planung,2028,0.0,"Sachsen, Deutschland",50.9295798,13.4585052,True
inetz GmbH ,Ost,Sachsen,k.A. ,NS,Neubau ONS,0.0,0.0,141 ONS,konkrete Planung,2028,0.0,"Sachsen, Deutschland",50.9295798,13.4585052,True
inetz GmbH ,Ost,Sachsen,k.A. ,MS,Neubau Leitungen,57.0,0.0,MS-Kabel,konkrete Planung,2028,0.0,"Sachsen, Deutschland",50.9295798,13.4585052,True
inetz GmbH ,Ost,Sachsen,k.A. ,NS,Ertüchtigungen Leitungen,59.0,0.0,NS-Kabel,konkrete Planung,2028,0.0,"Sachsen, Deutschland",50.9295798,13.4585052,True
inetz GmbH ,Ost,Sachsen,k.A. ,NS,Neubau Leitungen,141.0,0.0,NS-Kabel,konkrete Planung,2028,0.0,"Sachsen, Deutschland",50.9295798,13.4585052,True
inetz GmbH ,Ost,Sachsen,k.A. ,MS,Ertüchtigungen Leitungen,47.0,0.0,MS-Kabel,konkrete Planung,2028,0.0,"Sachsen, Deutschland",50.9295798,13.4585052,True
inetz GmbH ,Ost,Sachsen,k.A. ,NS,Ertüchtigungen ONS,0.0,0.0,67 ONS,konkrete Planung,2028,0.0,"Sachsen, Deutschland",50.9295798,13.4585052,True
inetz GmbH ,Ost,Sachsen,Gablenz,HS/MS,Neubau UW; Neubau Leitungen,3.0,0.0,UW + HS-Kabel,konkrete Planung,2031,0.0,"Gablenz - Jabłońc, Bad Muskau, Görlitz, Sachsen, 02953, Deutschland",51.5333028,14.6666986,True
inetz GmbH ,Ost,Sachsen,Gablenz,MS,Neubau Leitungen,11.0,0.0,MS-Kabel,konkrete Planung,2031,0.0,"Gablenz - Jabłońc, Bad Muskau, Görlitz, Sachsen, 02953, Deutschland",51.5333028,14.6666986,True
inetz GmbH ,Ost,Sachsen,Röhrsdorf,HS,Ertüchtigungen Leitungen,10.0,0.0,HS-Freileitung,konkrete Planung,2035,0.0,"Röhrsdorf, Chemnitz, Sachsen, 09247, Deutschland",50.8635926,12.8453055,True
