VNB-Name,Teilnetzgebiet,Bundesland,Ort / Trasse,Netzebene,Art der Maßnahme,Leitungslänge in km,Übertragungskapazität in MVA,"Netzkomponenten (z.B. UW,Trafo ;Anzahl/Typ)",Projektstatus,Zeithorizont,Kosten in Mio.€,location,latitude,longitude,passt
ovag Netz GmbH,Mitte,Hessen,Butzbach,HS,Ertüchtigung UW,0.0,0.0,1,konkrete Planung,2028,1.6,"Butzbach, Wetteraukreis, Hessen, 35510, Deutschland",50.4261402,8.6539728,True
ovag Netz GmbH,Mitte,Hessen,Fauerbach,HS,Ertüchtigung UW,0.0,0.0,1,konkrete Planung,2029,1.6,"Fauerbach, Nidda, Wetteraukreis, Hessen, 63667, Deutschland",50.4052575,9.0644297,True
ovag Netz GmbH,Mitte,Hessen,k.A.,HS,Ertüchtigung UW,0.0,0.0,1,konkrete Planung,2032,1.6,"Hessen, Deutschland",50.6080651,9.0284647,True
ovag Netz GmbH,Mitte,Hessen,Ohmtal,HS,Ertüchtigung UW,0.0,0.0,1,konkrete Planung,2027,1.6,"Ohmtalweg, Obermühle, Homberg, Homberg (Ohm), Vogelsbergkreis, Hessen, 35315, Deutschland",50.7242895,8.9966152,True
ovag Netz GmbH,Mitte,Hessen,k.A.,HS,Ertüchtigung UW,0.0,0.0,1,konkrete Planung,2033,1.6,"Hessen, Deutschland",50.6080651,9.0284647,True
ovag Netz GmbH,Mitte,Hessen,k.A.,HS,Neubau UW,0.0,0.0,1,konkrete Planung,2033,11.4,"Hessen, Deutschland",50.6080651,9.0284647,True
ovag Netz GmbH,Mitte,Hessen,Eifa,HS,Neubau UW,0.0,0.0,1,konkrete Planung,2033,11.4,"Eifa, Hatzfeld (Eder), Landkreis Waldeck-Frankenberg, Hessen, Deutschland",50.9634192,8.5825293,True
ovag Netz GmbH,Mitte,Hessen,Dirlammen,HS,Neubau UW,0.0,0.0,1,konkrete Planung,2033,11.4,"Dirlammen, Lautertal, Vogelsbergkreis, Hessen, Deutschland",50.6058885,9.3032225,True
ovag Netz GmbH,Mitte,Hessen,Alsfeld,MS,Neubau Leitungen,6.4,0.0,k.A.,vorgesehene Maßnahme,2028,1.6,"Alsfeld, Vogelsbergkreis, Hessen, 36304, Deutschland",50.7523545,9.268355,True
ovag Netz GmbH,Mitte,Hessen,Alsfeld,MS,Neubau Leitungen,5.4,0.0,k.A.,vorgesehene Maßnahme,2028,1.4,"Alsfeld, Vogelsbergkreis, Hessen, 36304, Deutschland",50.7523545,9.268355,True
