VNB-Name,Teilnetzgebiet,Bundesland,Ort / Trasse,Netzebene,Art der Maßnahme,Leitungslänge in km,Übertragungskapazität in MVA,"Netzkomponenten (z.B. UW,Trafo ;Anzahl/Typ)",Projektstatus,Zeithorizont,Kosten in Mio.€,location,latitude,longitude,passt
wesernetz,Mitte,Bremen,Bremen,HS,Ertüchtigung Leitungen,2.9,0.0,k.A.,abgeschlossen,2022,2.2,"Bremen, Deutschland",53.0758196,8.8071646,True
wesernetz,Mitte,Bremen,Bremen,HS,Ertüchtigung Leitungen,2.0,0.0,k.A.,konkrete Planung,2026,4.0,"Bremen, Deutschland",53.0758196,8.8071646,True
wesernetz,Mitte,Bremen,Bremen,MS,Ertüchtigung Leitungen,19.6,0.0,k.A.,abgeschlossen,2023,2.5,"Bremen, Deutschland",53.0758196,8.8071646,True
wesernetz,Mitte,Bremen,Bremen,HS,Neubau UW,0.0,0.0,1,konkrete Planung,2029,12.0,"Bremen, Deutschland",53.0758196,8.8071646,True
wesernetz,Mitte,Bremen,Bremen,HS,Neubau Trafo,0.0,0.0,1,konkrete Planung,2028,3.0,"Bremen, Deutschland",53.0758196,8.8071646,True
wesernetz,Mitte,Bremen,Bremen,MS,Neubau Trafo,0.0,0.0,1,im Bau,2024,8.5,"Bremen, Deutschland",53.0758196,8.8071646,True
wesernetz,Mitte,Bremen,Bremen,HS,Ertüchtigung Leitungen,9.0,0.0,k.A.,abgeschlossen,2023,9.1,"Bremen, Deutschland",53.0758196,8.8071646,True
wesernetz,Mitte,Bremen,Bremen,HS,Neubau UW,0.0,0.0,1,konkrete Planung,2026,10.5,"Bremen, Deutschland",53.0758196,8.8071646,True
wesernetz,Mitte,Bremen,Bremen,HS,Neubau UW,0.0,0.0,1,konkrete Planung,2027,15.0,"Bremen, Deutschland",53.0758196,8.8071646,True
wesernetz,Mitte,Bremen,Bremen,HS,Neubau UW,0.0,0.0,1,vorgesehene Maßnahme,2028,14.0,"Bremen, Deutschland",53.0758196,8.8071646,True
wesernetz,Mitte,Bremen,Bremen,HS,Neubau UW,0.0,0.0,1,konkrete Planung,2029,16.0,"Bremen, Deutschland",53.0758196,8.8071646,True
wesernetz,Mitte,Bremen,Bremen,HS,Neubau UW,0.0,0.0,1,vorgesehene Maßnahme,2029,17.0,"Bremen, Deutschland",53.0758196,8.8071646,True
wesernetz,Mitte,Bremen,Bremen,MS,Neubau Trafo,0.0,0.0,1,vorgesehene Maßnahme,2030,7.5,"Bremen, Deutschland",53.0758196,8.8071646,True
wesernetz,Mitte,Bremen,Bremen,HS,Neubau Trafo,0.0,0.0,1,vorgesehene Maßnahme,2031,5.0,"Bremen, Deutschland",53.0758196,8.8071646,True
