VNB-Name,Teilnetzgebiet,Bundesland,Ort / Trasse,Netzebene,Art der Maßnahme,Leitungslänge in km,Übertragungskapazität in MVA,"Netzkomponenten (z.B. UW,Trafo ;Anzahl/Typ)",Projektstatus,Zeithorizont,Kosten in Mio.€,location,latitude,longitude,passt
AVU Netz GmbH,West,Nordrhein-Westfalen,US Henrichshütte,HS/MS,Neubau UW,0.0,40.0,UW,im Bau,2026,0.0,"Henrichshütte, Sdlg. Rauendahl, Baak, Hattingen, Ennepe-Ruhr-Kreis, Nordrhein-Westfalen, 45525, Deutschland",51.408804,7.1818292,True
AVU Netz GmbH,West,Nordrhein-Westfalen,US Hattingen,HS/MS,Neubau UW; Neubau Trafo; Neubau Schaltanlage,0.0,40.0,"UW, Trafo, Schaltanlage",vorgesehene Maßnahme,2032,0.0,"Hattingen, Ennepe-Ruhr-Kreis, Nordrhein-Westfalen, Deutschland",51.4007175,7.1862486,True
AVU Netz GmbH,West,Nordrhein-Westfalen,Gevelsberg,HS/MS,Ertüchtigungen Trafo,0.0,9.0,Trafo,vorgesehene Maßnahme,2027,0.0,"Gevelsberg, Ennepe-Ruhr-Kreis, Nordrhein-Westfalen, 58285, Deutschland",51.3207417,7.3404792,True
AVU Netz GmbH,West,Nordrhein-Westfalen,Schwelm,HS/MS,Ertüchtigungen UW,0.0,0.0,UW,vorgesehene Maßnahme,2027,0.0,"Schwelm, Ennepe-Ruhr-Kreis, Nordrhein-Westfalen, 58332, Deutschland",51.2841166,7.2924712,True
AVU Netz GmbH,West,Nordrhein-Westfalen,Schwelm,HS,Neubau Leitungen,1.0,30.0,Kabel 110 kV,vorgesehene Maßnahme,2028,0.0,"Schwelm, Ennepe-Ruhr-Kreis, Nordrhein-Westfalen, 58332, Deutschland",51.2841166,7.2924712,True
AVU Netz GmbH,West,Nordrhein-Westfalen,Rocholz,HS/MS,Ertüchtigungen Trafo,0.0,9.0,Trafo,konkrete Planung,2025,0.0,"Gut Rocholz, Am Ufer, Gevelsberg, Ennepe-Ruhr-Kreis, Nordrhein-Westfalen, 58285, Deutschland",51.3325441,7.3668278,True
AVU Netz GmbH,West,Nordrhein-Westfalen,Altenvoerde,HS/MS,Ertüchtigungen Trafo,0.0,9.0,Trafo,konkrete Planung,2027,0.0,"Altenvoerde, Homberge, Ennepetal, Ennepe-Ruhr-Kreis, Nordrhein-Westfalen, 58256, Deutschland",51.29773,7.3706675,True
AVU Netz GmbH,West,Nordrhein-Westfalen,Schwelm,HS,Neubau Leitungen,6.0,95.0,Kabel,im Bau,2028,0.0,"Schwelm, Ennepe-Ruhr-Kreis, Nordrhein-Westfalen, 58332, Deutschland",51.2841166,7.2924712,True
AVU Netz GmbH,West,Nordrhein-Westfalen,Schwelm,HS/MS,Ertüchtigungen UW,0.0,0.0,UW,konkrete Planung,2028,0.0,"Schwelm, Ennepe-Ruhr-Kreis, Nordrhein-Westfalen, 58332, Deutschland",51.2841166,7.2924712,True
AVU Netz GmbH,West,Nordrhein-Westfalen,Nocken,MS,Ertüchtigungen UW,0.0,0.0,UW,konkrete Planung,2027,0.0,"Nocken, Olpe, Kreis Olpe, Nordrhein-Westfalen, 57462, Deutschland",51.0141521,7.9035023,True
AVU Netz GmbH,West,Nordrhein-Westfalen,Volmarstein,HS/MS,Ertüchtigungen UW,0.0,0.0,UW,vorgesehene Maßnahme,2025,0.0,"Volmarstein, Wetter (Ruhr), Ennepe-Ruhr-Kreis, Nordrhein-Westfalen, 58300, Deutschland",51.37086,7.3844281,True
AVU Netz GmbH,West,Nordrhein-Westfalen,Altenvoerde,HS/MS,Ertüchtigungen UW,0.0,0.0,UW,vorgesehene Maßnahme,2029,0.0,"Altenvoerde, Homberge, Ennepetal, Ennepe-Ruhr-Kreis, Nordrhein-Westfalen, 58256, Deutschland",51.29773,7.3706675,True
AVU Netz GmbH,West,Nordrhein-Westfalen,Külchen,MS/MS,Ertüchtigungen UW,0.0,0.0,UW,vorgesehene Maßnahme,2025,0.0,"Külchen, Königsfeld, Ennepetal, Ennepe-Ruhr-Kreis, Nordrhein-Westfalen, 58256, Deutschland",51.2678448,7.3233172,True
