VNB-Name,Teilnetzgebiet,Bundesland,Ort / Trasse,Netzebene,Art der Maßnahme,Leitungslänge in km,Übertragungskapazität in MVA,"Netzkomponenten (z.B. UW,Trafo ;Anzahl/Typ)",Projektstatus,Zeithorizont,Kosten in Mio.€,location,latitude,longitude,passt
Celle-Uelzen Netz GmbH,Mitte,Niedersachsen,k.A.,MS,Neubau Leitungen,2.0,0.0,k.A.,vorgesehene Maßnahme,2026,0.5,"Niedersachsen, Deutschland",52.8398531,9.075962,True
Celle-Uelzen Netz GmbH,Mitte,Niedersachsen,k.A.,MS,Neubau Leitungen,2.6,0.0,k.A.,vorgesehene Maßnahme,2028,0.6,"Niedersachsen, Deutschland",52.8398531,9.075962,True
Celle-Uelzen Netz GmbH,Mitte,Niedersachsen,k.A.,MS,Neubau Leitungen,2.1,0.0,k.A.,vorgesehene Maßnahme,2026,0.4,"Niedersachsen, Deutschland",52.8398531,9.075962,True
Celle-Uelzen Netz GmbH,Mitte,Niedersachsen,k.A.,MS,Neubau Leitungen,2.3,0.0,k.A.,vorgesehene Maßnahme,2028,0.4,"Niedersachsen, Deutschland",52.8398531,9.075962,True
Celle-Uelzen Netz GmbH,Mitte,Niedersachsen,k.A.,MS,Neubau Leitungen,10.0,0.0,k.A.,vorgesehene Maßnahme,2024,1.7,"Niedersachsen, Deutschland",52.8398531,9.075962,True
Celle-Uelzen Netz GmbH,Mitte,Niedersachsen,k.A.,MS,Neubau Leitungen,2.8,0.0,k.A.,vorgesehene Maßnahme,2025,0.5,"Niedersachsen, Deutschland",52.8398531,9.075962,True
Celle-Uelzen Netz GmbH,Mitte,Niedersachsen,k.A.,MS,Neubau Leitungen,1.4,0.0,k.A.,vorgesehene Maßnahme,2026,0.25,"Niedersachsen, Deutschland",52.8398531,9.075962,True
Celle-Uelzen Netz GmbH,Mitte,Niedersachsen,k.A.,MS,Neubau Leitungen,12.0,0.0,k.A.,vorgesehene Maßnahme,2027,2.5,"Niedersachsen, Deutschland",52.8398531,9.075962,True
Celle-Uelzen Netz GmbH,Mitte,Niedersachsen,k.A.,MS,Neubau Leitungen,9.0,0.0,k.A.,vorgesehene Maßnahme,2026,3.0,"Niedersachsen, Deutschland",52.8398531,9.075962,True
Celle-Uelzen Netz GmbH,Mitte,Niedersachsen,Celle,MS,Neubau Leitungen,17.98,0.0,k.A.,vorgesehene Maßnahme,2028,4.06,"Celle, Landkreis Celle, Niedersachsen, Deutschland",52.624056,10.081052,True
