VNB-Name,Teilnetzgebiet,Bundesland,Ort / Trasse,Netzebene,Art der Maßnahme,Leitungslänge in km,Übertragungskapazität in MVA,"Netzkomponenten (z.B. UW,Trafo ;Anzahl/Typ)",Projektstatus,Zeithorizont,Kosten in Mio.€,location,latitude,longitude,passt
EWE NETZ GmbH,Mitte,Niedersachsen,Gnarrenburg,MS,Ertüchtigung Leitungen,5.5,0.0,k.A.,abgeschlossen,2021,0.5,"Gnarrenburg, Landkreis Rotenburg (Wümme), Niedersachsen, 27442, Deutschland",53.3844018,9.0026368,True
EWE NETZ GmbH,Mitte,Niedersachsen,Harsefeld - Ahlerstedt,MS,Neubau Leitungen,6.8,0.0,k.A.,abgeschlossen,2021,0.7,"ORLEN Deutschland GmbH, 51, Stader Straße, Klethen, Ahlerstedt, Samtgemeinde Harsefeld, Stade, Niedersachsen, 21702, Deutschland",53.4091613,9.4552535,True
EWE NETZ GmbH,Mitte,Niedersachsen,Jever,MS,Ertüchtigung UW,0.0,0.0,1,abgeschlossen,2021,0.05,"Jever, Wangerland, Landkreis Friesland, Niedersachsen, 26441, Deutschland",53.5736426,7.9020696,True
EWE NETZ GmbH,Mitte,Niedersachsen,Lohne,MS,Ertüchtigung UW,0.0,0.0,1,abgeschlossen,2022,1.6,"Lohne, Landkreis Vechta, Niedersachsen, 49393, Deutschland",52.665257,8.2363523,True
EWE NETZ GmbH,Mitte,Niedersachsen,k.A.,MS,Neubau UW,0.0,0.0,1,konkrete Planung,2025,3.5,"Niedersachsen, Deutschland",52.8398531,9.075962,True
EWE NETZ GmbH,Mitte,Niedersachsen,Soltau,MS,Neubau Trafo,0.0,0.0,1,im Bau,2025,1.8,"Soltau, Heidekreis, Niedersachsen, 29614, Deutschland",52.9844301,9.8399034,True
EWE NETZ GmbH,Mitte,Niedersachsen,k.A.,MS,Neubau UW,0.0,0.0,1,abgeschlossen,2023,3.6,"Niedersachsen, Deutschland",52.8398531,9.075962,True
EWE NETZ GmbH,Mitte,Niedersachsen,Achim,HS,Ertüchtigung UW,0.0,0.0,1,konkrete Planung,2026,7.7,"Achim, Landkreis Verden, Niedersachsen, 28832, Deutschland",53.0120987,9.0360486,True
EWE NETZ GmbH,Mitte,Niedersachsen,Blexen,MS,Ertüchtigung UW,0.0,0.0,1,abgeschlossen,2022,0.15,"Blexen, Nordenham, Landkreis Wesermarsch, Niedersachsen, 27568, Deutschland",53.53237,8.535242,True
EWE NETZ GmbH,Mitte,Niedersachsen,Coldewei,MS,Ertüchtigung UW,0.0,0.0,1,abgeschlossen,2022,1.1,"Coldewei, Campe, Ranzenbüttel, Berne, Landkreis Wesermarsch, Niedersachsen, 27804, Deutschland",53.1804274,8.4915947,True
EWE NETZ GmbH,Mitte,Niedersachsen,Emden West,MS,Ertüchtigung UW,0.0,0.0,1,konkrete Planung,2026,1.5,"Emden West (Mini-Dampfbahnfreunde), Larrelter Straße, Emden, Niedersachsen, 26721, Deutschland",53.368256,7.1963833,True
EWE NETZ GmbH,Mitte,Niedersachsen,Friesoythe,MS,Ertüchtigung UW,0.0,0.0,1,abgeschlossen,2022,0.15,"Friesoythe, Landkreis Cloppenburg, Niedersachsen, 26169, Deutschland",53.0206088,7.8592307,True
EWE NETZ GmbH,Mitte,Niedersachsen,k.A.,MS,Ertüchtigung UW,0.0,0.0,1,abgeschlossen,2021,0.4,"Niedersachsen, Deutschland",52.8398531,9.075962,True
EWE NETZ GmbH,Mitte,Niedersachsen,Hatten Sandkrug,MS,Ertüchtigung UW,0.0,0.0,1,abgeschlossen,2021,0.35,"TSG Hatten/Sandkrug - Forum, 17, Schultredde, Streek, Sandkrug, Hatten, Landkreis Oldenburg, Niedersachsen, 26209, Deutschland",53.0591058,8.247293,True
EWE NETZ GmbH,Mitte,Niedersachsen,Hooksiel,MS,Ertüchtigung UW,0.0,0.0,1,abgeschlossen,2021,0.3,"Hooksiel, Wangerland, Landkreis Friesland, Niedersachsen, Deutschland",53.630905,8.021502,True
EWE NETZ GmbH,Mitte,Niedersachsen,Nordenham,MS,Ertüchtigung UW,0.0,0.0,1,abgeschlossen,2021,0.3,"Nordenham, Landkreis Wesermarsch, Niedersachsen, 26954, Deutschland",53.4973636,8.4820227,True
EWE NETZ GmbH,Mitte,Niedersachsen,Schortens,MS,Ertüchtigung UW,0.0,0.0,1,abgeschlossen,2021,0.4,"Schortens, Landkreis Friesland, Niedersachsen, 26419, Deutschland",53.5366547,7.9467348,True
