VNB-Name,Teilnetzgebiet,Bundesland,Ort / Trasse,Netzebene,Art der Maßnahme,Leitungslänge in km,Übertragungskapazität in MVA,"Netzkomponenten (z.B. UW,Trafo ;Anzahl/Typ)",Projektstatus,Zeithorizont,Kosten in Mio.€,location,latitude,longitude,passt
EWR Netz GmbH,West,Nordrhein-Westfalen,k.A,HS,Neubau Leitungen,9.0,0.0,k.A.,k.A.,2028,8.0,"k.A, Grollscher Weg, Emmerich am Rhein, Bedburg-Hau, Kreis Kleve, Nordrhein-Westfalen, 46446, Deutschland",51.83576,6.239237,True
EWR Netz GmbH,West,Nordrhein-Westfalen,k.A,HS,Neubau UW,0.0,0.0,6 Anlagen,k.A.,2028,17.0,"k.A, Grollscher Weg, Emmerich am Rhein, Bedburg-Hau, Kreis Kleve, Nordrhein-Westfalen, 46446, Deutschland",51.83576,6.239237,True
EWR Netz GmbH,West,Nordrhein-Westfalen,k.A,HS,Neubau UW,0.0,0.0,7 Anlagen,k.A.,2033,20.0,"k.A, Grollscher Weg, Emmerich am Rhein, Bedburg-Hau, Kreis Kleve, Nordrhein-Westfalen, 46446, Deutschland",51.83576,6.239237,True
EWR Netz GmbH,West,Nordrhein-Westfalen,k.A,HS,Neubau UW,0.0,0.0,6 Anlagen,k.A.,2045,30.0,"k.A, Grollscher Weg, Emmerich am Rhein, Bedburg-Hau, Kreis Kleve, Nordrhein-Westfalen, 46446, Deutschland",51.83576,6.239237,True
EWR Netz GmbH,West,Nordrhein-Westfalen,k.A,MS,Neubau Leitungen,76.0,0.0,k.A.,k.A.,2028,12.0,"k.A, Grollscher Weg, Emmerich am Rhein, Bedburg-Hau, Kreis Kleve, Nordrhein-Westfalen, 46446, Deutschland",51.83576,6.239237,True
EWR Netz GmbH,West,Nordrhein-Westfalen,k.A,MS,Neubau UW,0.0,0.0,200 Anlagen,k.A.,2028,24.0,"k.A, Grollscher Weg, Emmerich am Rhein, Bedburg-Hau, Kreis Kleve, Nordrhein-Westfalen, 46446, Deutschland",51.83576,6.239237,True
EWR Netz GmbH,West,Nordrhein-Westfalen,k.A,MS,Neubau Leitungen,178.0,0.0,k.A.,k.A.,2033,36.0,"k.A, Grollscher Weg, Emmerich am Rhein, Bedburg-Hau, Kreis Kleve, Nordrhein-Westfalen, 46446, Deutschland",51.83576,6.239237,True
EWR Netz GmbH,West,Nordrhein-Westfalen,k.A,MS,Neubau UW,0.0,0.0,460 Anlagen,k.A.,2033,34.0,"k.A, Grollscher Weg, Emmerich am Rhein, Bedburg-Hau, Kreis Kleve, Nordrhein-Westfalen, 46446, Deutschland",51.83576,6.239237,True
EWR Netz GmbH,West,Nordrhein-Westfalen,k.A,MS,Neubau Leitungen,360.0,0.0,k.A.,k.A.,2045,90.0,"k.A, Grollscher Weg, Emmerich am Rhein, Bedburg-Hau, Kreis Kleve, Nordrhein-Westfalen, 46446, Deutschland",51.83576,6.239237,True
EWR Netz GmbH,West,Nordrhein-Westfalen,k.A,MS,Neubau UW,0.0,0.0,1.380 Anlagen,k.A.,2045,138.0,"k.A, Grollscher Weg, Emmerich am Rhein, Bedburg-Hau, Kreis Kleve, Nordrhein-Westfalen, 46446, Deutschland",51.83576,6.239237,True
EWR Netz GmbH,West,Nordrhein-Westfalen,k.A,NS,Neubau Leitungen,70.0,0.0,k.A.,k.A.,2028,13.0,"k.A, Grollscher Weg, Emmerich am Rhein, Bedburg-Hau, Kreis Kleve, Nordrhein-Westfalen, 46446, Deutschland",51.83576,6.239237,True
EWR Netz GmbH,West,Nordrhein-Westfalen,k.A,NS,Neubau Leitungen,210.0,0.0,k.A.,k.A.,2033,37.0,"k.A, Grollscher Weg, Emmerich am Rhein, Bedburg-Hau, Kreis Kleve, Nordrhein-Westfalen, 46446, Deutschland",51.83576,6.239237,True
EWR Netz GmbH,West,Nordrhein-Westfalen,k.A,NS,Neubau Leitungen,744.0,0.0,k.A.,k.A.,2045,112.0,"k.A, Grollscher Weg, Emmerich am Rhein, Bedburg-Hau, Kreis Kleve, Nordrhein-Westfalen, 46446, Deutschland",51.83576,6.239237,True
