VNB-Name,Teilnetzgebiet,Bundesland,Ort / Trasse,Netzebene,Art der Maßnahme,Leitungslänge in km,Übertragungskapazität in MVA,"Netzkomponenten (z.B. UW,Trafo ;Anzahl/Typ)",Projektstatus,Zeithorizont,Kosten in Mio.€,location,latitude,longitude,passt
Energienetze Offenbach GmbH,West,Hessen,UW Heusenstamm,HS/MS,Ertüchtigungen Schaltanlage; Ertüchtigungen Trafo,0.0,0.0,"HS-Schaltfeld, 110kV Trafo",konkrete Planung,2027,0.0,"UW Heusenstamm 110 KV, 12, Frankfurter Straße, Heusenstamm, Landkreis Offenbach, Hessen, 63150, Deutschland",50.0591463,8.8104514,True
Energienetze Offenbach GmbH,West,Hessen,UW Friedrichsring,HS/MS,Ertüchtigungen Schaltanlage,0.0,0.0,"110 kV Trafo, HS-/MS-Schaltanlage, Gebäude, Grundstück",konkrete Planung,2030,0.0,"UW Friedrichsring, Friedrichsring, Senefelderquartier, Offenbach am Main, Hessen, 63069, Deutschland",50.0947553,8.7662486,True
Energienetze Offenbach GmbH,West,Hessen,Seligenstadt,HS/MS,Ertüchtigungen Schaltanlage; Ertüchtigungen Trafo,0.0,0.0,"HS-Schaltfeld, 110kV Trafo",im Bau abgeschlossen,2024,0.0,"Seligenstadt, Landkreis Offenbach, Hessen, 63500, Deutschland",50.0347055,8.9593719,True
Energienetze Offenbach GmbH,West,Hessen,Langen,HS/MS,Ertüchtigungen Schaltanlage; Ertüchtigungen Trafo,0.0,0.0,"HS-Schaltfeld, 110kV Trafo",konkrete Planung,2030,0.0,"Langen, Landkreis Offenbach, Hessen, 63225, Deutschland",49.9927036,8.6671682,True
Energienetze Offenbach GmbH,West,Hessen,Seligenstadt,HS,Ertüchtigungen Leitungen,7.6,0.0,110 kV Kabel,im Bau abgeschlossen,2024,0.0,"Seligenstadt, Landkreis Offenbach, Hessen, 63500, Deutschland",50.0347055,8.9593719,True
Energienetze Offenbach GmbH,West,Hessen,k.A.,HS,Ertüchtigungen Leitungen,7.4,0.0,110 kV Kabel,konkrete Planung,2030,0.0,"Hessen, Deutschland",50.6080651,9.0284647,True
Energienetze Offenbach GmbH,West,Hessen,k.A.,HS/MS,Neubau Trafo; Neubau Schaltanlage,0.0,0.0,"110 kV Trafo, HS- und MS-Schaltanlage, Gebäude, Grundstück",konkrete Planung,2028,0.0,"Hessen, Deutschland",50.6080651,9.0284647,True
Energienetze Offenbach GmbH,West,Hessen,k.A.,HS/MS,Neubau Trafo; Neubau Schaltanlage,0.0,0.0,"110 kV Trafo, HS- und MS-Schaltanlage, Gebäude, Grundstück",konkrete Planung,2028,0.0,"Hessen, Deutschland",50.6080651,9.0284647,True
Energienetze Offenbach GmbH,West,Hessen,Dietzenbach,HS/MS,Ertüchtigungen Schaltanlage; Ertüchtigungen Trafo,0.0,0.0,"HS-Schaltfeld, 110kV Trafo",konkrete Planung,2027,0.0,"Dietzenbach, Landkreis Offenbach, Hessen, 63128, Deutschland",50.0171926,8.784277,True
Energienetze Offenbach GmbH,West,Hessen,Neu-Isenburg,HS/MS,Neubau Trafo; Neubau Schaltanlage,0.0,0.0,"110 kV Trafo, HS- und MS-Schaltanlage, Gebäude, Grundstück",konkrete Planung,2026,0.0,"Neu-Isenburg, Landkreis Offenbach, Hessen, 63263, Deutschland",50.0464196,8.6717748,True
Energienetze Offenbach GmbH,West,Hessen,Dietzenbach,HS,Ertüchtigungen Leitungen,6.7,0.0,110 kV Freileitung,konkrete Planung,2028,0.0,"Dietzenbach, Landkreis Offenbach, Hessen, 63128, Deutschland",50.0171926,8.784277,True
Energienetze Offenbach GmbH,West,Hessen,Seligenstadt,HS,Ertüchtigungen Leitungen,2.1,0.0,110 kV Kabel,konkrete Planung,2028,0.0,"Seligenstadt, Landkreis Offenbach, Hessen, 63500, Deutschland",50.0347055,8.9593719,True
Energienetze Offenbach GmbH,West,Hessen,Seligenstadt,HS,Ertüchtigungen Leitungen,7.9,0.0,110 kV Freileitung,konkrete Planung,2028,0.0,"Seligenstadt, Landkreis Offenbach, Hessen, 63500, Deutschland",50.0347055,8.9593719,True
Energienetze Offenbach GmbH,West,Hessen,Heusenstamm,HS,Ertüchtigungen Leitungen,14.8,0.0,110 kV Kabel,konkrete Planung,2027,0.0,"Heusenstamm, Landkreis Offenbach, Hessen, 63150, Deutschland",50.0537652,8.8236013,True
Energienetze Offenbach GmbH,West,Hessen,Urberach,HS,Ertüchtigungen Leitungen,4.0,0.0,110 kV Freileitung,konkrete Planung,2029,0.0,"Urberach, Bulau, Rödermark, Landkreis Offenbach, Hessen, Deutschland",49.973352,8.7981281,True
Energienetze Offenbach GmbH,West,Hessen,Obertshausen,HS,Ertüchtigungen Leitungen,9.0,0.0,110 kV Freileitung,konkrete Planung,2027,0.0,"Obertshausen, Landkreis Offenbach, Hessen, 63179, Deutschland",50.0731304,8.8732839,True
Energienetze Offenbach GmbH,West,Hessen,k.A.,HS,Ertüchtigungen Leitungen,1.0,0.0,110 kV Kabel,konkrete Planung,2028,0.0,"Hessen, Deutschland",50.6080651,9.0284647,True
Energienetze Offenbach GmbH,West,Hessen,Neu-Isenburg,HS,Ertüchtigungen Leitungen,9.7,0.0,110 kV Freileitung,konkrete Planung,2027,0.0,"Neu-Isenburg, Landkreis Offenbach, Hessen, 63263, Deutschland",50.0464196,8.6717748,True
Energienetze Offenbach GmbH,West,Hessen,Obertshausen,HS/MS,Ertüchtigungen Schaltanlage; Ertüchtigungen Trafo,0.0,0.0,"HS-Schaltfeld, 110kV Trafo",konkrete Planung,2027,0.0,"Obertshausen, Landkreis Offenbach, Hessen, 63179, Deutschland",50.0731304,8.8732839,True
Energienetze Offenbach GmbH,West,Hessen,Urberach,HS,Ertüchtigungen Leitungen,9.5,0.0,110 kV Freileitung,konkrete Planung,2029,0.0,"Urberach, Bulau, Rödermark, Landkreis Offenbach, Hessen, Deutschland",49.973352,8.7981281,True
Energienetze Offenbach GmbH,West,Hessen,Heusenstamm,HS,Ertüchtigungen Leitungen,9.8,0.0,110 kV Kabel,konkrete Planung,2029,0.0,"Heusenstamm, Landkreis Offenbach, Hessen, 63150, Deutschland",50.0537652,8.8236013,True
Energienetze Offenbach GmbH,West,Hessen,Seligenstadt,HS/MS,Neubau Schaltanlage,0.0,0.0,"Gebäude, Grundstück, HS-Schaltfeld",konkrete Planung,2028,0.0,"Seligenstadt, Landkreis Offenbach, Hessen, 63500, Deutschland",50.0347055,8.9593719,True
Energienetze Offenbach GmbH,West,Hessen,k.A.,HS,Neubau Leitungen,3.7,0.0,110 kV Kabel,konkrete Planung,2029,0.0,"Hessen, Deutschland",50.6080651,9.0284647,True
Energienetze Offenbach GmbH,West,Hessen,k.A.,HS,Neubau Leitungen,3.7,0.0,110 kV Kabel,konkrete Planung,2029,0.0,"Hessen, Deutschland",50.6080651,9.0284647,True
Energienetze Offenbach GmbH,West,Hessen,"Friedrichsring, Offenbach am Main",HS,Ertüchtigungen Leitungen,11.7,0.0,110 kV Kabel,im Bau abgeschlossen,2025,0.0,"Friedrichsring, Senefelderquartier, Offenbach am Main, Hessen, 63069, Deutschland",50.0941978,8.7649089,True
Energienetze Offenbach GmbH,West,Hessen,k.A.,HS,Ertüchtigungen Leitungen,6.3,0.0,110 kV Kabel,konkrete Planung,2029,0.0,"Hessen, Deutschland",50.6080651,9.0284647,True
Energienetze Offenbach GmbH,West,Hessen,"Sprendlingen, Dreieich",HS/MS,Ertüchtigungen Schaltanlage; Ertüchtigungen Trafo,0.0,0.0,"HS-Schaltfeld, 110kV Trafo",konkrete Planung,2026,0.0,"Sprendlingen, Dreieich, Landkreis Offenbach, Hessen, 63303, Deutschland",50.0247652,8.6936754,True
Energienetze Offenbach GmbH,West,Hessen,Offenbach-Waldheim,HS/MS,Neubau Trafo; Neubau Schaltanlage,0.0,0.0,"110 kV Trafo, HS- und MS-Schaltanlage, Gebäude, Grundstück",konkrete Planung,2025,0.0,"Offenbach (Main) Gbf, Lämmerspieler Weg, Offenbach-Ost, Offenbach am Main, Hessen, 63075, Deutschland",50.1074737,8.7982162,True
Energienetze Offenbach GmbH,West,Hessen,Neu-Isenburg,HS,Ertüchtigungen Leitungen,3.1,0.0,110 kV Freileitung,konkrete Planung,2029,0.0,"Neu-Isenburg, Landkreis Offenbach, Hessen, 63263, Deutschland",50.0464196,8.6717748,True
Energienetze Offenbach GmbH,West,Hessen,Offenbach-Waldheim,HS,Ertüchtigungen Leitungen,0.6,0.0,110 kV Freileitung,konkrete Planung,2027,0.0,"Offenbach (Main) Gbf, Lämmerspieler Weg, Offenbach-Ost, Offenbach am Main, Hessen, 63075, Deutschland",50.1074737,8.7982162,True
Energienetze Offenbach GmbH,West,Hessen,Offenbach-Waldheim,HS,Ertüchtigungen Leitungen,2.2,0.0,110 kV Kabel,im Bau,2024,0.0,"Offenbach (Main) Gbf, Lämmerspieler Weg, Offenbach-Ost, Offenbach am Main, Hessen, 63075, Deutschland",50.1074737,8.7982162,True
Energienetze Offenbach GmbH,West,Hessen,Mühlheim am Main,HS/MS,Ertüchtigungen Schaltanlage,0.0,0.0,"HS-Schaltfeld, MS-Schaltanlage",konkrete Planung,2028,0.0,"Mühlheim am Main, Landkreis Offenbach, Hessen, 63165, Deutschland",50.1080582,8.8467138,True
