VNB-Name,Teilnetzgebiet,Bundesland,Ort / Trasse,Netzebene,Art der Maßnahme,Leitungslänge in km,Übertragungskapazität in MVA,"Netzkomponenten (z.B. UW,Trafo ;Anzahl/Typ)",Projektstatus,Zeithorizont,Kosten in Mio.€,location,latitude,longitude,passt
Energieversorgung Halle Netz GmbH,Ost,Sachsen-Anhalt,Halle,MS,Rückbau / Altlasten,2.0,0.0,k.A.,k.A.,k.A.,0.4,"Halle (Saale), Sachsen-Anhalt, Deutschland",51.4824354,11.9712985,True
Energieversorgung Halle Netz GmbH,Ost,Sachsen-Anhalt,Halle,NS,Rückbau / Altlasten,5.0,0.0,k.A.,k.A.,k.A.,1.0,"Halle (Saale), Sachsen-Anhalt, Deutschland",51.4824354,11.9712985,True
Energieversorgung Halle Netz GmbH,Ost,Sachsen-Anhalt,Halle,MS,Rückbau / Altlasten,0.0,25.0,k.A.,k.A.,k.A.,2.0,"Halle (Saale), Sachsen-Anhalt, Deutschland",51.4824354,11.9712985,True
Energieversorgung Halle Netz GmbH,Ost,Sachsen-Anhalt,Halle,MS,Erüchtigungen UW,0.0,12.0,UW,k.A.,k.A.,2.7,"Halle (Saale), Sachsen-Anhalt, Deutschland",51.4824354,11.9712985,True
Energieversorgung Halle Netz GmbH,Ost,Sachsen-Anhalt,Halle,NS,Erüchtigungen Leitungen,20.0,0.0,NS-Leitungen,k.A.,k.A.,4.0,"Halle (Saale), Sachsen-Anhalt, Deutschland",51.4824354,11.9712985,True
Energieversorgung Halle Netz GmbH,Ost,Sachsen-Anhalt,Halle,MS,Erüchtigungen Leitungen,20.0,0.0,MS-Leitungen,k.A.,k.A.,5.0,"Halle (Saale), Sachsen-Anhalt, Deutschland",51.4824354,11.9712985,True
Energieversorgung Halle Netz GmbH,Ost,Sachsen-Anhalt,Halle,MS,Erüchtigungen Leitungen,25.0,0.0,MS-Leitungen,k.A.,k.A.,6.25,"Halle (Saale), Sachsen-Anhalt, Deutschland",51.4824354,11.9712985,True
Energieversorgung Halle Netz GmbH,Ost,Sachsen-Anhalt,Halle,MS,Erüchtigungen UW,0.0,0.0,UW,k.A.,k.A.,7.2,"Halle (Saale), Sachsen-Anhalt, Deutschland",51.4824354,11.9712985,True
Energieversorgung Halle Netz GmbH,Ost,Sachsen-Anhalt,Halle,NS,Neubau Leitungen,135.0,0.0,NS-Leitungen,k.A.,2033,0.0,"Halle (Saale), Sachsen-Anhalt, Deutschland",51.4824354,11.9712985,True
Energieversorgung Halle Netz GmbH,Ost,Sachsen-Anhalt,Halle,NS,Neubau Leitungen,164.0,0.0,NS-Leitungen,k.A.,2028,0.0,"Halle (Saale), Sachsen-Anhalt, Deutschland",51.4824354,11.9712985,True
Energieversorgung Halle Netz GmbH,Ost,Sachsen-Anhalt,Halle,MS,Neubau Leitungen,178.0,0.0,MS-Leitungen,k.A.,2028,0.0,"Halle (Saale), Sachsen-Anhalt, Deutschland",51.4824354,11.9712985,True
Energieversorgung Halle Netz GmbH,Ost,Sachsen-Anhalt,Halle,MS,Neubau Leitungen,224.0,0.0,MS-Leitungen,k.A.,2033,0.0,"Halle (Saale), Sachsen-Anhalt, Deutschland",51.4824354,11.9712985,True
Energieversorgung Halle Netz GmbH,Ost,Sachsen-Anhalt,Halle,NS,Neubau Leitungen,231.0,0.0,NS-Leitungen,k.A.,2045,0.0,"Halle (Saale), Sachsen-Anhalt, Deutschland",51.4824354,11.9712985,True
Energieversorgung Halle Netz GmbH,Ost,Sachsen-Anhalt,Halle,MS,Neubau Leitungen,538.0,0.0,MS-Leitungen,k.A.,2045,0.0,"Halle (Saale), Sachsen-Anhalt, Deutschland",51.4824354,11.9712985,True
Energieversorgung Halle Netz GmbH,Ost,Sachsen-Anhalt,Halle,NS,Erüchtigungen Leitungen,50.0,0.0,NS-Leitungen,k.A.,k.A.,10.0,"Halle (Saale), Sachsen-Anhalt, Deutschland",51.4824354,11.9712985,True
Energieversorgung Halle Netz GmbH,Ost,Sachsen-Anhalt,Halle,MS,Neubau UW,0.0,60.0,UW,k.A.,k.A.,17.1,"Halle (Saale), Sachsen-Anhalt, Deutschland",51.4824354,11.9712985,True
