VNB-Name,Teilnetzgebiet,Bundesland,Ort / Trasse,Netzebene,Art der Maßnahme,Leitungslänge in km,Übertragungskapazität in MVA,"Netzkomponenten (z.B. UW,Trafo ;Anzahl/Typ)",Projektstatus,Zeithorizont,Kosten in Mio.€,location,latitude,longitude,passt
Harz Energie Netz GmbH,Mitte,Niedersachsen,Clausthal,k.A.,Neubau Trafo,0.0,6.5,1,abgeschlossen,2023,0.0,"Clausthal, Clausthal-Zellerfeld, Landkreis Goslar, Niedersachsen, 38678, Deutschland",51.8043301,10.3338277,True
Harz Energie Netz GmbH,Mitte,Niedersachsen,k.A.,k.A.,Neubau Trafo,0.0,27.0,1,vorgesehene Maßnahme,2029,2.0,"Niedersachsen, Deutschland",52.8398531,9.075962,True
Harz Energie Netz GmbH,Mitte,Niedersachsen,k.A.,k.A.,Ertüchtigung Leitungen,120.0,0.0,k.A.,im Bau,2028,2.5,"Niedersachsen, Deutschland",52.8398531,9.075962,True
Harz Energie Netz GmbH,Mitte,Niedersachsen,k.A.,k.A.,Neubau Petersenspule,0.0,60.0,1,im Bau,2024,1.85,"Niedersachsen, Deutschland",52.8398531,9.075962,True
Harz Energie Netz GmbH,Mitte,Niedersachsen,k.A.,k.A.,Neubau Trafo,0.0,0.0,1,im Bau,2024,2.2,"Niedersachsen, Deutschland",52.8398531,9.075962,True
Harz Energie Netz GmbH,Mitte,Niedersachsen,Kalefeld,k.A.,Neubau Trafo,0.0,25.0,1,im Bau,2027,1.5,"Kalefeld, Landkreis Northeim, Niedersachsen, 37589, Deutschland",51.8,10.0333,True
Harz Energie Netz GmbH,Mitte,Niedersachsen,Bad Lauterberg,k.A.,Neubau Leitungen,12.0,100.0,k.A.,vorgesehene Maßnahme,2031,10.7,"Bad Lauterberg im Harz, Landkreis Göttingen, Niedersachsen, 37431, Deutschland",51.6313633,10.4706667,True
Harz Energie Netz GmbH,Mitte,Niedersachsen,Bad Lauterberg,k.A.,Neubau Leitungen,9.4,100.0,k.A.,vorgesehene Maßnahme,2031,9.6,"Bad Lauterberg im Harz, Landkreis Göttingen, Niedersachsen, 37431, Deutschland",51.6313633,10.4706667,True
Harz Energie Netz GmbH,Mitte,Niedersachsen,Bad Lauterberg,k.A.,Neubau UW,0.0,50.0,1,vorgesehene Maßnahme,2029,7.0,"Bad Lauterberg im Harz, Landkreis Göttingen, Niedersachsen, 37431, Deutschland",51.6313633,10.4706667,True
Harz Energie Netz GmbH,Mitte,Niedersachsen,k.A.,k.A.,Neubau Trafo,0.0,100.0,1,vorgesehene Maßnahme,2029,400.0,"Niedersachsen, Deutschland",52.8398531,9.075962,True
Harz Energie Netz GmbH,Mitte,Niedersachsen,k.A.,k.A.,Neubau Trafo,0.0,0.0,1,im Bau,2025,130.0,"Niedersachsen, Deutschland",52.8398531,9.075962,True
Harz Energie Netz GmbH,Mitte,Niedersachsen,Oker,k.A.,Neubau Trafo,0.0,0.0,1,konkrete Planung,2025,220.0,"Oker, Niedersachsen, Deutschland",52.1794089,10.5187761,True
Harz Energie Netz GmbH,Mitte,Niedersachsen,Altenau,k.A.,Neubau Trafo,0.0,0.0,1,konkrete Planung,2025,0.5,"Altenau, Bergstadt Altenau - Schulenberg i.O., Clausthal-Zellerfeld, Landkreis Goslar, Niedersachsen, Deutschland",51.8034705,10.4472774,True
Harz Energie Netz GmbH,Mitte,Niedersachsen,Kalefeld,k.A.,Neubau Trafo,0.0,21.0,1,vorgesehene Maßnahme,2026,0.06,"Kalefeld, Landkreis Northeim, Niedersachsen, 37589, Deutschland",51.8,10.0333,True
Harz Energie Netz GmbH,Mitte,Niedersachsen,Goslar,k.A.,Neubau Trafo,0.0,0.0,1,vorgesehene Maßnahme,2026,0.36,"Goslar, Landkreis Goslar, Niedersachsen, Deutschland",51.9059936,10.4266284,True
Harz Energie Netz GmbH,Mitte,Niedersachsen,Clausthal,k.A.,Neubau Leitungen,16.17,100.0,k.A.,vorgesehene Maßnahme,2036,12.5,"Clausthal, Clausthal-Zellerfeld, Landkreis Goslar, Niedersachsen, 38678, Deutschland",51.8043301,10.3338277,True
Harz Energie Netz GmbH,Mitte,Niedersachsen,Clausthal,k.A.,Neubau UW,0.0,50.0,1,vorgesehene Maßnahme,2036,2.8,"Clausthal, Clausthal-Zellerfeld, Landkreis Goslar, Niedersachsen, 38678, Deutschland",51.8043301,10.3338277,True
Harz Energie Netz GmbH,Mitte,Niedersachsen,Rhumspringe,k.A.,Neubau Leitungen,0.5,6.0,k.A.,konkrete Planung,2024,0.214,"Rhumspringe, Samtgemeinde Gieboldehausen, Landkreis Göttingen, Niedersachsen, Deutschland",51.5824034,10.2963249,True
Harz Energie Netz GmbH,Mitte,Niedersachsen,Rhumspringe,k.A.,Neubau Leitungen,0.3,6.0,k.A.,konkrete Planung,2024,0.085,"Rhumspringe, Samtgemeinde Gieboldehausen, Landkreis Göttingen, Niedersachsen, Deutschland",51.5824034,10.2963249,True
Harz Energie Netz GmbH,Mitte,Niedersachsen,Walkenried,k.A.,Neubau Leitungen,0.94,3.6,k.A.,konkrete Planung,2024,0.341,"Walkenried, Landkreis Göttingen, Niedersachsen, Deutschland",51.5880823,10.6160849,True
Harz Energie Netz GmbH,Mitte,Niedersachsen,Walkenried,k.A.,Neubau Leitungen,0.71,6.0,k.A.,konkrete Planung,2024,0.269,"Walkenried, Landkreis Göttingen, Niedersachsen, Deutschland",51.5880823,10.6160849,True
Harz Energie Netz GmbH,Mitte,Niedersachsen,Wiedelah,k.A.,Neubau Leitungen,1.3,4.4,k.A.,konkrete Planung,2024,0.23,"Wiedelah, Goslar, Landkreis Goslar, Niedersachsen, Deutschland",51.9609044,10.5871249,True
Harz Energie Netz GmbH,Mitte,Niedersachsen,Wiedelah,k.A.,Neubau Leitungen,1.2,4.4,k.A.,konkrete Planung,2024,0.198,"Wiedelah, Goslar, Landkreis Goslar, Niedersachsen, Deutschland",51.9609044,10.5871249,True
Harz Energie Netz GmbH,Mitte,Niedersachsen,Wiedelah,k.A.,Neubau Leitungen,0.2,4.4,k.A.,konkrete Planung,2024,0.079,"Wiedelah, Goslar, Landkreis Goslar, Niedersachsen, Deutschland",51.9609044,10.5871249,True
Harz Energie Netz GmbH,Mitte,Niedersachsen,Wiedelah,k.A.,Neubau Leitungen,0.55,4.4,k.A.,konkrete Planung,2024,0.123,"Wiedelah, Goslar, Landkreis Goslar, Niedersachsen, Deutschland",51.9609044,10.5871249,True
Harz Energie Netz GmbH,Mitte,Niedersachsen,Altenau,k.A.,Neubau Leitungen,0.48,7.2,k.A.,konkrete Planung,2024,0.53,"Altenau, Bergstadt Altenau - Schulenberg i.O., Clausthal-Zellerfeld, Landkreis Goslar, Niedersachsen, Deutschland",51.8034705,10.4472774,True
Harz Energie Netz GmbH,Mitte,Niedersachsen,Altenau,k.A.,Neubau Leitungen,0.2,7.2,k.A.,konkrete Planung,2024,0.168,"Altenau, Bergstadt Altenau - Schulenberg i.O., Clausthal-Zellerfeld, Landkreis Goslar, Niedersachsen, Deutschland",51.8034705,10.4472774,True
