VNB-Name,Teilnetzgebiet,Bundesland,Ort / Trasse,Netzebene,Art der Maßnahme,Leitungslänge in km,Übertragungskapazität in MVA,"Netzkomponenten (z.B. UW,Trafo ;Anzahl/Typ)",Projektstatus,Zeithorizont,Kosten in Mio.€,location,latitude,longitude,passt
LEW Verteilnetz GmbH,Bayern,Bayern,Leupolz,k.A.,k.A.,30.8,500.0,4 Systeme 304-Doppelbündel,,2026,21.56,"Leupolz, Kempten (Allgäu), Bayern, 87437, Deutschland",47.7366223,10.3530889,True
LEW Verteilnetz GmbH,Bayern,Bayern,Landsberg,k.A.,k.A.,7.6,1100.0,4 Systeme Doppelfinch,,2041,21.66,"Landsberg am Lech, Landkreis Landsberg am Lech, Bayern, 86899, Deutschland",48.0497474,10.8768728,True
LEW Verteilnetz GmbH,Bayern,Bayern,"Lechbruck, Lechbruck",k.A.,k.A.,7.2,900.0,4 Systeme Doppelbündel 304,,2030,14.4,"Mariä Heimsuchung Lechbruck, 27, Kirchweg, Lechbruck am See, Landkreis Ostallgäu, Bayern, 86983, Deutschland",47.7005408,10.7932611,True
LEW Verteilnetz GmbH,Bayern,Bayern,"Schongau, Peissenberg",k.A.,k.A.,18.1,350.0,2 Systeme 304-Doppelbündel,,2034,27.05,"BRK Weilheim Schongau, Ebertstraße, Peißenberg, Landkreis Weilheim-Schongau, Bayern, 82380, Deutschland",47.8034795,11.0743438,True
LEW Verteilnetz GmbH,Bayern,Bayern,Dinkelscherben,k.A.,k.A.,0.4,1500.0,4 Systeme Doppelfinch,,2040,1.14,"Dinkelscherben, Landkreis Augsburg, Bayern, 86424, Deutschland",48.3485454,10.5909932,True
LEW Verteilnetz GmbH,Bayern,Bayern,"Derching, Friedberg",k.A.,k.A.,3.0,600.0,4 Systeme Finch,,2036,4.5,"Derching, Friedberg, Landkreis Aichach-Friedberg, Bayern, 86444, Deutschland",48.407917,10.9680043,True
LEW Verteilnetz GmbH,Bayern,Bayern,"Gundremmingen, Lauingen",k.A.,k.A.,8.0,350.0,2 Systeme 304-Doppelbündel,,2035,5.6,"Meteoturm des KKW Gundremmingen, St 2025, Gundremmingen, Offingen (VGem), Landkreis Günzburg, Bayern, 89355, Deutschland",48.5133243,10.4202577,True
LEW Verteilnetz GmbH,Bayern,Bayern,"Gundremmingen, Gundremmingen",k.A.,k.A.,4.0,550.0,"2 Systeme auf 304-Doppelbündel, weitere 2 Systeme bleiben unverändert",,2035,2.8,"Kernkraftwerk Gundremmingen, Gundremmingen, Offingen (VGem), Landkreis Günzburg, Bayern, 89355, Deutschland",48.5150685,10.4010807,True
LEW Verteilnetz GmbH,Bayern,Bayern,"Ronsberg, Obergünzburg",k.A.,k.A.,8.5,160.0,Anschluss Suchraum Ronsberg über neue Kabeltrasse,,2038,20.4,"Zentrales Pfarrbüro der Katholischen Pfarreiengemeinschaft Ronsberg-Ebersbach-Willofs, 2, Willofser Straße, Barteler, Ebersbach, Obergünzburg, Obergünzburg (VGem), Landkreis Ostallgäu, Bayern, 87634, Deutschland",47.8534012,10.4730405,True
LEW Verteilnetz GmbH,Bayern,Bayern,"Memmingen, Heimertingen",k.A.,k.A.,11.9,350.0,2 Systeme 304-Doppelbündel,,2037,8.33,"VR-Bank Memmingen, 13, Memminger Straße, Heimertingen, Boos, Landkreis Unterallgäu, Bayern, 87751, Deutschland",48.0390459,10.1543958,True
LEW Verteilnetz GmbH,Bayern,Bayern,"Landsberg, Kaufering",k.A.,k.A.,5.9,600.0,4 Systeme Finch,,2041,16.815,"Lechtal-Nord, Scheuring, Prittriching, Landkreis Landsberg am Lech, Bayern, Deutschland",48.1450586,10.8612826,True
LEW Verteilnetz GmbH,Bayern,Bayern,"Prittriching, Oberottmarshausen",k.A.,k.A.,13.0,900.0,4 Systeme 304-Doppelbündel,,2032,37.05,"Laufwasserkraftwerk Prittriching, Hergetterfeld, Lechfeld Nord, Kleinaitingen, Großaitingen, Landkreis Augsburg, Bayern, 86507, Deutschland",48.2104724,10.9042301,True
LEW Verteilnetz GmbH,Bayern,Bayern,"Kinsau, Kinsau",k.A.,k.A.,0.9,600.0,4 Systeme Finch,,2032,2.565,"Kinsau, Hohenfurcher Straße, Sägmühle, Kinsau, Reichling, Landkreis Landsberg am Lech, Bayern, 86981, Deutschland",47.8774258,10.9089737,True
LEW Verteilnetz GmbH,Bayern,Bayern,"Kinsau,  Kinsau",k.A.,k.A.,2.8,200.0,2 Systeme Finch,,2032,1.96,"Kinsau, Hohenfurcher Straße, Sägmühle, Kinsau, Reichling, Landkreis Landsberg am Lech, Bayern, 86981, Deutschland",47.8774258,10.9089737,True
LEW Verteilnetz GmbH,Bayern,Bayern,"Breitenthal, Krumbach",k.A.,k.A.,12.0,150.0,2 Systeme Finch,,2043,8.4,"Breitenthal, Krumbach (Schwaben) (VGem), Landkreis Günzburg, Bayern, 86488, Deutschland",48.2372286,10.2949774,True
