VNB-Name,Teilnetzgebiet,Bundesland,Ort / Trasse,Netzebene,Art der Maßnahme,Leitungslänge in km,Übertragungskapazität in MVA,"Netzkomponenten (z.B. UW,Trafo ;Anzahl/Typ)",Projektstatus,Zeithorizont,Kosten in Mio.€,location,latitude,longitude,passt
N-ERGIE Netz GmbH,Bayern,Bayern,"Frankenschnellweg, Nürnberg",HS,Ertüchtigungen Leitungen,1.0,0.0,k.A.,im Bau,2012,1.4,"Frankenschnellweg, Gartenstadt, Nürnberg, Bayern, 90441, Deutschland",49.4187989,11.067882,True
N-ERGIE Netz GmbH,Bayern,Bayern,Theilheim,HS,Neubau Trafo,0.0,300.0,380/110-kV-Trafo,ausstehend,2038,15.0,"Theilheim, Landkreis Würzburg, Bayern, 97288, Deutschland",49.7539237,10.0282665,True
N-ERGIE Netz GmbH,Bayern,Bayern,Großhöbing,MS,Neubau Schaltanlage,0.0,80.0,110/20-kV-Trafo,abgeschlossen,2021,3.2,"Großhöbing, Greding, Landkreis Roth, Bayern, Deutschland",49.0720816,11.293667,True
N-ERGIE Netz GmbH,Bayern,Bayern,Rothenburg–Neusitz,MS,Ertüchtigungen Leitungen,4.0,0.0,k.A.,ausstehend,2026,0.27,"Rothenburg ob der Tauber, A 7, Neusitz, Rothenburg ob der Tauber (VGem), Landkreis Ansbach, Bayern, 91616, Deutschland",49.3740733,10.2139322,True
N-ERGIE Netz GmbH,Bayern,Bayern,Maiach,HS,Neubau Schaltanlage,0.0,70.0,110-kV-Schaltanlage,abgeschlossen,2021,2.5,"Maiach, Nürnberg, Bayern, 90451, Deutschland",49.4024016,11.0574296,True
N-ERGIE Netz GmbH,Bayern,Bayern,Maiach,MS,Ertüchtigungen Leitungen,0.0,0.0,k.A.,abgeschlossen,2021,1.5,"Maiach, Nürnberg, Bayern, 90451, Deutschland",49.4024016,11.0574296,True
N-ERGIE Netz GmbH,Bayern,Bayern,Langenzenn,MS,Neubau Schaltanlage,0.0,0.0,k.A.,ausstehend,2026,3.4,"Langenzenn, Landkreis Fürth, Bayern, 90579, Deutschland",49.4950727,10.7937902,True
N-ERGIE Netz GmbH,Bayern,Bayern,Roßtal,MS,Neubau Schaltanlage,0.0,0.0,k.A.,ausstehend,2028,0.96,"Roßtal, Landkreis Fürth, Bayern, 90574, Deutschland",49.3977926,10.8849103,True
N-ERGIE Netz GmbH,Bayern,Bayern,Kirchfarrnbach,MS,Neubau Schaltanlage,0.0,0.0,k.A.,ausstehend,2028,0.65,"Kirchfarrnbach, Wilhermsdorf, Landkreis Fürth, Bayern, 91452, Deutschland",49.4445762,10.7339915,True
N-ERGIE Netz GmbH,Bayern,Bayern,Großhabersdorf,MS,Neubau Schaltanlage,0.0,0.0,k.A.,ausstehend,2027,0.5,"Großhabersdorf, Landkreis Fürth, Bayern, 90613, Deutschland",49.4047474,10.7886762,True
N-ERGIE Netz GmbH,Bayern,Bayern,Ammerndorf,MS,Neubau Schaltanlage,0.0,0.0,k.A.,ausstehend,2027,0.65,"Ammerndorf, Landkreis Fürth, Bayern, 90614, Deutschland",49.4206774,10.8514713,True
N-ERGIE Netz GmbH,Bayern,Bayern,Klingenhof,MS,Neubau Schaltanlage,0.0,0.0,k.A.,ausstehend,2029,0.6,"Klingenhof, Egensbach, Offenhausen, Henfenfeld (VGem), Landkreis Nürnberger Land, Bayern, 91238, Deutschland",49.43361,11.3842772,True
N-ERGIE Netz GmbH,Bayern,Bayern,Veitsbronn,MS,Neubau Schaltanlage,0.0,0.0,k.A.,ausstehend,2029,0.6,"Veitsbronn, Veitsbronn (VGem), Landkreis Fürth, Bayern, 90587, Deutschland",49.5121319,10.8853399,True
N-ERGIE Netz GmbH,Bayern,Bayern,Uttenreuth,MS,Ertüchtigungen Leitungen,2.2,0.0,k.A.,abgeschlossen,2022,0.3,"Uttenreuth, Uttenreuth (VGem), Landkreis Erlangen-Höchstadt, Bayern, 91080, Deutschland",49.5967852,11.0694929,True
N-ERGIE Netz GmbH,Bayern,Bayern,Happurg,HS,Ertüchtigungen UW,0.0,0.0,110-kV-Schaltanlage,abgeschlossen,2022,1.3,"Happurg, Happurg (VGem), Landkreis Nürnberger Land, Bayern, 91230, Deutschland",49.4927749,11.4715236,True
N-ERGIE Netz GmbH,Bayern,Bayern,Dürrbachau,HS,Ertüchtigungen Leitungen,0.0,0.0,110-kV-Stromkreis,im Bau,2025,0.0,"Dürrbachau, Dürrbachtal, Würzburg, Bayern, 97080, Deutschland",49.8139853,9.890168,True
N-ERGIE Netz GmbH,Bayern,Bayern,Gebersdorf,HS,Neubau Kompensationsspule,0.0,0.0,Strombegrenzungsdrossel,ausstehend,2025,0.2,"Gebersdorf, Waizenhofen, Thalmässing, Landkreis Roth, Bayern, 91177, Deutschland",49.0753118,11.2302124,True
N-ERGIE Netz GmbH,Bayern,Bayern,Neudorf,HS,Neubau Schaltanlage,0.0,169.0,20- und 110-kV-Schaltanlage,ausstehend,2026,13.4,"Mespelbrunn, Mespelbrunn (VGem), Landkreis Aschaffenburg, Bayern, 63875, Deutschland",49.9151352,9.2907651,True
N-ERGIE Netz GmbH,Bayern,Bayern,Stalldorf,HS,Neubau Schaltanlage,0.2,63.0,UW HS/MS,abgeschlossen,2022,3.0,"Stalldorf, Riedenheim, Verwaltungsgemeinschaft Röttingen, Landkreis Würzburg, Bayern, 97283, Deutschland",49.5658744,9.9371209,True
N-ERGIE Netz GmbH,Bayern,Bayern,Herrieden,MS,Neubau Leitungen,6.0,10.0,k.A.,abgeschlossen,2022,1.5,"Herrieden, Landkreis Ansbach, Bayern, 91567, Deutschland",49.2360696,10.4979141,True
N-ERGIE Netz GmbH,Bayern,Bayern,Winterschneidbach,HS,Ertüchtigungen Schaltanlage,0.0,600.0,110-kV-Schaltanlage,im Bau,2025,14.9,"Winterschneidbach, Ansbach, Bayern, 91595, Deutschland",49.2435958,10.6215686,True
