VNB-Name,Teilnetzgebiet,Bundesland,Ort / Trasse,Netzebene,Art der Maßnahme,Leitungslänge in km,Übertragungskapazität in MVA,"Netzkomponenten (z.B. UW,Trafo ;Anzahl/Typ)",Projektstatus,Zeithorizont,Kosten in Mio.€,location,latitude,longitude,passt
NEW Netz GmbH,West,Nordrhein-Westfalen,k.A.,MS,Neubau Leitungen,0.26,0.0,k.A.,geplant,2029,0.05,"Nordrhein-Westfalen, Deutschland",51.4789205,7.5543751,True
NEW Netz GmbH,West,Nordrhein-Westfalen,k.A.,MS,Neubau Leitungen,0.27,0.0,k.A.,geplant,2029,0.05,"Nordrhein-Westfalen, Deutschland",51.4789205,7.5543751,True
NEW Netz GmbH,West,Nordrhein-Westfalen,k.A.,MS,Neubau Leitungen,0.24,0.0,k.A.,geplant,2029,0.05,"Nordrhein-Westfalen, Deutschland",51.4789205,7.5543751,True
NEW Netz GmbH,West,Nordrhein-Westfalen,k.A.,MS,Neubau Leitungen,0.2,0.0,k.A.,geplant,2029,0.05,"Nordrhein-Westfalen, Deutschland",51.4789205,7.5543751,True
NEW Netz GmbH,West,Nordrhein-Westfalen,k.A.,MS,Neubau Leitungen,0.26,0.0,k.A.,geplant,2029,0.05,"Nordrhein-Westfalen, Deutschland",51.4789205,7.5543751,True
NEW Netz GmbH,West,Nordrhein-Westfalen,k.A.,MS,Neubau Leitungen,0.24,0.0,k.A.,geplant,2029,0.05,"Nordrhein-Westfalen, Deutschland",51.4789205,7.5543751,True
NEW Netz GmbH,West,Nordrhein-Westfalen,k.A.,MS,Neubau Leitungen,0.85,0.0,k.A.,geplant,2029,0.19,"Nordrhein-Westfalen, Deutschland",51.4789205,7.5543751,True
NEW Netz GmbH,West,Nordrhein-Westfalen,k.A.,MS,Neubau Leitungen,0.08,0.0,k.A.,geplant,2030,0.03,"Nordrhein-Westfalen, Deutschland",51.4789205,7.5543751,True
NEW Netz GmbH,West,Nordrhein-Westfalen,k.A.,MS,Neubau Leitungen,0.28,0.0,k.A.,geplant,2031,0.08,"Nordrhein-Westfalen, Deutschland",51.4789205,7.5543751,True
NEW Netz GmbH,West,Nordrhein-Westfalen,k.A.,MS,Neubau Leitungen,0.45,0.0,k.A.,geplant,2031,0.12,"Nordrhein-Westfalen, Deutschland",51.4789205,7.5543751,True
NEW Netz GmbH,West,Nordrhein-Westfalen,k.A.,MS,Neubau Leitungen,0.06,0.0,k.A.,geplant,2032,0.02,"Nordrhein-Westfalen, Deutschland",51.4789205,7.5543751,True
