VNB-Name,Teilnetzgebiet,Bundesland,Ort / Trasse,Netzebene,Art der Maßnahme,Leitungslänge in km,Übertragungskapazität in MVA,"Netzkomponenten (z.B. UW,Trafo ;Anzahl/Typ)",Projektstatus,Zeithorizont,Kosten in Mio.€,location,latitude,longitude,passt
Osthessen Netz GmbH,Mitte,Hessen,Burghaun,MS,Neubau Leitungen,4.0,0.0,k.A.,konkrete Planung,2024,0.8,"Burghaun, Landkreis Fulda, Hessen, 36151, Deutschland",50.7068434,9.7027201,True
Osthessen Netz GmbH,Mitte,Hessen,Kalbach,MS,Neubau Leitungen,14.0,0.0,k.A.,vorgesehene Maßnahme,2028,2.0,"Kalbach, Landkreis Fulda, Hessen, 36148, Deutschland",50.4044073,9.6968378,True
Osthessen Netz GmbH,Mitte,Hessen,Rasdorf,MS,Neubau Leitungen,8.0,0.0,k.A.,vorgesehene Maßnahme,2028,1.4,"Rasdorf, Landkreis Fulda, Hessen, 36169, Deutschland",50.7120413,9.8854058,True
Osthessen Netz GmbH,Mitte,Hessen,Hosenfeld,MS,Neubau Leitungen,2.0,0.0,k.A.,im Bau,2024,0.7,"Hosenfeld, Landkreis Fulda, Hessen, 36154, Deutschland",50.5119862,9.4985532,True
Osthessen Netz GmbH,Mitte,Hessen,Haunetal,MS,Ertüchtigung Leitungen,4.0,0.0,k.A.,vorgesehene Maßnahme,2028,0.8,"Haunetal, Landkreis Hersfeld-Rotenburg, Hessen, 36166, Deutschland",50.7588341,9.6672876,True
Osthessen Netz GmbH,Mitte,Hessen,Dipperz,MS,Ertüchtigung Leitungen,4.0,0.0,k.A.,vorgesehene Maßnahme,2028,0.8,"Dipperz, Landkreis Fulda, Hessen, 36160, Deutschland",50.5425735,9.7967941,True
Osthessen Netz GmbH,Mitte,Hessen,Morles,MS,Ertüchtigung Leitungen,3.0,0.0,k.A.,vorgesehene Maßnahme,2026,0.25,"Morles, Nüsttal, Landkreis Fulda, Hessen, Deutschland",50.6286529,9.8492972,True
Osthessen Netz GmbH,Mitte,Hessen,Burghaun,HS,Neubau Trafo,0.0,0.0,1,konkrete Planung,2026,4.0,"Burghaun, Landkreis Fulda, Hessen, 36151, Deutschland",50.7068434,9.7027201,True
Osthessen Netz GmbH,Mitte,Hessen,Bad Soden,HS,Neubau Trafo,0.0,0.0,1,konkrete Planung,2026,4.0,"Bad Soden am Taunus, Main-Taunus-Kreis, Hessen, 65812, Deutschland",50.1517006,8.4899671,True
Osthessen Netz GmbH,Mitte,Hessen,Welkers,HS,Neubau Trafo,0.0,0.0,1,konkrete Planung,2026,4.0,"Welkers, Eichenzell, Landkreis Fulda, Hessen, 36124, Deutschland",50.4787539,9.722325,True
Osthessen Netz GmbH,Mitte,Hessen,k.A.,HS,Neubau Trafo,0.0,0.0,1,konkrete Planung,2026,2.5,"Hessen, Deutschland",50.6080651,9.0284647,True
Osthessen Netz GmbH,Mitte,Hessen,Fulda,HS,Neubau UW,0.0,0.0,1,vorgesehene Maßnahme,2030,15.0,"Fulda, Landkreis Fulda, Hessen, Deutschland",50.5542328,9.6770448,True
Osthessen Netz GmbH,Mitte,Hessen,k.A.,HS,Neubau UW,0.0,0.0,1,vorgesehene Maßnahme,2030,8.0,"Hessen, Deutschland",50.6080651,9.0284647,True
Osthessen Netz GmbH,Mitte,Hessen,Burghaun,HS,Neubau Trafo,0.0,0.0,1,vorgesehene Maßnahme,2028,2.0,"Burghaun, Landkreis Fulda, Hessen, 36151, Deutschland",50.7068434,9.7027201,True
Osthessen Netz GmbH,Mitte,Hessen,k.A.,MS,Neubau Leitungen,3.0,0.0,k.A.,im Bau,2024,1.0,"Hessen, Deutschland",50.6080651,9.0284647,True
Osthessen Netz GmbH,Mitte,Hessen,Fulda,HS,Neubau Trafo,0.0,0.0,1,vorgesehene Maßnahme,2028,2.0,"Fulda, Landkreis Fulda, Hessen, Deutschland",50.5542328,9.6770448,True
Osthessen Netz GmbH,Mitte,Hessen,Mittelkalbach,MS,Ertüchtigung Leitungen,1.2,0.0,k.A.,im Bau,2024,0.15,"Mittelkalbach, Kalbach, Landkreis Fulda, Hessen, Deutschland",50.4241816,9.6424947,True
Osthessen Netz GmbH,Mitte,Hessen,Flieden,HS,Neubau UW,0.0,0.0,1,vorgesehene Maßnahme,2029,8.0,"Flieden, Landkreis Fulda, Hessen, 36103, Deutschland",50.4164633,9.5467301,True
Osthessen Netz GmbH,Mitte,Hessen,Fulda,HS,Neubau Trafo,0.0,0.0,1,vorgesehene Maßnahme,2028,4.0,"Fulda, Landkreis Fulda, Hessen, Deutschland",50.5542328,9.6770448,True
Osthessen Netz GmbH,Mitte,Hessen,k.A.,HS,Neubau Trafo,0.0,0.0,1,vorgesehene Maßnahme,2029,2.5,"Hessen, Deutschland",50.6080651,9.0284647,True
Osthessen Netz GmbH,Mitte,Hessen,Flieden,HS,Neubau UW,0.0,0.0,1,vorgesehene Maßnahme,2029,8.0,"Flieden, Landkreis Fulda, Hessen, 36103, Deutschland",50.4164633,9.5467301,True
Osthessen Netz GmbH,Mitte,Hessen,k.A.,NS,Ertüchtigung Leitungen,60.0,0.0,k.A.,im Bau,2028,4.5,"Hessen, Deutschland",50.6080651,9.0284647,True
Osthessen Netz GmbH,Mitte,Hessen,Fulda,HS,Neubau Trafo,0.0,0.0,1,vorgesehene Maßnahme,2028,4.0,"Fulda, Landkreis Fulda, Hessen, Deutschland",50.5542328,9.6770448,True
Osthessen Netz GmbH,Mitte,Hessen,k.A.,HS,Neubau Trafo,0.0,0.0,1,vorgesehene Maßnahme,2029,2.5,"Hessen, Deutschland",50.6080651,9.0284647,True
Osthessen Netz GmbH,Mitte,Hessen,Steinau an der Straße,MS,Ertüchtigung Leitungen,4.0,0.0,k.A.,vorgesehene Maßnahme,2028,0.8,"Steinau an der Straße, Main-Kinzig-Kreis, Hessen, 36396, Deutschland",50.3556,9.4227,True
Osthessen Netz GmbH,Mitte,Hessen,k.A.,HS,Neubau Trafo,0.0,0.0,1,konkrete Planung,2026,2.0,"Hessen, Deutschland",50.60807,9.028465,True
Osthessen Netz GmbH,Mitte,Hessen,k.A.,HS,Neubau Trafo,0.0,0.0,1,im Bau,2025,8.6,"Hessen, Deutschland",50.60807,9.028465,True
Osthessen Netz GmbH,Mitte,Hessen,k.A.,HS,Neubau Trafo,0.0,0.0,1,im Bau,2028,1.3,"Hessen, Deutschland",50.60807,9.028465,True
Osthessen Netz GmbH,Mitte,Hessen,k.A.,HS,Ertüchtigung Leitungen,43.2,0.0,k.A.,im Bau,2028,1.3,"Hessen, Deutschland",50.60807,9.028465,True
Osthessen Netz GmbH,Mitte,Hessen,k.A.,HS,Neubau Kompensationsspule,0.0,0.0,1,im Bau,2028,2.7,"Hessen, Deutschland",50.60807,9.028465,True
Osthessen Netz GmbH,Mitte,Hessen,k.A.,MS,Ertüchtigung Leitungen,0.0,0.0,k.A.,im Bau,2028,0.6,"Hessen, Deutschland",50.60807,9.028465,True
Osthessen Netz GmbH,Mitte,Hessen,k.A.,HS,Neubau Trafo,0.0,0.0,1,vorgesehene Maßnahme,2028,2.0,"Hessen, Deutschland",50.60807,9.028465,True
Osthessen Netz GmbH,Mitte,Hessen,"Petersberg, Fulda",HS,Neubau Trafo,0.0,0.0,1,vorgesehene Maßnahme,2028,2.0,"Petersberg, Landkreis Fulda, Hessen, 36100, Deutschland",50.57667,9.737515,True
Osthessen Netz GmbH,Mitte,Hessen,k.A.,NS,Ertüchtigung Leitungen,60.0,0.0,k.A.,im Bau,2028,4.5,"Hessen, Deutschland",50.60807,9.028465,True
