VNB-Name,Teilnetzgebiet,Bundesland,Ort / Trasse,Netzebene,Art der Maßnahme,Leitungslänge in km,Übertragungskapazität in MVA,"Netzkomponenten (z.B. UW,Trafo ;Anzahl/Typ)",Projektstatus,Zeithorizont,Kosten in Mio.€,location,latitude,longitude,passt
Stromnetz Berlin GmbH ,Ost,Berlin,"Malchow, Berlin ",HS,"Ersatz(neubau) 
mit Erhöhung der 
Übertragungskap
azität",4.0,500.0,"110-kV Kabel
HS Schaltanlage,  
+ Freileitung, 
Schutz- und 
Leittechnik, 
Eigenbedarf",im Bau,2024,38.66863,"Malchow, Lichtenberg, Berlin, Deutschland",52.5798667,13.4820928,True
Stromnetz Berlin GmbH ,Ost,Berlin,k.A.,HS/MS,"Netzoptimierung 
und -verstärkung",2.8,63.0,"110-kV-Kabel
HS + MS-
Schaltanlage,  10-
kV-Kabel, Schutz- 
und Leittechnik, 
Eigenbedarf, 
110/10-kV-
T
ransformatoren, 
MS-Stationen",im Bau,2027,45.759001,"Berlin, Deutschland",52.510885,13.3989367,True
Stromnetz Berlin GmbH ,Ost,Berlin,k.A.,HS,"Netzoptimierung 
und -verstärkung",3.6,0.0,"110-kV-Kabel
110-kV-
Schaltanlage",im Bau,2033,70.863,"Berlin, Deutschland",52.510885,13.3989367,True
Stromnetz Berlin GmbH ,Ost,Berlin,k.A.,MS,"Netzoptimierung 
und -verstärkung",100.0,0.0,"10-kV-Kabel
Netzstationen",im Bau,2029,89.873,"Berlin, Deutschland",52.510885,13.3989367,True
Stromnetz Berlin GmbH ,Ost,Berlin,"Heizkraftwerk Marzahn, Berlin ",k.A.,"Neubau
HS Kabel +",6.5,0.0,Schaltanlage,abgeschlossen,2024,34.405635,"Heizkraftwerk Marzahn, 26b, Allee der Kosmonauten, Friedrichsfelde Ost, Marzahn, Marzahn-Hellersdorf, Berlin, 12681, Deutschland",52.5249542,13.5239245,True
Stromnetz Berlin GmbH ,Ost,Berlin,k.A.,k.A.,"Netzoptimierung 
und -verstärkung",0.0,0.0,"Schaltanlage, 
Kabel, 
T
ransformator",im Bau,2019,40.775125,"Berlin, Deutschland",52.510885,13.3989367,True
Stromnetz Berlin GmbH ,Ost,Berlin,"Gallwitzallee, Berlin ",HS/MS,"Ersatz(neubau) 
ohne Erhöhung 
der 
Übertragungskap
azität",4.5,0.0,"HS + MS-
Schaltanlage, 110-
kV + 10-kV-
Kabel, Schutz- 
und Leittechnik, 
Eigenbedarf, 
110/10-kV-
T
ransformatoren",im Bau,2025,14.454725,"Gallwitzallee, Lankwitz, Steglitz-Zehlendorf, Berlin, Teltow, 12249, Deutschland",52.4352523,13.3463643,True
Stromnetz Berlin GmbH ,Ost,Berlin,"Lichterfelde, Berlin ",HS,"Ersatz(neubau) 
ohne Erhöhung 
der 
Übertragungskap
azität",0.0,0.0,"HS Schaltanlage
0",im Bau,2027,32.208647,"Lichterfelde, Steglitz-Zehlendorf, Berlin, Teltow, Deutschland",52.437293,13.3138645,True
Stromnetz Berlin GmbH ,Ost,Berlin,"Münstersche 
Straße, Berlin ",HS/MS,"Ersatz(neubau) 
ohne Erhöhung 
der 
Übertragungskap
azität",4.5,0.0,"HS + MS-
Schaltanlage, 110-
kV + 10-kV-
Kabel, Schutz- 
und Leittechnik, 
Eigenbedarf, 
110/10-kV-
T
ransformatoren",im Bau,2028,15.330615,"Münstersche Straße, Wilmersdorf, Charlottenburg-Wilmersdorf, Berlin, 10709, Deutschland",52.494433,13.30842,True
Stromnetz Berlin GmbH ,Ost,Berlin,"Jägerstraße, Berlin ",HS/MS,"Ersatz(neubau) 
ohne Erhöhung 
der 
Übertragungskap
azität",0.0,0.0,"HS Schaltanlage, 
MS Schaltanlage, 
Schutz und 
Leittechnik, 
Eigenbedarf,",im Bau,2031,32.09266,"Jägerstraße, Dorotheenstadt, Mitte, Berlin, 10117, Deutschland",52.513768,13.3875957,True
Stromnetz Berlin GmbH ,Ost,Berlin,"Rubensstraße, Berlin ",HS/MS,"Ersatz(neubau) 
ohne Erhöhung 
der 
Übertragungskap
azität",4.5,0.0,"HS + MS-
Schaltanlage, 110-
kV + 10-kV-
Kabel, Schutz- 
und Leittechnik, 
Eigenbedarf,",abgeschlossen,2026,17.525465,"Rubensstraße, Schöneberg, Tempelhof-Schöneberg, Berlin, 12159, Deutschland",52.4771208,13.3425829,True
Stromnetz Berlin GmbH ,Ost,Berlin,"Tempelhof, Berlin ",MS,und -verstärkung,10.0,0.0,"10-kV-Kabel
  1-kV-Kabel",im Bau,2024,3.167184,"Tempelhof, Hoeppnerstraße, Gartenstadt Neu-Tempelhof, Tempelhof, Tempelhof-Schöneberg, Berlin, Teltow, 12101, Deutschland",52.4709704,13.3844457,True
